gen	min     	avg     	max     	std    
0  	-6203.7 	-3842.56	-2901.66	524.374
1  	-7901.87	-3526.93	-2901.66	423.91 
2  	-4136.12	-3294.63	-2841.3 	188.251
3  	-4762.47	-3175.53	-2799.44	207.276
4  	-4238.98	-3060.19	-2749.32	154.764
5  	-5469.65	-2971.18	-2725   	172.123
6  	-4354.65	-2901.84	-2649.64	138.236
7  	-6301.35	-2847.68	-2645.4 	195.048
8  	-10438.9	-2832.51	-2572.28	507.901
9  	-4037.28	-2751.68	-2572.28	125.001
10 	-4648.5 	-2710.78	-2556.04	139.496
11 	-3681.6 	-2663.46	-2551.89	76.2788
12 	-3832.72	-2635.53	-2528.18	93.158 
13 	-4942.66	-2614.6 	-2511.68	128.021
14 	-6389.46	-2608.26	-2510.98	247.287
15 	-3738.96	-2574.83	-2486.48	89.5219
16 	-2950.33	-2547.17	-2486.48	41.7624
17 	-5983.45	-2550.98	-2486.48	183.269
18 	-3437.31	-2526.3 	-2476.95	63.212 
19 	-3251.9 	-2518.71	-2463.21	75.738 
20 	-4533.55	-2507.66	-2445.79	112.054
21 	-3837.33	-2505.07	-2445.65	115.317
22 	-3111.08	-2489.4 	-2439.97	65.4755
23 	-4758.32	-2481.34	-2430.43	122.196
24 	-5442.56	-2477.43	-2420.03	164.127
25 	-3212.52	-2466.11	-2414.96	83.9279
26 	-3834.98	-2460.25	-2410.02	107.142
27 	-3711.25	-2452.99	-2396.58	91.9042
28 	-3705.08	-2442.21	-2387.33	86.5663
29 	-2844.62	-2427.68	-2387.33	46.5624
30 	-3589.99	-2424.62	-2382.01	72.8342
31 	-5137.8 	-2428.85	-2375.75	163.251
32 	-3298.78	-2412.53	-2374.24	75.0367
33 	-2779.37	-2401.13	-2363.94	45.285 
34 	-2910.76	-2394.76	-2362.7 	49.3045
35 	-2968.7 	-2391.6 	-2356.38	62.5482
36 	-3130.77	-2381.78	-2351.9 	54.3374
37 	-2781.39	-2375.75	-2340.01	46.2589
38 	-4284.3 	-2374.13	-2340.01	105.291
39 	-3203.4 	-2371.11	-2340.01	82.0452
40 	-4355.84	-2367.35	-2336.68	105.542
41 	-3289.52	-2367.22	-2330.28	87.8327
42 	-2729.64	-2349.75	-2329.76	33.8271
43 	-2710.44	-2350.48	-2325.55	43.82  
44 	-4441.14	-2355.69	-2324.78	128.719
45 	-3388.26	-2347.48	-2321.55	71.1758
46 	-3758.26	-2353.9 	-2320.78	122.228
47 	-3455.36	-2348.84	-2318.55	95.3576
48 	-4044.54	-2341.38	-2317.3 	99.2082
49 	-5282.63	-2340.7 	-2315.78	143.893
50 	-2951.42	-2334.37	-2312.78	54.5951
51 	-2940.1 	-2331.77	-2312.78	48.8574
52 	-3342.73	-2331.53	-2310.78	70.0795
53 	-3452.78	-2333.54	-2310.78	82.9804
54 	-3197.44	-2327.18	-2310.78	60.4952
55 	-3253.66	-2328.2 	-2304.53	65.2328
56 	-4611.99	-2331.68	-2301.38	135.992
57 	-3643.72	-2329.98	-2300.78	101.004
58 	-2728.71	-2321.81	-2300.78	44.057 
59 	-3907.81	-2326.67	-2300.38	102.054
60 	-3294.21	-2320.45	-2299.38	70.7249
61 	-2979.79	-2317.2 	-2299.38	55.0557
62 	-2878.29	-2317.17	-2298.78	62.6967
63 	-3516.17	-2316.64	-2298.08	73.3834
64 	-5773.94	-2328.89	-2296.38	206.964
65 	-3521.23	-2313.33	-2296.38	72.786 
66 	-2557.06	-2308.86	-2296.08	36.3424
67 	-2906.13	-2308.91	-2294.38	45.1741
68 	-3447.58	-2313.18	-2294.38	85.4637
69 	-3068.69	-2313.28	-2293.38	68.3426
70 	-2853.27	-2307.2 	-2292.81	43.6429
71 	-4208.13	-2316.84	-2292.81	115.072
72 	-4192.82	-2319.25	-2292.38	137.965
73 	-6846.46	-2318.52	-2290.53	213.909
74 	-2924.57	-2304.85	-2290.53	51.2023
75 	-3759.31	-2310.58	-2289.53	91.126 
76 	-5450.56	-2315.11	-2288.63	163.778
77 	-4449.89	-2309.22	-2287.7 	127.965
78 	-6613.11	-2318.93	-2286.7 	231.353
79 	-2899.36	-2303.14	-2285.22	52.2066
80 	-2912.22	-2299.94	-2283.7 	47.1333
81 	-3297.29	-2304.37	-2280.89	78.8405
82 	-3254.06	-2296.65	-2280.5 	54.0643
83 	-3172.65	-2294.21	-2277.58	52.0572
84 	-5190.9 	-2302.59	-2274.88	142.414
85 	-3040.42	-2296.83	-2274.88	66.9926
86 	-2900.93	-2294.07	-2273.58	49.8085
87 	-3078.84	-2291.71	-2273.36	55.9875
88 	-2632.05	-2285.4 	-2272.03	33.2186
89 	-3434.9 	-2290.29	-2272.03	77.2763
90 	-3936.71	-2289.32	-2267.51	90.8713
91 	-3202.19	-2284.73	-2262.87	59.111 
92 	-3101.76	-2285.71	-2262.87	67.9463
93 	-3078.11	-2279.67	-2262.47	50.7017
94 	-3359.9 	-2280.89	-2261.47	67.1878
95 	-3221.81	-2278.54	-2260.47	67.1118
96 	-2611.99	-2273.46	-2258.46	40.7074
97 	-2634.25	-2269.48	-2257.46	31.0269
98 	-4095.96	-2278.92	-2257.46	105.739
99 	-4574.15	-2274.9 	-2256.46	111.472
