gen	min     	avg     	max     	std    
0  	-5780.81	-2509.58	-1737.23	523.988
1  	-25974  	-2220.56	-1737.23	1086.27
2  	-3623.22	-2025.08	-1637.72	156.527
3  	-8277.44	-1940.15	-1637.72	307.545
4  	-2485   	-1853.81	-1637.72	94.1454
5  	-3156.24	-1796.51	-1636.02	115.363
6  	-6105.77	-1769.79	-1622.89	270.616
7  	-3044.92	-1706.11	-1601.62	96.4478
8  	-3038.07	-1675.31	-1592.83	96.707 
9  	-3177.16	-1658.04	-1579.57	110.458
10 	-2059.44	-1633.12	-1552.05	48.3627
11 	-2546.52	-1617.63	-1544.1 	59.1596
12 	-2189.73	-1606.47	-1542.78	52.6049
13 	-2808.72	-1601.29	-1532.41	105.005
14 	-3050.8 	-1579.45	-1531.1 	88.406 
15 	-2072.84	-1565.43	-1519.5 	58.9361
16 	-2234.94	-1552.86	-1506.13	59.2851
17 	-4100.28	-1556.53	-1494.98	141.225
18 	-2093.56	-1538.63	-1493.1 	51.1621
19 	-4360.24	-1536.65	-1482.8 	138.231
20 	-3467.13	-1530   	-1473.6 	115.932
21 	-4967.15	-1531.87	-1473.6 	228.795
22 	-3626.02	-1511.63	-1473.6 	118.506
23 	-3393.07	-1505.66	-1467.67	112.446
24 	-2099.14	-1489.81	-1458.67	41.2042
25 	-5537.93	-1512.82	-1453.17	288.074
26 	-2326.9 	-1482.64	-1449.07	72.5851
27 	-4421.86	-1486.41	-1441.5 	164.7  
28 	-2844.9 	-1472.2 	-1436.5 	83.1739
29 	-2963.47	-1473.39	-1430.5 	116.801
30 	-3212.79	-1458.21	-1424.6 	84.4103
31 	-2399.57	-1454.88	-1424.6 	70.6224
32 	-11545.3	-1484.46	-1419.61	495.613
33 	-2207.08	-1443.46	-1418.4 	51.598 
34 	-1721.68	-1437.15	-1409.87	27.261 
35 	-2067.68	-1437.67	-1409.87	58.6016
36 	-4558.5 	-1442.95	-1408.65	183.869
37 	-3675.79	-1431.32	-1407.69	110.558
38 	-2328.59	-1427.87	-1407.34	66.2409
39 	-1860.74	-1419.93	-1406.95	43.697 
40 	-20105.9	-1468.12	-1403.65	883.893
41 	-3369.06	-1423.75	-1402.65	127.636
42 	-2265.29	-1423.87	-1402.65	78.0971
43 	-2431.24	-1414.99	-1400.36	60.5064
44 	-3218.26	-1424.69	-1392.94	135.247
45 	-1828.98	-1410.07	-1390.54	35.0145
46 	-1885.88	-1411.42	-1389.44	43.474 
47 	-2245.84	-1413.64	-1389.34	73.6454
48 	-1943.26	-1405.37	-1388.01	46.5237
49 	-2195.65	-1404.95	-1383.31	65.3221
50 	-2426.97	-1400.81	-1380.71	66.9899
51 	-4130.97	-1403.75	-1375.45	139.009
52 	-2592.01	-1397.93	-1375.45	69.9788
53 	-2433.43	-1397.34	-1375.45	76.1111
54 	-1894.37	-1389.21	-1374.62	39.0542
55 	-1896.76	-1389.92	-1374.62	49.4583
56 	-2986.04	-1390.26	-1373.92	82.8222
57 	-2546.5 	-1386.67	-1367.44	66.3165
58 	-2346.62	-1384.88	-1367.44	59.6995
59 	-3073.83	-1387.45	-1363.84	85.6141
60 	-1809.53	-1381.32	-1362.04	38.0069
61 	-2569.84	-1383.11	-1360.94	73.3326
62 	-3410.63	-1382.27	-1359.27	110.304
63 	-4691.21	-1380.84	-1359.27	156.407
64 	-1826.09	-1372.52	-1357.94	38.9177
65 	-2265.95	-1377.21	-1356.44	85.6163
66 	-2116.21	-1368.53	-1355.87	43.3899
67 	-4649.88	-1377.08	-1353.68	156.466
68 	-1642.64	-1365.21	-1353.68	27.4598
69 	-2263.88	-1367.87	-1352.46	60.2521
70 	-1607.53	-1361.17	-1349.13	23.6081
71 	-3494.61	-1367.93	-1347.13	103.601
72 	-1931.15	-1361.19	-1344.02	46.1873
73 	-1639.35	-1355.87	-1343.72	22.184 
74 	-3355.98	-1359.98	-1342.72	96.5394
75 	-1777.17	-1357.97	-1342.51	45.2158
76 	-2377.76	-1356.11	-1342.02	60.1067
77 	-1863.78	-1351.6 	-1342.02	43.0746
78 	-2145.58	-1352.88	-1341.32	56.6881
79 	-2214.99	-1352.71	-1341.03	55.8061
80 	-1894.24	-1352.85	-1340.92	53.6849
81 	-1661.83	-1347.19	-1340.92	27.3095
82 	-1588.53	-1346.6 	-1340.92	24.2574
83 	-1840.75	-1348.01	-1340.12	37.7646
84 	-1863.22	-1350.44	-1337.12	45.0093
85 	-2013.58	-1350.16	-1337.12	53.5611
86 	-2319.56	-1349.74	-1336.42	54.2357
87 	-4690.83	-1362.67	-1336.42	200.962
88 	-3703.31	-1353.17	-1336.03	113.504
89 	-2778.95	-1353.18	-1334.72	95.6842
90 	-2412.63	-1347.85	-1334.28	67.6869
91 	-1640.96	-1343.25	-1333.97	31.2075
92 	-1534.14	-1340.54	-1333.23	21.3327
93 	-4465.82	-1350.43	-1333.23	147.183
94 	-2879.87	-1346.3 	-1332.88	88.2118
95 	-3371.92	-1347.51	-1331.18	102.153
96 	-1724.48	-1342.21	-1331.18	39.5328
97 	-1933.02	-1342.07	-1330.83	44.9994
98 	-2272.09	-1341.34	-1330.53	65.6646
99 	-8887.46	-1354.73	-1329.63	341.167
