gen	min     	avg     	max     	std    
0  	-23863.2	-8258.09	-5156.73	2450.5 
1  	-17700.7	-7236.81	-5155.03	1316.14
2  	-16778.2	-6678.68	-5075.92	1043.04
3  	-12297.5	-6319.57	-4847.71	786.56 
4  	-13630.1	-6043.95	-4808.22	754.188
5  	-19832.6	-5827.54	-4741.27	894.436
6  	-8113.07	-5580.46	-4636.68	445.651
7  	-23343.3	-5518.8 	-4636.68	1095.63
8  	-10719.2	-5286.07	-4394.61	473.097
9  	-8040.35	-5140.95	-4394.61	388.684
10 	-13070.3	-5027.68	-4394.61	468.637
11 	-9798.45	-4934.41	-4394.61	447.738
12 	-8817.06	-4848.72	-4354.26	409.488
13 	-16066.7	-4792.39	-4246.43	702.011
14 	-17032.6	-4757.78	-4206.12	777.674
15 	-12126.6	-4673.65	-4206.12	535.631
16 	-8303.07	-4558.99	-4159.8 	366.142
17 	-7538   	-4482.67	-4065.61	307.812
18 	-6691.63	-4421.7 	-4052.79	236.819
19 	-6051.98	-4354.29	-3863.14	229.946
20 	-6974.81	-4290.41	-3833.09	255.323
21 	-19206.5	-4315.62	-3827.6 	841.692
22 	-12045.4	-4228.42	-3821.81	528.084
23 	-9757.38	-4169.75	-3784.46	416.911
24 	-11792.2	-4130.39	-3736.13	563.73 
25 	-7282.28	-4035.74	-3707.54	262.98 
26 	-7587.99	-4014.77	-3699.32	342.615
27 	-7544.34	-3962.59	-3670.17	309.712
28 	-7797.44	-3931.81	-3670.17	291.165
29 	-16046  	-3941.04	-3650.4 	815.431
30 	-6438.26	-3879.62	-3597.13	335.371
31 	-5590.17	-3818.84	-3576.39	214.06 
32 	-6427.95	-3781.43	-3576.39	203.305
33 	-5833.46	-3768.4 	-3524.99	248.519
34 	-5384.53	-3726.5 	-3513.48	185.573
35 	-8769.7 	-3717.15	-3457.06	376.92 
36 	-9899.66	-3699.24	-3372.09	485.779
37 	-33756.4	-3735.68	-3359.6 	1397.98
38 	-7095.78	-3629.32	-3341.45	245.221
39 	-7025.04	-3624.36	-3341.45	346.758
40 	-12761.3	-3597.64	-3341.45	474.293
41 	-9865.32	-3578.34	-3328.87	383.917
42 	-10445.5	-3573.56	-3322.49	543.61 
43 	-5761.27	-3508.28	-3322.49	246.285
44 	-11463.2	-3500.33	-3316.68	410.307
45 	-13686.6	-3458.73	-3310.29	487.429
46 	-8075.3 	-3440.59	-3286.29	345.14 
47 	-6416.92	-3418.97	-3266.33	254.079
48 	-11090.9	-3434.53	-3251.95	558.19 
49 	-7510.38	-3395.54	-3251.95	280.827
50 	-15826.4	-3410.06	-3241.76	613.537
51 	-6948.8 	-3359.89	-3240.78	256.629
52 	-9293.77	-3390.96	-3226.46	505.994
53 	-6319.32	-3349.11	-3223.02	268.915
54 	-5638.94	-3336.68	-3215.65	257.416
55 	-21268.3	-3332.66	-3214.52	819.001
56 	-5830.99	-3302.1 	-3198.79	205.142
57 	-4665.01	-3295.09	-3187.53	174.025
58 	-6114.62	-3282.41	-3173.43	190.007
59 	-7284.61	-3287.49	-3151.73	306.917
60 	-5450.78	-3260.87	-3149.56	174.791
61 	-12786.3	-3328.8 	-3134.15	707.148
62 	-5502.51	-3241.02	-3129.71	181.247
63 	-6022.51	-3240.62	-3128.41	207.763
64 	-6137.98	-3228.31	-3123.34	228.189
65 	-11622.2	-3245.57	-3111.2 	550.753
66 	-10076.8	-3229.34	-3102.95	447.535
67 	-5188.73	-3202.81	-3085.82	192.728
68 	-7941.83	-3189.89	-3063.98	259.623
69 	-7093.4 	-3197.01	-3062.98	256.957
70 	-4278.95	-3173.44	-3059.54	157.084
71 	-33016  	-3261.29	-3059.54	1541.45
72 	-8350.5 	-3155.45	-3054.94	288.805
73 	-8893.65	-3172.39	-3051.58	392.034
74 	-6753.44	-3140.04	-3051.58	210.259
75 	-4964.11	-3121.4 	-3050.28	136.174
76 	-5377.67	-3123.69	-3042.94	177.438
77 	-5590.37	-3136.23	-3042.94	224.222
78 	-15360.3	-3152.51	-3038.27	582.424
79 	-4992.25	-3108.01	-3034.27	169.785
80 	-4333.96	-3097.89	-3028.85	137.398
81 	-7383.62	-3116.59	-3028.85	349.592
82 	-5377.72	-3085.73	-3027.85	144.974
83 	-5999.96	-3110.48	-3027.85	263.012
84 	-5088.43	-3084.7 	-3022.98	161.299
85 	-6324.86	-3087.37	-3018.72	250.929
86 	-7453.87	-3099.15	-3017.94	342.069
87 	-8751.35	-3089.07	-3012.41	299.619
88 	-4387.32	-3055.59	-3012.41	106.255
89 	-4393.85	-3066.65	-3005.03	135.888
90 	-11702.1	-3087.44	-3004.83	420.275
91 	-3779.98	-3044.78	-2995.74	89.2238
92 	-4184.87	-3048.25	-2995.74	106.141
93 	-8276.92	-3078.04	-2995.74	314.956
94 	-10583.6	-3076.4 	-2995.74	410.908
95 	-10074.7	-3073.62	-2990.95	411.294
96 	-9696.65	-3067.02	-2990.16	347.283
97 	-5156.94	-3042.91	-2986.44	167.511
98 	-7192.65	-3040.48	-2983.89	222.83 
99 	-6286.55	-3061.03	-2977.67	285.384
