gen	min     	avg     	max     	std    
0  	-4355.58	-2223.22	-1828.77	305.772
1  	-2945.83	-2090.54	-1828.77	161.976
2  	-2673.81	-2019.86	-1809.77	110.149
3  	-3190.45	-1978.22	-1805.4 	112.289
4  	-2297.74	-1932.51	-1769.23	66.1593
5  	-2504.57	-1902.87	-1769.23	70.0787
6  	-2324.72	-1869.78	-1758.36	49.0532
7  	-2657.31	-1850.91	-1758.36	56.1021
8  	-2040.04	-1834.56	-1753.12	36.579 
9  	-4854.94	-1833.47	-1750.4 	153.18 
10 	-2870.64	-1813.91	-1724.51	71.9835
11 	-2074.06	-1796.48	-1721.95	33.0986
12 	-2252.8 	-1784.54	-1714.17	43.9212
13 	-3633.17	-1780.11	-1710.95	105.074
14 	-2149.17	-1764.98	-1709.67	33.0203
15 	-1933.87	-1756.58	-1707.76	29.153 
16 	-2142.79	-1746.26	-1705.08	28.7977
17 	-1997.73	-1738.1 	-1701.06	25.7524
18 	-1848.76	-1730.12	-1695.38	18.5702
19 	-4864.93	-1733.27	-1695.38	148.932
20 	-2231.69	-1723.23	-1695.38	38.7462
21 	-3107.63	-1722.22	-1693.67	77.3044
22 	-2616.51	-1716.94	-1688.91	56.2285
23 	-1963.06	-1709.83	-1686.88	23.7211
24 	-2441.64	-1706.78	-1685.2 	36.4947
25 	-1886.47	-1702.64	-1683.81	18.0775
26 	-1938.86	-1700.84	-1682.78	24.131 
27 	-25467.9	-1746.37	-1680.86	1062.24
28 	-2063.6 	-1696.27	-1679.54	24.5126
29 	-2021.76	-1692.82	-1678.64	21.2927
30 	-3319.25	-1695.89	-1677.33	79.4907
31 	-2092.9 	-1690.54	-1673.98	28.8956
32 	-1986.68	-1687.52	-1672.99	19.4614
33 	-1867.8 	-1683.5 	-1671.15	11.7545
34 	-2388.44	-1686.33	-1670.15	39.8962
35 	-1787.78	-1680.92	-1669.61	11.0992
36 	-1904.77	-1679.82	-1668.51	15.1103
37 	-2158.56	-1680.87	-1664.22	30.1081
38 	-2230.66	-1679.17	-1664.22	35.8811
39 	-2405.88	-1679.71	-1662.89	49.0421
40 	-1809.42	-1673.73	-1662.89	12.1482
41 	-1898.62	-1673.14	-1661.23	20.5388
42 	-1957.18	-1672.84	-1661.23	23.5402
43 	-1757.27	-1669.31	-1660.83	9.79278
44 	-2008.01	-1670.11	-1660.23	26.1125
45 	-1972.68	-1667.77	-1658.81	20.597 
46 	-2012.17	-1669.45	-1656.31	27.4476
47 	-1994.08	-1666.29	-1656.31	21.4761
48 	-2251.59	-1667.06	-1654.09	32.8793
49 	-2116.82	-1667.83	-1654.09	32.7616
50 	-1771.29	-1663.11	-1653.43	11.3391
51 	-2438.14	-1665.43	-1651.43	41.9282
52 	-1840.33	-1662.21	-1651.43	16.9707
53 	-1748.56	-1659.54	-1649.68	9.01433
54 	-1826.28	-1660.22	-1648.43	16.299 
55 	-1801.11	-1658.2 	-1648.11	13.5568
56 	-1771.61	-1656.85	-1647.39	12.2308
57 	-1817.43	-1656.55	-1645.03	15.325 
58 	-1859.51	-1655.29	-1645.03	17.7241
59 	-1754.93	-1653.39	-1643.93	12.2548
60 	-1816.89	-1653.69	-1643.93	18.8848
61 	-1838.58	-1651.64	-1642.33	14.895 
62 	-3193.1 	-1654.21	-1642.33	71.049 
63 	-1930.99	-1649.86	-1640.71	16.7939
64 	-1940.33	-1648.88	-1638.66	18.8859
65 	-1886.29	-1648.47	-1638.66	19.159 
66 	-2302.21	-1647.64	-1637.96	31.3344
67 	-1933.82	-1647.1 	-1637.71	17.5785
68 	-1887.31	-1646.82	-1637.44	18.3785
69 	-1848.29	-1645.57	-1637.24	14.1028
70 	-2018.57	-1645.85	-1637.01	28.8487
71 	-1996   	-1645.17	-1635.74	26.1452
72 	-2157.07	-1644.82	-1635.74	30.2004
73 	-1756.17	-1641.62	-1635.04	11.1388
74 	-1997.66	-1642.22	-1635.04	23.3086
75 	-1970.89	-1640.65	-1634.77	17.6493
76 	-2004.76	-1642.79	-1634.77	29.1907
77 	-1923.44	-1640.7 	-1633.14	17.681 
78 	-1976.84	-1641.33	-1631.97	21.2007
79 	-2064.97	-1640.75	-1631.79	23.8487
80 	-1924.61	-1639.36	-1630.97	18.8665
81 	-1751.76	-1637.68	-1630.57	11.2881
82 	-1716.41	-1636.85	-1630.57	8.95469
83 	-2072.64	-1638.1 	-1630.57	23.6398
84 	-2186.19	-1638.28	-1630.27	33.5696
85 	-1996.77	-1636.46	-1629.87	23.8762
86 	-1910.87	-1635.12	-1629.87	19.1862
87 	-1712.28	-1633.04	-1628.87	7.71975
88 	-1791.6 	-1634.09	-1628.87	14.8902
89 	-1769.79	-1633.77	-1628.87	13.8191
90 	-1727.02	-1633.11	-1628.87	10.2403
91 	-1735.17	-1633.34	-1628.78	12.6617
92 	-1950.08	-1633.03	-1628.78	18.6795
93 	-1753.67	-1633.12	-1628.78	12.5382
94 	-2356.48	-1634.04	-1628.78	34.9914
95 	-1822.12	-1631.59	-1628.78	11.914 
96 	-2180.97	-1633.61	-1628.78	29.8346
97 	-1904.47	-1633.27	-1628.78	19.746 
98 	-1982.99	-1632.57	-1628.78	19.0949
99 	-1820.09	-1632.21	-1628.78	14.2686
