gen	min     	avg     	max     	std    
0  	-14545.6	-4342.29	-3029.35	1331.45
1  	-7623.81	-3846.52	-2938.87	537.951
2  	-5785.15	-3611.03	-2937.52	335.705
3  	-9480.67	-3460.82	-2903.87	374.969
4  	-4803   	-3336   	-2903.87	226.611
5  	-5369.03	-3251.89	-2903.87	241.041
6  	-4589.2 	-3162.81	-2844.69	158.524
7  	-5433.09	-3110.06	-2819.17	196.949
8  	-4984.03	-3046.12	-2777.88	164.284
9  	-3897.4 	-3002.55	-2777.88	118.797
10 	-5646.69	-2975.48	-2777.66	178.595
11 	-10982  	-2963.83	-2723.82	531.708
12 	-144769 	-3187.4 	-2721.21	6340.53
13 	-3617.57	-2860.33	-2678.58	86.7922
14 	-3610.34	-2840.99	-2646.2 	103.378
15 	-5386.37	-2826.5 	-2617.2 	178.042
16 	-3508.31	-2787.62	-2617.2 	90.2141
17 	-4558.71	-2762.27	-2602.12	109.211
18 	-3743.51	-2738.17	-2602.12	95.1251
19 	-8340.14	-2738.41	-2572.33	340.157
20 	-3434.17	-2695.1 	-2550.11	84.9016
21 	-4907.43	-2679.35	-2545.88	132.243
22 	-4917.34	-2663.8 	-2531.91	158.022
23 	-4494.06	-2644.18	-2523.5 	122.435
24 	-5193.73	-2639.13	-2523.5 	197.613
25 	-3423.47	-2609.62	-2520.77	78.0898
26 	-3622.25	-2594.91	-2501.71	80.2947
27 	-3660.24	-2586.67	-2490.59	103.229
28 	-3171.51	-2564.57	-2478.39	65.0497
29 	-3186.97	-2554.41	-2469.23	70.095 
30 	-3224.31	-2539.53	-2469.23	58.3532
31 	-3385.19	-2536.45	-2461.5 	90.6298
32 	-3350.53	-2519.51	-2447.74	64.1316
33 	-3849.93	-2519.65	-2441.11	115.126
34 	-3270.48	-2507.05	-2435.74	81.2715
35 	-2994.01	-2489.3 	-2435.55	47.3622
36 	-3116.58	-2480.45	-2434.51	51.5657
37 	-4749.63	-2480.64	-2417.39	113.613
38 	-3858.7 	-2476.89	-2410.25	119.537
39 	-3088.61	-2467.25	-2410.25	72.4504
40 	-4613.24	-2471.48	-2404.32	190.41 
41 	-3638.65	-2454.35	-2404.32	93.7608
42 	-4256.34	-2460.17	-2396.37	145.989
43 	-21955.1	-2486.59	-2387.91	881.733
44 	-7229.85	-2442.32	-2386.5 	224.835
45 	-3493.79	-2427.17	-2377.7 	75.2208
46 	-3330.58	-2423.8 	-2376.02	80.5814
47 	-7899.01	-2429.51	-2372.94	254.247
48 	-3142.55	-2410.67	-2372.72	64.0724
49 	-3376.14	-2405.63	-2367.93	68.2207
50 	-2935.99	-2398.58	-2365.07	45.9126
51 	-3144.51	-2395.41	-2358.3 	60.355 
52 	-3285.88	-2396.65	-2353.83	71.2214
53 	-7695.21	-2414.33	-2353.15	305.321
54 	-3212.45	-2390.25	-2345.43	80.8856
55 	-4015.48	-2395.61	-2344.33	130.721
56 	-4929.21	-2381.8 	-2342.65	123.547
57 	-2925.15	-2369.71	-2333.55	45.1137
58 	-3346.17	-2373.02	-2333.55	73.0768
59 	-3053.76	-2367.89	-2331.45	63.7672
60 	-3959.14	-2366.51	-2321.43	90.6879
61 	-3108.89	-2359.53	-2321.43	68.687 
62 	-3040.07	-2358.54	-2321.43	70.7396
63 	-5470.77	-2356.7 	-2321.43	150.91 
64 	-3476.77	-2351.56	-2318.26	79.1497
65 	-3325.56	-2348.14	-2316.66	77.8797
66 	-3207.58	-2342.37	-2311.05	61.7758
67 	-2697.97	-2337.78	-2309.55	45.6167
68 	-7505.87	-2348.11	-2309.55	236.716
69 	-6771.47	-2346.69	-2305.74	217.061
70 	-3070.42	-2329.04	-2304.17	53.0788
71 	-3012.21	-2330.95	-2298.98	52.879 
72 	-3279.7 	-2333.51	-2298.98	77.7574
73 	-3257.84	-2330.56	-2298.1 	79.7725
74 	-3390.35	-2329.3 	-2297.58	75.1901
75 	-3751.31	-2326.26	-2297.58	97.4708
76 	-2960.44	-2323.23	-2297.58	62.1287
77 	-3142.41	-2318.32	-2295.99	62.6111
78 	-3001.94	-2319.26	-2294.88	58.6784
79 	-3047.77	-2314.63	-2292.45	57.333 
80 	-3348.9 	-2316.33	-2291.05	79.0086
81 	-2779.04	-2310.3 	-2287.23	45.3133
82 	-3162.42	-2313.76	-2287.23	63.5763
83 	-2683.26	-2304.73	-2286.53	33.4589
84 	-3694.83	-2310.71	-2286.53	89.2294
85 	-3656.98	-2304.93	-2286.53	75.1325
86 	-3486.7 	-2302.89	-2285.4 	71.9616
87 	-2853.45	-2304.79	-2280   	55.7746
88 	-3421.8 	-2302.94	-2280   	73.8075
89 	-3754.25	-2305.57	-2280   	86.9352
90 	-2790.13	-2301.12	-2279   	56.358 
91 	-2803.96	-2299.06	-2278.85	52.4079
92 	-2753.66	-2298.69	-2278.48	50.526 
93 	-3304.87	-2299.71	-2278   	68.7085
94 	-2669.9 	-2293.03	-2276.85	41.3128
95 	-4471.94	-2300.75	-2273.48	123.891
96 	-2766.28	-2294.04	-2272.48	49.5453
97 	-2790.91	-2294.1 	-2270.85	52.5238
98 	-3584.87	-2294.75	-2270.85	92.2075
99 	-2785.49	-2287.24	-2270.48	45.437 
