gen	min     	avg     	max     	std    
0  	-9001.92	-2795.24	-1732.68	1009.19
1  	-5897.79	-2358.87	-1713.06	476.871
2  	-4732.96	-2159   	-1713.06	275.43 
3  	-4348.6 	-2047.12	-1683   	220.27 
4  	-6031.12	-1969.6 	-1683   	258.819
5  	-4264.85	-1886.38	-1673.93	164.78 
6  	-3727.02	-1832.73	-1648.54	149.669
7  	-8911.62	-1804.2 	-1588.76	350.923
8  	-2539.27	-1749.35	-1575.36	69.8502
9  	-2467.3 	-1732.16	-1575.36	97.4954
10 	-3544.48	-1711.93	-1575.31	126.856
11 	-3984.61	-1687.44	-1572.31	130.876
12 	-1992.52	-1658.73	-1524.4 	54.4094
13 	-3366.78	-1643.64	-1524.4 	140.276
14 	-3433.45	-1626.03	-1515.61	110.772
15 	-2388.43	-1601.34	-1481.53	63.7212
16 	-12569.9	-1636.06	-1481.53	691.244
17 	-2729.68	-1574.83	-1481.53	91.2561
18 	-1959.22	-1555.65	-1481.53	51.8671
19 	-2969.2 	-1548.73	-1470.33	99.669 
20 	-2106.73	-1532.33	-1470.33	50.9313
21 	-24022  	-1579.43	-1467.5 	1029.97
22 	-6516.05	-1528.65	-1461.65	249.761
23 	-2727.66	-1500.98	-1453.39	64.9197
24 	-2397.41	-1495.56	-1450.7 	62.0378
25 	-2195.85	-1493.11	-1447.02	62.7033
26 	-1832.13	-1481.29	-1447.02	37.6764
27 	-2640.06	-1482.6 	-1436.13	83.5673
28 	-2853.42	-1482.5 	-1432.63	109.127
29 	-2722.98	-1472.34	-1432.63	77.9043
30 	-5970.94	-1476.01	-1426.82	217.865
31 	-1952.41	-1461.29	-1423.75	45.7477
32 	-2005.96	-1457.48	-1415.14	48.5602
33 	-2131.35	-1455.62	-1415.14	55.8289
34 	-2333.39	-1450.04	-1409.97	55.9321
35 	-2213.6 	-1448.1 	-1409.97	60.5898
36 	-36751.5	-1517.15	-1401.44	1580.84
37 	-2486.63	-1443   	-1399.69	84.5898
38 	-1602.6 	-1428.99	-1399.39	23.7908
39 	-1855.34	-1427.61	-1394.78	37.3844
40 	-1992.83	-1423.43	-1394.78	43.852 
41 	-2565.74	-1425.13	-1392.84	85.9651
42 	-6998.3 	-1429.04	-1385.08	257.556
43 	-6981.59	-1434.22	-1380.9 	333.21 
44 	-2673.7 	-1418.36	-1380.9 	106.037
45 	-4521.79	-1429.78	-1378.9 	216.186
46 	-2560.3 	-1408.5 	-1378.9 	76.129 
47 	-2918.26	-1404.92	-1377.19	81.0698
48 	-1757.91	-1397.42	-1375.86	28.7153
49 	-1903.24	-1395.03	-1375.86	36.2747
50 	-2376.82	-1394.48	-1372.88	54.6378
51 	-2363.04	-1392.53	-1371.93	64.0299
52 	-3601.4 	-1393.75	-1371.93	110.497
53 	-3776.3 	-1404.89	-1369.53	172.579
54 	-2286.47	-1390.94	-1368.78	70.5034
55 	-2616.62	-1389.22	-1367.08	85.8687
56 	-1932.26	-1384.26	-1366.05	48.4163
57 	-2238.92	-1383.69	-1364.86	57.1107
58 	-1747.29	-1377.89	-1360.44	29.2922
59 	-2339.49	-1381.45	-1360.22	62.9036
60 	-2868.83	-1384.83	-1358.3 	110.957
61 	-1965.98	-1379.12	-1355.46	56.24  
62 	-2860.72	-1381.19	-1351.69	100.618
63 	-1906.12	-1373.3 	-1351.69	44.7776
64 	-2331.55	-1370.39	-1351.34	51.9072
65 	-2066.8 	-1369.92	-1349.99	43.4075
66 	-2892.06	-1369.99	-1349.99	83.145 
67 	-2495.44	-1370.19	-1349.39	82.1229
68 	-4193.47	-1379.44	-1341.04	187.648
69 	-2850.8 	-1367.54	-1341.04	98.779 
70 	-3041.59	-1367.45	-1340.04	101.372
71 	-2686.19	-1363.03	-1340.04	78.3393
72 	-1935.7 	-1359.28	-1339.45	47.2403
73 	-1834.67	-1356.19	-1339.45	37.2236
74 	-2286.95	-1354.95	-1337.97	51.5191
75 	-2186.27	-1358.36	-1335.55	64.4221
76 	-4519.96	-1362.56	-1335.55	150.175
77 	-2369.96	-1359.64	-1335.55	80.3384
78 	-2211.27	-1351.21	-1333.55	57.9362
79 	-2570.15	-1352.39	-1333.55	83.0172
80 	-2191.6 	-1348.11	-1333.55	60.2459
81 	-1948.09	-1347.86	-1333.55	52.7461
82 	-1831.9 	-1346.7 	-1332.07	51.441 
83 	-4775.95	-1355.72	-1331.02	181.445
84 	-2385.07	-1346.32	-1331.02	63.0653
85 	-2193.9 	-1343.59	-1330.02	60.3014
86 	-1866.7 	-1341.18	-1330.02	37.9136
87 	-2085.65	-1339.77	-1329.37	40.62  
88 	-4626.6 	-1355.31	-1329.37	176.597
89 	-2043.8 	-1342.93	-1328.37	60.2852
90 	-4382.04	-1342.97	-1326.37	138.798
91 	-1710.91	-1338.79	-1326.37	36.1976
92 	-2229.55	-1344.61	-1324.64	78.8506
93 	-2763.58	-1339.76	-1324.64	73.5998
94 	-1625.93	-1337.6 	-1323.64	31.9484
95 	-2581.8 	-1342.52	-1322.12	86.0325
96 	-2061.12	-1338.4 	-1322.12	56.5552
97 	-3124.81	-1348.24	-1322.12	137.753
98 	-4334.18	-1347.28	-1320.81	168.432
99 	-3528.51	-1339.57	-1320.81	110.999
