gen	min         	avg     	max     	std        
0  	-16732.7    	-5584.47	-3490.35	1331.12    
1  	-188285     	-6979.78	-3490.35	18248.9    
2  	-41436.7    	-5192.04	-3490.35	4335.77    
3  	-39988.3    	-5632.11	-3490.35	5903.92    
4  	-8521.92    	-4874.95	-3490.35	991.182    
5  	-12873.7    	-5050.77	-3490.35	1611.26    
6  	-6848.73    	-4956.37	-3490.35	723.809    
7  	-22138.1    	-5283.6 	-3445.68	2079.47    
8  	-9351.04    	-5324.06	-3445.68	1220.92    
9  	-11645.5    	-5595.7 	-3445.68	1384.75    
10 	-9809.41    	-5369.34	-3445.68	1138.34    
11 	-4.88439e+06	-357510 	-3445.68	1.25833e+06
12 	-18181.4    	-7115.7 	-3445.68	2895.37    
13 	-16206      	-6776.12	-3445.68	1977.75    
14 	-25372.4    	-8067.82	-3445.68	6047.04    
15 	-62411.8    	-8654.91	-3445.68	9703.99    
16 	-19412.2    	-5650.51	-3445.68	2192.62    
17 	-7937.41    	-5405.75	-3445.68	794.613    
18 	-18333.9    	-8281.43	-3445.68	3592.85    
19 	-22278      	-6630.78	-3445.68	3477.51    
20 	-14575.5    	-5346.1 	-3445.68	1719.22    
21 	-10544.7    	-5090.38	-3445.68	945.166    
22 	-15124.5    	-5894.9 	-3445.68	1777.57    
23 	-16896.9    	-6005.62	-3445.68	1706.87    
24 	-19480      	-6169.04	-3445.68	2537.54    
25 	-13088.3    	-5382.15	-3445.68	1803.87    
26 	-12937.4    	-6005.4 	-3445.68	2196.26    
27 	-17681      	-6778.81	-3445.68	2982.92    
28 	-16617.6    	-5266.22	-3445.68	1698.97    
29 	-16938.6    	-5265.12	-3445.68	1262.84    
30 	-6727.68    	-5149.25	-3445.68	556.261    
31 	-10570.8    	-5124.87	-3445.68	674.764    
32 	-12056.5    	-7665.28	-3445.68	1910.29    
33 	-9105.64    	-5215.12	-3445.68	946.081    
34 	-7112.07    	-4837.97	-3445.68	684.749    
35 	-10599.4    	-5264.58	-3445.68	850.58     
36 	-16872.2    	-13508  	-3445.68	3454.42    
37 	-15124.9    	-6618.23	-3445.68	1621.95    
38 	-8270.79    	-5393.55	-3445.68	634.095    
39 	-11993.8    	-7542.04	-3445.68	1125.78    
40 	-11776.3    	-5648.96	-3445.68	1511.92    
41 	-23276.4    	-5971.85	-3445.68	3978.18    
42 	-38990.3    	-8664.38	-3445.68	6367.46    
43 	-9721.45    	-8035.88	-3445.68	1023.53    
44 	-10313      	-5060.69	-3445.68	1123.5     
45 	-10375.4    	-5573.23	-3445.68	410.173    
46 	-11784.9    	-4215.77	-3445.68	1036.7     
47 	-11599.5    	-4899.69	-3445.68	991.92     
48 	-11640.1    	-6145.99	-3445.68	1274.95    
49 	-11620.1    	-5974.46	-3445.68	489.356    
50 	-11783.7    	-4527.97	-3445.68	688.933    
51 	-12593.2    	-5274.17	-3445.68	701.216    
52 	-11560.3    	-5006.69	-3445.68	927.277    
53 	-8923.55    	-6899.84	-3445.68	831.337    
54 	-11185.1    	-8122.72	-3445.68	3351.44    
55 	-11152.8    	-7666.41	-3445.68	1271.6     
56 	-10624.5    	-8746.52	-3445.68	1236.67    
57 	-9471.19    	-6864.97	-3445.68	702.21     
58 	-6939.06    	-6455.21	-3445.68	157.655    
59 	-8532.09    	-6301.45	-3445.68	366.48     
60 	-8337.73    	-5594.07	-3445.68	821.845    
61 	-5504.48    	-4503.63	-3445.68	224.223    
62 	-7493.09    	-4158.23	-3445.68	561.345    
63 	-6347.84    	-4570.07	-3445.68	325.962    
64 	-6178.86    	-4908.47	-3445.68	240.733    
65 	-5028.76    	-4372.22	-3445.68	363.768    
66 	-5663.11    	-5410.43	-3445.68	396.241    
67 	-5566.08    	-4317.65	-3445.68	341.823    
68 	-7346.72    	-6357.93	-3445.68	870.778    
69 	-6764.42    	-5984.05	-3445.68	516.817    
70 	-6297.01    	-4825.42	-3445.68	478.127    
71 	-22418      	-20046.9	-3445.68	5668.45    
72 	-22279.3    	-6865.29	-3445.68	3970.63    
73 	-6482.9     	-4894.54	-3445.68	291.339    
74 	-5778.05    	-4834.57	-3445.68	165.919    
75 	-4857.61    	-4273.42	-3445.68	160.208    
76 	-6959.45    	-5548.52	-3445.68	568.455    
77 	-37911.1    	-31979.5	-3445.68	10113.2    
78 	-36119.9    	-8938.02	-3445.68	8222.94    
79 	-18442.2    	-6617.01	-3445.68	2943.1     
80 	-19133.3    	-6014.31	-3445.68	1171.15    
81 	-6215.93    	-4737.46	-3445.68	506.585    
82 	-7994.17    	-6018   	-3445.68	1399.79    
83 	-9935.94    	-7624.27	-3445.68	1070.22    
84 	-11105.6    	-6197.68	-3445.68	654.777    
85 	-6206.6     	-5092.44	-3445.68	415.818    
86 	-5115.62    	-4116.99	-3445.68	331.301    
87 	-5603.75    	-4940.09	-3445.68	374.692    
88 	-14517.1    	-13183.6	-3445.68	2887.78    
89 	-18789.6    	-11503.2	-3445.68	1809.17    
90 	-11670.7    	-5656.59	-3445.68	1847.58    
91 	-10263.1    	-8142.51	-3445.68	1185.17    
92 	-9462.09    	-7486.8 	-3445.68	608.905    
93 	-10621.6    	-7629.33	-3445.68	636.391    
94 	-12801      	-10243.2	-3445.68	2838.48    
95 	-12207.8    	-6213.02	-3445.68	1624.52    
96 	-23997.3    	-10085.8	-3445.68	6402.57    
97 	-8711.32    	-7702.93	-3445.68	971.97     
98 	-8333.33    	-6068.03	-3445.68	973.036    
99 	-19230.5    	-11150  	-3445.68	5983.74    
