gen	min         	avg     	max     	std    
0  	-13167.1    	-5499.55	-3816.35	1015.89
1  	-16309.9    	-5369.09	-3710.22	1885.5 
2  	-32914.6    	-5130.74	-3705.86	3340.13
3  	-8509.71    	-4610.28	-3516.97	699.84 
4  	-34462.7    	-8348.41	-3516.97	8700.59
5  	-65298.9    	-8480.89	-3516.97	10958.3
6  	-16934.2    	-5661.43	-3509.92	2577.74
7  	-7824.83    	-4920.21	-3509.92	642.703
8  	-7319.6     	-4783.81	-3358.08	704.942
9  	-8864.51    	-5019.27	-3358.08	1162.13
10 	-18558.8    	-5026.59	-3358.08	1548.31
11 	-1.09543e+06	-14403.5	-3358.08	97086.7
12 	-1.09497e+06	-15638.5	-3358.08	97085.6
13 	-26263.8    	-8498.35	-3358.08	5317.46
14 	-26649.2    	-7075.2 	-3358.08	3167.34
15 	-1.09735e+06	-13813.8	-3358.08	84234.6
16 	-1.096e+06  	-8175.11	-3358.08	48742.1
17 	-22278.1    	-6206.4 	-3358.08	1531.76
18 	-22345.8    	-5877.04	-3358.08	1813.65
19 	-23299.6    	-7385.77	-3358.08	3880.56
20 	-22332.9    	-5077.78	-3358.08	983.731
21 	-23861.9    	-4913.54	-3358.08	1440.91
22 	-27590.6    	-6440.5 	-3358.08	1798.45
23 	-28943.8    	-7200.45	-3358.08	3301.21
24 	-26576.2    	-5708.11	-3358.08	2825.2 
25 	-24813.5    	-6628.03	-3358.08	1796.3 
26 	-27058.2    	-7981.52	-3358.08	3193.65
27 	-25974.5    	-5516.31	-3358.08	1325.33
28 	-36245      	-7578.23	-3358.08	4216.13
29 	-23080.9    	-7038.95	-3358.08	4150.49
30 	-19087.4    	-5797.44	-3358.08	1382.25
31 	-25413.4    	-6223.94	-3358.08	1642.67
32 	-28064.6    	-6211.96	-3358.08	2409.47
33 	-24529.8    	-5234.49	-3358.08	1457.38
34 	-51596.8    	-8563.76	-3358.08	9719.29
35 	-8243.52    	-5132.4 	-3358.08	851.622
36 	-25962.1    	-6343.1 	-3358.08	1386.35
37 	-445830     	-327555 	-3358.08	193264 
38 	-443327     	-20877.3	-3358.08	81587.1
39 	-25716.4    	-6659.86	-3358.08	1390.29
40 	-7114.3     	-5377.99	-3358.08	584.344
41 	-24140.9    	-5529.61	-3358.08	1451.89
42 	-8034.24    	-5994.65	-3358.08	641.52 
43 	-6690.56    	-5106   	-3358.08	525.87 
44 	-13695.2    	-6369.13	-3358.08	1405.92
45 	-22764.8    	-8025.97	-3358.08	6108.24
46 	-24169.4    	-7386.97	-3358.08	2591.75
47 	-14271      	-5965.64	-3358.08	1203.28
48 	-6601.59    	-4633.36	-3358.08	376.789
49 	-22789      	-7292.57	-3358.08	4295.77
50 	-22566.4    	-6133.21	-3358.08	2918.09
51 	-20892      	-4779.4 	-3358.08	1486.37
52 	-13182.2    	-4789.92	-3358.08	484.481
53 	-14289.4    	-5027.73	-3358.08	882.204
54 	-14436.6    	-6118.51	-3358.08	882.886
55 	-14277.1    	-5632.9 	-3358.08	490.031
56 	-14432.2    	-5365.18	-3358.08	589.54 
57 	-8799.23    	-7722.83	-3358.08	1025.09
58 	-9776.61    	-6992.22	-3358.08	1675.53
59 	-304158     	-179250 	-3358.08	146978 
60 	-303274     	-13247  	-3358.08	45458.6
61 	-14546.1    	-6245.32	-3358.08	3747.51
62 	-13605.5    	-5023.73	-3358.08	978.676
63 	-20766.9    	-11872.8	-3358.08	2676.66
64 	-12898.5    	-5426.64	-3358.08	1732.15
65 	-15050.1    	-4668.47	-3358.08	664.494
66 	-14529      	-5857.58	-3358.08	800.369
67 	-13642.8    	-5194.63	-3358.08	706.589
68 	-7986.91    	-5606.8 	-3358.08	745.86 
69 	-7522.83    	-5512.75	-3358.08	631.941
70 	-8167.63    	-5859.03	-3358.08	986.247
71 	-5819.39    	-5364.77	-3358.08	236.191
72 	-9492.69    	-6867.17	-3358.08	663.166
73 	-7661.42    	-5091.4 	-3358.08	689.61 
74 	-7761.82    	-5367.75	-3358.08	369.274
75 	-7743.16    	-6263.6 	-3358.08	802.69 
76 	-8435.85    	-5263.22	-3358.08	1466.17
77 	-8840.74    	-5846.21	-3358.08	981.184
78 	-25811.5    	-13627.3	-3358.08	8606.7 
79 	-12824.9    	-8204.25	-3358.08	2207.94
80 	-10206.8    	-8778.01	-3358.08	1007.3 
81 	-15234.9    	-12786.1	-3358.08	2802.42
82 	-14491      	-10335.8	-3358.08	2897.11
83 	-12073.5    	-4919.45	-3358.08	1540.63
84 	-5777.23    	-4771.4 	-3358.08	496.194
85 	-5411.12    	-4407.02	-3358.08	448.428
86 	-5783.36    	-5140.29	-3358.08	395.483
87 	-7021.19    	-6436.42	-3358.08	814.209
88 	-6884.23    	-5111.51	-3358.08	389.785
89 	-12445.8    	-6827.32	-3358.08	3371.82
90 	-75704.6    	-4187.79	-3358.08	4554.21
91 	-10155.8    	-9176.04	-3358.08	1953.01
92 	-9886.75    	-5586.81	-3358.08	1265.93
93 	-5456.57    	-4532.89	-3358.08	215.509
94 	-4505.48    	-3972.18	-3358.08	182.026
95 	-4602.25    	-4297.21	-3358.08	161.469
96 	-5049.4     	-4943.27	-3358.08	271.198
97 	-14714.9    	-12226.1	-3358.08	4159.39
98 	-14551.2    	-4832.63	-3358.08	1866.14
99 	-6676.54    	-6301.98	-3358.08	654.809
