gen	min     	avg     	max     	std    
0  	-11763.2	-5592.06	-3716.74	1101.23
1  	-27057.4	-5397.67	-3716.74	3136.23
2  	-12818.2	-5156.91	-3652.48	1774.26
3  	-12444.6	-5189.79	-3468.93	1369.09
4  	-19392.3	-5964.37	-3468.93	3736.12
5  	-15378  	-5184.55	-3468.93	1403   
6  	-17030.9	-5417.51	-3468.93	2232.93
7  	-17737  	-6968.7 	-3367.27	3780.41
8  	-7913.28	-4729.77	-3367.27	780.592
9  	-108686 	-6376.96	-3142.83	10084.5
10 	-20035.1	-6409.87	-3142.83	2324.64
11 	-31985.7	-6923.83	-3142.83	6036.78
12 	-10304.9	-5747.21	-3142.83	1547.55
13 	-9356.6 	-4992.59	-3142.83	1044.27
14 	-11901  	-6658.18	-3142.83	1785.96
15 	-9589.87	-6135.66	-3142.83	1141.28
16 	-18939.8	-7956.64	-3142.83	3981.27
17 	-16494.9	-6112.07	-3142.83	2388.22
18 	-11747.3	-5763.42	-3142.83	1617.33
19 	-11458.4	-6296.66	-3142.83	1536.92
20 	-12295.2	-5497.45	-3142.83	1138.58
21 	-25849.8	-8883.91	-3142.83	5513.35
22 	-26526.5	-7726.94	-3142.83	4708.03
23 	-16040.1	-6168.81	-3142.83	1396.34
24 	-29827.1	-6247.96	-3142.83	2328.24
25 	-11187.4	-6647.04	-3142.83	1380.68
26 	-191695 	-8578.22	-3142.83	24740.4
27 	-189647 	-8056.15	-3142.83	14225.2
28 	-11691.8	-5644.31	-3142.83	1104.93
29 	-11004.4	-5116.97	-3142.83	969.65 
30 	-190778 	-8788.83	-3142.83	21693  
31 	-190464 	-7958.04	-3142.83	21736.9
32 	-6374.06	-4860.58	-3142.83	542.2  
33 	-10608.5	-5644.76	-3142.83	1178.79
34 	-14661  	-6047.15	-3142.83	1920.8 
35 	-15783.3	-6838.17	-3142.83	1831.5 
36 	-10560.7	-4993.26	-3142.83	1048.5 
37 	-13039.6	-6004.45	-3142.83	1701.28
38 	-11123.2	-6717.09	-3142.83	1359.04
39 	-10055.8	-5118.68	-3142.83	1001.54
40 	-9863.36	-4762.16	-3142.83	717.938
41 	-6732.97	-4828.67	-3142.83	513.626
42 	-7100.86	-5604.82	-3142.83	780.949
43 	-42965.8	-8539.97	-3142.83	11368.3
44 	-42381.1	-4975.03	-3142.83	2435.27
45 	-7382.73	-5897.75	-3142.83	942.538
46 	-9549.65	-4422.38	-3142.83	705.116
47 	-5736.67	-4134.91	-3142.83	268.279
48 	-9849.71	-4479.42	-3142.83	513.704
49 	-10163  	-4488.51	-3142.83	537.993
50 	-6599.99	-5429.92	-3142.83	504.371
51 	-7318.5 	-5928.54	-3142.83	418.827
52 	-8417.81	-7118   	-3142.83	714.996
53 	-7352.33	-5590.37	-3142.83	486.588
54 	-15268.8	-5699.41	-3142.83	1379.32
55 	-5666.3 	-4939.47	-3142.83	231.396
56 	-7483.02	-4627.29	-3142.83	520.898
57 	-7187.53	-5651.66	-3142.83	791.688
58 	-8810.7 	-6680.05	-3142.83	967.467
59 	-7593.42	-4986.57	-3142.83	635.079
60 	-5638.91	-4310.54	-3142.83	481.018
61 	-8790.5 	-8005.26	-3142.83	1128.09
62 	-371273 	-330159 	-3142.83	114763 
63 	-370997 	-33382.9	-3142.83	80658.6
64 	-14731.4	-5402.18	-3142.83	2502.52
65 	-7068.88	-5038.25	-3142.83	447.5  
66 	-9826.16	-8251.27	-3142.83	1250.56
67 	-11641.2	-8563.74	-3142.83	823.37 
68 	-9836.06	-6544.25	-3142.83	1000.17
69 	-7577.82	-4809.6 	-3142.83	517.072
70 	-5430.96	-4666.17	-3142.83	219.221
71 	-9193.75	-4852.24	-3142.83	549.676
72 	-8870.16	-4545.08	-3142.83	570.083
73 	-9661.12	-5657.15	-3142.83	797.543
74 	-14221.6	-13025  	-3142.83	2529.48
75 	-13973.4	-5631.33	-3142.83	2303.23
76 	-6885.55	-6546.9 	-3142.83	650.295
77 	-9910.25	-9222.81	-3142.83	1066.51
78 	-9712.96	-5509.54	-3142.83	1125.51
79 	-14662.4	-13081  	-3142.83	2296.38
80 	-14163.1	-5873.83	-3142.83	2391.55
81 	-12497.1	-9662.6 	-3142.83	1657.71
82 	-10215.8	-5868.16	-3142.83	1044.53
83 	-8011.47	-5164.44	-3142.83	310.532
84 	-8213.64	-7317.07	-3142.83	697.257
85 	-7500.75	-4720.5 	-3142.83	770.686
86 	-6322.23	-4944   	-3142.83	321.279
87 	-6924.08	-5733.18	-3142.83	739.953
88 	-6257.8 	-4646.33	-3142.83	315.322
89 	-6444.62	-4847.48	-3142.83	201.216
90 	-8227.79	-6111.84	-3142.83	630.553
91 	-6879.32	-4831.96	-3142.83	448.209
92 	-6779.27	-5732.17	-3142.83	375.49 
93 	-9933.93	-8524   	-3142.83	1079.32
94 	-8762.08	-4394.75	-3142.83	1235.96
95 	-19529.6	-13223.7	-3142.83	7492.24
96 	-19491.4	-6900.69	-3142.83	1890.65
97 	-10500  	-8581.19	-3142.83	2120.93
98 	-10449.4	-4678.19	-3142.83	835.454
99 	-12318.8	-10556.7	-3142.83	2532.17
