gen	min         	avg         	max     	std        
0  	-74910.8    	-5665.33    	-3740.92	4438.07    
1  	-29922      	-5210.11    	-3740.92	2550.73    
2  	-23030.4    	-4915.55    	-3712.01	1503.81    
3  	-24868.5    	-5668.77    	-3712.01	3072.09    
4  	-14687.2    	-5450.93    	-3608.06	2075.68    
5  	-61801.1    	-6075.79    	-3510.6 	7580.22    
6  	-16864.6    	-5248.58    	-3510.6 	1591.23    
7  	-17766      	-6295.74    	-3508.86	3026.05    
8  	-17028      	-5721.57    	-3347.84	1944.06    
9  	-13153.5    	-5807.47    	-3347.84	1523       
10 	-13875.2    	-4975       	-3332.67	1236.15    
11 	-18133.6    	-6242.95    	-3332.67	2947.31    
12 	-12914.9    	-5426.07    	-3332.67	1498.7     
13 	-12964.1    	-6501.2     	-3332.67	2254.99    
14 	-14413.7    	-7218.68    	-3332.67	3191.34    
15 	-10803.6    	-5982.02    	-3332.67	1240.46    
16 	-16847.3    	-5593.99    	-3332.67	2600.33    
17 	-24228.1    	-7039.4     	-3332.67	4474.49    
18 	-15730      	-5375.32    	-3332.67	1036.69    
19 	-10664.9    	-5408.95    	-3332.67	1664.14    
20 	-9285.92    	-5803.41    	-3332.67	1443.71    
21 	-30462.3    	-8853.17    	-3332.67	7820.28    
22 	-28025.7    	-6522.9     	-3332.67	3279.53    
23 	-27568.4    	-5903.49    	-3332.67	2674.57    
24 	-8253.33    	-5926.44    	-3332.67	770.491    
25 	-17168.6    	-11111.3    	-3332.67	4720.89    
26 	-36872.4    	-16300.5    	-3332.67	11212.4    
27 	-12607.2    	-6236.32    	-3332.67	1721.81    
28 	-11075.8    	-6401.78    	-3332.67	1464.23    
29 	-12811.1    	-6863.56    	-3332.67	2562.69    
30 	-10171.1    	-5180.72    	-3332.67	778.549    
31 	-7539.82    	-5045.43    	-3310.69	805.969    
32 	-8966.17    	-5728.06    	-3310.69	1028.85    
33 	-10484.7    	-6641.32    	-3310.69	2353.2     
34 	-238669     	-136387     	-3310.69	107770     
35 	-6.71855e+07	-2.16415e+07	-3310.69	3.13848e+07
