gen	min     	avg     	max     	std    
0  	-2207.37	-1896.54	-1691.87	94.6666
1  	-3339.99	-1878.48	-1691.07	232.874
2  	-2035.5 	-1794.06	-1690.41	78.5101
3  	-2049.2 	-1776.49	-1681.66	71.6743
4  	-6726.89	-1786.24	-1680.8 	319.492
5  	-2032.75	-1773.39	-1679.53	95.3948
6  	-2054.36	-1782.23	-1676.53	101.873
7  	-2045   	-1847.59	-1676.53	82.7045
8  	-2098.28	-1827.37	-1676.53	89.4078
9  	-2154.03	-1836.38	-1676.53	120.349
10 	-2150.21	-1819.76	-1676.53	87.7168
11 	-2148.8 	-1918.47	-1676.53	147.601
12 	-2142.8 	-1818.04	-1676.53	121.881
13 	-2216.84	-1786.38	-1674.69	102.182
14 	-2130.8 	-1790.99	-1674.69	134.154
15 	-2500.36	-1856.21	-1674.69	167.54 
16 	-1984.19	-1773.55	-1674.69	67.7311
17 	-1996.18	-1912.64	-1674.69	73.2346
18 	-1967.01	-1896.35	-1674.69	52.7265
19 	-1923.23	-1783.35	-1674.69	81.4551
20 	-3393.53	-2136.93	-1674.69	429.741
21 	-2304.14	-1868.71	-1674.69	73.2028
22 	-1910.36	-1869.7 	-1674.69	54.8101
23 	-1942.13	-1894.96	-1674.69	31.158 
24 	-1990.45	-1771.16	-1674.69	70.0495
25 	-2086.26	-1837.57	-1674.69	116.596
26 	-2034.19	-1791.43	-1674.69	91.7331
27 	-1969.36	-1788.96	-1674.69	98.3851
28 	-1960.79	-1742.78	-1674.69	60.1505
29 	-1918.86	-1768.63	-1674.69	70.1935
30 	-2196.14	-1959.44	-1674.69	201.154
31 	-2178.14	-1900.53	-1674.69	145.175
32 	-2182.14	-1832.96	-1674.69	114.808
33 	-1902.33	-1825.27	-1674.69	80.6148
34 	-1932.7 	-1800.82	-1674.69	84.4461
35 	-2379.33	-1892.49	-1674.69	166.53 
36 	-1981.82	-1795.61	-1674.14	98.6776
37 	-1935.42	-1733.86	-1674.14	41.6476
38 	-1938.89	-1825.2 	-1674.14	101.741
39 	-2009.44	-1832.65	-1674.14	111.797
40 	-1980.09	-1839.97	-1674.14	108.827
41 	-1961.69	-1768.75	-1674.14	104.265
42 	-2000.63	-1927.19	-1674.14	75.7154
43 	-1961.36	-1895.4 	-1674.14	32.0917
44 	-1896.89	-1717.32	-1674.14	49.8254
45 	-2064.14	-1949.19	-1674.14	97.6691
46 	-2022.14	-1861.77	-1674.14	94.007 
47 	-1922.82	-1785.79	-1674.14	99.3585
48 	-1932.36	-1753.32	-1674.14	41.2149
49 	-1894.96	-1686.95	-1674.14	30.5336
50 	-1922.32	-1883.7 	-1674.14	65.6245
51 	-1917.17	-1771.1 	-1674.14	57.78  
52 	-1858.04	-1714.12	-1674.14	10.2009
53 	-1722.65	-1716.72	-1674.14	3.05223
54 	-1915.36	-1835.77	-1674.14	82.5584
55 	-1897.76	-1738.78	-1674.14	52.5537
56 	-2113.65	-1947.06	-1674.14	120.325
57 	-2093.65	-1995.48	-1674.14	64.2768
58 	-2026.79	-1898.92	-1674.14	34.9234
59 	-1924.51	-1750.02	-1674.14	98.6844
60 	-1929.22	-1729.08	-1674.14	45.1141
61 	-1979.66	-1923.61	-1674.14	82.0287
62 	-1952.66	-1747.81	-1674.14	73.6149
63 	-1890.19	-1728.43	-1674.14	44.1937
64 	-1934.89	-1845.81	-1674.14	86.899 
65 	-1940.06	-1899.54	-1674.14	47.6814
66 	-1907.29	-1831.19	-1674.14	28.4675
67 	-4608.46	-4117.89	-1674.14	1009.28
68 	-4564.93	-2890.38	-1674.14	634.667
69 	-3075.31	-1944.83	-1674.14	171.569
70 	-2108.44	-2078.37	-1674.14	66.3489
71 	-2101.44	-1910.92	-1674.14	51.974 
72 	-1901.28	-1859.23	-1674.14	42.016 
73 	-1908.34	-1894.76	-1674.14	26.8561
74 	-1911.19	-1722.23	-1674.14	60.2693
75 	-2273.53	-1998.24	-1674.14	175.504
76 	-2223.36	-1918.86	-1674.14	98.9634
77 	-1894.51	-1715.81	-1674.14	47.1496
78 	-1916.28	-1718.72	-1674.14	36.9359
79 	-1908.36	-1880.1 	-1674.14	66.1738
80 	-1904.66	-1817.45	-1674.14	31.6473
81 	-1918.87	-1886.9 	-1674.14	25.7132
82 	-1895.06	-1704.79	-1674.14	61.9372
83 	-1703.96	-1700.89	-1674.14	5.50096
84 	-1729.95	-1722.85	-1674.14	9.74328
85 	-1963.14	-1932   	-1674.14	77.8604
86 	-1962.14	-1869.59	-1674.14	67.9335
87 	-1888.66	-1720.8 	-1674.14	43.8314
88 	-1934.52	-1887.73	-1674.14	57.4629
89 	-1909.35	-1760.44	-1673.14	95.3346
90 	-1894.47	-1775.25	-1673.14	43.027 
91 	-1901.06	-1872.77	-1673.14	60.6437
92 	-2056.85	-1925.28	-1673.14	48.3469
93 	-1931.28	-1752.13	-1673.14	40.8498
94 	-2152.84	-1835.88	-1673.14	113.369
95 	-2159.53	-1898.46	-1673.14	63.8649
96 	-2158.1 	-1880.45	-1673.14	53.4369
97 	-1912.11	-1892.47	-1673.14	22.7256
98 	-2011.19	-1771.09	-1673.14	77.4677
99 	-1898.71	-1885.95	-1673.14	42.8473
