gen	min     	avg     	max     	std     
0  	-3371.52	-1669.64	-1622.28	82.1366 
1  	-2151.04	-1654.18	-1619.76	52.4733 
2  	-1858.02	-1645.29	-1619.76	33.4075 
3  	-1671.53	-1630.56	-1618.28	7.62643 
4  	-1741.04	-1635.87	-1614.96	17.0251 
5  	-1734.25	-1633.4 	-1614.96	21.4754 
6  	-1745.55	-1673.85	-1614.96	52.0974 
7  	-1727.36	-1625.87	-1612.96	13.7276 
8  	-1635.36	-1617.75	-1612.96	3.92557 
9  	-1747.66	-1687.39	-1612.96	38.2353 
10 	-1760.76	-1653.97	-1612.96	27.4113 
11 	-1703.1 	-1622.55	-1612.96	10.478  
12 	-1833.17	-1666.22	-1612.96	60.7732 
13 	-1769.36	-1681.71	-1612.96	37.2691 
14 	-1745.66	-1642.13	-1612.96	25.9247 
15 	-1710.98	-1622.85	-1612.96	12.8693 
16 	-2684.8 	-1645.4 	-1612.96	156.07  
17 	-1664.8 	-1649.19	-1612.96	15.7738 
18 	-1662.96	-1624.51	-1612.96	11.0394 
19 	-1850.96	-1635.45	-1612.96	30.0412 
20 	-1642.5 	-1630.01	-1612.96	5.36939 
21 	-1634.5 	-1624.77	-1612.96	3.18404 
22 	-1640.9 	-1622.49	-1612.96	2.88049 
23 	-2442.2 	-2230.95	-1612.96	233.029 
24 	-2313.2 	-1661.43	-1612.96	156.006 
25 	-1767.55	-1656.67	-1612.96	21.3543 
26 	-1725.9 	-1620.22	-1612.96	10.5196 
27 	-1743.64	-1631.06	-1612.96	8.23292 
28 	-1727.64	-1673.17	-1612.96	31.9297 
29 	-1695.76	-1617.76	-1612.96	11.3776 
30 	-1626.62	-1618.15	-1612.96	2.19577 
31 	-1640.2 	-1636.06	-1612.96	6.23756 
32 	-1648.49	-1639.74	-1612.96	5.73891 
33 	-1644.68	-1635.3 	-1612.96	5.67102 
34 	-1642.36	-1632.47	-1612.96	3.85497 
35 	-1772.96	-1743.69	-1612.96	45.2966 
36 	-1769.96	-1637.74	-1612.96	34.7519 
37 	-1629.49	-1622.68	-1612.96	2.84114 
38 	-1890.96	-1862.88	-1612.96	67.4324 
39 	-1881.76	-1686.17	-1612.96	63.2886 
40 	-1668.76	-1636.39	-1612.96	9.10973 
41 	-1705.96	-1696.07	-1612.96	24.6083 
42 	-1705.96	-1625.9 	-1612.96	20.4803 
43 	-1635.82	-1631.78	-1612.96	3.90353 
44 	-1633.12	-1629.41	-1612.96	1.58985 
45 	-1629.49	-1619.29	-1612.96	2.77929 
46 	-1623.2 	-1621.59	-1612.96	1.2233  
47 	-1695.82	-1679.53	-1612.96	29.8131 
48 	-1695.82	-1628.63	-1612.96	13.828  
49 	-1627.96	-1621.09	-1612.96	1.45436 
50 	-1620.96	-1620.9 	-1612.96	0.395826
51 	-1624.5 	-1621.93	-1612.96	1.56145 
52 	-1635.12	-1623.7 	-1612.96	3.43873 
53 	-1659.45	-1641.33	-1612.96	8.21172 
54 	-1648.53	-1644.45	-1612.96	3.48321 
55 	-1646.27	-1638.72	-1612.96	3.86669 
56 	-1643.01	-1626.27	-1612.96	3.58728 
57 	-1625.76	-1619.23	-1612.96	2.37508 
58 	-1637.96	-1629.32	-1612.96	7.12852 
59 	-1755.46	-1726.2 	-1612.96	41.7213 
60 	-1744.76	-1626.49	-1612.96	26.6802 
61 	-1675.96	-1623.55	-1612.96	3.23557 
62 	-1695.96	-1638.46	-1612.96	7.31405 
63 	-1680.96	-1624.1 	-1612.96	6.68195 
64 	-1628.66	-1625.53	-1612.96	2.92951 
65 	-1627.66	-1619.18	-1612.96	1.7647  
66 	-1681.96	-1622.43	-1612.96	7.21083 
67 	-2354.28	-2252.34	-1612.96	184     
68 	-2304.8 	-1685.49	-1612.96	167.109 
69 	-1683.66	-1628.78	-1612.96	4.29591 
70 	-1673.96	-1670.1 	-1612.96	12.8531 
71 	-1673.96	-1622.82	-1612.96	13.6337 
72 	-1933.63	-1899.43	-1612.96	96.6141 
73 	-1932.63	-1639.89	-1612.96	71.3452 
74 	-1621.96	-1617.51	-1612.96	1.56438 
75 	-1637.19	-1623.7 	-1612.96	2.6094  
76 	-1758.86	-1750.36	-1612.96	32.9039 
77 	-2306.4 	-2152.44	-1612.96	272.39  
78 	-2306.4 	-1645.81	-1612.96	117.154 
79 	-1656.66	-1643.21	-1612.96	11.081  
80 	-1638.66	-1617.59	-1612.96	4.6171  
81 	-1760.8 	-1746.31	-1612.96	43.3001 
82 	-1760.8 	-1655.38	-1612.96	25.2512 
83 	-1650.55	-1618.45	-1612.96	9.47007 
84 	-1617.49	-1616.73	-1612.96	1.23774 
85 	-1621.46	-1620.26	-1612.96	1.96116 
86 	-1620.76	-1619.1 	-1612.96	0.640252
87 	-1622.9 	-1621.88	-1612.96	1.24439 
88 	-34468.3	-31505.6	-1612.96	9398.28 
89 	-34468.3	-3137.38	-1612.96	6878.02 
90 	-1633.1 	-1617.32	-1612.96	1.95129 
91 	-1675.74	-1655.66	-1612.96	20.1802 
92 	-1675.74	-1645.47	-1612.96	4.28374 
93 	-1645.66	-1623.67	-1612.96	6.30933 
94 	-1650.96	-1637.72	-1612.96	11.7626 
95 	-1650.96	-1623.29	-1612.96	2.64683 
96 	-1633.96	-1625.63	-1612.96	1.45436 
97 	-1667.96	-1660.53	-1612.96	11.7964 
98 	-1709.29	-1691.9 	-1612.96	22.9717 
99 	-1705.29	-1623.19	-1612.96	16.366  
