gen	min     	avg     	max     	std    
0  	-3489.95	-2508.27	-2254.72	172.54 
1  	-2851.59	-2401.07	-2221.25	99.3006
2  	-2924.49	-2363.93	-2200.83	115.123
3  	-3239.68	-2335.76	-2196.07	87.0008
4  	-2933.23	-2305.47	-2161.15	81.62  
5  	-3140.38	-2284.32	-2161.15	113.311
6  	-2627.7 	-2321.43	-2161.15	102.674
7  	-2510.97	-2269.1 	-2161.15	58.1654
8  	-2475.44	-2250.37	-2161.15	44.1662
9  	-2378.62	-2209.48	-2131.8 	52.7577
10 	-2375.18	-2236.92	-2131.8 	60.4999
11 	-2532.26	-2230.36	-2131.8 	54.4011
12 	-2626.59	-2231.33	-2131.8 	63.3108
13 	-2864.2 	-2286.57	-2131.8 	96.463 
14 	-3212.25	-2875.97	-2131.8 	403.161
15 	-3125.65	-2291.66	-2131.8 	190.719
16 	-2607.89	-2244.52	-2131.8 	52.0247
17 	-5810.3 	-5275.38	-2131.8 	1145.44
18 	-5694.24	-2602.6 	-2131.8 	823.026
19 	-2641.73	-2517.3 	-2131.8 	128.455
20 	-2605.48	-2271.37	-2131.8 	61.1455
21 	-2356.63	-2263.64	-2131.8 	43.8907
22 	-2646.55	-2259.54	-2131.8 	121.654
23 	-2403.35	-2263.65	-2131.8 	56.624 
24 	-2373.2 	-2262.69	-2131.8 	52.5659
25 	-2420.85	-2320.51	-2131.8 	69.8816
26 	-2513.59	-2351.84	-2131.8 	92.2007
27 	-2418.23	-2210.76	-2131.8 	38.0145
28 	-2291.35	-2222.43	-2131.8 	27.3131
29 	-2696.62	-2528.12	-2131.8 	145.158
30 	-2776.89	-2411.2 	-2131.8 	80.8264
31 	-3194.07	-2352.09	-2131.8 	230.633
32 	-3206.71	-2245.8 	-2131.8 	144.357
33 	-2367.51	-2261.45	-2131.8 	60.7398
34 	-2599.22	-2317.59	-2131.8 	110.591
35 	-2650.36	-2479.18	-2131.8 	91.338 
36 	-2489.76	-2268.88	-2131.8 	58.4433
37 	-2509.74	-2314.15	-2131.8 	41.5978
38 	-2380.75	-2225.35	-2131.8 	31.3065
39 	-2441.89	-2345.2 	-2131.8 	79.6825
40 	-2436.03	-2399.1 	-2131.8 	56.7039
41 	-2431.33	-2216.46	-2131.8 	51.9371
42 	-2804.04	-2601.34	-2131.8 	147.312
43 	-2638.4 	-2300.41	-2131.8 	90.5096
44 	-2422.98	-2239.17	-2131.8 	30.4436
45 	-2549.9 	-2398.64	-2131.8 	55.9733
46 	-2703.78	-2315.59	-2131.8 	46.1077
47 	-3414.13	-3257.51	-2131.8 	273.285
48 	-9253.29	-8724.63	-2131.8 	1700.3 
49 	-9232.09	-2780.83	-2131.8 	1597.17
50 	-2411.85	-2305.95	-2131.8 	56.2364
51 	-5397.87	-3016.37	-2131.8 	1288.54
52 	-2839.94	-2741.81	-2131.8 	144.661
53 	-2798.01	-2243.28	-2131.8 	144.343
54 	-2765.42	-2585.36	-2131.8 	131.82 
55 	-3405.32	-2851.03	-2131.8 	244.102
56 	-2974.49	-2419.9 	-2131.8 	109.87 
57 	-2780.41	-2496.69	-2131.8 	113.647
58 	-2460.96	-2335.55	-2131.8 	72.891 
59 	-2394.79	-2324.47	-2131.8 	60.7011
60 	-2355.26	-2253.18	-2131.8 	25.4887
61 	-3838.87	-2891.85	-2131.8 	512.213
62 	-2690.35	-2240.1 	-2131.8 	102.208
63 	-2511.27	-2396.68	-2131.8 	81.9645
64 	-2442.66	-2264.3 	-2131.8 	36.7994
65 	-2374.66	-2337.06	-2131.8 	36.4421
66 	-2361.34	-2250.72	-2131.8 	34.6096
67 	-4426.71	-4192.64	-2131.8 	641.023
68 	-4400.26	-2280.09	-2131.8 	421.337
69 	-2279.05	-2239.09	-2131.8 	28.6319
70 	-2349.02	-2292.17	-2131.8 	26.9933
71 	-2317.8 	-2259.95	-2131.8 	39.3848
72 	-2313.8 	-2256.36	-2131.8 	14.4228
73 	-2367.25	-2344.96	-2131.8 	31.2105
74 	-2351.55	-2202.67	-2131.8 	33.7061
75 	-2453.3 	-2409.74	-2131.8 	82.4109
76 	-2438.21	-2380.39	-2131.8 	38.4332
77 	-2693.48	-2649.69	-2131.8 	79.8644
78 	-2676.02	-2245.11	-2131.8 	123.727
79 	-2236.98	-2188.73	-2131.8 	10.0172
80 	-2293.4 	-2262.9 	-2131.8 	28.638 
81 	-2314.83	-2272.7 	-2131.8 	20.7508
82 	-3065.6 	-2954.66	-2131.8 	202.189
83 	-3013.14	-2609.14	-2131.8 	136.142
84 	-2579.55	-2237.88	-2131.8 	103.732
85 	-2205.7 	-2169.11	-2131.8 	13.0099
86 	-2289.22	-2276.42	-2131.8 	37.9838
87 	-2301.75	-2230.35	-2131.8 	19.7724
88 	-2404.97	-2384.73	-2131.8 	56.5965
89 	-2404.97	-2218.93	-2131.8 	51.0994
90 	-2425.21	-2336.12	-2131.8 	37.7951
91 	-2699.29	-2649.78	-2131.8 	111.102
92 	-2685.43	-2275.14	-2131.8 	115.465
93 	-2368.6 	-2317.9 	-2131.8 	25.9087
94 	-2323.81	-2264.21	-2131.8 	15.5527
95 	-2367.87	-2346.21	-2131.8 	41.939 
96 	-3173.23	-3048.13	-2131.8 	259.374
97 	-3173.23	-2322.23	-2131.8 	197.142
98 	-2533.28	-2474.58	-2131.8 	64.8583
99 	-2490.78	-2198.87	-2131.8 	79.5027
