gen	min         	avg     	max     	std       
0  	-4091.02    	-2593.63	-2314.63	177.096   
1  	-6790.37    	-2560.49	-2314.63	508.367   
2  	-10177.1    	-2735.42	-2302.93	1416.98   
3  	-10068.7    	-2808.55	-2287.76	1133.49   
4  	-210511     	-14778.8	-2287.76	48067.2   
5  	-204502     	-2969.56	-2287.76	9028.29   
6  	-4970.08    	-2568.04	-2287.76	271.889   
7  	-4822.52    	-2503.59	-2269.79	245.819   
8  	-3251.22    	-2456.8 	-2269.79	148.931   
9  	-2811.66    	-2432.67	-2254.23	132.305   
10 	-4712.6     	-2559.24	-2254.23	499.268   
11 	-4599.52    	-2394.27	-2234.56	287.902   
12 	-2484.95    	-2314.33	-2234.56	44.9586   
13 	-2518.39    	-2389.3 	-2234.56	64.0183   
14 	-5853.95    	-2370.65	-2233.39	315.11    
15 	-2596.41    	-2338.06	-2233.39	52.9187   
16 	-5.51613e+06	-851250 	-2233.39	1.9889e+06
17 	-5.51266e+06	-134596 	-2233.39	843344    
18 	-2531.97    	-2368.74	-2233.39	63.3187   
19 	-3643.93    	-2330.4 	-2233.39	203.738   
20 	-3385.49    	-2438.23	-2233.39	202.232   
21 	-4622.87    	-3528.58	-2233.39	984.444   
22 	-4365.19    	-2511.6 	-2233.39	351.958   
23 	-3501.78    	-2367.61	-2233.39	109.313   
24 	-4483.79    	-3213.88	-2233.39	608.131   
25 	-3740.88    	-2473.2 	-2233.39	147.523   
26 	-3858.7     	-2612.33	-2233.39	108.204   
27 	-2634.32    	-2318.65	-2233.39	61.1543   
28 	-2595.19    	-2403.53	-2233.39	63.2447   
29 	-3235.67    	-2566.49	-2233.39	248.307   
30 	-3182.44    	-2432.57	-2233.39	143.862   
31 	-2811.45    	-2544.51	-2233.39	78.737    
32 	-3484.21    	-2476.58	-2233.39	193.187   
33 	-2724.56    	-2455.32	-2233.39	69.76     
34 	-3428.88    	-2424.85	-2233.39	72.9683   
35 	-3447.64    	-2575.56	-2233.39	305.94    
36 	-3425.69    	-2465.12	-2233.39	108.941   
37 	-4265.97    	-2484.6 	-2233.39	325.326   
38 	-3265.54    	-2375.6 	-2233.39	102.55    
39 	-4338.42    	-2550.84	-2233.39	137.503   
40 	-3818.15    	-2395.85	-2233.39	246.166   
41 	-3875.18    	-2327.82	-2233.39	79.4772   
42 	-3939.94    	-2375.87	-2233.39	163.969   
43 	-3886.76    	-2409.87	-2233.39	176.044   
44 	-3906.16    	-2502.9 	-2233.39	179.796   
45 	-3478.65    	-2303.65	-2233.39	119.415   
46 	-4001.94    	-2336.44	-2233.39	108.782   
47 	-3929.63    	-2353.29	-2233.39	187.54    
48 	-4054.28    	-2742.32	-2233.39	199.393   
49 	-54038.8    	-2878.74	-2233.39	5120.73   
50 	-54073.8    	-2656.46	-2233.39	3936.66   
51 	-2965.66    	-2380.03	-2233.39	46.5231   
52 	-3390.33    	-2350.49	-2233.39	47.7723   
53 	-2393.67    	-2352.82	-2233.39	21.4946   
54 	-54589.5    	-2780.31	-2233.39	3309.96   
55 	-3854.8     	-2363.36	-2233.39	191.676   
56 	-53680      	-2835.23	-2233.39	4551.27   
57 	-53431.3    	-2702.14	-2233.39	3218.19   
58 	-53786.9    	-2739.21	-2233.39	4564.99   
59 	-53837.3    	-2784.46	-2233.39	4585.01   
60 	-3295.84    	-2334.45	-2233.39	61.2479   
61 	-53497.5    	-2789   	-2233.39	3927.37   
62 	-53150.1    	-3220.62	-2233.39	6356.26   
63 	-3818.91    	-2502.39	-2233.39	259.727   
64 	-2689.9     	-2538.2 	-2233.39	75.1716   
65 	-2777.44    	-2362.51	-2233.39	80.1958   
66 	-2617.73    	-2342.16	-2233.39	26.159    
67 	-53333.7    	-3050.11	-2233.39	4515.24   
68 	-53129.5    	-2410.87	-2233.39	2272      
69 	-2403.97    	-2378.7 	-2233.39	32.0573   
70 	-53277      	-2734.33	-2233.39	4522.86   
71 	-53212.3    	-2407.05	-2233.39	2274.48   
72 	-2651.55    	-2511.6 	-2233.39	141.796   
73 	-53159      	-3269.74	-2233.39	6750.47   
74 	-2629.19    	-2316.15	-2233.39	29.4852   
75 	-52937.5    	-2476.91	-2233.39	2259.26   
76 	-2707.08    	-2523.36	-2233.39	59.9514   
77 	-53129.1    	-2454.82	-2233.39	2269.03   
78 	-53139.9    	-2788.5 	-2233.39	5049.51   
79 	-2898.96    	-2497.89	-2233.39	132.695   
80 	-52866.1    	-2439.87	-2233.39	2257.72   
81 	-53006.7    	-2513.89	-2233.39	2260.68   
82 	-53098.3    	-3976.79	-2233.39	8918.81   
83 	-53212.7    	-2735   	-2233.39	4533.14   
84 	-2503.18    	-2324.23	-2233.39	19.6264   
85 	-53060.1    	-4318.63	-2233.39	9928.8    
86 	-54617.2    	-4066.32	-2233.39	3193.29   
87 	-53038.9    	-2524.55	-2233.39	2308.51   
88 	-52998.7    	-3138.84	-2233.39	6354.39   
89 	-2735.22    	-2676.38	-2233.39	126.704   
90 	-2757.2     	-2670.78	-2233.39	88.6607   
91 	-2699.5     	-2399.63	-2233.39	83.7136   
92 	-2398.23    	-2301.77	-2233.39	28.1412   
93 	-2861.27    	-2794.91	-2233.39	149.263   
94 	-4607.45    	-4293.78	-2233.39	625.686   
95 	-4516.06    	-2468.46	-2233.39	422.495   
96 	-2525.71    	-2458.35	-2233.39	32.1583   
97 	-3268.26    	-3055.57	-2233.39	292.589   
98 	-3200.4     	-2351.25	-2233.39	216.258   
99 	-2757.17    	-2303.08	-2233.39	52.1692   
