gen	min         	avg     	max     	std    
0  	-4179.79    	-2680.34	-2358.88	250.998
1  	-2967.88    	-2545.88	-2356.81	118.053
2  	-4411.97    	-2568.14	-2352.62	364.486
3  	-4066.4     	-2503.05	-2289.97	194.202
4  	-2955.08    	-2442.66	-2289.97	80.1376
5  	-3899.84    	-2574.65	-2289.97	292.809
6  	-3504.11    	-2485.81	-2286.26	195.697
7  	-2875.78    	-2441.69	-2286.26	103.383
8  	-2996.05    	-2448.45	-2286.26	101.695
9  	-3637.43    	-2657.69	-2286.26	325.043
10 	-3435.56    	-2731.39	-2281.97	265.034
11 	-3042.35    	-2584.37	-2281.97	162.744
12 	-2796.28    	-2444.72	-2281.97	77.6467
13 	-3113.06    	-2632.66	-2281.97	180.092
14 	-3209.43    	-2584.37	-2281.97	201.117
15 	-3140.29    	-2460.73	-2281.97	173.364
16 	-3041.17    	-2541.72	-2281.97	168.593
17 	-4099.49    	-2661.5 	-2281.97	385.46 
18 	-39800.9    	-14826.1	-2281.97	17363.1
19 	-39451.5    	-2671.11	-2281.97	2304.97
20 	-4382.52    	-2521.41	-2281.97	345.242
21 	-2816.49    	-2520.3 	-2281.97	108.963
22 	-3404.86    	-2554.49	-2281.97	174.352
23 	-3035.75    	-2438.86	-2281.97	116.765
24 	-3028.7     	-2684.81	-2281.97	176.976
25 	-2760.02    	-2526.3 	-2281.97	122.601
26 	-1.04973e+06	-939857 	-2281.97	319353 
27 	-1.04857e+06	-77918.3	-2281.97	270281 
28 	-3576.23    	-2566.56	-2281.97	271.067
29 	-3451.16    	-2680.77	-2281.97	217.453
30 	-2875.83    	-2362.86	-2262.23	88.6606
31 	-2570.73    	-2360.82	-2262.23	52.1043
32 	-3802.81    	-2478.54	-2262.23	198.358
33 	-2790.47    	-2478.12	-2262.23	132.799
34 	-3065.13    	-2484.81	-2262.23	176.504
35 	-3143.83    	-2854.3 	-2262.23	164.085
36 	-3137.61    	-2899.42	-2262.23	102.735
37 	-3539.24    	-2880.57	-2262.23	248.362
38 	-2929.15    	-2669.63	-2262.23	104.599
39 	-2789.32    	-2570.48	-2262.23	125.766
40 	-2890.91    	-2731.05	-2262.23	88.6026
41 	-3156.11    	-2707   	-2262.23	334.29 
42 	-3289.91    	-2699.68	-2262.23	171.813
43 	-2744.45    	-2487.28	-2262.23	108.973
44 	-2557.5     	-2403.34	-2262.23	70.1412
45 	-3228.15    	-2996.3 	-2262.23	299.321
46 	-3151.15    	-2671.84	-2262.23	132.544
47 	-2912.61    	-2349.48	-2262.23	87.1664
48 	-2944.4     	-2391.05	-2262.23	62.3404
49 	-2426.94    	-2365.47	-2262.23	17.6764
50 	-2516.54    	-2430.75	-2262.23	50.9999
51 	-3038.84    	-2444.84	-2262.23	67.5451
52 	-2609.14    	-2417.39	-2249.43	67.143 
53 	-2938.45    	-2393.43	-2249.43	66.1607
54 	-2772.77    	-2444.1 	-2249.43	166.957
55 	-2550.37    	-2413.3 	-2249.43	46.9503
56 	-2689.83    	-2490.08	-2249.43	51.7683
57 	-3376.73    	-2578.91	-2249.43	236.61 
58 	-3254.79    	-2428.86	-2249.43	139.5  
59 	-2635.93    	-2373.99	-2249.43	33.4816
60 	-2775.46    	-2501.27	-2249.43	50.643 
61 	-2869.54    	-2635.99	-2249.43	62.216 
62 	-2631.81    	-2579.21	-2249.43	49.609 
63 	-2618.21    	-2399.45	-2249.43	56.2812
64 	-2473.52    	-2429.55	-2249.43	27.3655
65 	-3784.76    	-3575.33	-2249.43	367.343
66 	-3662.76    	-2590.87	-2249.43	224.432
67 	-3552.3     	-3360.92	-2249.43	269.886
68 	-3467       	-2570.36	-2249.43	236.23 
69 	-2520.15    	-2359.44	-2249.43	42.1161
70 	-2383.67    	-2335.15	-2249.43	9.6462 
71 	-2740.29    	-2659.17	-2249.43	109.017
72 	-2738       	-2684.36	-2249.43	74.6018
73 	-3842.59    	-3686.85	-2249.43	348.978
74 	-3817.69    	-2614.92	-2249.43	259.48 
75 	-2561.75    	-2356.21	-2249.43	66.2215
76 	-2466.18    	-2375.74	-2249.43	36.9797
77 	-2524.37    	-2491.38	-2249.43	45.1452
78 	-2660.12    	-2546.54	-2249.43	66.3814
79 	-2617.45    	-2395.74	-2249.43	56.8287
80 	-4295.92    	-3334.75	-2249.43	798.691
81 	-4127.78    	-2643.79	-2249.43	126.566
82 	-2900.55    	-2781.75	-2249.43	82.6723
83 	-2791.4     	-2481.76	-2249.43	93.5593
84 	-2487.37    	-2396.62	-2249.43	34.229 
85 	-3037.54    	-2710   	-2249.43	168.078
86 	-2792.66    	-2385.81	-2249.43	111.872
87 	-2996.97    	-2821.11	-2249.43	252.87 
88 	-2985.01    	-2345.82	-2249.43	111.948
89 	-2773.22    	-2719.27	-2249.43	135.098
90 	-2873.85    	-2674.15	-2249.43	107.468
91 	-2726.42    	-2416.64	-2249.43	71.5294
92 	-11270.5    	-10542.2	-2249.43	2171.35
93 	-11120.4    	-4751.61	-2249.43	2845.03
94 	-7382.97    	-3026.65	-2249.43	264.89 
95 	-13170.1    	-10048.3	-2249.43	4771.9 
96 	-13106.5    	-2713.05	-2249.43	1824.57
97 	-2449.56    	-2407.49	-2249.43	19.1537
98 	-2452.35    	-2380.95	-2249.43	34.2099
99 	-3002.7     	-2864.41	-2249.43	201.551
