gen	min     	avg     	max     	std    
0  	-3603.14	-2516.97	-1692.12	469.649
1  	-3295.39	-2229.02	-1480.26	400.682
2  	-6361.53	-2260.55	-1480.26	524.988
3  	-4466.51	-2156.47	-1480.26	408.237
4  	-3525.26	-2273.58	-1480.26	488.607
5  	-3377.34	-2255.3 	-1480.26	402.566
6  	-25175.4	-2903.33	-1480.26	3482.69
7  	-3899.02	-2373.73	-1480.26	428.133
8  	-4045.19	-2775.07	-1480.26	581.538
9  	-3935.46	-2489.28	-1480.26	477.216
10 	-4274.28	-2788.98	-1480.26	536.889
11 	-10087.1	-4043.21	-1480.26	2764.37
12 	-9950.09	-3126.53	-1480.26	1123.21
13 	-9958.8 	-2817.93	-1480.26	704.996
14 	-4381.78	-3019.45	-1480.26	425.547
15 	-4550.26	-3117.27	-1480.26	431.403
16 	-8036.75	-3582.76	-1480.26	1375.26
17 	-7831.8 	-3302.17	-1480.26	853.062
18 	-4826.19	-3460.08	-1480.26	583.6  
19 	-4257.7 	-3154.04	-1480.26	283.83 
20 	-3856.41	-3210.77	-1480.26	251.188
21 	-3521.28	-3154.69	-1480.26	186.026
22 	-4373.33	-3364.17	-1480.26	471.119
23 	-9406.33	-3894.35	-1480.26	2090.86
24 	-9523.1 	-3590.9 	-1480.26	1076.7 
25 	-9469.87	-3388.42	-1480.26	1197.35
26 	-3538.94	-3080.42	-1480.26	146.084
27 	-9322.17	-3093.82	-1480.26	542.344
28 	-9190.2 	-3106.57	-1480.26	495.362
29 	-10573  	-3757.4 	-1480.26	2099.68
30 	-11241.9	-3805.58	-1480.26	745.409
31 	-4297.29	-3099.17	-1480.26	358.291
32 	-4392.84	-3050.03	-1480.26	221.082
33 	-5080.09	-3470.58	-1480.26	816.743
34 	-5719.64	-3105.9 	-1480.26	363.614
35 	-5013.87	-3307.67	-1480.26	456.372
36 	-4905.65	-3025.95	-1480.26	185.254
37 	-3464.83	-3071.23	-1480.26	168.718
38 	-3549.57	-3071.61	-1480.26	163.86 
39 	-3705.11	-3329.9 	-1480.26	186.9  
40 	-3537.32	-3159.29	-1480.26	143.054
41 	-3451.5 	-3077.5 	-1480.26	135.747
42 	-23289  	-4555.47	-1480.26	5122.41
43 	-3507.4 	-3193.89	-1480.26	200.078
44 	-5627.59	-3737.37	-1480.26	634.549
45 	-4096.22	-3025.77	-1480.26	236.209
46 	-3467.9 	-3245.89	-1480.26	168.379
47 	-3471.88	-3143.9 	-1480.26	112.647
48 	-3281.08	-3096.66	-1480.26	104.628
49 	-3610.19	-3083.1 	-1480.26	158.165
50 	-4235.3 	-3303.62	-1480.26	242.852
51 	-4409.51	-3671.57	-1480.26	311.559
52 	-4024.44	-3431.59	-1480.26	182.24 
53 	-3511.74	-3200.81	-1480.26	122.706
54 	-4578.25	-3454.42	-1480.26	554.53 
55 	-3672.13	-3118.03	-1480.26	245.975
56 	-4502.37	-3543.04	-1480.26	393.698
57 	-4226.7 	-3240.92	-1480.26	190.783
58 	-4210.33	-3164.09	-1480.26	229.967
59 	-3239.82	-2981.14	-1480.26	159.313
60 	-4639.27	-3832.09	-1480.26	458.082
61 	-4250.59	-3202.42	-1480.26	320.645
62 	-3470.32	-3260.37	-1480.26	176.204
63 	-3795.46	-3180.63	-1480.26	155.611
64 	-3565.83	-2956.28	-1480.26	130.347
65 	-3735.48	-3475.08	-1480.26	326.067
66 	-3716.21	-2972.89	-1480.26	139.458
67 	-3663.01	-3033.43	-1480.26	88.0649
68 	-3251.46	-3121.94	-1480.26	146.562
69 	-3684.87	-3209.41	-1480.26	158.578
70 	-3250.89	-2992.82	-1480.26	115.264
71 	-3540.36	-3189.02	-1480.26	164.213
72 	-4033.74	-3142.06	-1480.26	184.606
73 	-3946.44	-3045.33	-1480.26	189.785
74 	-3658.74	-3057.67	-1480.26	164.105
75 	-3938.19	-3137.58	-1480.26	234.503
76 	-4521.42	-3336.15	-1480.26	315.912
77 	-3862.43	-3125.26	-1480.26	227.804
78 	-3400.01	-2929.46	-1480.26	115.195
79 	-3149.26	-2849.42	-1480.26	73.5716
80 	-6969.1 	-6644.75	-1480.26	1005.6 
81 	-6929.91	-4810.47	-1480.26	782.45 
82 	-4690.54	-3122.57	-1480.26	529.685
83 	-3203.05	-3089.08	-1480.26	102.374
84 	-3119.94	-2925.85	-1480.26	85.8196
85 	-3432.27	-3129.64	-1480.26	140.54 
86 	-5061.4 	-4670.44	-1480.26	632.724
87 	-4916.35	-3500.02	-1480.26	575.161
88 	-5815.82	-3245.73	-1480.26	551.831
89 	-3276.24	-2978.44	-1480.26	158.35 
90 	-3701.17	-3351.03	-1480.26	369.17 
91 	-3676.86	-2941.24	-1480.26	85.3095
92 	-3276.41	-3077.65	-1480.26	137.17 
93 	-3230.03	-3165.93	-1480.26	103.926
94 	-3215.8 	-3016.59	-1480.26	107.684
95 	-3435.57	-3248.8 	-1480.26	151.386
96 	-3368.42	-3063.11	-1480.26	165.361
97 	-7119.43	-6090.42	-1480.26	1427.32
98 	-6618.35	-3944.37	-1480.26	672.248
99 	-4103.05	-3121.72	-1480.26	224.287
