gen	min         	avg     	max     	std    
0  	-4266.98    	-2598.64	-1508.46	451.884
1  	-3384.51    	-2259.9 	-1508.46	414.045
2  	-5731.13    	-2469.3 	-1508.46	920.435
3  	-5129.97    	-2483.01	-1508.46	591.758
4  	-3536.69    	-2337.83	-1508.46	443.406
5  	-4117.08    	-2752.3 	-1508.46	657.484
6  	-3697.26    	-2366.19	-1508.46	504.829
7  	-3924.6     	-2691.89	-1508.46	446.48 
8  	-11365.6    	-2947.56	-1508.46	1274.18
9  	-10541.5    	-2530.94	-1508.46	532.412
10 	-4440.43    	-2672.63	-1508.46	561.831
11 	-8573.33    	-5504.42	-1508.46	2720.53
12 	-9183.25    	-4477.64	-1508.46	2437.58
13 	-8498.58    	-3418.09	-1508.46	1051.95
14 	-4179.81    	-3247.41	-1508.46	273.622
15 	-3828.72    	-3088.52	-1508.46	179.418
16 	-3911.47    	-3099.28	-1508.46	196.368
17 	-3640.41    	-3109.11	-1508.46	180.171
18 	-4395.73    	-3253.76	-1508.46	312.662
19 	-9386.97    	-3964.06	-1508.46	2233.51
20 	-4110.88    	-3316.17	-1508.46	344.872
21 	-3501.42    	-2977.25	-1508.46	133.307
22 	-3994.54    	-3162.47	-1508.46	274.761
23 	-3810.92    	-2996.05	-1508.46	170.085
24 	-3909.88    	-3121.64	-1508.46	245.032
25 	-4193.36    	-3340.79	-1508.46	297.841
26 	-5347.76    	-3175.07	-1508.46	476.226
27 	-5252.66    	-3091.61	-1508.46	293.345
28 	-5073.82    	-3167.05	-1508.46	237.361
29 	-3992.81    	-3031.3 	-1508.46	263.311
30 	-4010.52    	-3012.55	-1508.46	293.274
31 	-6684.53    	-3052.15	-1508.46	693.123
32 	-6700.95    	-3581.48	-1508.46	1246.02
33 	-3317.17    	-3085.03	-1508.46	142.347
34 	-4373.42    	-3213.01	-1508.46	142.438
35 	-3431.33    	-3111.25	-1508.46	141.76 
36 	-4152.54    	-3391.03	-1508.46	440.013
37 	-8079.66    	-3343.17	-1508.46	931.36 
38 	-7756.11    	-4674.87	-1508.46	748.763
39 	-8388.44    	-3274.62	-1508.46	728.486
40 	-3312.73    	-2963.87	-1508.46	88.2691
41 	-3429.25    	-3136.4 	-1508.46	131.367
42 	-3720.51    	-3485.6 	-1508.46	225.732
43 	-3602.32    	-2938.18	-1508.46	153.844
44 	-3615.53    	-3117.19	-1508.46	175.977
45 	-3521.99    	-3210.49	-1508.46	139.177
46 	-4486.05    	-3076.28	-1508.46	287.93 
47 	-3561.71    	-3038.96	-1508.46	150.577
48 	-3584.85    	-3149.45	-1508.46	193.303
49 	-3723.74    	-3376.18	-1508.46	181.106
50 	-3471.3     	-3072.64	-1508.46	150.859
51 	-3428.17    	-3027.8 	-1508.46	126.923
52 	-3762.09    	-3106.6 	-1508.46	159.813
53 	-5741.28    	-4363.68	-1508.46	1208.79
54 	-5371.23    	-2986.58	-1508.46	262.523
55 	-5004.81    	-3107.7 	-1508.46	330.671
56 	-5413.41    	-3536.59	-1508.46	377.308
57 	-4090.74    	-3003.5 	-1508.46	253.556
58 	-3901.35    	-3108.1 	-1508.46	125.52 
59 	-4025.44    	-3154.9 	-1508.46	133.591
60 	-3999.74    	-3007.01	-1508.46	156.392
61 	-3444.71    	-3321.92	-1508.46	152.399
62 	-3939.19    	-3268.55	-1508.46	248.089
63 	-3197.82    	-2984.7 	-1508.46	93.7349
64 	-3989.57    	-3229.22	-1508.46	140.532
65 	-3383.87    	-3262.9 	-1508.46	112.113
66 	-4196.35    	-3074.33	-1508.46	140.512
67 	-3424.12    	-3203.47	-1508.46	203.671
68 	-3353.44    	-3006.01	-1508.46	108.14 
69 	-3420.83    	-3213.67	-1508.46	130.609
70 	-4371.29    	-3388.61	-1508.46	228.86 
71 	-4377.21    	-3287.88	-1508.46	134.121
72 	-3289.76    	-3013.25	-1508.46	114.424
73 	-3229.52    	-3013.75	-1508.46	96.7158
74 	-3333.26    	-3147.13	-1508.46	124.973
75 	-3405.49    	-3219.39	-1508.46	142.443
76 	-29467.4    	-11697.6	-1508.46	12064.2
77 	-3591.92    	-3239.87	-1508.46	147.045
78 	-3503.59    	-3090.48	-1508.46	174.543
79 	-3730.69    	-3251.62	-1508.46	205.258
80 	-3382.44    	-2984.6 	-1508.46	124.03 
81 	-3129.48    	-2976.73	-1508.46	78.9519
82 	-3347.16    	-3145.44	-1508.46	136.189
83 	-3615.26    	-3107.13	-1508.46	132.567
84 	-3915.21    	-3211.17	-1508.46	213.645
85 	-4104.62    	-3215.21	-1508.46	258.182
86 	-3163.74    	-2908.15	-1508.46	90.6664
87 	-3225.52    	-2987.62	-1508.46	97.8286
88 	-3237.78    	-3074.96	-1508.46	143.642
89 	-3179.48    	-2941.27	-1508.46	74.7767
90 	-3603.45    	-3104.17	-1508.46	181.478
91 	-3693.03    	-3167.33	-1508.46	175.007
92 	-3679.23    	-3117.1 	-1508.46	250.142
93 	-3607.9     	-3186.49	-1508.46	143.541
94 	-3363.83    	-3305.85	-1508.46	104.569
95 	-3569.43    	-3076.82	-1508.46	107.963
96 	-3192.65    	-2933.71	-1508.46	75.9434
97 	-1.09397e+06	-443831 	-1508.46	535263 
98 	-1.09396e+06	-11787.7	-1508.46	97181.3
99 	-3529.07    	-3287.95	-1508.46	169.096
