gen	min        	avg     	max     	std    
0  	-3859.47   	-2574.68	-1545.74	449.996
1  	-2.7566e+06	-29945.8	-1545.74	274010 
2  	-4246.33   	-2215.74	-1545.74	455.366
3  	-12967.7   	-3905.31	-1517.69	3622.08
4  	-12662.8   	-2677.65	-1517.69	1088.97
5  	-5036.24   	-2347.37	-1517.69	485.728
6  	-4190.03   	-2707.16	-1517.69	496.955
7  	-4315.38   	-2644.32	-1517.69	588.148
8  	-4690.39   	-2811.72	-1517.69	590.151
9  	-9252.67   	-3178.82	-1517.69	1013.97
10 	-4238.28   	-3019.39	-1517.69	228.205
11 	-4014.58   	-2857.16	-1517.69	348.262
12 	-3606.36   	-2989.56	-1517.69	234.048
13 	-3876.02   	-3140.48	-1517.69	279.374
14 	-4841.63   	-3407.97	-1517.69	590.021
15 	-4493.66   	-3531.47	-1517.69	488.885
16 	-3787.69   	-3115.27	-1517.69	169.186
17 	-3922.99   	-3207.48	-1517.69	219.818
18 	-5207.07   	-3157.4 	-1517.69	169.8  
19 	-3604.7    	-3145.65	-1517.69	187.092
20 	-3467.85   	-3146.19	-1517.69	152.128
21 	-4931.98   	-3192.52	-1517.69	349.249
22 	-5148.9    	-3294.3 	-1517.69	224.469
23 	-3613.98   	-3144.65	-1517.69	190.632
24 	-3599.86   	-3147.19	-1517.69	203.707
25 	-3687.33   	-2977.26	-1517.69	164.931
26 	-3361.93   	-3159.53	-1517.69	157.897
27 	-3324.38   	-3003.98	-1517.69	148.43 
28 	-3562.94   	-2935.88	-1517.69	124.842
29 	-3568.52   	-3147.81	-1517.69	129.228
30 	-3351.99   	-3026.84	-1517.69	104.9  
31 	-3625.52   	-3293.03	-1517.69	175.751
32 	-5114.51   	-3563.29	-1517.69	781.731
33 	-6961.12   	-3828.74	-1517.69	1278.21
34 	-7059.5    	-3223.51	-1517.69	459.562
35 	-5056.67   	-3094.03	-1517.69	222.881
36 	-5479.71   	-3133.49	-1517.69	268.833
37 	-3894.6    	-3302.64	-1517.69	198.337
38 	-3591.06   	-3112.78	-1517.69	136.501
39 	-3285.41   	-3030.56	-1517.69	136.089
40 	-3329.19   	-3158   	-1517.69	117.86 
41 	-3745.62   	-3000.55	-1517.69	126.984
42 	-3937.98   	-3197.46	-1517.69	180.594
43 	-3635.91   	-3140.7 	-1517.69	123.706
44 	-3958.72   	-3188.52	-1517.69	328.52 
45 	-3676.76   	-2984.68	-1517.69	98.974 
46 	-3606.47   	-3232.07	-1517.69	148.505
47 	-3367.8    	-3253.96	-1517.69	115.848
48 	-3314.64   	-3052.85	-1517.69	153.953
49 	-5176.22   	-4388.36	-1517.69	583.15 
50 	-4575.74   	-3266.94	-1517.69	339.276
51 	-3684.87   	-3321.38	-1517.69	237.128
52 	-8323.14   	-5197.39	-1517.69	1241.32
53 	-5586.67   	-3146.04	-1517.69	580.104
54 	-5080.35   	-3638.58	-1517.69	707.784
55 	-4105.91   	-3739.72	-1517.69	305.528
56 	-3865      	-3359.67	-1517.69	191.805
57 	-3878.6    	-3313.03	-1517.69	281.009
58 	-3523.27   	-3073.08	-1517.69	158.973
59 	-3239.8    	-2969.03	-1517.69	129.65 
60 	-3304.07   	-2896.09	-1517.69	85.6163
61 	-3295.13   	-3111.6 	-1517.69	153.113
62 	-3230.78   	-3042.33	-1517.69	111.145
63 	-3274.79   	-3079.8 	-1517.69	136.313
64 	-3181.23   	-3076.77	-1517.69	121.664
65 	-6750.06   	-4645.37	-1517.69	1834.01
66 	-6577.93   	-3097.62	-1517.69	294.848
67 	-3494.59   	-3060.6 	-1517.69	162.628
68 	-10313     	-5157.26	-1517.69	2459.07
69 	-8540.49   	-3020.01	-1517.69	298.312
70 	-3492.1    	-3083.3 	-1517.69	142.253
71 	-3351.94   	-2898.53	-1517.69	94.9345
72 	-3104.27   	-2964.47	-1517.69	75.935 
73 	-3469.05   	-3358.89	-1517.69	150.284
74 	-4450.34   	-3096.26	-1517.69	320.731
75 	-3254.39   	-3196.11	-1517.69	98.0543
76 	-18197.8   	-16458.8	-1517.69	4640.64
77 	-18081     	-4341.46	-1517.69	4314.9 
78 	-3260.64   	-3074.73	-1517.69	131.681
79 	-3755.04   	-3452.98	-1517.69	191.133
80 	-4171.43   	-3180.27	-1517.69	171.612
81 	-5173.12   	-3567.3 	-1517.69	883.594
82 	-5309.47   	-3175.27	-1517.69	211.51 
83 	-3226.93   	-3194.65	-1517.69	82.3197
84 	-3216.48   	-3002.77	-1517.69	102.054
85 	-3073.77   	-3040.6 	-1517.69	74.4818
86 	-3051.55   	-2957.45	-1517.69	69.1425
87 	-3214.19   	-3158.86	-1517.69	97.6716
88 	-3177.93   	-3025.73	-1517.69	78.7602
89 	-3018.55   	-2905.8 	-1517.69	70.9198
90 	-3234.95   	-3134.53	-1517.69	113.11 
91 	-3394.47   	-3333.23	-1517.69	145.104
92 	-3362.57   	-2977.6 	-1517.69	107.746
93 	-2969.36   	-2959.99	-1517.69	64.8482
94 	-3544.2    	-3464.55	-1517.69	178.512
95 	-3542.8    	-3214.9 	-1517.69	123.592
96 	-3187.14   	-2976.4 	-1517.69	94.6323
97 	-3309.3    	-3262.37	-1517.69	123.176
98 	-3307.77   	-3120.41	-1517.69	84.546 
99 	-3209.39   	-3153.46	-1517.69	109.039
