gen	min         	avg         	max     	std        
0  	-35482.6    	-6004.88    	-3792.54	2968.53    
1  	-496335     	-7446.03    	-3623.58	31027.3    
2  	-23630.8    	-5059.51    	-3623.58	1437.28    
3  	-26578.2    	-5613.23    	-3572.67	3964.01    
4  	-25283.5    	-5157.86    	-3367.09	1932.48    
5  	-13421.3    	-4952.42    	-3250.73	1306.52    
6  	-10234.2    	-4751.89    	-3250.73	732.858    
7  	-7221.72    	-4880.65    	-3250.73	629.203    
8  	-12627.2    	-5700.98    	-3250.73	1811.81    
9  	-16925.2    	-5527.33    	-3250.73	1447.28    
10 	-16744      	-5091.63    	-3250.73	1759.8     
11 	-11874.9    	-5181.17    	-3250.73	1239.8     
12 	-9.55671e+06	-1.17051e+06	-3250.73	3.12513e+06
13 	-9.55456e+06	-101031     	-3250.73	950057     
14 	-9.55342e+06	-26132      	-3250.73	426520     
15 	-9.55415e+06	-25845.3    	-3250.73	426561     
16 	-79614      	-8293.85    	-3250.73	10640.4    
17 	-67484.4    	-6505.83    	-3250.73	4904.66    
18 	-47369.8    	-6588.56    	-3250.73	5664.18    
19 	-8597.89    	-4925.49    	-3250.73	1164.23    
20 	-9073.58    	-5060.48    	-3250.73	1108.31    
21 	-8434.27    	-5215.21    	-3250.73	813.905    
22 	-9586.44    	-4827.66    	-3250.73	888.534    
23 	-17100.3    	-5425.73    	-3250.73	1478.74    
24 	-27639.1    	-12754.4    	-3250.73	8025.23    
25 	-30028.7    	-9847.3     	-3250.73	5937.22    
26 	-18757.7    	-5830.43    	-3250.73	1456.02    
27 	-10367.1    	-5350.06    	-3250.73	1375.18    
28 	-13641.7    	-4991.3     	-3250.73	1218.05    
29 	-8235.83    	-5092.02    	-3250.73	731.076    
30 	-16919.5    	-6051.48    	-3250.73	3257.86    
31 	-21306.7    	-6264.55    	-3250.73	2264.15    
32 	-18256      	-6097.22    	-3250.73	3482.52    
33 	-30025.7    	-9057.27    	-3250.73	5566.07    
34 	-18649      	-5913.99    	-3250.73	2801.5     
35 	-16823.2    	-5116.18    	-3250.73	959.875    
36 	-6451.73    	-4650.69    	-3250.73	533.371    
37 	-9314.74    	-5888.77    	-3250.73	1094.44    
38 	-6901.28    	-4509.52    	-3250.73	685.111    
39 	-6548.26    	-4565.93    	-3250.73	663.331    
40 	-5634.33    	-4461.32    	-3250.73	376.411    
41 	-6878.49    	-4128.89    	-3250.73	367.374    
42 	-11280      	-5123.85    	-3250.73	850.018    
43 	-9298.13    	-4787.58    	-3250.73	480.738    
44 	-9221.37    	-5308.4     	-3250.73	994.721    
45 	-15087.9    	-7275.14    	-3250.73	3153.62    
46 	-13836.8    	-5473.63    	-3250.73	2300.94    
47 	-11639.8    	-4695.31    	-3250.73	647.486    
48 	-10695.6    	-6253.17    	-3250.73	1691.46    
49 	-8735.31    	-5922.92    	-3250.73	934.221    
50 	-21281.5    	-5487.17    	-3250.73	3632.41    
51 	-18556.8    	-6658.5     	-3250.73	4414.2     
52 	-20356      	-6040.92    	-3250.73	2035.49    
53 	-11832.8    	-6339.54    	-3250.73	2093.38    
54 	-21018      	-6552.7     	-3250.73	1981.23    
55 	-28682.5    	-7336.77    	-3250.73	2273.92    
56 	-20246.3    	-5913.01    	-3250.73	849.585    
57 	-9219.65    	-4821.66    	-3250.73	668.118    
58 	-20251.5    	-4949.78    	-3250.73	774.134    
59 	-5982.81    	-5263.03    	-3250.73	385.1      
60 	-20329      	-5023.83    	-3250.73	1054.74    
61 	-20398.9    	-8132.3     	-3250.73	1999.98    
62 	-9463.77    	-4500.38    	-3250.73	1031.28    
63 	-20839.8    	-6186.93    	-3250.73	1673.3     
64 	-20494      	-5495.46    	-3250.73	1468.93    
65 	-18730.3    	-7326.18    	-3250.73	1037.63    
66 	-18628.2    	-6535.13    	-3250.73	2081.65    
67 	-19321.6    	-5189.77    	-3250.73	1800.01    
68 	-11202.1    	-7092.06    	-3250.73	1796.29    
69 	-11190.4    	-4477.47    	-3250.73	845.025    
70 	-13277.4    	-9747.8     	-3250.73	3035.36    
71 	-12896.1    	-6801.05    	-3250.73	1108.93    
72 	-11169.8    	-8550.54    	-3250.73	2247.58    
73 	-19117.6    	-4546.36    	-3250.73	1710.52    
74 	-51069.6    	-5361.77    	-3250.73	5818.53    
75 	-7706.94    	-4997.77    	-3250.73	305.486    
76 	-50832.7    	-5042.74    	-3250.73	5449.63    
77 	-8253.99    	-6712.93    	-3250.73	1150.7     
78 	-8001.76    	-6266.56    	-3250.73	785.13     
79 	-7634.01    	-4859.37    	-3250.73	619.882    
80 	-9612.97    	-5689.82    	-3250.73	1202.12    
81 	-9985.45    	-4740.28    	-3250.73	555.03     
82 	-7881.22    	-5159.61    	-3250.73	938.177    
83 	-9006.87    	-6030.68    	-3250.73	524.327    
84 	-7640.31    	-5903.51    	-3250.73	622.115    
85 	-7848.47    	-5825.63    	-3250.73	654.974    
86 	-6284.33    	-6191.32    	-3250.73	231.247    
87 	-7402.72    	-4958.05    	-3250.73	412.394    
88 	-6676.04    	-5527.16    	-3250.73	441.937    
89 	-6987.91    	-5658.38    	-3250.73	523.9      
90 	-13129.4    	-6070.2     	-3250.73	1262.16    
91 	-6908.44    	-4842.07    	-3250.73	523.767    
92 	-6586.59    	-5378.39    	-3250.73	372.251    
93 	-5547.82    	-4120.68    	-3250.73	309.803    
94 	-21645.5    	-5546.14    	-3250.73	854.965    
95 	-21384.7    	-4927.56    	-3250.73	1124.17    
96 	-21040.8    	-6197.77    	-3250.73	1186.07    
97 	-7810.62    	-6631.12    	-3250.73	414.429    
98 	-21635.9    	-5453.27    	-3250.73	1091.93    
99 	-8022.22    	-5129.14    	-3250.73	169.51     
