gen	min     	avg     	max     	std    
0  	-18982.5	-6004.21	-3884.89	2006.56
1  	-11066.9	-5352.71	-3542.11	1024.89
2  	-15013.1	-5319.81	-3443.39	1462.54
3  	-18907.6	-5321.43	-3443.39	1575.82
4  	-68871.8	-9769.04	-3443.39	16029.1
5  	-67991.1	-6004.26	-3443.39	6178.44
6  	-25526.1	-5262.11	-3443.39	2403   
7  	-23621.1	-5008.37	-3443.39	1467.14
8  	-34097  	-5396.51	-3305.72	3702.41
9  	-10036.7	-5205.65	-3305.72	1008.69
10 	-24231.8	-5794.37	-3305.72	3268.74
11 	-23473.9	-6709.07	-3305.72	3835.41
12 	-23266.9	-6075.91	-3305.72	1970.57
13 	-57652.6	-10476.4	-3305.72	13102.3
14 	-55503.5	-6124.69	-3305.72	5368.05
15 	-19019.9	-5441.62	-3305.72	2087.45
16 	-21766.1	-6269.83	-3305.72	2980.96
17 	-19149.6	-5711.91	-3305.72	1999.73
18 	-19516  	-5624.98	-3305.72	2491.71
19 	-13116.4	-6541.82	-3305.72	1734.63
20 	-19798.3	-6632.99	-3305.72	3479.98
21 	-78557.3	-9205.61	-3305.72	10221.5
22 	-54109  	-14182.5	-3305.72	15597.4
23 	-54965.4	-7836.5 	-3305.72	7405.33
24 	-53089.5	-6874.9 	-3305.72	4382.15
25 	-47141.9	-5773.06	-3305.72	3423.1 
26 	-54942.4	-5539.84	-3305.72	5157.02
27 	-54077.7	-5594.35	-3305.72	2939.37
28 	-37514.3	-5621.84	-3305.72	3363.53
29 	-38368.5	-6934.85	-3305.72	5342.12
30 	-42635.6	-8692.76	-3305.72	7680.34
31 	-35779.8	-13595.4	-3305.72	8767.59
32 	-26260.9	-8813.59	-3305.72	7214.01
33 	-26429.3	-6878.87	-3305.72	4382.77
34 	-24705.8	-5123.77	-3305.72	2205.26
35 	-16283.6	-4827.24	-3305.72	1344.95
36 	-11599.1	-5105.8 	-3305.72	816.599
37 	-11356.2	-4471.95	-3305.72	911.286
38 	-10816.9	-5067.76	-3305.72	771.57 
39 	-17800.5	-7169.91	-3305.72	2231.13
40 	-10967.4	-6556.32	-3305.72	1789.25
41 	-18994.8	-8390.99	-3305.72	2430.14
42 	-12632.4	-8106.43	-3305.72	2278.76
43 	-17782  	-5334.7 	-3305.72	1409.31
44 	-14662.7	-6736.24	-3305.72	2076.64
45 	-16470.7	-6555.42	-3305.72	1924.06
46 	-13516.9	-6039.01	-3305.72	1593.44
47 	-9276.03	-4766.53	-3305.72	727.487
48 	-114215 	-6711.98	-3305.72	11685.5
49 	-112811 	-7791.32	-3305.72	14836.1
50 	-112934 	-7828.75	-3305.72	4904.2 
51 	-432664 	-20977.4	-3305.72	79432.9
52 	-33907.4	-7170.9 	-3305.72	6510.99
53 	-9869.2 	-5362.93	-3305.72	949.336
54 	-9409.54	-6633.23	-3305.72	1168.62
55 	-8040.35	-5349.92	-3305.72	703.319
56 	-7617.99	-5474.01	-3305.72	1012.32
57 	-15778.2	-5239.58	-3305.72	1481   
58 	-15143.6	-6789.25	-3305.72	1062.21
59 	-25721.2	-13797.6	-3305.72	7540.98
60 	-21659.7	-6166.65	-3305.72	2363.02
61 	-16788.1	-5958.19	-3305.72	1491.98
62 	-8549.59	-6113.8 	-3305.72	845.389
63 	-20607.6	-5789.61	-3305.72	1465.08
64 	-22681.3	-7361.26	-3305.72	2767.7 
65 	-30030.8	-11165.2	-3305.72	9040.69
66 	-28606.2	-8136.51	-3305.72	6240.41
67 	-22595.9	-5450.77	-3305.72	1735.61
68 	-9917.91	-5239.12	-3305.72	1147.67
69 	-45049  	-32936.9	-3305.72	13652.4
70 	-41553.9	-9532.41	-3305.72	8982.01
71 	-22700.1	-6444.92	-3305.72	4337.3 
72 	-25522.1	-7543.33	-3305.72	1953.44
73 	-33194.2	-10060  	-3305.72	8315.16
74 	-31301.5	-6483.7 	-3305.72	5853.66
75 	-28909.4	-5891.01	-3305.72	1890.22
76 	-17228.6	-4706.93	-3305.72	1449.4 
77 	-13094.4	-6298.55	-3305.72	1204.24
78 	-11519.6	-4460.55	-3305.72	618.202
79 	-11949.9	-5549.71	-3305.72	1545.96
80 	-138891 	-97310.9	-3305.72	56518.3
81 	-132181 	-13062.5	-3305.72	22946.8
82 	-12041  	-6925.48	-3305.72	1652.63
83 	-6775.96	-4845.1 	-3305.72	689.332
84 	-13342.2	-7334.52	-3305.72	1188.82
85 	-36244.6	-8609.67	-3305.72	7087.76
86 	-20052.4	-8987.9 	-3305.72	3974.58
87 	-18725.3	-10470.4	-3305.72	1944.7 
88 	-18248.2	-5313.51	-3305.72	1849.76
89 	-6769.89	-5375.21	-3305.72	617.026
90 	-13266.6	-5706.96	-3305.72	590.446
91 	-13932.5	-4667.5 	-3305.72	752.492
92 	-19818  	-6389.67	-3305.72	1994.85
93 	-19694.4	-5412.48	-3305.72	1482.95
94 	-10333.6	-7255.9 	-3305.72	1261.68
95 	-17916.7	-6001.36	-3305.72	2201.42
96 	-8830.68	-6808.91	-3305.72	1020.57
97 	-12912.6	-4223.69	-3305.72	872.491
98 	-12040  	-5928.6 	-3305.72	1610.27
99 	-7528.84	-4943.01	-3305.72	647.876
