gen	min         	avg     	max     	std    
0  	-17623.4    	-5776.12	-3492.2 	1728.16
1  	-14693.3    	-5179.52	-3492.2 	1112.33
2  	-19961.6    	-5473.78	-3492.2 	2118.24
3  	-13494.4    	-5080.29	-3492.2 	1235.27
4  	-13896.8    	-4865.98	-3492.2 	1124.9 
5  	-14722.1    	-5846.87	-3492.2 	2336.67
6  	-88658.5    	-5484.85	-3492.2 	5540.45
7  	-30472.4    	-5885.11	-3492.2 	3074.44
8  	-36786.8    	-8623.2 	-3492.2 	8838.45
9  	-36612.9    	-5549.42	-3492.2 	3320.9 
10 	-32609.9    	-6276.42	-3436.69	6019.77
11 	-32068.4    	-5476.84	-3436.69	3198.64
12 	-63767.6    	-9266.08	-3436.69	12221.6
13 	-65020.4    	-5533.2 	-3436.69	4331.47
14 	-8082.1     	-5157.73	-3436.69	903.533
15 	-17113.8    	-6205.19	-3436.69	2348.67
16 	-14914.1    	-5468.53	-3436.69	1659.39
17 	-57051.9    	-8152.23	-3436.69	11869.8
18 	-55917.8    	-7055.42	-3436.69	9575.86
19 	-55010.7    	-6052.24	-3436.69	8637.32
20 	-13672.5    	-10449.3	-3436.69	2969.65
21 	-12189.3    	-5651.5 	-3436.69	1962.04
22 	-9695.07    	-5962.99	-3436.69	1006.95
23 	-28246.6    	-12683.5	-3436.69	10393.1
24 	-39041.5    	-7960.12	-3436.69	6341.4 
25 	-28916.4    	-9552.71	-3436.69	8033.54
26 	-25426.8    	-6334.48	-3436.44	5311.05
27 	-22337.8    	-5975.5 	-3436.44	1571.65
28 	-21936.4    	-6296.79	-3436.44	3777.69
29 	-6578.59    	-4696.07	-3323.28	575.217
30 	-31786      	-8844.32	-3323.28	8284.78
31 	-29697.5    	-5635.04	-3323.28	3522.13
32 	-8154.75    	-5416.21	-3323.28	751.152
33 	-123459     	-15348.8	-3323.28	31221.6
34 	-7249.35    	-5155.25	-3323.28	684.033
35 	-6758.9     	-4734.52	-3323.28	672.463
36 	-8161.91    	-5914.75	-3323.28	955.4  
37 	-15881.4    	-6991.86	-3323.28	2103.52
38 	-12541.2    	-6460.17	-3323.28	1140.34
39 	-10951.4    	-6807.64	-3323.28	997.698
40 	-11797.4    	-5591.7 	-3323.28	1289.98
41 	-7296.9     	-4788.39	-3323.28	888.827
42 	-13265.6    	-7738.48	-3323.28	3137.59
43 	-295269     	-152709 	-3323.28	142626 
44 	-290826     	-12114.2	-3323.28	37719.4
45 	-10438.2    	-5351.64	-3323.28	1231.71
46 	-11680.3    	-5629.62	-3323.28	873.868
47 	-10626      	-6912.54	-3323.28	1500.62
48 	-8989.13    	-4822.5 	-3323.28	772.066
49 	-79497.1    	-66107  	-3323.28	25160.9
50 	-78247.1    	-8775.41	-3323.28	15976.9
51 	-7.13225e+06	-61793.5	-3323.28	634928 
52 	-199857     	-18482.1	-3323.28	46294.2
53 	-8978.09    	-7011.45	-3323.28	727.641
54 	-9566.13    	-7246.16	-3323.28	902.451
55 	-9721.8     	-5653.09	-3323.28	720.674
56 	-10517.1    	-6111.16	-3323.28	973.875
57 	-12564.7    	-7967.37	-3323.28	999.22 
58 	-8477.68    	-4877.09	-3323.28	1054   
59 	-6886.83    	-4762.74	-3323.28	357.346
60 	-23226.9    	-19107.9	-3323.28	6845.21
61 	-22606.2    	-5502.26	-3323.28	4063.54
62 	-17992.7    	-10945.2	-3323.28	5777.21
63 	-16087.8    	-8137.62	-3323.28	2738.17
64 	-19523.2    	-16086.5	-3323.28	3799.28
65 	-18038.8    	-5782.99	-3323.28	3327.99
66 	-80620.4    	-31236.8	-3323.28	35881.1
67 	-79878.6    	-7482.04	-3323.28	8159.2 
68 	-6973.24    	-4554.82	-3323.28	580.936
69 	-5968.41    	-5249.77	-3323.28	382.356
70 	-7117.17    	-4326.48	-3323.28	465.686
71 	-7029.15    	-5349.48	-3323.28	810.019
72 	-35026.2    	-15967.5	-3323.28	14800  
73 	-34662.4    	-4971.55	-3323.28	3538.62
74 	-5876.13    	-5273.38	-3323.28	408.149
75 	-18230.4    	-15277.6	-3323.28	3488.46
76 	-17896.3    	-5307.87	-3323.28	2799.4 
77 	-55281.6    	-43160  	-3323.28	15755.6
78 	-54660.5    	-7042.09	-3323.28	10369.9
79 	-7440.89    	-6288.25	-3323.28	713.49 
80 	-9936.93    	-6559.09	-3323.28	1325.09
81 	-32038.8    	-26937.7	-3323.28	8118.07
82 	-29980.7    	-6779.51	-3323.28	6791.08
83 	-7325.75    	-4606.73	-3323.28	718.87 
84 	-7000.69    	-5918.18	-3323.28	584.752
85 	-6999.64    	-5372.74	-3323.28	522.807
86 	-7535.79    	-4669.17	-3323.28	464.896
87 	-9143.22    	-8118.6 	-3323.28	1299.23
88 	-10286.7    	-7054.12	-3323.28	772.14 
89 	-7792.99    	-4692.34	-3323.28	961.311
90 	-7488.51    	-5961.77	-3323.28	842.783
91 	-8638.23    	-5723.51	-3323.28	532.265
92 	-9756.43    	-6006.05	-3323.28	515.181
93 	-6282.97    	-5389.04	-3323.28	314.081
94 	-5522.32    	-4746.73	-3323.28	291.055
95 	-6963.72    	-6060.76	-3323.28	622.549
96 	-6605.79    	-5399.66	-3323.28	514.375
97 	-5664.95    	-3982.02	-3323.28	409.297
98 	-4686.33    	-4404.27	-3323.28	219.345
99 	-5497.46    	-4746.27	-3323.28	279.238
