gen	min     	avg     	max     	std    
0  	-3608.69	-1931.12	-1691.72	162.376
1  	-2141.46	-1866.5 	-1691.72	95.1039
2  	-2134.85	-1837.16	-1688.08	95.9419
3  	-2031.72	-1818.43	-1684.08	95.5884
4  	-2484.75	-1836.04	-1684.01	178.045
5  	-2622.58	-1793.39	-1684.01	120.229
6  	-2026.15	-1804.78	-1684.01	89.5357
7  	-2329.55	-1803.5 	-1675.14	124.236
8  	-2315.97	-1798.05	-1675.14	110.231
9  	-2498.93	-1770.08	-1675.14	99.4455
10 	-2036.81	-1759.55	-1675.14	83.2562
11 	-2155.68	-1913.37	-1675.14	164.849
12 	-2117.84	-1802.51	-1675.14	113.214
13 	-1974.27	-1768.09	-1675.14	67.6299
14 	-2867.93	-1821.6 	-1675.14	203.759
15 	-2180.14	-1801.79	-1675.14	100.19 
16 	-2068.66	-1761.71	-1675.14	64.1673
17 	-2000.8 	-1775.35	-1675.14	96.0429
18 	-5342.09	-2236.54	-1675.14	1162.13
19 	-5233.64	-1859.59	-1675.14	453.853
20 	-2058.66	-1783.18	-1675.14	79.8318
21 	-2348.93	-1831.81	-1675.14	167.602
22 	-2123.53	-1789.19	-1673.4 	106.463
23 	-2062.54	-1800.07	-1673.4 	106.069
24 	-2317.85	-1847.44	-1673.4 	138.044
25 	-2081.88	-1740   	-1673.4 	74.4327
26 	-2184.14	-1796.06	-1673.4 	114.23 
27 	-2078.14	-1747.68	-1673.4 	79.4918
28 	-4036.14	-1765.97	-1673.4 	186.685
29 	-1948.95	-1810.98	-1673.4 	74.1451
30 	-2036.85	-1872.97	-1673.4 	91.5316
31 	-2055.45	-1885.44	-1673.4 	83.7821
32 	-2034.28	-1888.43	-1673.4 	84.3458
33 	-3141.89	-1842.03	-1673.4 	298.796
34 	-3158.74	-1801.21	-1673.4 	216.527
35 	-1973.28	-1842.79	-1673.4 	81.6311
36 	-1916.28	-1808.73	-1673.4 	93.0575
37 	-2148.96	-1841.17	-1673.4 	107.116
38 	-3822.99	-2011.9 	-1673.4 	459.903
39 	-3865.76	-1818.88	-1673.4 	197.676
40 	-1954.52	-1810   	-1673.4 	76.5884
41 	-1948.34	-1853.53	-1673.4 	85.5599
42 	-1984.72	-1875.92	-1673.4 	69.274 
43 	-1946.24	-1843.14	-1673.4 	83.8591
44 	-2013.98	-1848.2 	-1673.4 	98.5943
45 	-2019.45	-1809.49	-1673.4 	105.548
46 	-1941.58	-1770.38	-1673.4 	81.743 
47 	-2010.18	-1762.28	-1673.4 	67.3867
48 	-1922.11	-1806.78	-1673.4 	80.072 
49 	-1972.88	-1789.88	-1673.4 	103.441
50 	-3682.58	-2891.79	-1673.4 	951.389
51 	-3674.18	-1840.73	-1673.4 	345.307
52 	-1929.36	-1778.04	-1673.4 	50.3172
53 	-5083.84	-2432.61	-1673.4 	1323.63
54 	-5090.14	-1999.56	-1673.4 	756.692
55 	-5095.53	-1966.54	-1673.4 	298.737
56 	-2048.88	-1810.57	-1673.4 	95.7858
57 	-2158.14	-1950.78	-1673.4 	147.272
58 	-2147.14	-1869.86	-1673.4 	69.5639
59 	-2180.12	-1914.57	-1673.4 	217.81 
60 	-2204.14	-1863.2 	-1673.4 	150.879
61 	-3066.46	-1870.93	-1673.4 	170.955
62 	-2193.53	-1859.39	-1673.4 	94.5241
63 	-2195.84	-1838.97	-1673.4 	89.9332
64 	-1915.72	-1864.85	-1673.4 	75.6937
65 	-2153.84	-1858.75	-1673.4 	109.35 
66 	-1984.06	-1797.99	-1673.4 	94.6966
67 	-1915   	-1783.21	-1673.4 	85.714 
68 	-2160.84	-1806.56	-1673.4 	90.2915
69 	-1957.06	-1827.43	-1673.4 	81.4903
70 	-2220.98	-2003.68	-1673.4 	147.043
71 	-2126.39	-1774.32	-1673.4 	94.4137
72 	-2064.52	-1829.04	-1673.4 	117.332
73 	-2380.79	-2072.99	-1673.4 	176.129
74 	-2260.26	-1737.73	-1673.4 	95.8154
75 	-1912.25	-1759.77	-1673.4 	59.9265
76 	-1989.76	-1782.58	-1673.4 	88.6351
77 	-1940.84	-1891.28	-1673.4 	49.2441
78 	-5419.64	-2005.9 	-1673.4 	662.867
79 	-1944.67	-1796.74	-1673.4 	33.3122
80 	-1983.51	-1856.85	-1673.4 	80.3262
81 	-1964.37	-1904.99	-1673.4 	38.2934
82 	-2117.66	-1814.05	-1673.4 	124.236
83 	-8235.06	-5055.01	-1673.4 	3089.93
84 	-8036.08	-2005.26	-1673.4 	1099.67
85 	-2153.99	-1793.71	-1673.4 	87.3644
86 	-1925.5 	-1759.76	-1673.4 	37.5598
87 	-1972.15	-1883.67	-1673.4 	57.4007
88 	-1918.91	-1891.06	-1673.4 	28.4535
89 	-1919.22	-1728.33	-1673.4 	76.9008
90 	-2446.53	-1856.95	-1673.4 	226.452
91 	-1951.62	-1720   	-1673.4 	28.7118
92 	-2156.71	-1872.36	-1673.4 	113.373
93 	-2150.14	-1895.8 	-1673.4 	150.53 
94 	-2108.53	-1838.56	-1673.4 	91.3832
95 	-1982.95	-1780.5 	-1673.4 	90.5573
96 	-2081.28	-1782.06	-1673.4 	93.7818
97 	-1903.61	-1819.26	-1673.4 	92.8858
98 	-1962.69	-1842.84	-1673.4 	83.2723
99 	-5577.28	-2053.35	-1673.4 	1064.59
