gen	min     	avg     	max     	std     
0  	-2023.83	-1689.65	-1630.93	46.7199 
1  	-1907.22	-1675.22	-1628.09	38.2915 
2  	-1885.26	-1660.17	-1622.89	31.7406 
3  	-1912.35	-1658.75	-1620.9 	48.057  
4  	-1796.74	-1650.03	-1619.28	27.7088 
5  	-4133.28	-1751.39	-1619.28	496.893 
6  	-4154.59	-1695.72	-1616.59	343.042 
7  	-1785.21	-1638.11	-1615.89	22.5295 
8  	-2324.69	-1643.32	-1615.89	39.6066 
9  	-2317.99	-1644.82	-1615.89	44.5656 
10 	-1710.59	-1634.57	-1615.89	13.9931 
11 	-1698.96	-1637.67	-1615.89	18.2641 
12 	-1704.42	-1648.67	-1615.89	21.0755 
13 	-1814.29	-1642.61	-1615.59	45.5064 
14 	-1681.02	-1627.53	-1614.89	12.1086 
15 	-2282.93	-1663.83	-1614.89	112.549 
16 	-2107.41	-1640.14	-1614.89	37.469  
17 	-1821.32	-1642.41	-1614.89	32.8869 
18 	-1711.28	-1635.26	-1614.89	17.8798 
19 	-2107.21	-1640.33	-1614.89	47.577  
20 	-1663.51	-1631.32	-1614.89	7.36851 
21 	-1682.56	-1641.31	-1614.89	16.5111 
22 	-12404.6	-2427.26	-1614.89	2795.44 
23 	-1718.81	-1625.08	-1614.89	11.3521 
24 	-1733.15	-1652.18	-1614.89	31.5853 
25 	-1693.48	-1651.58	-1614.89	16.92   
26 	-1758.48	-1654.08	-1614.89	33.7873 
27 	-1709.89	-1626.04	-1614.89	10.2576 
28 	-1690.59	-1636.12	-1614.89	15.5992 
29 	-1733.59	-1635.86	-1614.89	18.9031 
30 	-1688.89	-1624.85	-1614.89	11.8604 
31 	-1728.22	-1636.48	-1614.89	17.8251 
32 	-1720.42	-1630.62	-1614.89	26.6228 
33 	-1661.59	-1629.44	-1614.89	10.1388 
34 	-1809.89	-1639.61	-1614.89	27.1438 
35 	-1754.59	-1630.28	-1614.89	8.57264 
36 	-1897.59	-1654.4 	-1614.89	47.1218 
37 	-4189.89	-2931.2 	-1614.89	1123.63 
38 	-3916.89	-1683.1 	-1614.89	317.439 
39 	-22206.9	-4021.68	-1614.89	3364.77 
40 	-6145.59	-1681.36	-1614.89	383.899 
41 	-1757.89	-1654.24	-1614.89	38.5839 
42 	-1794.36	-1660.8 	-1614.89	42.5599 
43 	-1731.59	-1622.15	-1614.89	16.3737 
44 	-1744.73	-1631.24	-1614.89	14.7821 
45 	-1741.89	-1643.24	-1614.89	24.7131 
46 	-1739.59	-1631.53	-1614.89	24.0398 
47 	-1695.64	-1646.66	-1614.89	19.3723 
48 	-1686.59	-1631.53	-1614.89	16.4006 
49 	-1690.29	-1630.81	-1614.89	11.8037 
50 	-2665.89	-1777.47	-1614.89	346.06  
51 	-2658.51	-1665.94	-1614.89	161.996 
52 	-2661.81	-1678.14	-1614.89	203.273 
53 	-2630.98	-1630.45	-1614.89	64.2501 
54 	-2632.59	-1628.17	-1614.89	45.2886 
55 	-2659.42	-1629.2 	-1614.89	46.8979 
56 	-1665.89	-1617.63	-1614.89	6.91404 
57 	-2631.59	-1621.62	-1614.89	45.3396 
58 	-1688.69	-1653.35	-1614.89	12.9424 
59 	-1663.69	-1624.11	-1614.89	10.4287 
60 	-1633.11	-1623.14	-1614.89	3.28494 
61 	-1636.44	-1628.87	-1614.89	3.88789 
62 	-1632.59	-1624.18	-1614.89	2.15272 
63 	-1654.66	-1641.19	-1614.89	12.3994 
64 	-1650.66	-1621.5 	-1614.89	5.54851 
65 	-1651.59	-1645.43	-1614.89	8.6685  
66 	-1658.19	-1650.69	-1614.89	6.49141 
67 	-1698.59	-1643.26	-1614.89	9.00544 
68 	-1640.89	-1626.29	-1614.89	3.53678 
69 	-1661.59	-1633.69	-1614.89	9.11848 
70 	-1648.59	-1626.28	-1614.89	6.84353 
71 	-2688.89	-2334.61	-1614.89	332.522 
72 	-2486.89	-1697.94	-1614.89	230.186 
73 	-2215.59	-1747.55	-1614.89	174.422 
74 	-1980.75	-1630.94	-1614.89	38.4478 
75 	-1635.89	-1617.52	-1614.89	4.37939 
76 	-1654.75	-1635.48	-1614.89	6.31406 
77 	-1890.81	-1638.91	-1614.89	54.5422 
78 	-1635.89	-1619.51	-1614.89	4.55543 
79 	-1893.42	-1632.45	-1614.89	17.0793 
80 	-1633.42	-1623.68	-1614.89	3.55365 
81 	-1706.42	-1677.63	-1614.89	24.3907 
82 	-1702.42	-1629.42	-1614.89	10.5634 
83 	-1679.19	-1664.72	-1614.89	16.5139 
84 	-2356.81	-1966.93	-1614.89	362.935 
85 	-2356.11	-1630.28	-1614.89	86.3864 
86 	-1657.12	-1624.75	-1614.89	8.24083 
87 	-1648.59	-1621.74	-1614.89	3.18742 
88 	-1645.51	-1638.08	-1614.89	6.218   
89 	-1767.89	-1662.74	-1614.89	57.2705 
90 	-1761.59	-1621.03	-1614.89	9.47597 
91 	-1628.89	-1616.84	-1614.89	2.22197 
92 	-1621.98	-1616.1 	-1614.89	0.597795
93 	-1876.32	-1804.2 	-1614.89	98.3334 
94 	-1876.32	-1656.59	-1614.89	48.1706 
95 	-1646.51	-1621.87	-1614.89	7.70365 
96 	-1635.29	-1631.24	-1614.89	4.07958 
97 	-1632.89	-1628.56	-1614.89	4.40945 
98 	-1649.89	-1645.17	-1614.89	6.04531 
99 	-1647.89	-1628.37	-1614.89	6.69685 
