gen	min     	avg     	max     	std    
0  	-11394.6	-2645.93	-2214.22	655.045
1  	-3180.37	-2480.21	-2214.22	159.966
2  	-3293.81	-2412.98	-2214.22	130.033
3  	-3011.26	-2392.62	-2214.22	143.856
4  	-3808.29	-2448.19	-2209.48	283.538
5  	-4016   	-2399.33	-2187.34	273.063
6  	-4012.69	-2355.23	-2187.34	219.083
7  	-5198.56	-2409.49	-2178.31	430.278
8  	-16621.9	-2588.05	-2172.88	1538.78
9  	-3626.98	-2500.3 	-2172.88	293.29 
10 	-3336.63	-2440.4 	-2163.36	213.855
11 	-4370.97	-2494.38	-2160.26	417.625
12 	-3798.84	-2387.88	-2160.26	240.478
13 	-3049.35	-2343.17	-2160.26	140.092
14 	-4251.61	-2307.97	-2146.03	280.879
15 	-4278.26	-2528.28	-2146.03	349.138
16 	-7337.91	-2623.71	-2146.03	868.987
17 	-5609.21	-2586.09	-2140.59	695.179
18 	-6475.3 	-2483.89	-2138.76	782.829
19 	-3019.24	-2286.62	-2138.76	122.773
20 	-2595.31	-2273.1 	-2138.76	90.8423
21 	-2948.73	-2392.22	-2138.76	139.845
22 	-3202.16	-2400.19	-2138.76	321.763
23 	-6582.36	-2376.75	-2138.76	296.232
24 	-6601.35	-2328.34	-2136.96	692.444
25 	-6639.99	-2285.82	-2136.96	287.825
26 	-3217.56	-2455.05	-2136.96	286.947
27 	-2861.8 	-2301.79	-2130.3 	181.016
28 	-2590.94	-2325.11	-2130.3 	107.02 
29 	-2459.19	-2211.57	-2130.3 	51.8476
30 	-8342.39	-3440.22	-2130.3 	2307.96
31 	-8237.3 	-2642.78	-2130.3 	1470.67
32 	-2764.69	-2288.32	-2130.3 	142.076
33 	-2831.9 	-2395.77	-2130.3 	154.344
34 	-4612.95	-2351.92	-2130.3 	327.558
35 	-7872.21	-2667.2 	-2130.3 	1366.6 
36 	-2473.38	-2239.01	-2130.3 	48.6859
37 	-2633.2 	-2327.62	-2130.3 	103.477
38 	-2449.79	-2230.33	-2130.3 	41.5781
39 	-2717.27	-2379.97	-2130.3 	172.691
40 	-2834.08	-2281.56	-2130.3 	166.872
41 	-3119.17	-2466.53	-2130.3 	216.268
42 	-2814.25	-2396.54	-2130.3 	146.488
43 	-2751.9 	-2249.38	-2130.3 	56.9369
44 	-2684.57	-2446.84	-2130.3 	150.602
45 	-3821.5 	-2710.51	-2130.3 	590.431
46 	-3445.8 	-2273.1 	-2130.3 	124.92 
47 	-2647.11	-2248.43	-2130.3 	77.201 
48 	-4247.95	-3498.35	-2130.3 	843.18 
49 	-4081.08	-2454.83	-2130.3 	363.854
50 	-2705.12	-2294.84	-2130.3 	113.18 
51 	-2772.58	-2275.08	-2130.3 	136.582
52 	-2817.24	-2321.73	-2130.3 	128.855
53 	-2553.78	-2250.15	-2130.3 	87.5487
54 	-6983.78	-2494.01	-2130.3 	1076.28
55 	-6947.1 	-2731.79	-2128.29	740.493
56 	-3527.17	-2340.89	-2128.29	133.8  
57 	-7028.03	-2539.48	-2128.29	452.553
58 	-2975.24	-2257.93	-2128.29	100.994
59 	-2931.83	-2292.09	-2128.29	49.4271
60 	-2651.17	-2401.71	-2128.29	108.723
61 	-2956.28	-2382.02	-2128.29	100.273
62 	-2539.48	-2218.67	-2128.29	59.2719
63 	-5249.13	-4351.17	-2128.29	1327.12
64 	-5232.48	-2928.15	-2128.29	677.158
65 	-3275.59	-2276.18	-2128.29	167.9  
66 	-2895.7 	-2255.77	-2128.29	71.9044
67 	-2311.57	-2231.39	-2128.29	27.0874
68 	-2384.44	-2314.38	-2128.29	48.0852
69 	-2869.81	-2474.52	-2128.29	177.513
70 	-2756.7 	-2224.48	-2128.29	103.975
71 	-2357.19	-2234.91	-2128.29	35.9139
72 	-2284.45	-2220.96	-2128.29	19.782 
73 	-2651.41	-2529.03	-2128.29	139.428
74 	-2624.5 	-2218.41	-2128.29	113.214
75 	-2765   	-2531.09	-2128.29	183.092
76 	-2668.1 	-2310   	-2128.29	81.6545
77 	-2830.19	-2302.07	-2128.29	182.706
78 	-2579.96	-2233.02	-2128.29	51.9931
79 	-2634.51	-2461.28	-2128.29	162.808
80 	-2592.41	-2236.11	-2128.29	92.3989
81 	-2330.25	-2274.38	-2128.29	39.5689
82 	-2527.12	-2453.72	-2128.29	69.8296
83 	-2514.86	-2303.25	-2128.29	48.2793
84 	-2354.11	-2293.55	-2128.29	37.5198
85 	-2463.74	-2263.36	-2128.29	67.9917
86 	-2376.97	-2261.64	-2128.29	67.1427
87 	-2504.38	-2306.06	-2128.29	74.0563
88 	-2427.5 	-2272.69	-2128.29	35.5605
89 	-3186.48	-2535.07	-2128.29	241.179
90 	-2720.05	-2447.96	-2128.29	76.7919
91 	-2695.31	-2345.71	-2128.29	76.0659
92 	-2491.68	-2173.67	-2128.29	52.3714
93 	-2507.88	-2296.04	-2128.29	58.8548
94 	-2360.91	-2237.36	-2128.29	21.7349
95 	-3595.03	-2718.5 	-2128.29	513.095
96 	-3532.03	-2184.88	-2124.5 	103.619
97 	-2441.81	-2247.28	-2124.5 	51.4346
98 	-2413.24	-2262.28	-2124.5 	32.1488
99 	-2365.57	-2235.75	-2124.5 	51.8548
