gen	min         	avg     	max     	std    
0  	-9620.08    	-2810.11	-2382.61	565.216
1  	-5472.26    	-2702.95	-2334.16	404.085
2  	-3635.99    	-2588.32	-2334.16	157.563
3  	-3474.74    	-2528.78	-2326.35	128.993
4  	-9673.99    	-2799.63	-2326.35	1268.83
5  	-9742.04    	-2606.28	-2310.61	565.157
6  	-5857.81    	-2681.7 	-2310.61	560.258
7  	-4992.49    	-2932.1 	-2310.61	812.854
8  	-4694.35    	-2599.72	-2308.4 	308.612
9  	-9647.87    	-2904.87	-2297.27	1489.87
10 	-4586.78    	-2591.87	-2291.96	343.045
11 	-4214.63    	-2567.27	-2278.69	366.718
12 	-4225.85    	-2471.67	-2278.69	189.459
13 	-24060      	-2594.84	-2278.69	1384.32
14 	-24634.9    	-4914.31	-2278.69	6869.65
15 	-24628.3    	-3340.12	-2260.14	3178.85
16 	-11647.4    	-2506.48	-2260.14	833.668
17 	-3530.11    	-2636.15	-2260.14	360.147
18 	-3337       	-2495.83	-2260.14	149.518
19 	-3246.05    	-2561.3 	-2260.14	184.366
20 	-3224.75    	-2490.6 	-2260.14	208.581
21 	-5837.17    	-2960.26	-2260.14	954.421
22 	-4607.04    	-2516.65	-2260.14	239.407
23 	-4781.54    	-2629.54	-2260.14	239.416
24 	-3884.74    	-2579.65	-2260.14	372.149
25 	-3936.85    	-2435.9 	-2260.14	214.291
26 	-3741.7     	-2620.57	-2260.14	227.214
27 	-4170.96    	-2540.23	-2260.14	223.069
28 	-3342.41    	-2559.21	-2260.14	244.48 
29 	-3379.12    	-2584.61	-2260.14	172.601
30 	-2826.18    	-2431.7 	-2260.14	96.154 
31 	-3070       	-2474.54	-2260.14	103.655
32 	-2718.77    	-2432.99	-2260.14	109.898
33 	-4734.18    	-3171.37	-2260.14	882.802
34 	-5490.23    	-3471.85	-2260.14	1015.43
35 	-4872       	-2507.93	-2260.14	312.252
36 	-2841.19    	-2525.76	-2260.14	125.604
37 	-8810.77    	-2733.45	-2260.14	1139.28
38 	-3286.15    	-2553.52	-2260.14	260.233
39 	-3020.83    	-2359.01	-2260.14	55.2435
40 	-2845.06    	-2404.47	-2260.14	91.8354
41 	-3050.41    	-2483.51	-2260.14	117.32 
42 	-2975.57    	-2431.31	-2258.45	127.77 
43 	-3418.24    	-2631.77	-2258.45	220.064
44 	-2833.77    	-2429.61	-2258.45	85.06  
45 	-9851.07    	-3177.77	-2258.45	2132.99
46 	-9423.98    	-2540.57	-2258.45	359.005
47 	-3360.81    	-2600.88	-2258.45	259.042
48 	-3035.16    	-2487.69	-2258.45	102.216
49 	-3358.1     	-2493.63	-2258.45	126.881
50 	-2.27687e+06	-229822 	-2258.45	682182 
51 	-2600.63    	-2346.68	-2258.45	53.8109
52 	-2566.42    	-2341.73	-2258.45	36.7043
53 	-4223.27    	-2428.5 	-2258.45	183.987
54 	-2813.42    	-2600.96	-2258.45	142.994
55 	-3292.32    	-2907.61	-2258.45	275.957
56 	-3171.89    	-2631.11	-2258.45	205.508
57 	-4285.99    	-2451.84	-2258.45	165.064
58 	-3280.25    	-2970.05	-2258.45	307.05 
59 	-3152.55    	-2607.21	-2258.45	169.006
60 	-2721.24    	-2452.77	-2258.45	74.2796
61 	-2549.05    	-2429.75	-2258.45	31.3065
62 	-4905.9     	-2953.97	-2258.45	374.84 
63 	-3228.21    	-2461.72	-2258.45	184.848
64 	-2711.93    	-2502.96	-2258.45	103.403
65 	-2780.65    	-2405.68	-2258.45	92.7087
66 	-2467.63    	-2323.08	-2258.45	27.4459
67 	-2385.65    	-2307.05	-2246.04	29.7869
68 	-2728.35    	-2548.55	-2246.04	111.496
69 	-3692.14    	-2534.99	-2246.04	298.705
70 	-3010       	-2746.33	-2246.04	150.363
71 	-4090.39    	-3268.27	-2246.04	370.71 
72 	-3572.11    	-2390.31	-2246.04	260.202
73 	-2389.1     	-2317.68	-2246.04	24.7913
74 	-2720.92    	-2392.28	-2246.04	79.0606
75 	-2748.84    	-2501.37	-2246.04	112.732
76 	-2900.64    	-2513.39	-2246.04	174.775
77 	-2653.21    	-2398.7 	-2246.04	53.5982
78 	-2650.03    	-2449.24	-2246.04	68.0161
79 	-2615.36    	-2504.43	-2246.04	48.3605
80 	-2548.31    	-2383.1 	-2246.04	47.4806
81 	-2505.75    	-2354.45	-2246.04	31.6936
82 	-2531.86    	-2437.03	-2246.04	43.1451
83 	-2944.28    	-2711.52	-2246.04	120.193
84 	-2933.15    	-2596.67	-2246.04	161.596
85 	-2663.61    	-2388.63	-2246.04	71.9513
86 	-2491.15    	-2329.22	-2246.04	43.1091
87 	-2645.06    	-2516.49	-2246.04	71.3564
88 	-2567.84    	-2440.47	-2246.04	40.4404
89 	-2938.97    	-2616.94	-2246.04	160.147
90 	-2763.93    	-2516.1 	-2246.04	63.0429
91 	-2608.64    	-2417.93	-2246.04	45.0784
92 	-4653.81    	-3010.69	-2246.04	498.879
93 	-3053.79    	-2453.44	-2246.04	120.774
94 	-2507.18    	-2374.31	-2246.04	48.4584
95 	-2507.27    	-2428.08	-2246.04	29.2701
96 	-2493.44    	-2368.29	-2246.04	28.9688
97 	-3335.16    	-3091.48	-2246.04	308.494
98 	-3266.87    	-2498.56	-2246.04	153.274
99 	-2543.39    	-2480.96	-2246.04	31.9794
