gen	min     	avg     	max     	std    
0  	-47867.6	-3260.92	-1824.76	4930.93
1  	-47838.9	-2630.18	-1693.71	2219.19
2  	-47883.8	-2674.02	-1622.83	3560.26
3  	-7166.24	-2384.39	-1622.83	658.962
4  	-6375.73	-2380.57	-1594.61	618.055
5  	-4273.56	-2349.11	-1552.71	436.689
6  	-4462.84	-2332.46	-1520.55	538.234
7  	-4924.32	-2442.27	-1520.55	616.342
8  	-4377.75	-2354.12	-1520.55	460.035
9  	-4350.84	-2436.23	-1520.55	482.566
10 	-49687.6	-2569.46	-1520.55	2367.83
11 	-9292.2 	-3282.26	-1520.55	1869.19
12 	-9419.89	-2833.81	-1520.55	1183.64
13 	-7526.27	-2491.14	-1500.72	776.684
14 	-9171.21	-2520.92	-1500.72	1154.82
15 	-8262.34	-2851.28	-1500.72	1314.72
16 	-10639.4	-3279.98	-1500.72	1812.65
17 	-6992.22	-2378.89	-1500.72	768.1  
18 	-4763.06	-2797.47	-1500.72	585.541
19 	-4130.56	-2456.73	-1500.72	446.456
20 	-3958.24	-2460.42	-1500.72	390.399
21 	-7035.12	-2996.61	-1500.72	1039.31
22 	-8002.61	-3089.7 	-1500.72	1686.33
23 	-5079.95	-2765.61	-1500.72	660.203
24 	-5295.97	-2688.94	-1500.72	378.139
25 	-5652.92	-2859.32	-1500.72	621.295
26 	-4236.52	-2483.78	-1500.72	504.486
27 	-5897.49	-2265.68	-1500.72	444.569
28 	-8756.34	-4116.91	-1500.72	2091.56
29 	-7527.47	-2921.27	-1500.72	813.053
30 	-3783.03	-2096.73	-1500.72	404.763
31 	-6691.16	-4374.24	-1500.72	1348.12
32 	-5580.81	-2330.44	-1500.72	687.387
33 	-6604.73	-2831.49	-1500.72	792.681
34 	-16249  	-7837.83	-1500.72	6087.92
35 	-25019.8	-4789.49	-1500.72	3505.32
36 	-5881.25	-3135.95	-1500.72	659.816
37 	-9080.57	-3719.84	-1500.72	2180.73
38 	-14201.9	-2898.04	-1500.72	1807.7 
39 	-29917.4	-12220.5	-1500.72	10722.7
40 	-24215.4	-2809.45	-1500.72	2994.34
41 	-4615.65	-2503.97	-1458.45	835.147
42 	-4577.67	-2690.61	-1458.45	666.185
43 	-3725.71	-2301.05	-1458.45	287.905
44 	-2846   	-1933.43	-1458.45	245.733
45 	-4109.91	-2697.96	-1458.45	432.949
46 	-10513.8	-3370.47	-1458.45	1627.34
47 	-3275.83	-2106.89	-1458.45	320.957
48 	-8610.84	-3079.21	-1458.45	2050.91
49 	-7455.52	-2448.53	-1458.45	521.265
50 	-9980.66	-2493.12	-1458.45	865.282
51 	-6377.85	-2954.45	-1458.45	1337.52
52 	-5089.66	-2122.29	-1458.45	497.695
53 	-4691.21	-2903.7 	-1458.45	999.981
54 	-4218.11	-2110.58	-1458.45	308.663
55 	-4281.4 	-2463.06	-1458.45	640.503
56 	-3836.65	-3274.43	-1458.45	476.789
57 	-3520.95	-2380.37	-1458.45	285.714
58 	-3490.36	-2741.18	-1458.45	351.857
59 	-4430.25	-2568.64	-1458.45	653.974
60 	-4778.5 	-2513.51	-1458.45	475.709
61 	-4753.46	-3451.92	-1458.45	976.083
62 	-4552.42	-2289.86	-1458.45	475.082
63 	-2811.64	-2142.32	-1458.45	144.048
64 	-8055.78	-3150.72	-1458.45	1240.2 
65 	-6378.97	-2352.59	-1458.45	473.882
66 	-2857.44	-2231.9 	-1458.45	227.353
67 	-3508.52	-2696.43	-1458.45	352.127
68 	-12409.6	-5117.08	-1458.45	2810.16
69 	-10219  	-2598.49	-1458.45	672.897
70 	-2816.21	-2344.14	-1458.45	266.278
71 	-26799.6	-9954.05	-1458.45	10754.7
72 	-633532 	-349793 	-1458.45	313007 
73 	-632611 	-19335.9	-1458.45	92067.1
74 	-12134  	-2240.66	-1458.45	1413.8 
75 	-13791.8	-2580.1 	-1458.45	1417.5 
76 	-5018.7 	-2625.61	-1458.45	841.601
77 	-3771.63	-2297.98	-1458.45	323.89 
78 	-3055.81	-2374.62	-1458.45	356.569
79 	-3022.28	-2144.47	-1458.45	234.362
80 	-5484.95	-4457.75	-1458.45	1353.27
81 	-7355.99	-4770.19	-1458.45	2315.55
82 	-7073.26	-3639.88	-1458.45	800.709
83 	-4199.82	-3014.8 	-1458.45	265.894
84 	-5237.3 	-2838.26	-1458.45	628.607
85 	-4080.21	-2060.76	-1458.45	276.973
86 	-2751.33	-1999.85	-1458.45	245.36 
87 	-7801.57	-2713.47	-1458.45	964.73 
88 	-11751.9	-3993.86	-1458.45	2311.06
89 	-9891.73	-3497.85	-1458.45	1464.62
90 	-6682.21	-3289.69	-1458.45	1411.22
91 	-5661.38	-2854.57	-1458.45	496.195
92 	-5865.69	-2620.03	-1458.45	631.718
93 	-5003.75	-3555.47	-1458.45	1308.38
94 	-6324.65	-3316.09	-1458.45	1821.75
95 	-6133.71	-2264.63	-1458.45	520.755
96 	-32820.1	-17580  	-1458.45	14889.5
97 	-32054.2	-2986.6 	-1458.45	5262.19
98 	-5273.32	-3928.09	-1458.45	1308.58
99 	-4815.21	-2205.32	-1458.45	513.162
