% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.259289265e+02 +3.259289265e+02 +4.054089265e+02 +4.054089265e+02 +2.9143e+00 +8.5785e-01 -7.7211e-02 -4.6332e+00 -4.0035e+00 -3.0375e+00 +1.5472e+00 +2.6706e+00 -2.3936e+00 +2.3637e+00 +2.9085e+00 -3.4388e-01 -1.1601e+00 +4.2178e+00 -1.2453e-01 -4.8078e+00 +1.9261e-01 +9.2249e-01 -4.1542e+00 -5.3906e-01
105 +2.312302683e+02 +2.312302683e+02 +3.107102683e+02 +3.107102683e+02 +8.1378e-01 -3.4037e+00 +7.5030e-01 +4.6254e+00 -1.7968e+00 -7.2902e+00 +4.1145e+00 +2.5121e+00 -6.8026e-01 +1.6410e+00 +2.4686e+00 +1.0476e+00 -2.9289e-01 +4.5698e+00 +4.4019e+00 +4.3645e+00 +8.0844e-01 -8.0062e-01 +5.2081e+00 -3.4786e+00
143 +1.057165012e+02 +1.057165012e+02 +1.851965012e+02 +1.851965012e+02 -2.8402e+00 -1.6371e+00 +4.4330e-01 +3.0910e+00 -9.8300e-01 -5.5588e-02 +2.8195e-01 +2.5727e+00 +1.9283e-02 -4.8647e+00 -3.2069e+00 +2.6600e+00 +2.9201e+00 -9.3463e-01 +9.7948e+00 +7.2980e+00 -2.8543e+00 -4.9796e+00 +4.6137e+00 +2.8640e+00
163 +9.234468759e+01 +9.234468759e+01 +1.718246876e+02 +1.718246876e+02 -1.2421e+00 -1.0792e+00 +1.5089e+00 -1.8302e-01 -5.9795e-02 -9.1697e-01 +1.5319e+00 +1.1548e+00 -7.5636e-01 -5.1195e+00 -6.3866e+00 +5.0109e+00 +1.7972e-01 +3.0020e-01 +8.9334e+00 +6.4436e+00 -2.4423e+00 -3.4392e+00 +2.5701e+00 +2.1748e+00
218 +6.052024349e+01 +6.052024349e+01 +1.400002435e+02 +1.400002435e+02 -1.1169e-01 -1.7102e-01 +6.0505e-01 +1.5948e+00 -3.7208e+00 -3.1475e-01 +4.4777e-01 +3.0029e+00 +1.0723e+00 -5.2175e+00 -8.0783e+00 +2.2177e+00 +1.5459e+00 -4.8263e-01 +6.6496e+00 +4.8650e+00 -1.3818e+00 -5.1480e+00 +1.5121e+00 +7.8161e-01
240 +3.789041737e+01 +3.789041737e+01 +1.173704174e+02 +1.173704174e+02 -1.5676e+00 -1.6281e-01 -1.1617e+00 +2.8419e+00 -4.2712e+00 -6.0857e-01 +2.0560e+00 +2.7231e-03 +1.6630e-01 -4.0029e+00 -6.3590e+00 +2.5632e+00 +1.0765e+00 +2.3490e+00 +2.9087e+00 +3.0739e+00 +3.5847e-01 -6.0777e+00 +2.9344e+00 +2.6907e+00
321 +1.623649400e+01 +1.623649400e+01 +9.571649400e+01 +9.571649400e+01 -1.2115e+00 +7.1212e-01 -1.9823e+00 +1.5052e+00 -2.0354e+00 +1.7229e+00 +1.5034e-01 +7.1292e-01 -1.8116e+00 -2.5127e+00 -4.7011e+00 +7.8756e-01 +1.7167e+00 -4.2656e-01 +3.5620e+00 +4.1123e+00 +1.0224e+00 -4.1310e+00 +2.5910e+00 +2.0108e+00
354 +1.545727208e+01 +1.545727208e+01 +9.493727208e+01 +9.493727208e+01 -7.9234e-01 -2.6296e-01 -1.4284e+00 +7.1947e-01 -3.1823e+00 +1.5629e+00 -4.8889e-01 +1.3907e+00 -1.6630e+00 -2.9325e+00 -4.4234e+00 +3.8181e-01 +2.0023e+00 +6.1616e-01 +3.7554e+00 +4.3819e+00 +7.7266e-01 -4.6660e+00 +3.0310e+00 +1.2019e+00
406 +7.400650703e+00 +7.400650703e+00 +8.688065070e+01 +8.688065070e+01 -5.5779e-01 -5.2251e-01 -1.8233e+00 +1.5779e+00 -3.4764e+00 +1.1618e+00 -2.2907e-02 +5.4918e-01 -2.0228e+00 -2.8109e+00 -4.4171e+00 +2.1547e+00 +6.8548e-01 +2.5340e-01 +3.9850e+00 +3.9402e+00 +9.7303e-01 -4.2717e+00 +2.0057e+00 +1.8225e+00
416 +6.294293186e+00 +6.294293186e+00 +8.577429319e+01 +8.577429319e+01 -7.9790e-01 -1.4918e-01 -7.2375e-01 +2.6043e+00 -2.8639e+00 +7.4237e-01 -5.5082e-01 +2.1307e-01 -1.2640e+00 -3.3029e+00 -4.9509e+00 +1.7444e+00 +6.0941e-01 +4.6289e-01 +3.5958e+00 +2.2180e+00 +1.4122e-01 -3.3312e+00 +1.6737e+00 +1.3165e+00
519 +3.448947655e+00 +3.448947655e+00 +8.292894766e+01 +8.292894766e+01 +1.4166e-01 -6.1751e-01 -6.5098e-02 +1.7037e+00 -2.7806e+00 +7.6099e-01 -6.7957e-01 +8.3704e-02 -1.5342e+00 -3.3731e+00 -4.3356e+00 +2.6856e+00 +1.4683e+00 +2.0260e-01 +3.3978e+00 +2.3746e+00 +5.2894e-01 -3.4176e+00 +2.6175e+00 +1.0336e+00
536 +1.891957191e+00 +1.891957191e+00 +8.137195719e+01 +8.137195719e+01 +3.6465e-01 -1.0779e+00 -7.5982e-01 +2.0262e+00 -2.8852e+00 +7.8754e-01 -5.0120e-01 +3.9994e-02 -1.2125e+00 -3.1061e+00 -4.4820e+00 +2.2239e+00 +1.6049e+00 +1.3794e-01 +3.7199e+00 +2.4380e+00 +2.2452e-01 -3.4237e+00 +2.3764e+00 +1.3746e+00
568 +1.286492420e+00 +1.286492420e+00 +8.076649242e+01 +8.076649242e+01 +5.4059e-01 -9.3705e-01 -6.8938e-01 +2.0016e+00 -2.8216e+00 +5.8828e-01 -3.2404e-01 -1.9203e-02 -1.2104e+00 -2.8375e+00 -4.3266e+00 +2.1348e+00 +1.4312e+00 +1.7640e-02 +3.4969e+00 +2.3762e+00 -5.0826e-02 -3.6083e+00 +2.4715e+00 +1.5086e+00
599 +7.907809096e-01 +7.907809096e-01 +8.027078091e+01 +8.027078091e+01 +2.0287e-01 -8.9264e-01 -6.7095e-01 +2.1801e+00 -2.8212e+00 +7.3484e-01 -1.2332e-01 +2.0958e-01 -1.6835e+00 -2.9969e+00 -4.1669e+00 +2.0859e+00 +1.1594e+00 -2.2631e-01 +3.5608e+00 +2.3496e+00 -1.3646e-01 -3.7663e+00 +2.5904e+00 +1.4271e+00
620 +6.038769255e-01 +6.038769255e-01 +8.008387693e+01 +8.008387693e+01 +2.7916e-01 -9.9751e-01 -5.9870e-01 +2.0402e+00 -2.9436e+00 +6.7502e-01 -3.3423e-02 +3.2856e-01 -1.8035e+00 -3.0666e+00 -3.9783e+00 +2.1742e+00 +1.1796e+00 -1.7052e-01 +3.6014e+00 +2.5070e+00 -7.1265e-02 -3.8384e+00 +2.6920e+00 +1.2757e+00
673 +2.918517958e-01 +2.918517958e-01 +7.977185180e+01 +7.977185180e+01 +1.8080e-01 -1.2489e+00 -7.3910e-01 +2.0520e+00 -2.8156e+00 +6.1508e-01 -5.2355e-02 +4.1046e-02 -1.6117e+00 -3.0507e+00 -3.7658e+00 +2.0348e+00 +1.0822e+00 -9.2916e-02 +3.6382e+00 +2.6484e+00 +1.3768e-01 -4.0050e+00 +2.5564e+00 +1.2421e+00
