% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.227280568e+03 +5.227280568e+03 +4.765190568e+03 +4.765190568e+03 -1.9647e+00 +1.4703e+00 -2.7884e+00 +4.0058e+00 +2.4787e+00 -1.6110e-02 -2.3657e+00 +7.8565e-01 -7.4487e-01 -4.2310e+00 +1.7850e+00 +2.3082e-01 +2.8296e+00 -7.7017e-01 +1.9402e+00 -4.9004e+00 -1.0858e+00 -4.5912e+00 +3.8048e+00 +4.3721e+00
94 +3.483115427e+03 +3.483115427e+03 +3.021025427e+03 +3.021025427e+03 +1.6134e+00 +3.7774e+00 +5.6808e+00 -3.9591e+00 +4.9053e-01 +1.6176e+00 -3.4833e+00 +7.8750e+00 -3.5408e-03 -7.2813e-01 -3.4254e+00 +2.2887e+00 +5.3118e-01 -6.9926e-01 -2.4603e-02 -5.3677e+00 +9.4932e-01 +3.1065e-01 +1.3149e+00 +1.9961e+00
106 +1.815441080e+03 +1.815441080e+03 +1.353351080e+03 +1.353351080e+03 +2.8163e+00 +1.2088e+00 +2.0290e+00 -6.3433e+00 -1.6631e+00 +4.1147e+00 +1.2580e+00 +7.4052e+00 -1.6491e+00 +2.9862e+00 +7.3157e-01 +4.0020e+00 -7.1450e-01 -2.6163e+00 -1.4653e+00 -3.4050e+00 -5.5208e+00 +5.3043e-01 +2.3185e+00 +2.3683e+00
128 +9.381056379e+02 +9.381056379e+02 +4.760156379e+02 +4.760156379e+02 +3.0871e+00 +1.4725e+00 +8.4410e-01 -2.1085e+00 -4.2064e-02 +5.5781e+00 +2.1910e+00 +3.8853e+00 +2.0049e+00 -2.6589e+00 +3.4112e-01 +5.5754e+00 -2.5007e+00 -4.3473e+00 -3.1464e+00 -3.9841e+00 -9.2555e-01 +3.4069e-01 +1.8381e+00 +2.2391e+00
223 +5.027118581e+02 +5.027118581e+02 +4.062185812e+01 +4.062185812e+01 +3.8005e-01 +3.0145e+00 +1.8145e+00 -1.8435e-01 +1.6968e+00 +5.2110e+00 +2.2266e+00 +4.1075e+00 +2.3307e+00 -4.9019e-02 +6.3688e-01 +1.8045e+00 -8.7559e-01 -2.2173e+00 -8.3851e-01 -2.6682e+00 -2.4901e-01 +1.7402e+00 +2.0275e+00 +9.3442e-01
228 +3.493048479e+02 +3.493048479e+02 -1.127851521e+02 -1.127851521e+02 +2.4454e+00 +3.2208e+00 +1.1744e+00 -2.2003e-01 -2.2960e+00 +2.7515e+00 +1.2893e+00 +3.1960e+00 +2.2542e+00 +2.5311e+00 +2.8750e-01 -9.2906e-01 -1.6855e+00 -3.1526e+00 +1.3148e+00 -2.8448e+00 +2.9937e-01 +3.0636e+00 +1.9471e+00 +8.7675e-01
401 +2.319657049e+02 +2.319657049e+02 -2.301242951e+02 -2.301242951e+02 +2.2550e+00 +1.4630e+00 +1.5453e+00 -2.6932e-01 -2.4869e+00 +3.5103e+00 +1.8570e+00 +3.9574e+00 +7.2487e-01 +2.9967e+00 +1.3026e+00 -1.6837e+00 -1.2102e+00 -4.1179e+00 +8.9017e-01 -3.0949e+00 +5.7790e-02 +1.6464e+00 +2.7730e+00 +1.5580e+00
833 +1.561099190e+02 +1.561099190e+02 -3.059800810e+02 -3.059800810e+02 +2.1325e+00 +1.3760e+00 +1.2295e+00 -2.0285e-01 -2.4358e+00 +3.4553e+00 +1.7506e+00 +3.8965e+00 +6.5222e-01 +2.8947e+00 +1.2752e+00 -1.7592e+00 -1.1834e+00 -4.2054e+00 +9.6147e-01 -3.0406e+00 -4.1214e-02 +1.9065e+00 +2.8266e+00 +1.5015e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.199646903e+03 +6.199646903e+03 +6.277306903e+03 +6.277306903e+03 +1.0248e+00 +1.6162e+00 +2.5496e+00 -1.0603e+00 +4.4668e+00 +3.1079e+00 +1.4520e+00 -3.3168e+00 +3.6443e+00 +4.4245e-01 -3.9336e+00 -9.3295e-01 +1.2588e+00 -2.3191e+00 +3.8662e+00 +4.5551e+00 -2.4709e+00 -4.5440e+00 +1.0304e-01 +3.0182e+00
37 +3.879720816e+03 +3.879720816e+03 +3.957380816e+03 +3.957380816e+03 +2.3673e+00 +6.1802e+00 -1.3978e+00 -3.5063e+00 -2.1953e+00 +5.1815e-01 -1.6307e+00 -6.8077e+00 +1.2346e+00 -2.6396e+00 -2.1611e+00 +3.1197e+00 -3.1887e+00 -5.5177e+00 +1.3664e+00 +8.6587e+00 -2.4257e+00 -6.5790e+00 -2.6895e+00 -4.2309e+00
112 +2.450483180e+03 +2.450483180e+03 +2.528143180e+03 +2.528143180e+03 -8.2437e-01 +8.2753e+00 -5.0449e+00 -2.2944e+00 -4.1834e+00 -3.3623e+00 -1.5519e+00 -1.4311e+00 -2.4675e+00 +1.2678e+00 +4.1597e-02 -2.0168e+00 -5.0088e+00 -1.6287e+00 -3.3266e+00 +3.9770e+00 -3.0705e+00 -3.8758e+00 +3.0740e+00 -6.3187e+00
130 +1.272274207e+03 +1.272274207e+03 +1.349934207e+03 +1.349934207e+03 +6.7286e-01 +4.3109e+00 -6.4096e-02 -2.0359e+00 -2.1391e+00 -3.0361e+00 -4.1885e-01 +1.2777e-01 -2.0437e+00 -1.4302e+00 -1.9046e+00 -5.1821e+00 -3.0117e+00 +3.9886e+00 -1.6843e+00 +5.0506e+00 -3.5488e+00 -4.8694e+00 +3.1905e+00 -5.6618e+00
194 +9.984345168e+02 +9.984345168e+02 +1.076094517e+03 +1.076094517e+03 -2.3346e-01 +6.2309e+00 +5.6337e-01 +7.2235e-01 +3.4471e-01 -1.9651e+00 -6.5249e-01 -8.1545e-01 -6.3502e+00 -3.9615e+00 -1.4593e+00 -3.9030e+00 -2.1942e+00 -1.3406e-02 +2.5032e+00 +3.9645e+00 -2.7084e+00 -3.7379e+00 +2.6588e+00 -5.0826e+00
248 +6.145745007e+02 +6.145745007e+02 +6.922345007e+02 +6.922345007e+02 +1.2761e+00 +5.1157e+00 -1.1478e+00 +1.1535e+00 +5.7896e-02 -3.5088e+00 -4.8198e-01 +1.4370e+00 -4.7889e+00 -2.4780e+00 -1.0093e+00 +1.2507e+00 +8.4194e-01 -6.6094e-01 +1.1984e+00 +1.7788e+00 -1.7042e+00 -1.7683e+00 +1.6875e+00 -4.6223e+00
613 +3.943281635e+02 +3.943281635e+02 +4.719881635e+02 +4.719881635e+02 +2.4921e+00 +4.0355e+00 -1.4446e+00 +6.8911e-01 -2.2246e+00 -4.2716e+00 -1.5184e+00 +1.3864e+00 -4.1264e+00 -2.1854e+00 -2.1900e+00 +1.4670e+00 -7.0592e-01 -1.1182e+00 +2.3710e+00 +2.4064e+00 -1.1054e+00 -2.7634e+00 +2.6580e+00 -4.9021e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.909944861e+03 +3.909944861e+03 +4.025624861e+03 +4.025624861e+03 +7.5972e-01 +4.5075e-01 +4.3696e+00 +1.7750e+00 +2.0899e+00 -4.2572e+00 -1.8209e+00 +2.1441e+00 -4.4222e+00 +1.6753e+00 -4.9827e+00 +7.8224e-01 -2.4076e+00 -2.4977e+00 -1.0920e+00 +4.5375e+00 -1.6823e+00 -1.4311e+00 -1.6134e+00 -4.6475e+00
129 +2.057210292e+03 +2.057210292e+03 +2.172890292e+03 +2.172890292e+03 +3.5116e+00 -5.1792e+00 +4.9574e-02 +5.0072e+00 +6.3345e-01 -3.5351e+00 -2.4904e+00 +5.6432e+00 -4.7114e+00 -2.3138e+00 -4.0195e+00 +3.4205e+00 -1.4712e-01 -2.5876e+00 -1.7751e+00 +8.7617e-01 -3.8088e+00 -3.5609e+00 -1.2490e+00 -4.4766e+00
145 +1.584476414e+03 +1.584476414e+03 +1.700156414e+03 +1.700156414e+03 -4.2682e-01 -5.9394e+00 -1.7270e+00 +4.4844e+00 -6.0513e+00 -2.2789e+00 -8.0738e-01 +1.7745e+00 -5.2349e+00 -1.8761e+00 -2.7233e+00 +8.3508e-02 +1.6796e+00 -1.1739e+00 -3.0379e+00 -1.8533e+00 -3.6874e+00 +3.6467e-03 -1.2481e-01 -3.4266e+00
213 +9.138418604e+02 +9.138418604e+02 +1.029521860e+03 +1.029521860e+03 +2.0119e+00 -1.3974e+00 -2.6166e+00 +4.1883e+00 -2.6746e+00 +5.7681e-01 -3.1100e+00 +7.4778e-01 -2.9748e+00 -1.8842e+00 -9.2460e-01 +6.3326e-01 +4.1536e+00 +4.7980e-01 +7.7993e-01 -1.8425e+00 +1.2362e-01 +4.3980e+00 +2.7225e+00 -3.7958e+00
277 +5.833907249e+02 +5.833907249e+02 +6.990707249e+02 +6.990707249e+02 +2.2129e+00 -1.1699e+00 -2.4500e+00 +2.8214e+00 -1.7109e+00 -8.8417e-01 -4.5330e-01 -2.2352e+00 +1.9753e+00 -3.1467e+00 +5.3624e-01 +1.3688e+00 +2.4178e+00 +1.0436e+00 -8.2589e-01 -2.5602e+00 -1.5337e+00 +3.3073e+00 +2.8174e+00 -2.5145e+00
292 +3.588010730e+02 +3.588010730e+02 +4.744810730e+02 +4.744810730e+02 +3.6424e-01 -2.8527e+00 -2.3537e+00 +1.4237e+00 +5.3284e-01 -5.6425e-02 +3.1397e-01 -3.4402e-01 +3.0222e+00 -2.4920e+00 +2.5917e+00 -8.8614e-01 +2.7780e+00 +3.3482e+00 -9.3694e-01 -2.1371e+00 -6.8918e-01 +4.6811e+00 +2.7831e+00 -1.0600e+00
