% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.124201902e+02 +9.124201902e+02 +4.503301902e+02 +4.503301902e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.473743362e+02 +9.473743362e+02 +1.025034336e+03 +1.025034336e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
11 +4.362214997e+02 +4.362214997e+02 +5.138814997e+02 +5.138814997e+02 +4.5297e+00 -5.2338e-01 +1.1825e+00 +1.7482e-01 -2.1723e+00 +4.5079e-01 -1.4100e-01 +5.3003e-02 -1.7894e+00 -3.8470e+00 -2.5397e-02 +3.9221e+00 +7.9733e-01 -7.1085e-01 -1.5088e+00 +3.1725e+00 -1.8440e+00 -3.5429e+00 +1.2016e+00 -2.6021e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.797623408e+02 +7.797623408e+02 +8.954423408e+02 +8.954423408e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
17 +7.044639274e+02 +7.044639274e+02 +8.201439274e+02 +8.201439274e+02 +4.3203e+00 +1.2698e+00 -2.1981e+00 -2.5451e+00 -1.5475e+00 +3.4925e-02 -4.5311e+00 +3.2933e+00 +1.4438e+00 -4.0663e+00 +8.5095e-01 -4.0549e+00 -4.2653e+00 +2.0151e-01 -1.1256e+00 -2.1975e+00 +9.8215e-01 +3.2721e+00 +3.4659e+00 +1.4605e+00
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.158635511e+02 +9.158635511e+02 +9.121535511e+02 +9.121535511e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
21 +8.786274737e+02 +8.786274737e+02 +8.749174737e+02 +8.749174737e+02 +2.8559e+00 -2.6972e+00 -3.2517e-01 +4.2845e+00 -3.0271e-01 -4.9116e+00 -2.1101e+00 -3.1189e+00 -2.8272e-01 +3.8330e+00 +3.7439e+00 +9.4422e-01 +3.1238e+00 -3.7518e+00 +1.5254e+00 -1.6317e+00 -3.8247e+00 -1.8675e+00 +1.4341e-01 -2.5388e+00
