% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +3.900661284e+02 +3.900661284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.907237151e+02 +3.907237151e+02 +3.815137151e+02 +3.815137151e+02 +9.7080e-01 +9.8641e-01 +9.1162e-01 +8.4978e-01 +8.8909e-02 +2.0688e-01 +7.1736e-01 +6.7844e-01 +1.9372e-01 +1.3526e-02 +7.4149e-01 +1.4824e-01 +2.4837e-01 +7.0525e-01 +4.1203e-01 +8.9844e-01 +6.1767e-01 +7.4740e-01 +9.4268e-01 +4.8640e-01
3 +3.831833367e+02 +3.831833367e+02 +3.739733367e+02 +3.739733367e+02 +2.4512e-02 +5.2291e-01 +5.8623e-01 +1.2547e-02 +3.9677e-03 +8.2855e-01 +9.6994e-01 +1.8344e-01 +1.6413e-01 +7.7167e-01 +4.5236e-01 +5.5665e-01 +1.9724e-01 +2.8260e-01 +5.7684e-01 +1.2032e-01 +8.6490e-01 +8.8357e-01 +1.7642e-01 +6.5543e-01
8 +3.768453836e+02 +3.768453836e+02 +3.676353836e+02 +3.676353836e+02 +4.6631e-01 +8.2127e-01 +7.4542e-01 +4.1400e-01 +5.2756e-02 +8.8821e-01 +7.5851e-01 +8.2943e-01 +2.0498e-01 +6.1343e-01 +3.3577e-01 +3.4122e-01 +4.3037e-01 +6.5545e-01 +6.7001e-01 +1.8677e-01 +8.2555e-01 +7.4044e-01 +2.3207e-01 +8.4516e-01
6324 +3.712597648e+02 +3.712597648e+02 +3.620497648e+02 +3.620497648e+02 +6.8279e-01 +5.1436e-01 +7.8878e-01 +8.3950e-01 +4.6453e-02 +1.0636e-02 +8.7713e-01 +8.3480e-01 +8.5372e-01 +4.6800e-01 +3.7571e-01 +1.7821e-01 +4.6152e-01 +5.7388e-01 +2.3110e-01 +2.9627e-01 +7.3484e-01 +9.5193e-01 +1.2062e-01 +8.7372e-01
76977 +3.623045129e+02 +3.623045129e+02 +3.530945129e+02 +3.530945129e+02 +3.6244e-01 +3.8532e-01 +8.8154e-01 +3.4885e-01 +5.3980e-01 +9.8183e-01 +9.5747e-01 +6.2669e-01 +9.9499e-01 +1.6573e-02 +1.5183e-01 +1.4043e-01 +6.5809e-01 +8.8591e-01 +2.2731e-01 +3.6256e-02 +8.7440e-01 +9.5193e-01 +3.2726e-02 +9.7548e-01
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +1.055266128e+03 +1.055266128e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.895693075e+02 +3.895693075e+02 +1.045559307e+03 +1.045559307e+03 +1.0930e-01 +2.1310e-01 +2.4124e-01 +7.4577e-01 +4.9206e-01 +8.6807e-01 +2.4400e-01 +5.8524e-01 +4.0526e-01 +6.6805e-01 +7.0710e-01 +6.9517e-02 +3.6843e-01 +4.6161e-01 +8.8747e-01 +5.8825e-01 +1.3295e-01 +5.7489e-01 +3.0134e-01 +5.9737e-01
7 +3.838386368e+02 +3.838386368e+02 +1.039828637e+03 +1.039828637e+03 +7.0450e-01 +3.3890e-01 +2.3949e-01 +9.4381e-01 +4.7649e-01 +8.3380e-01 +3.9591e-02 +1.0376e-01 +5.0997e-01 +7.2006e-01 +4.3295e-01 +5.6563e-01 +8.2816e-01 +5.7675e-01 +8.1217e-01 +6.9439e-01 +5.0616e-01 +2.9696e-01 +6.2674e-01 +6.9243e-01
16 +3.778542715e+02 +3.778542715e+02 +1.033844272e+03 +1.033844272e+03 +9.1237e-01 +2.9098e-01 +2.0585e-01 +7.1959e-01 +7.3753e-01 +8.6845e-01 +4.4182e-01 +6.4833e-01 +9.4884e-01 +9.2830e-01 +9.3633e-01 +8.3195e-01 +8.8471e-01 +2.4475e-02 +9.8206e-01 +8.1983e-01 +3.3429e-04 +1.7136e-01 +4.9379e-01 +4.1146e-01
14199 +3.713681957e+02 +3.713681957e+02 +1.027358196e+03 +1.027358196e+03 +9.9516e-01 +3.2463e-01 +4.5700e-01 +5.8367e-01 +3.9081e-01 +3.4428e-01 +1.6770e-01 +8.4621e-01 +1.5974e-01 +5.7131e-01 +5.0122e-01 +5.9504e-01 +4.9861e-01 +2.5816e-01 +9.6990e-01 +9.0031e-01 +5.3181e-01 +7.7884e-02 +9.6845e-01 +8.8451e-01
67592 +3.624889992e+02 +3.624889992e+02 +1.018478999e+03 +1.018478999e+03 +9.5301e-01 +9.3190e-02 +8.3224e-01 +7.1202e-01 +5.0283e-01 +1.6440e-01 +2.1784e-01 +8.6052e-01 +4.2584e-02 +1.4889e-01 +8.6577e-01 +9.5076e-01 +8.0865e-01 +9.4179e-03 +9.8824e-01 +9.4908e-01 +4.0219e-01 +1.7773e-03 +9.2498e-01 +9.5379e-01
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
