% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.977281728e+01 +8.977281728e+01 +1.692528173e+02 +1.692528173e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +8.382292336e+01 +8.382292336e+01 +1.633029234e+02 +1.633029234e+02 +4.8070e-01 +8.1238e-01 +3.4192e-01 +9.4633e-01 +7.3732e-03 +5.9790e-01 +1.9667e-02 +4.1122e-01 +1.9586e-01 +4.7680e-01 +4.1261e-01 +5.6180e-01 +4.2622e-01 +5.0960e-01 +9.9111e-01 +4.3071e-01 +8.3146e-01 +2.6457e-03 +5.2124e-01 +5.9881e-01
2692 +8.299534913e+01 +8.299534913e+01 +1.624753491e+02 +1.624753491e+02 +5.4762e-01 +4.7713e-01 +1.2159e-01 +7.4203e-01 +1.7246e-01 +8.0506e-01 +6.2334e-01 +6.7147e-01 +8.3254e-01 +1.3005e-01 +4.3512e-02 +1.1917e-01 +4.5172e-01 +4.1686e-02 +5.6452e-01 +9.9012e-01 +2.9708e-01 +6.5421e-03 +4.2996e-01 +3.6327e-01
2764 +8.003173014e+01 +8.003173014e+01 +1.595117301e+02 +1.595117301e+02 +3.4444e-02 +1.0431e-01 +3.9305e-01 +8.2863e-01 +2.2808e-01 +7.1680e-01 +9.6251e-01 +5.7586e-01 +7.9899e-02 +6.6479e-01 +7.8201e-02 +2.9341e-01 +5.1076e-01 +3.5715e-01 +8.7564e-01 +9.9316e-01 +1.2864e-01 +8.7355e-02 +9.0860e-01 +5.4326e-01
7308 +7.840618043e+01 +7.840618043e+01 +1.578861804e+02 +1.578861804e+02 +7.2568e-01 +3.3757e-01 +2.1696e-01 +8.7320e-01 +7.6979e-02 +8.6061e-01 +3.9713e-01 +1.2916e-01 +2.6719e-01 +3.5178e-02 +3.1030e-01 +6.2864e-01 +3.4365e-01 +2.6247e-01 +5.4355e-01 +9.9701e-01 +6.6095e-01 +2.9080e-02 +8.1811e-01 +4.2614e-01
9461 +7.736716432e+01 +7.736716432e+01 +1.568471643e+02 +1.568471643e+02 +3.9932e-01 +1.8074e-01 +5.3111e-03 +8.9198e-01 +7.6979e-02 +8.6061e-01 +3.9713e-01 +1.2916e-01 +2.6719e-01 +3.5178e-02 +3.1030e-01 +6.2864e-01 +3.4365e-01 +2.6247e-01 +5.4355e-01 +9.9701e-01 +6.6095e-01 +2.9080e-02 +8.1811e-01 +4.2614e-01
60665 +7.551205393e+01 +7.551205393e+01 +1.549920539e+02 +1.549920539e+02 +4.8007e-02 +1.8074e-01 +5.3111e-03 +8.9198e-01 +6.9078e-02 +7.4833e-01 +3.9713e-01 +1.9983e-01 +9.8636e-02 +1.3899e-01 +1.2429e-01 +8.6596e-01 +4.7051e-01 +8.1127e-01 +8.6746e-01 +4.8448e-01 +1.2864e-01 +1.4003e-02 +8.8699e-01 +2.4334e-01
87458 +7.168050867e+01 +7.168050867e+01 +1.511605087e+02 +1.511605087e+02 +5.3950e-01 +1.8074e-01 +2.5643e-01 +9.1413e-01 +5.8583e-03 +2.2612e-01 +1.1513e-01 +4.5773e-01 +2.3072e-02 +1.5773e-01 +7.8201e-02 +9.7732e-01 +6.7706e-01 +9.0880e-01 +9.5462e-01 +9.9947e-01 +5.9229e-01 +1.8899e-02 +9.9307e-01 +4.7625e-01
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.466628819e+02 +1.466628819e+02 +5.411428819e+02 +5.411428819e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +1.431082334e+02 +1.431082334e+02 +5.375882334e+02 +5.375882334e+02 +1.9418e-01 +4.0598e-01 +1.4391e-02 +1.2179e-01 +7.6689e-01 +3.3690e-01 +6.3517e-01 +9.1084e-01 +7.9303e-01 +3.0525e-01 +5.0762e-01 +2.0419e-01 +8.8112e-01 +6.8405e-01 +2.2355e-02 +6.1853e-01 +9.1448e-02 +5.7737e-01 +6.6825e-01 +7.1419e-01
