% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.667912964e+02 +8.667912964e+02 +9.694012964e+02 +9.694012964e+02 +2.7450e+00 +8.5228e-01 +4.7192e+00 -3.8788e+00 -2.0675e+00 -4.0533e-02 -1.3234e+00 -1.8524e+00 -3.9463e+00 +3.8506e+00 +4.5195e+00 +9.5096e-01 +2.2954e+00 -2.0615e+00 -3.4067e+00 -3.5270e+00 +4.0533e+00 -2.2282e+00 -3.0543e+00 -3.4819e-01
115 +5.425849890e+02 +5.425849890e+02 +6.451949890e+02 +6.451949890e+02 +2.6683e+00 +4.3710e+00 -1.4356e-01 -5.3028e-01 -4.4713e-01 +1.8098e+00 -1.3923e+00 -3.2020e+00 -2.7735e+00 +4.4140e+00 +4.0113e+00 +8.7300e-02 +1.0274e+00 +1.1027e+00 +7.6261e-01 -1.0305e+00 +7.0611e-01 -4.8355e+00 -2.6780e-01 +4.1485e+00
192 +3.950574942e+02 +3.950574942e+02 +4.976674942e+02 +4.976674942e+02 +1.8015e+00 +3.4724e+00 -2.6529e+00 +6.8465e-01 -3.3825e+00 +1.0845e+00 -1.2580e+00 -4.5216e+00 -4.3920e+00 +2.8380e+00 +2.2336e+00 -3.0711e+00 -1.4678e-01 -2.4798e-01 +4.3578e-01 +1.4380e-01 -2.0455e-01 -3.6688e+00 -3.6012e-01 +1.1224e+00
316 +2.492834495e+02 +2.492834495e+02 +3.518934495e+02 +3.518934495e+02 +1.9782e+00 +2.2891e+00 -2.0805e+00 +1.4146e+00 +4.1044e-01 -8.4922e-02 -2.4934e+00 -1.3566e+00 -2.0603e+00 +3.7565e+00 +1.1390e+00 -2.0870e+00 -8.6991e-01 -7.9455e-01 -1.0545e+00 -7.3651e-01 -8.0861e-01 -1.2581e+00 -2.7074e-01 -5.7920e-01
998 +1.583839870e+02 +1.583839870e+02 +2.609939870e+02 +2.609939870e+02 +2.2032e+00 +2.7112e+00 -1.7562e+00 +3.3937e-01 +2.0319e-01 -2.3445e-01 -2.5807e+00 -1.3517e+00 -2.5312e+00 +3.4591e+00 +1.4157e+00 -2.6621e+00 -1.0620e+00 -9.2998e-01 -8.0713e-01 -1.3039e+00 -2.8991e-01 -1.2810e+00 -1.6647e-01 -4.5224e-01
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.849978193e+02 +9.849978193e+02 +1.078297819e+03 +1.078297819e+03 -4.9373e+00 +2.4250e+00 -3.4450e+00 -3.2394e+00 +1.6681e-02 -2.6091e+00 -3.8043e+00 -3.6301e-02 +3.2167e+00 -4.9860e-01 -3.6168e+00 +4.9915e+00 -1.1821e+00 +3.3716e+00 +4.6859e+00 +9.6500e-01 +4.1576e+00 -1.7258e+00 -3.4197e-01 -3.4132e+00
182 +5.781437876e+02 +5.781437876e+02 +6.714437876e+02 +6.714437876e+02 -1.9216e+00 -1.2058e-01 -4.1506e+00 +1.0382e+00 -2.6266e+00 +4.7999e-01 +1.7920e+00 +2.0884e+00 -2.6063e+00 -1.8604e+00 -3.2244e-01 +2.7832e+00 +4.3098e+00 -2.3644e-01 +2.3699e+00 +1.9859e-01 +4.0632e+00 -1.0464e+00 +1.6588e+00 -3.0734e-01
265 +3.650721730e+02 +3.650721730e+02 +4.583721730e+02 +4.583721730e+02 -2.8653e+00 -4.0018e+00 -3.8481e+00 +3.2651e+00 -2.2432e-01 +2.1434e+00 -2.2305e+00 +1.4336e+00 -2.8482e+00 -2.2692e+00 +1.3038e-01 +1.2072e+00 +3.1193e+00 +1.8273e+00 -1.8482e+00 +2.8878e-01 -6.4162e-01 +6.3250e-01 -1.7770e+00 -2.6420e-01
885 +2.508595456e+02 +2.508595456e+02 +3.441595456e+02 +3.441595456e+02 -1.9484e+00 -2.9162e+00 -4.1623e+00 +2.4332e+00 -9.8064e-01 +4.1767e-01 -2.2097e+00 +8.7276e-01 -2.9700e+00 -1.5206e+00 +5.1747e-01 +2.4955e+00 +3.3186e+00 +8.3553e-01 -1.0841e+00 +3.9208e-01 -1.1922e+00 +2.7895e-01 -1.6158e+00 +8.7903e-01
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.715968143e+02 +7.715968143e+02 +7.852368143e+02 +7.852368143e+02 -3.8972e-01 +3.2594e+00 +1.7399e+00 -1.6189e+00 -1.4035e+00 -4.8404e+00 +1.9309e+00 -2.1567e+00 -1.6230e+00 -4.9597e+00 -3.7356e-01 +7.1533e-01 -2.4199e+00 -4.9237e+00 +1.3983e+00 +2.8321e+00 -3.8702e+00 +3.3738e+00 -4.0284e+00 -2.6838e+00
229 +6.209104526e+02 +6.209104526e+02 +6.345504526e+02 +6.345504526e+02 -2.3919e-01 +1.4667e+00 -5.0980e-01 -8.9567e-01 -1.4874e+00 -2.3477e+00 +2.5093e+00 -1.5387e+00 +1.8044e-01 -4.3815e+00 -1.9773e+00 +3.6150e+00 -7.7773e-01 -3.0538e+00 +2.7322e+00 +3.7428e+00 -2.6885e+00 +3.3813e+00 -1.4832e+00 -4.2211e-01
757 +3.904852438e+02 +3.904852438e+02 +4.041252438e+02 +4.041252438e+02 +4.7523e-01 +1.4951e+00 -4.0099e-01 +4.6803e-01 -2.3587e-01 -2.0173e+00 +8.2005e-01 -4.0197e+00 +1.3453e+00 -3.4278e+00 -1.1638e+00 +3.5494e+00 +1.2229e-01 -1.3408e+00 +2.9488e+00 +3.0137e+00 -1.4632e+00 +4.2724e+00 -1.2214e+00 +1.0577e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
