% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.459224680e+03 +5.459224680e+03 +4.997134680e+03 +4.997134680e+03 -1.6821e-01 +4.9222e+00 -3.7684e+00 +4.2957e+00 -2.7102e+00 -1.3416e+00 -2.5907e+00 +2.8134e+00 -2.5947e+00 -9.5212e-01 -3.6887e+00 -4.4334e+00 -1.9931e+00 +4.8815e+00 +1.6648e+00 -2.2646e+00 +4.3418e+00 +4.7030e-01 +3.6297e+00 -4.0943e+00
24 +3.841640266e+03 +3.841640266e+03 +3.379550266e+03 +3.379550266e+03 -3.8496e-01 +4.9504e+00 -7.4640e-01 +2.4464e+00 +9.5491e+00 +4.5971e+00 +9.9563e+00 -7.0399e+00 -5.9627e+00 +1.4229e+00 -8.7941e+00 -1.6158e+00 +2.7354e-01 +2.9737e+00 +8.8078e-01 -2.9812e+00 +9.8341e-01 +6.8488e+00 +2.4877e+00 -7.0164e+00
72 +2.279240833e+03 +2.279240833e+03 +1.817150833e+03 +1.817150833e+03 -4.1299e+00 +5.0152e+00 -7.1864e+00 -3.2678e+00 +3.8344e+00 +5.3754e+00 +1.0677e+01 -8.6951e+00 +1.2518e-01 -7.2057e+00 -9.4309e+00 -2.8419e+00 -1.9940e-01 -1.0836e+00 -1.0069e+01 -1.2818e-01 -1.3266e+00 +5.8342e+00 -8.2123e+00 +3.4307e+00
128 +1.370179028e+03 +1.370179028e+03 +9.080890283e+02 +9.080890283e+02 -1.2752e-01 +2.7163e+00 -5.2547e+00 +6.3163e-01 +3.3291e+00 +5.0895e+00 +1.1001e+01 -5.3575e+00 +5.8312e-01 -3.1127e+00 -1.0547e+01 -3.1783e-01 +2.7302e-01 -2.5583e+00 -8.2259e+00 -3.0208e+00 -2.5145e+00 +2.8351e+00 -5.6445e+00 +1.4478e+00
156 +9.645311201e+02 +9.645311201e+02 +5.024411201e+02 +5.024411201e+02 +8.9020e-01 +4.5810e+00 -3.0369e+00 +4.6900e+00 -1.0694e+00 +6.7230e+00 +3.5664e+00 -2.8287e+00 +5.2837e+00 -4.8853e+00 -9.0263e+00 -3.4247e-01 -4.6073e+00 +1.7978e-03 -3.0765e+00 -4.9708e+00 -2.3033e+00 +3.9671e+00 -1.9774e+00 +2.9912e+00
221 +5.866280423e+02 +5.866280423e+02 +1.245380423e+02 +1.245380423e+02 -6.3455e+00 +1.9838e+00 -6.9678e+00 +2.6180e+00 +3.3252e+00 +5.3543e+00 -1.3899e+00 +2.2630e+00 +1.1726e+00 +9.1273e-01 -2.5001e+00 -2.6587e+00 +1.1931e+00 -5.7615e+00 -1.2525e+00 -6.0964e+00 -5.4318e-01 +8.0896e-02 -2.9515e+00 +2.6907e+00
376 +3.758222950e+02 +3.758222950e+02 -8.626770500e+01 -8.626770500e+01 -4.3771e+00 +3.2692e+00 -5.3317e+00 +3.7578e+00 +4.4849e+00 +3.7203e+00 +1.2521e-01 +2.9805e+00 +1.4151e+00 -2.1715e+00 -4.1545e+00 -2.7732e+00 -1.4259e+00 -3.3989e+00 -2.4518e+00 -2.5708e+00 -8.3338e-01 +4.4491e+00 -4.2390e+00 +2.0992e+00
796 +2.473605976e+02 +2.473605976e+02 -2.147294024e+02 -2.147294024e+02 -4.1762e+00 +3.2494e+00 -5.2568e+00 +2.9682e+00 +6.5106e+00 +3.4438e+00 +3.1476e-01 +3.2205e+00 +2.4174e+00 -2.2251e+00 -3.3832e+00 -2.0997e+00 -1.9858e+00 -2.4687e+00 -1.8370e+00 -2.3368e+00 -2.7477e-01 +4.1646e+00 -3.8350e+00 +1.8648e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.153499868e+03 +1.153499868e+03 +1.231159868e+03 +1.231159868e+03 +3.3862e+00 -7.2723e-01 +2.8251e+00 +8.7644e-01 +3.2019e+00 +9.1937e-01 -2.0595e+00 +3.2076e+00 +2.1276e+00 -1.2022e+00 +2.1244e+00 +1.2356e+00 +4.5427e+00 -7.1415e-01 -3.7322e-01 -1.2644e+00 +3.4016e+00 -3.9659e+00 -2.0526e+00 -1.5511e+00
56 +9.787201269e+02 +9.787201269e+02 +1.056380127e+03 +1.056380127e+03 +5.8424e+00 -2.9239e+00 +3.4701e+00 +8.8259e-02 +5.7523e+00 -5.3591e-01 +2.9668e+00 +3.5606e-01 +2.4658e+00 -1.6419e+00 +6.1708e+00 +2.0348e+00 +4.6250e+00 -3.2324e+00 -4.8665e-01 -6.4246e-01 -4.0822e-01 -6.5722e+00 +9.5774e-01 -2.5900e+00
132 +6.189367873e+02 +6.189367873e+02 +6.965967873e+02 +6.965967873e+02 +3.5383e+00 -3.5346e+00 +4.3342e+00 -6.2877e-01 +2.4670e+00 -1.8735e+00 +2.5171e+00 -1.6647e+00 -1.0168e+00 -2.0240e+00 +4.9676e+00 -3.0042e+00 +2.9220e+00 -2.6387e+00 -3.9179e+00 +9.7409e-01 -2.1897e+00 -7.2530e+00 +2.2138e+00 -2.9399e+00
250 +3.976745046e+02 +3.976745046e+02 +4.753345046e+02 +4.753345046e+02 +5.2578e+00 -6.1214e+00 +2.3171e+00 +9.3001e-02 +1.3859e+00 -4.1019e+00 +1.4116e+00 -2.4222e+00 +3.4589e+00 -5.5682e+00 +3.4015e+00 +5.8296e-01 -4.2972e-01 -1.2916e+00 -3.9244e+00 +9.0069e-01 +3.3095e-01 -2.6917e+00 +2.3119e+00 -2.6746e+00
843 +2.494249756e+02 +2.494249756e+02 +3.270849756e+02 +3.270849756e+02 +5.4884e+00 -3.7158e+00 +2.1576e+00 +6.8976e-01 +1.6855e+00 -5.0106e+00 +1.2385e+00 -2.5875e+00 +1.2387e+00 -6.2731e+00 +2.3711e+00 +6.7771e-01 -1.5948e+00 +3.9213e-01 -4.3678e+00 +1.0040e+00 -2.9844e-01 -2.7514e+00 +2.4562e+00 -2.0494e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.230192448e+03 +1.230192448e+03 +1.345872448e+03 +1.345872448e+03 -4.6472e+00 +3.9556e+00 +2.0072e+00 -3.6455e+00 +4.0068e+00 -4.7041e+00 +1.7692e+00 -2.9966e+00 -6.1414e-01 -1.9315e+00 -4.3259e+00 -2.3709e+00 -1.6536e+00 +3.9165e+00 -2.1700e+00 -2.6295e-01 -9.2618e-01 -2.8514e-01 +3.3586e+00 -4.8728e+00
85 +8.037957265e+02 +8.037957265e+02 +9.194757265e+02 +9.194757265e+02 +7.4643e-01 +1.1169e+00 -1.4942e+00 -1.2601e+00 +7.0076e-01 -8.1264e+00 -2.4398e+00 -1.6832e+00 +1.9057e+00 -5.2224e+00 +2.3288e+00 -4.0811e+00 -3.1191e+00 -2.5207e+00 -4.0868e+00 +1.8928e+00 +1.5850e+00 +2.9929e+00 +2.9275e+00 -1.6371e+00
137 +6.129999068e+02 +6.129999068e+02 +7.286799068e+02 +7.286799068e+02 -4.0137e+00 +3.5404e-01 -2.2459e-02 -2.2172e+00 -2.5549e+00 -7.5943e+00 -4.2370e+00 -3.2280e+00 -4.5706e+00 -7.1715e+00 +1.7451e+00 -4.9846e+00 -5.9326e+00 -3.1217e+00 -4.5915e+00 +4.0238e-01 -1.0390e+00 +5.6352e+00 +1.9855e+00 -2.7944e-01
186 +3.501918136e+02 +3.501918136e+02 +4.658718136e+02 +4.658718136e+02 -2.1107e+00 -2.2609e+00 -7.4741e-01 -9.5086e-01 -7.2828e-01 -7.1717e+00 -2.7085e+00 -1.0501e+00 -4.4225e+00 -2.4199e+00 +4.8360e-01 -4.2409e+00 -5.3506e+00 -2.6592e+00 -1.9760e+00 +1.6543e-01 +9.8420e-01 +3.7930e+00 +3.7170e+00 -1.0103e+00
