nohup: ignoring input
gen	depth	min     	avg     	max  	std      
0  	25   	-2046.77	-2027.12	-2025	2.45592  
1  	25   	-2028.92	-2025.71	-2025	0.694355 
2  	25   	-2026.52	-2025.2 	-2025	0.325973 
3  	25   	-2026.52	-2025.02	-2025	0.143105 
4  	25   	-2027.4 	-2025.01	-2025	0.160442 
5  	25   	-2031.1 	-2025.02	-2025	0.285546 
6  	25   	-2026.52	-2025.01	-2025	0.0867021
7  	25   	-2025.7 	-2025.01	-2025	0.0695466
8  	25   	-2025   	-2025   	-2025	0        
9  	25   	-2026.52	-2025.01	-2025	0.101835 
10 	25   	-2026.52	-2025.01	-2025	0.105603 
11 	25   	-2027.4 	-2025.01	-2025	0.168579 
12 	25   	-2027.4 	-2025.02	-2025	0.171333 
13 	25   	-2027.4 	-2025.01	-2025	0.14373  
14 	25   	-2025.7 	-2025   	-2025	0.0539793
15 	25   	-2025   	-2025   	-2025	0        
16 	25   	-2028.1 	-2025.01	-2025	0.154061 
17 	25   	-2027.4 	-2025.01	-2025	0.144237 
18 	25   	-2025.7 	-2025   	-2025	0.0312276
19 	25   	-2025.7 	-2025   	-2025	0.0441182
20 	25   	-2033   	-2025.02	-2025	0.365059 
21 	25   	-2037.82	-2025.03	-2025	0.5872   
22 	25   	-2028.3 	-2025.02	-2025	0.196617 
23 	25   	-2025.7 	-2025   	-2025	0.0312276
24 	25   	-2027.4 	-2025.01	-2025	0.1305   
25 	25   	-2028.3 	-2025.02	-2025	0.18362  
26 	25   	-2029.22	-2025.01	-2025	0.205028 
27 	25   	-2027.4 	-2025.01	-2025	0.157484 
28 	25   	-2033.96	-2025.03	-2025	0.422713 
29 	25   	-2025   	-2025   	-2025	0        
30 	25   	-2026.52	-2025.01	-2025	0.0809841
31 	25   	-2027.4 	-2025.01	-2025	0.134088 
32 	25   	-2029.22	-2025.03	-2025	0.272724 
33 	25   	-2029.22	-2025.02	-2025	0.243059 
34 	25   	-2035.89	-2025.04	-2025	0.51229  
35 	25   	-2026.52	-2025.01	-2025	0.0970732
36 	25   	-2025   	-2025   	-2025	0        
37 	25   	-2025   	-2025   	-2025	0        
38 	25   	-2033   	-2025.04	-2025	0.436127 
39 	25   	-2026.52	-2025   	-2025	0.0748044
40 	25   	-2029.22	-2025.02	-2025	0.209531 
41 	25   	-2025.7 	-2025   	-2025	0.0312276
42 	25   	-2025.7 	-2025   	-2025	0.0441182
43 	25   	-2025   	-2025   	-2025	0        
44 	25   	-2026.52	-2025.01	-2025	0.114231 
45 	25   	-2026.52	-2025.01	-2025	0.0961225
46 	25   	-2027.4 	-2025.01	-2025	0.119795 
47 	25   	-2026.52	-2025.01	-2025	0.0961225
48 	25   	-2026.52	-2025   	-2025	0.0748044
49 	25   	-2025   	-2025   	-2025	0        
50 	25   	-2028.3 	-2025.01	-2025	0.156871 
51 	25   	-2025.7 	-2025   	-2025	0.0539793
52 	25   	-2025.7 	-2025.01	-2025	0.0622672
53 	25   	-2026.52	-2025   	-2025	0.0680371
54 	25   	-2027.4 	-2025.01	-2025	0.137568 
55 	25   	-2025   	-2025   	-2025	0        
56 	25   	-2028.3 	-2025.02	-2025	0.212804 
57 	25   	-2026.52	-2025.01	-2025	0.0920445
58 	25   	-2029.22	-2025.01	-2025	0.193587 
59 	25   	-2026.52	-2025.01	-2025	0.0809841
60 	25   	-2029   	-2025.02	-2025	0.211655 
61 	25   	-2028.3 	-2025.01	-2025	0.147479 
62 	25   	-2027.4 	-2025.02	-2025	0.153234 
63 	25   	-2025.7 	-2025   	-2025	0.0441182
64 	25   	-2027.4 	-2025.01	-2025	0.11153  
65 	25   	-2027.4 	-2025.01	-2025	0.119795 
66 	25   	-2025.7 	-2025   	-2025	0.0441182
67 	25   	-2025.7 	-2025   	-2025	0.0539793
68 	25   	-2028.1 	-2025.01	-2025	0.177498 
69 	25   	-2028.3 	-2025.01	-2025	0.178462 
70 	25   	-2032.05	-2025.02	-2025	0.32619  
71 	25   	-2025.7 	-2025   	-2025	0.0312276
72 	25   	-2028.3 	-2025.03	-2025	0.249038 
73 	25   	-2028.3 	-2025.02	-2025	0.18613  
74 	25   	-2028.3 	-2025.02	-2025	0.219001 
75 	25   	-2027.4 	-2025.01	-2025	0.127463 
76 	25   	-2026.52	-2025.01	-2025	0.0809841
77 	25   	-2027.4 	-2025.01	-2025	0.140949 
78 	25   	-2026.52	-2025   	-2025	0.0748044
79 	25   	-2038.52	-2025.04	-2025	0.62118  
80 	25   	-2025.7 	-2025   	-2025	0.0312276
81 	25   	-2027.4 	-2025.01	-2025	0.123696 
82 	25   	-2028.3 	-2025.02	-2025	0.207824 
83 	25   	-2025   	-2025   	-2025	0        
84 	25   	-2027.4 	-2025.02	-2025	0.153234 
85 	25   	-2027.4 	-2025.02	-2025	0.169327 
86 	25   	-2025.7 	-2025   	-2025	0.0539793
87 	25   	-2026.52	-2025.01	-2025	0.106665 
88 	25   	-2026.52	-2025.01	-2025	0.0920445
89 	25   	-2025.7 	-2025.01	-2025	0.0761075
90 	25   	-2026.52	-2025.01	-2025	0.0809841
91 	25   	-2032.05	-2025.03	-2025	0.334374 
92 	25   	-2026.52	-2025.01	-2025	0.0970732
93 	25   	-2025.7 	-2025   	-2025	0.0312276
94 	25   	-2031.1 	-2025.01	-2025	0.272389 
95 	25   	-2025.7 	-2025.01	-2025	0.0821223
96 	25   	-2025.7 	-2025   	-2025	0.0441182
97 	25   	-2026.52	-2025.01	-2025	0.100983 
98 	25   	-2025.7 	-2025   	-2025	0.0312276
99 	25   	-2031.1 	-2025.03	-2025	0.355268 
gen	depth	min     	avg     	max  	std      
0  	25   	-2052.08	-2027.25	-2025	3.20391  
1  	25   	-2033.14	-2025.61	-2025	0.808662 
2  	25   	-2029.22	-2025.14	-2025	0.350406 
3  	25   	-2025.7 	-2025.01	-2025	0.0695466
4  	25   	-2031.1 	-2025.02	-2025	0.301664 
5  	25   	-2028.3 	-2025.02	-2025	0.227282 
6  	25   	-2026.4 	-2025.01	-2025	0.0763639
7  	25   	-2026.52	-2025.01	-2025	0.0920445
8  	25   	-2025.7 	-2025   	-2025	0.0539793
9  	25   	-2026.52	-2025.01	-2025	0.129107 
10 	25   	-2025.7 	-2025   	-2025	0.0441182
