nohup: ignoring input
gen	depth	min     	avg     	max 	std      
0  	25   	-811.854	-800.249	-800	0.76714  
1  	25   	-800.699	-800.011	-800	0.0877033
2  	25   	-800    	-800    	-800	0        
3  	25   	-802.398	-800.006	-800	0.11153  
4  	25   	-801.523	-800.003	-800	0.0680371
5  	25   	-800    	-800    	-800	0        
6  	25   	-804.222	-800.014	-800	0.205028 
7  	25   	-800.699	-800.001	-800	0.0312276
8  	25   	-800    	-800    	-800	0        
9  	25   	-800.699	-800.004	-800	0.0539793
10 	25   	-800.699	-800.003	-800	0.0441182
11 	25   	-800.699	-800.001	-800	0.0312276
12 	25   	-800    	-800    	-800	0        
13 	25   	-800    	-800    	-800	0        
14 	25   	-800.699	-800.001	-800	0.0312276
15 	25   	-803.301	-800.007	-800	0.147479 
16 	25   	-800    	-800    	-800	0        
17 	25   	-801.523	-800.003	-800	0.0680371
18 	25   	-800    	-800    	-800	0        
19 	25   	-805.155	-800.018	-800	0.262593 
20 	25   	-800    	-800    	-800	0        
21 	25   	-800    	-800    	-800	0        
22 	25   	-800    	-800    	-800	0        
23 	25   	-800.699	-800.003	-800	0.0441182
24 	25   	-801.523	-800.003	-800	0.0680371
25 	25   	-800    	-800    	-800	0        
26 	25   	-800.699	-800.001	-800	0.0312276
27 	25   	-800    	-800    	-800	0        
28 	25   	-800    	-800    	-800	0        
29 	25   	-800    	-800    	-800	0        
30 	25   	-800    	-800    	-800	0        
31 	25   	-800    	-800    	-800	0        
32 	25   	-800    	-800    	-800	0        
33 	25   	-800    	-800    	-800	0        
34 	25   	-800.699	-800.001	-800	0.0312276
35 	25   	-800.699	-800.003	-800	0.0441182
36 	25   	-800    	-800    	-800	0        
37 	25   	-800.699	-800.001	-800	0.0312276
38 	25   	-800    	-800    	-800	0        
39 	25   	-801.523	-800.003	-800	0.0680371
40 	25   	-800    	-800    	-800	0        
41 	25   	-800    	-800    	-800	0        
42 	25   	-801.523	-800.003	-800	0.0680371
43 	25   	-800    	-800    	-800	0        
44 	25   	-800    	-800    	-800	0        
45 	25   	-805.155	-800.013	-800	0.240012 
46 	25   	-800    	-800    	-800	0        
47 	25   	-800    	-800    	-800	0        
48 	25   	-800.699	-800.003	-800	0.0441182
49 	25   	-800.699	-800.001	-800	0.0312276
50 	25   	-800    	-800    	-800	0        
51 	25   	-800    	-800    	-800	0        
