rank	gen	depth	min     	avg     	max     	std        
2   	0  	100  	-3022.9 	-2302.98	-2110.39	136.055    
2   	1  	100  	-2436.32	-2210.24	-2110.39	57.4957    
2   	2  	100  	-2265.91	-2170.21	-2093.12	33.6277    
2   	3  	100  	-2209.21	-2143.18	-2077.97	22.3856    
2   	4  	100  	-2178.44	-2125.71	-2075   	18.7282    
2   	5  	100  	-2165.21	-2111.42	-2075   	14.8186    
2   	6  	100  	-2141.22	-2101.55	-2072.77	11.5849    
2   	7  	100  	-2117.11	-2093.65	-2072.77	9.98198    
2   	8  	100  	-2106.64	-2086.41	-2071.08	7.63464    
2   	9  	100  	-2095.97	-2080.33	-2068.68	5.51299    
2   	10 	100  	-2095.12	-2076.72	-2067.21	4.22008    
2   	11 	100  	-2087.73	-2074.64	-2066.88	3.62562    
2   	12 	100  	-2091.33	-2073.17	-2062.49	3.99286    
2   	13 	100  	-2080.22	-2070.86	-2062.49	3.23471    
2   	14 	100  	-2079.46	-2069.29	-2060.91	3.22614    
2   	15 	100  	-2079.04	-2067.63	-2056.8 	3.44416    
2   	16 	100  	-2077.51	-2065.5 	-2056.52	3.44731    
2   	17 	100  	-2073.63	-2063.16	-2053.48	3.31176    
2   	18 	100  	-2070.68	-2061.25	-2053.48	3.28638    
2   	19 	100  	-2068.08	-2059.16	-2053.48	2.81264    
2   	20 	100  	-2065.7 	-2056.93	-2051.92	2.14029    
2   	21 	100  	-2060.76	-2055.53	-2051.28	1.64987    
2   	22 	100  	-2059.01	-2054.38	-2051.1 	1.25121    
2   	23 	100  	-2056.52	-2053.43	-2050.87	0.890547   
2   	24 	100  	-2055.84	-2052.85	-2050.87	0.947287   
2   	25 	100  	-2054.79	-2052.08	-2049.98	0.982582   
2   	26 	100  	-2053.48	-2051.28	-2049.98	0.662454   
2   	27 	100  	-2052.1 	-2050.83	-2049.7 	0.449335   
2   	28 	100  	-2052.18	-2050.53	-2049.62	0.482325   
2   	29 	100  	-2052.18	-2050.18	-2049.62	0.425685   
2   	30 	100  	-2050.87	-2049.91	-2049.62	0.17307    
2   	31 	100  	-2050.4 	-2049.8 	-2049.35	0.157485   
2   	32 	100  	-2049.98	-2049.67	-2049.35	0.107487   
2   	33 	100  	-2049.98	-2049.61	-2049.35	0.11032    
2   	34 	100  	-2049.98	-2049.54	-2049.35	0.136254   
2   	35 	100  	-2049.62	-2049.43	-2049.35	0.124842   
2   	36 	100  	-2049.62	-2049.35	-2049.35	0.0347667  
2   	37 	100  	-2049.98	-2049.35	-2049.35	0.0363325  
2   	38 	100  	-2049.98	-2049.35	-2049.35	0.0363325  
2   	39 	100  	-2049.98	-2049.35	-2049.35	0.0512959  
2   	40 	100  	-2049.35	-2049.35	-2049.35	4.54747e-13
