rank	gen	depth	min     	avg     	max     	std        
4   	0  	100  	-2439.88	-1023.89	-856.379	169.273    
4   	1  	100  	-1194.33	-928.133	-847.918	46.0626    
4   	2  	100  	-1008.2 	-892.828	-847.918	24.9485    
4   	3  	100  	-921.583	-873.537	-843.778	15.5551    
4   	4  	100  	-908.87 	-861.894	-839.774	9.14851    
4   	5  	100  	-879.712	-855.865	-839.774	6.15462    
4   	6  	100  	-1028.84	-851.92 	-837.079	9.78425    
4   	7  	100  	-874.404	-847.597	-837.079	4.17576    
4   	8  	100  	-856.989	-844.81 	-834.869	3.88864    
4   	9  	100  	-857.75 	-841.868	-832.938	3.49793    
4   	10 	100  	-857.259	-839.684	-832.938	2.76123    
4   	11 	100  	-846.934	-837.977	-832.938	1.78096    
4   	12 	100  	-844.66 	-836.893	-832.938	1.56075    
4   	13 	100  	-843.312	-835.947	-831.156	1.69911    
4   	14 	100  	-844.345	-834.92 	-831.156	1.70619    
4   	15 	100  	-870.757	-834.247	-831.156	2.54888    
4   	16 	100  	-844.216	-833.301	-831.156	1.23429    
4   	17 	100  	-842.548	-832.901	-830.851	0.956449   
4   	18 	100  	-842.548	-832.703	-830.851	1.33234    
4   	19 	100  	-895.331	-832.246	-830.851	3.10627    
4   	20 	100  	-835.679	-831.343	-830.851	0.672551   
4   	21 	100  	-954.741	-831.415	-830.851	5.89247    
4   	22 	100  	-840.348	-830.973	-830.851	0.542288   
4   	23 	100  	-838.093	-830.931	-830.851	0.450903   
4   	24 	100  	-841.225	-830.928	-830.851	0.518315   
4   	25 	100  	-833.466	-830.898	-830.851	0.242711   
4   	26 	100  	-853.111	-831.007	-830.851	1.37021    
4   	27 	100  	-840.94 	-830.904	-830.851	0.50108    
4   	28 	100  	-851.513	-830.972	-830.851	1.23522    
4   	29 	100  	-843.132	-830.94 	-830.454	0.742714   
4   	30 	100  	-853.457	-830.966	-830.454	1.22775    
4   	31 	100  	-833.466	-830.887	-830.454	0.221405   
4   	32 	100  	-839.292	-830.871	-830.454	0.410499   
4   	33 	100  	-834.07 	-830.857	-830.454	0.275475   
4   	34 	100  	-867.054	-830.895	-830.454	1.74819    
4   	35 	100  	-837.843	-830.681	-828.202	0.513827   
4   	36 	100  	-832.095	-830.5  	-828.202	0.181355   
4   	37 	100  	-845.42 	-830.49 	-828.202	0.804949   
4   	38 	100  	-831.642	-830.41 	-828.116	0.344726   
4   	39 	100  	-866.65 	-830.464	-828.116	1.8435     
4   	40 	100  	-856.902	-830.244	-828.116	1.64859    
4   	41 	100  	-850.664	-829.665	-827.07 	1.63874    
4   	42 	100  	-830.454	-828.731	-827.07 	0.961754   
4   	43 	100  	-832.01 	-828.115	-827.07 	0.424747   
4   	44 	100  	-862.799	-828.082	-827.07 	1.78807    
4   	45 	100  	-828.202	-827.691	-827.07 	0.507451   
4   	46 	100  	-837.222	-827.328	-827.07 	0.655716   
4   	47 	100  	-842.121	-827.138	-827.07 	0.790372   
4   	48 	100  	-827.554	-827.083	-827.07 	0.0769623  
4   	49 	100  	-837.291	-827.111	-827.07 	0.505248   
4   	50 	100  	-830.638	-827.096	-827.07 	0.242261   
4   	51 	100  	-829.571	-827.081	-827.07 	0.123476   
4   	52 	100  	-851.369	-827.167	-827.07 	1.4085     
4   	53 	100  	-828.617	-827.08 	-827.07 	0.091213   
4   	54 	100  	-838.389	-827.118	-827.07 	0.585835   
4   	55 	100  	-890.608	-827.278	-827.07 	3.24569    
4   	56 	100  	-827.554	-827.076	-826.426	0.063862   
4   	57 	100  	-829.711	-827.074	-826.422	0.136162   
4   	58 	100  	-835.31 	-827.082	-826.422	0.388453   
4   	59 	100  	-848.112	-827.13 	-826.422	1.30371    
4   	60 	100  	-827.722	-826.961	-826.422	0.256854   
4   	61 	100  	-830.558	-826.823	-826.422	0.415099   
4   	62 	100  	-830.558	-826.578	-826.422	0.37477    
4   	63 	100  	-827.07 	-826.427	-826.422	0.0485849  
4   	64 	100  	-851.447	-826.472	-826.422	1.11802    
