rank	gen	depth	min     	avg     	max     	std    
4   	0  	100  	-9555.56	-1139.9 	-865.602	621.442
4   	1  	100  	-3291.64	-1004.06	-857.806	198.21 
4   	2  	100  	-5831.44	-980.897	-852.875	341.675
4   	3  	100  	-4532.06	-941.857	-852.875	213.553
4   	4  	100  	-2807.35	-919.969	-847.239	139.47 
4   	5  	100  	-3536.41	-910.255	-846.937	182.965
4   	6  	100  	-2912.3 	-901.098	-846.937	141.554
4   	7  	100  	-4493.31	-908.598	-845.278	253.357
4   	8  	100  	-3442.24	-901.404	-841.458	200.412
4   	9  	100  	-2748.28	-879.83 	-840.521	126.183
4   	10 	100  	-2767.62	-872.904	-838.595	99.0706
4   	11 	100  	-4805.66	-887.339	-836.485	251.277
4   	12 	100  	-2657.98	-879.356	-836.485	156.764
4   	13 	100  	-7532.27	-876.68 	-836.485	304.512
4   	14 	100  	-1928.74	-868.905	-836.459	109.655
4   	15 	100  	-6507.02	-894.906	-836.459	338.267
4   	16 	100  	-1866.35	-860.393	-835.8  	73.6591
4   	17 	100  	-1958.75	-862.206	-834.128	98.198 
4   	18 	100  	-2713.97	-868.888	-834.128	153.472
4   	19 	100  	-2224.97	-854.838	-834.128	87.9578
4   	20 	100  	-4736.56	-872.278	-832.755	222.508
4   	21 	100  	-2027.02	-856.689	-832.755	80.1938
4   	22 	100  	-4620.65	-865.474	-832.357	228.431
4   	23 	100  	-1726.32	-853.255	-832.357	70.0976
4   	24 	100  	-1485.87	-850.183	-831.709	50.8589
4   	25 	100  	-1741.16	-855.791	-831.709	81.6984
4   	26 	100  	-4165.56	-867.529	-831.311	197.009
4   	27 	100  	-1502.06	-845.026	-830.698	38.3912
4   	28 	100  	-1638.77	-850.152	-830.131	56.9796
4   	29 	100  	-2917.81	-851.12 	-830.131	118.548
4   	30 	100  	-1771.86	-853.623	-830.131	78.6861
4   	31 	100  	-1675.69	-847.853	-829.733	56.7311
4   	32 	100  	-1365.85	-841.712	-829.733	34.6498
4   	33 	100  	-1228.9 	-843.903	-829.733	39.3274
