rank	gen	depth	min     	avg     	max     	std     
8   	0  	100  	-3807.08	-2327.71	-2097.71	186.143 
8   	1  	100  	-4826.84	-2223.32	-2097.71	166.294 
8   	2  	100  	-2278.72	-2164.54	-2091.45	35.9519 
8   	3  	100  	-2218.16	-2134.73	-2085.54	25.4945 
8   	4  	100  	-2169.68	-2116.84	-2085.26	16.979  
8   	5  	100  	-2201.9 	-2106.58	-2079.27	12.9908 
8   	6  	100  	-2224.58	-2098.66	-2077.47	13.1702 
8   	7  	100  	-2133.64	-2092.78	-2075.67	7.94421 
8   	8  	100  	-2250.51	-2088.73	-2074.98	13.9282 
8   	9  	100  	-2100.74	-2082.85	-2072.91	4.9238  
8   	10 	100  	-2121.23	-2079.91	-2072.88	5.18631 
8   	11 	100  	-2139.96	-2077.28	-2072.18	4.53915 
8   	12 	100  	-2107.73	-2075.55	-2068.11	2.934   
8   	13 	100  	-2167.99	-2075   	-2068.11	8.26812 
8   	14 	100  	-2100.17	-2073.42	-2067.23	2.76969 
8   	15 	100  	-2310.99	-2073.11	-2064.8 	13.9652 
8   	16 	100  	-2155.24	-2072.19	-2064.8 	6.36488 
8   	17 	100  	-2111.17	-2070.6 	-2061.76	3.5446  
8   	18 	100  	-2148.83	-2069.23	-2061.76	6.62155 
8   	19 	100  	-2103.19	-2066.96	-2060.26	3.40746 
8   	20 	100  	-2109.52	-2065.22	-2058.88	3.44978 
8   	21 	100  	-2181.68	-2065.09	-2057.63	9.65141 
8   	22 	100  	-2074.1 	-2062.49	-2057.63	2.30808 
8   	23 	100  	-2118.08	-2061.47	-2056.07	4.63764 
8   	24 	100  	-2221.64	-2060.99	-2056.07	10.362  
8   	25 	100  	-2174.15	-2060.02	-2055.94	9.0035  
8   	26 	100  	-2118   	-2058.81	-2055.94	4.19317 
8   	27 	100  	-2069.42	-2057.62	-2055.26	1.32244 
8   	28 	100  	-2074.48	-2057.12	-2054.94	1.68004 
8   	29 	100  	-2072.78	-2056.53	-2054.76	1.48882 
8   	30 	100  	-2091.68	-2056.37	-2054.76	2.94157 
8   	31 	100  	-2117.59	-2056.03	-2054.71	3.96537 
8   	32 	100  	-2074.6 	-2055.49	-2054.71	1.33081 
8   	33 	100  	-2069.04	-2055.17	-2054.67	1.36141 
8   	34 	100  	-2090.55	-2055.24	-2053.67	3.16491 
8   	35 	100  	-2102.01	-2055.3 	-2053.12	3.83454 
8   	36 	100  	-2099.35	-2054.94	-2053.12	3.0135  
8   	37 	100  	-2077.09	-2054.61	-2053.12	1.98327 
8   	38 	100  	-2069.53	-2054.05	-2052.87	1.14481 
8   	39 	100  	-2136.6 	-2054.13	-2052.42	6.03537 
8   	40 	100  	-2068.66	-2053.39	-2051.07	1.23228 
8   	41 	100  	-2106.49	-2053.38	-2051.07	3.43275 
8   	42 	100  	-2057.18	-2052.87	-2050.25	0.576837
8   	43 	100  	-2112.08	-2053.23	-2050.25	5.45441 
8   	44 	100  	-2109.67	-2052.83	-2050.25	5.57599 
8   	45 	100  	-2328.08	-2052.67	-2050.25	16.2471 
8   	46 	100  	-2079.51	-2050.73	-2050.25	1.85999 
8   	47 	100  	-2056.72	-2050.32	-2050.25	0.476415
8   	48 	100  	-2070.26	-2050.43	-2050.25	1.41059 
8   	49 	100  	-2144.51	-2050.71	-2050.25	5.72531 
8   	50 	100  	-2080.57	-2050.42	-2050.25	1.89189 
8   	51 	100  	-2081.73	-2050.62	-2050.25	2.75453 
8   	52 	100  	-2098.71	-2050.52	-2050.25	3.05796 
8   	53 	100  	-2055.42	-2050.29	-2049.95	0.425323
8   	54 	100  	-2095.93	-2050.57	-2048.96	2.97151 
8   	55 	100  	-2093.22	-2050.63	-2048.9 	3.45757 
8   	56 	100  	-2058.81	-2050.28	-2048.9 	0.964127
8   	57 	100  	-2114.84	-2050.56	-2048.9 	4.93692 
8   	58 	100  	-2079.27	-2050.01	-2048.9 	2.62949 
