rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-8870.32	-2390.64	-2110.32	551.65 
8   	1  	100  	-5586.91	-2285.64	-2108.39	283.735
8   	2  	100  	-8417.37	-2258.82	-2108.34	430.091
8   	3  	100  	-5910.16	-2222.67	-2106.04	304.408
8   	4  	100  	-11804.9	-2258.76	-2097.04	707.971
8   	5  	100  	-7892.2 	-2217.36	-2097.04	412.669
8   	6  	100  	-6143.02	-2189.04	-2092.64	304.068
8   	7  	100  	-3019.37	-2157.05	-2089.81	112.082
8   	8  	100  	-15677.7	-2203.67	-2089.81	801.013
8   	9  	100  	-15782.3	-2231.4 	-2084.65	973.963
8   	10 	100  	-7351.81	-2174.4 	-2078.05	355.568
8   	11 	100  	-2825.42	-2132.73	-2078.05	86.0247
8   	12 	100  	-3702.6 	-2139.47	-2078.05	145.717
8   	13 	100  	-5056.84	-2148.45	-2078.05	242.572
8   	14 	100  	-4364.76	-2146.74	-2077.64	197.687
8   	15 	100  	-6981.31	-2170.8 	-2076.14	386.311
8   	16 	100  	-3938.42	-2144.12	-2073.41	183.143
8   	17 	100  	-2653.73	-2120.92	-2073.41	78.7457
8   	18 	100  	-3964.21	-2138.09	-2073.41	185.208
8   	19 	100  	-3061.25	-2120.68	-2072.28	110.539
8   	20 	100  	-5995.6 	-2165.02	-2070.53	368.384
8   	21 	100  	-3587.09	-2134.51	-2069.36	178.481
8   	22 	100  	-3526.2 	-2116.67	-2067.36	123.775
8   	23 	100  	-3268.62	-2115.32	-2063.55	120.343
8   	24 	100  	-2852.84	-2101.82	-2059.95	66.9735
8   	25 	100  	-5048.36	-2124.64	-2059.95	226.324
8   	26 	100  	-3500.18	-2113.51	-2057.43	122.532
8   	27 	100  	-7982.58	-2118.43	-2057.35	344.393
8   	28 	100  	-3939.99	-2109.5 	-2056.74	152.538
8   	29 	100  	-2625.55	-2094.3 	-2056.74	63.927 
8   	30 	100  	-13214.2	-2178.45	-2055.51	807.332
8   	31 	100  	-3271.58	-2094.57	-2055.51	105.37 
8   	32 	100  	-3986.53	-2101.32	-2055.51	135.676
8   	33 	100  	-3769.82	-2100.05	-2054.51	137.447
8   	34 	100  	-3021.78	-2089   	-2054.51	97.6964
8   	35 	100  	-3636.03	-2085.72	-2051.96	103.204
8   	36 	100  	-3648.33	-2098.48	-2051.96	135.851
8   	37 	100  	-3542.18	-2098.67	-2051.92	145.048
8   	38 	100  	-2646.35	-2087.69	-2051.92	77.9932
8   	39 	100  	-7964.07	-2118.91	-2051.68	421.083
8   	40 	100  	-2889.71	-2086.59	-2050.05	83.6357
8   	41 	100  	-3634.78	-2085.62	-2050.05	106.662
8   	42 	100  	-3653.33	-2093.64	-2047.85	143.825
8   	43 	100  	-3684.21	-2094.06	-2047.85	143.982
8   	44 	100  	-3846.57	-2079.67	-2047.85	110.7  
8   	45 	100  	-6082.51	-2109.4 	-2047.85	271.319
8   	46 	100  	-2730.04	-2076.63	-2046.22	71.3516
8   	47 	100  	-3599.64	-2078.72	-2046.22	103.353
8   	48 	100  	-2818.16	-2078.12	-2046.1 	76.1266
8   	49 	100  	-2655.06	-2069.86	-2045.52	49.8163
8   	50 	100  	-2639.03	-2070.91	-2045.52	54.025 
8   	51 	100  	-5654.46	-2102.11	-2045.03	253.2  
8   	52 	100  	-3664.08	-2081.45	-2045.03	137.517
8   	53 	100  	-2255.31	-2063.85	-2045.03	28.9656
8   	54 	100  	-2574.35	-2065.49	-2045.03	48.3221
8   	55 	100  	-5366.99	-2098.99	-2045.03	266.27 
8   	56 	100  	-4709.15	-2079.98	-2045.03	166.615
8   	57 	100  	-2895.41	-2070.49	-2044.65	79.7929
8   	58 	100  	-2343.13	-2066.92	-2044.65	41.2209
8   	59 	100  	-3706.33	-2071.3 	-2043.25	106.083
8   	60 	100  	-2756.37	-2067.22	-2043.25	65.3145
8   	61 	100  	-2691.74	-2067.07	-2043.25	53.1274
8   	62 	100  	-3595.81	-2070.61	-2043.03	109.73 
8   	63 	100  	-2364.56	-2063.79	-2043.03	35.0644
8   	64 	100  	-2726.61	-2066.28	-2043.03	61.9139
8   	65 	100  	-2825.75	-2068.33	-2043.03	65.5733
8   	66 	100  	-3282.56	-2068.34	-2043.03	97.5194
8   	67 	100  	-4160.16	-2073.95	-2043.03	151.647
8   	68 	100  	-3168.43	-2068.48	-2043.03	86.9042
8   	69 	100  	-2711.35	-2070.19	-2042.71	79.3649
8   	70 	100  	-2415.74	-2062.1 	-2042.71	42.7872
8   	71 	100  	-2883.26	-2066.25	-2041.14	74.0099
8   	72 	100  	-3809.17	-2081.38	-2041.14	144.165
8   	73 	100  	-2788.4 	-2066.03	-2041.14	68.4352
8   	74 	100  	-2599.82	-2059.6 	-2041.14	48.6492
8   	75 	100  	-3163.38	-2068.21	-2041.14	93.7224
8   	76 	100  	-3016.35	-2061.73	-2041.14	69.0185
8   	77 	100  	-2619.27	-2066.2 	-2041.14	59.9895
8   	78 	100  	-5675.45	-2084.38	-2040.68	238.802
8   	79 	100  	-2446.18	-2061.86	-2040.06	41.2814
8   	80 	100  	-3967.08	-2070.2 	-2040.06	124.721
8   	81 	100  	-2663.75	-2064.7 	-2040.06	56.6067
8   	82 	100  	-2887.33	-2068.28	-2040.06	91.058 
8   	83 	100  	-4135.31	-2070.55	-2040.06	154.096
8   	84 	100  	-2496.06	-2058.8 	-2040.06	50.5708
8   	85 	100  	-2268.46	-2056.44	-2040.06	26.5193
8   	86 	100  	-2869.46	-2062.36	-2040.06	58.2389
8   	87 	100  	-2159.88	-2055.4 	-2040.06	18.2802
8   	88 	100  	-2580.25	-2063.65	-2040.06	53.8876
8   	89 	100  	-4190.77	-2068.44	-2040.06	130.993
8   	90 	100  	-2329.32	-2055.81	-2040.06	30.0273
8   	91 	100  	-2825.74	-2065.88	-2040.06	71.9279
8   	92 	100  	-2764.57	-2061.4 	-2040.06	65.7348
8   	93 	100  	-5095.85	-2067.15	-2040.06	181.133
8   	94 	100  	-2650.1 	-2062.05	-2040.06	61.5744
8   	95 	100  	-2704.16	-2058.75	-2040.06	52.5558
8   	96 	100  	-2745.87	-2064.18	-2040.06	66.3254
8   	97 	100  	-2504.66	-2060.18	-2040.06	47.2158
8   	98 	100  	-2346.14	-2056.04	-2040.06	31.7215
8   	99 	100  	-2536.59	-2058.38	-2040.06	43.3978
rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-7284.49	-2391.96	-2119.3 	505.908
8   	1  	100  	-4553.35	-2254.17	-2119.3 	214.427
8   	2  	100  	-3694.34	-2210.25	-2118.9 	140.839
8   	3  	100  	-4268.38	-2195.22	-2083.55	171.33 
8   	4  	100  	-3238.19	-2172.29	-2083.55	102.315
8   	5  	100  	-5966.7 	-2184.48	-2083.55	326.856
8   	6  	100  	-3133.9 	-2152.57	-2083.55	102.865
8   	7  	100  	-2689.8 	-2125.92	-2080.33	62.512 
8   	8  	100  	-6663.1 	-2158.34	-2080.33	304.259
8   	9  	100  	-2595.05	-2113.87	-2080.33	55.5887
8   	10 	100  	-2535.29	-2111.86	-2076.05	50.1171
8   	11 	100  	-3338.14	-2113.72	-2074.98	102.112
8   	12 	100  	-2819.42	-2103.06	-2071.24	68.4286
8   	13 	100  	-23013  	-2172.11	-2071.24	1210.21
8   	14 	100  	-3996.03	-2100.4 	-2070.34	120.071
8   	15 	100  	-3083.38	-2102.05	-2070.34	107.196
8   	16 	100  	-3100.1 	-2104.44	-2069.42	103.803
8   	17 	100  	-5721.62	-2122.83	-2065.95	268.781
8   	18 	100  	-7288.66	-2118.53	-2065.13	315.944
8   	19 	100  	-5117.44	-2098.18	-2065.13	180.418
8   	20 	100  	-6673.27	-2117.6 	-2060.22	290.615
8   	21 	100  	-3617.06	-2090.07	-2060.22	117.777
8   	22 	100  	-2453.07	-2085.23	-2058.52	45.5228
8   	23 	100  	-3347.54	-2089.31	-2058.52	93.5835
8   	24 	100  	-3994.97	-2102.46	-2058.33	193.859
8   	25 	100  	-2800.61	-2081.28	-2057.95	69.1819
8   	26 	100  	-2264.27	-2071.93	-2057.74	24.0781
8   	27 	100  	-2646   	-2076.39	-2056.73	56.526 
8   	28 	100  	-2880.59	-2074.53	-2054.69	59.1372
8   	29 	100  	-2505.89	-2071.05	-2054.69	37.2901
8   	30 	100  	-2283.61	-2068.57	-2054.65	29.4942
8   	31 	100  	-3077.92	-2076.06	-2053.99	79.2939
8   	32 	100  	-2378.53	-2067.75	-2053.72	30.3876
8   	33 	100  	-2487.8 	-2066.92	-2053.41	33.3551
8   	34 	100  	-5239.4 	-2087.07	-2050.87	206.223
8   	35 	100  	-2389.53	-2063.78	-2050.87	28.4448
8   	36 	100  	-5921.78	-2081.22	-2050.76	228.891
8   	37 	100  	-3830.5 	-2074.51	-2049.67	131.966
8   	38 	100  	-3417.96	-2070.66	-2049.67	96.3793
8   	39 	100  	-3926.01	-2069.62	-2048.18	114.32 
8   	40 	100  	-2629.31	-2065.4 	-2048.18	46.1999
8   	41 	100  	-2493.59	-2062.84	-2047.45	39.2838
8   	42 	100  	-2678.02	-2071.82	-2047.23	65.1993
8   	43 	100  	-3548.9 	-2068.84	-2047.23	101.925
8   	44 	100  	-2359.55	-2058.13	-2045.81	28.9307
8   	45 	100  	-2677.66	-2062.15	-2045.53	49.5991
8   	46 	100  	-2281.37	-2055.9 	-2044.88	24.3937
8   	47 	100  	-3410.95	-2064.21	-2044.16	103.025
8   	48 	100  	-4015.91	-2061.95	-2044.16	114.866
8   	49 	100  	-2536.53	-2060.06	-2043.68	48.2279
8   	50 	100  	-2309.57	-2057.49	-2043.38	32.3755
8   	51 	100  	-3068.71	-2062.44	-2043.38	82.0716
8   	52 	100  	-5513.48	-2073.74	-2043.38	234.972
8   	53 	100  	-2256.03	-2053.69	-2042.98	22.7669
8   	54 	100  	-2496.66	-2056.14	-2042.96	41.3854
8   	55 	100  	-2719.43	-2053.08	-2042.89	42.5936
8   	56 	100  	-2928.96	-2057.69	-2042.57	67.1509
8   	57 	100  	-2649.08	-2055.71	-2042.35	58.923 
8   	58 	100  	-2527.29	-2050.92	-2041.86	32.1176
8   	59 	100  	-3650.69	-2057.82	-2041.56	103.851
8   	60 	100  	-2631.09	-2055.07	-2041.46	49.9496
8   	61 	100  	-2170.25	-2048.23	-2041.46	13.1365
8   	62 	100  	-2444.31	-2053.85	-2040.81	40.7055
8   	63 	100  	-4953.96	-2066.51	-2040.76	184.917
8   	64 	100  	-2431.7 	-2050.58	-2040.76	31.6912
8   	65 	100  	-2753.54	-2052.85	-2037.98	49.7404
8   	66 	100  	-2228.32	-2049.79	-2037.98	24.1753
8   	67 	100  	-2490.31	-2052.93	-2037.98	43.0219
8   	68 	100  	-2551.3 	-2050.26	-2037.98	38.1565
8   	69 	100  	-2304.12	-2047.67	-2037.98	21.24  
8   	70 	100  	-2353.81	-2048.2 	-2037.98	25.8127
8   	71 	100  	-2497.65	-2048.44	-2037.98	35.4272
8   	72 	100  	-2445.97	-2048.44	-2037.73	29.9103
8   	73 	100  	-2479.13	-2047.88	-2037.73	34.1553
8   	74 	100  	-2592.13	-2046.96	-2036.88	39.1327
8   	75 	100  	-2332.67	-2045.31	-2036.48	27.466 
8   	76 	100  	-2443.92	-2046.3 	-2036.48	33.0016
8   	77 	100  	-2435.33	-2046.2 	-2036.46	32.8701
8   	78 	100  	-2435.02	-2045.5 	-2036.46	32.4422
8   	79 	100  	-2642.23	-2048.04	-2036.46	51.6185
8   	80 	100  	-2179.42	-2043.3 	-2036.28	16.1794
8   	81 	100  	-2603.4 	-2044.97	-2036.06	40.1496
8   	82 	100  	-3033.43	-2053.25	-2035.78	88.4587
8   	83 	100  	-2142.24	-2042.3 	-2035.78	13.9485
8   	84 	100  	-2327.04	-2044.54	-2035.78	27.7988
8   	85 	100  	-2496.22	-2044.44	-2035.78	30.0398
8   	86 	100  	-2311.93	-2044.95	-2035.78	27.9996
8   	87 	100  	-2397.74	-2047.52	-2035.58	39.1319
8   	88 	100  	-2162.26	-2042.76	-2035.58	16.1688
8   	89 	100  	-2726.15	-2047.76	-2035.29	49.0179
8   	90 	100  	-2308.53	-2043.57	-2035.22	25.0825
8   	91 	100  	-2578.22	-2047.1 	-2035.11	47.0656
8   	92 	100  	-2862.31	-2048.22	-2035.11	63.5393
8   	93 	100  	-2517.18	-2044.75	-2034.89	38.6249
8   	94 	100  	-2183.81	-2042.24	-2034.89	16.9442
8   	95 	100  	-3227.6 	-2053.46	-2034.89	96.5115
8   	96 	100  	-3452.83	-2048.71	-2034.59	91.0027
8   	97 	100  	-2303.22	-2042.33	-2034.59	22.1262
8   	98 	100  	-2175.9 	-2039.82	-2034.59	11.1473
8   	99 	100  	-2331.65	-2042.69	-2034.59	26.2857
rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-4596.45	-2348.51	-2110.03	270.346
8   	1  	100  	-7392.59	-2262.44	-2104.52	408.388
8   	2  	100  	-2832.74	-2189.35	-2094.62	93.9303
8   	3  	100  	-8451.47	-2205.25	-2086.67	435.282
8   	4  	100  	-11299.3	-2184.3 	-2080.73	559.436
8   	5  	100  	-5377.36	-2164.76	-2071.14	272.793
8   	6  	100  	-5140.04	-2138.84	-2067.26	203.448
8   	7  	100  	-6132.34	-2121.36	-2067.26	234.772
8   	8  	100  	-3624.15	-2109.13	-2066.16	104.447
8   	9  	100  	-2854.8 	-2099.44	-2066.16	60.7679
8   	10 	100  	-2898.02	-2103.86	-2064.26	81.4958
8   	11 	100  	-2916.98	-2089.86	-2064.26	58.3554
8   	12 	100  	-3192.51	-2096.65	-2064.02	104.094
8   	13 	100  	-2575.91	-2083.93	-2063.43	49.8109
8   	14 	100  	-2865.61	-2085.95	-2060.74	65.4859
8   	15 	100  	-2485.38	-2084.51	-2060.07	47.0928
8   	16 	100  	-5646.42	-2091.89	-2060.07	210.251
8   	17 	100  	-2465.92	-2081.09	-2058.23	47.5128
8   	18 	100  	-2566.49	-2082.2 	-2058.23	51.224 
8   	19 	100  	-4101.05	-2090.75	-2055.25	142.192
8   	20 	100  	-2672.38	-2075.92	-2055.25	46.6467
8   	21 	100  	-2713.86	-2077.91	-2055.25	58.6375
8   	22 	100  	-2803.27	-2081.74	-2053.95	70.727 
8   	23 	100  	-2393.38	-2072.43	-2053.95	37.915 
8   	24 	100  	-2819.8 	-2072   	-2053.81	53.5382
8   	25 	100  	-3204.27	-2071.92	-2053.71	77.5286
8   	26 	100  	-2970.49	-2074.71	-2052.03	78.9875
8   	27 	100  	-2743.8 	-2079.47	-2052.03	76.1681
8   	28 	100  	-2823.08	-2075.37	-2051.95	64.7508
8   	29 	100  	-2235.73	-2064.99	-2051.46	23.7513
8   	30 	100  	-2614.13	-2065.54	-2050.44	38.8748
8   	31 	100  	-2996.02	-2074.13	-2050.44	86.1911
8   	32 	100  	-2845.88	-2072.49	-2050.44	74.2145
8   	33 	100  	-2570.9 	-2068.48	-2049.61	48.9741
8   	34 	100  	-3037   	-2079.28	-2047.91	108.736
8   	35 	100  	-2723.62	-2067.14	-2047.91	55.4648
8   	36 	100  	-3475.94	-2071.38	-2047.91	92.4155
8   	37 	100  	-3039.69	-2063.05	-2047.24	62.2405
8   	38 	100  	-2503.19	-2061.87	-2047.24	39.7259
8   	39 	100  	-2338.09	-2062.79	-2047.24	35.2095
8   	40 	100  	-2320.99	-2059.91	-2046.99	26.8307
8   	41 	100  	-2960.16	-2066.24	-2045.83	68.9156
8   	42 	100  	-2654.15	-2067.21	-2045.83	59.5065
8   	43 	100  	-2451.13	-2061.12	-2045.65	37.7004
8   	44 	100  	-3486.34	-2071.1 	-2045.12	116.355
8   	45 	100  	-4778.33	-2075.35	-2045.12	178.143
8   	46 	100  	-2650.24	-2064.02	-2044.56	64.4705
8   	47 	100  	-2308.49	-2055.4 	-2044.48	26.5425
8   	48 	100  	-2250.53	-2055.7 	-2042.76	24.1825
8   	49 	100  	-5044.49	-2072.02	-2042.76	192.026
8   	50 	100  	-3510.28	-2062.12	-2042.76	91.2646
8   	51 	100  	-2874.63	-2056.82	-2042.76	54.4357
8   	52 	100  	-2338.32	-2053.52	-2042.76	26.119 
8   	53 	100  	-4396.91	-2071.71	-2042.46	159.607
8   	54 	100  	-2643.04	-2058.69	-2042.06	53.4784
8   	55 	100  	-2299.69	-2053.94	-2041.75	29.0379
8   	56 	100  	-2470.47	-2053.91	-2041.21	33.5749
8   	57 	100  	-2553.29	-2055.58	-2040.71	48.6526
8   	58 	100  	-2830.23	-2057.64	-2040.71	61.1005
8   	59 	100  	-3754.3 	-2063.47	-2040.43	121.347
8   	60 	100  	-2467.04	-2053.33	-2040.23	42.2575
8   	61 	100  	-5035.19	-2069.69	-2040.23	199.042
8   	62 	100  	-2955.86	-2055.37	-2039.76	66.2334
8   	63 	100  	-2373.46	-2050.61	-2039.76	29.8049
8   	64 	100  	-2360.93	-2051.48	-2039.76	34.4717
8   	65 	100  	-2361.66	-2048.91	-2039.76	23.4678
8   	66 	100  	-2201.09	-2050.37	-2039.73	22.6801
8   	67 	100  	-2842.01	-2053.38	-2039.13	62.2497
8   	68 	100  	-4123.73	-2064.12	-2039.13	159.85 
8   	69 	100  	-2151.38	-2047.43	-2039.05	15.3328
8   	70 	100  	-2285.1 	-2047.83	-2038.81	22.9372
8   	71 	100  	-2248.38	-2047.18	-2038.65	20.103 
8   	72 	100  	-2411.48	-2050.07	-2038.65	34.7902
8   	73 	100  	-2212.43	-2045.6 	-2038.65	17.6645
8   	74 	100  	-2347.59	-2050.1 	-2038.35	32.0196
8   	75 	100  	-2304.56	-2050.69	-2038.35	30.1048
8   	76 	100  	-2518   	-2047.48	-2038.35	30.7672
8   	77 	100  	-2622.32	-2051.36	-2038.35	46.6438
8   	78 	100  	-2416.64	-2049.9 	-2038.35	34.8791
8   	79 	100  	-2284.61	-2051.58	-2037.36	35.1131
8   	80 	100  	-2330.51	-2046.19	-2037.36	23.8309
8   	81 	100  	-2435.76	-2050.95	-2037.36	44.8345
8   	82 	100  	-2432.36	-2047.21	-2037.36	30.2832
8   	83 	100  	-2417.12	-2048.47	-2037.36	32.6665
8   	84 	100  	-2725.16	-2050.02	-2037.36	51.8119
8   	85 	100  	-2319.85	-2048.15	-2037.36	25.4443
8   	86 	100  	-2240.87	-2046.55	-2037.36	23.1347
8   	87 	100  	-2220.4 	-2045.04	-2037.25	18.6251
8   	88 	100  	-2799.85	-2050.29	-2036.74	58.9495
8   	89 	100  	-2199.93	-2044.92	-2036.74	20.6947
8   	90 	100  	-2895.46	-2053.55	-2036.74	80.5256
8   	91 	100  	-2396.82	-2047.15	-2036.74	31.1838
8   	92 	100  	-3039.39	-2053.57	-2036.67	73.8683
8   	93 	100  	-2196.15	-2043.96	-2036.51	22.6642
8   	94 	100  	-2563.27	-2050.76	-2036.44	53.8233
8   	95 	100  	-2293.56	-2045.73	-2036.44	29.257 
8   	96 	100  	-2735.52	-2049.67	-2036.41	56.7865
8   	97 	100  	-2919.4 	-2046.08	-2036.41	52.834 
8   	98 	100  	-2727.05	-2048.83	-2036.2 	52.3317
8   	99 	100  	-2287.27	-2044.26	-2036.11	25.1093
rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-16373.2	-2458.51	-2115.38	861.72 
8   	1  	100  	-10595.6	-2419.03	-2115.38	765.52 
8   	2  	100  	-8263.28	-2332.86	-2108.08	541.511
8   	3  	100  	-3477.86	-2254.39	-2108.08	189.443
8   	4  	100  	-10021.1	-2290.88	-2104.94	600.384
8   	5  	100  	-6483.55	-2233.71	-2103.21	318.082
8   	6  	100  	-7236.82	-2230.87	-2088.04	357.985
8   	7  	100  	-18045.1	-2381.64	-2082.64	1347.25
8   	8  	100  	-11676  	-2236.22	-2082.64	583.772
8   	9  	100  	-68807.9	-2453.15	-2082.64	3857.89
8   	10 	100  	-22362.5	-2305.94	-2082.64	1278.8 
8   	11 	100  	-3838   	-2193.99	-2082.64	197.882
8   	12 	100  	-11525.2	-2279.79	-2082.2 	778.77 
8   	13 	100  	-4721.71	-2189.64	-2081.06	245.875
8   	14 	100  	-6128.9 	-2179.87	-2072.6 	290.354
8   	15 	100  	-3929.16	-2182.01	-2071.6 	220.205
8   	16 	100  	-5491.36	-2163.37	-2071.6 	255.496
8   	17 	100  	-10056.3	-2191.48	-2071.6 	531.006
8   	18 	100  	-3474.46	-2149.22	-2066.53	172.82 
8   	19 	100  	-15569.7	-2197   	-2066.53	804.871
8   	20 	100  	-3456.76	-2146.81	-2066.53	179.087
8   	21 	100  	-4456.96	-2144.16	-2066.53	214.949
8   	22 	100  	-3005.73	-2132.19	-2066.53	103.869
8   	23 	100  	-5228.53	-2156.75	-2065.65	256.839
8   	24 	100  	-5370.29	-2146.32	-2064.83	234.216
8   	25 	100  	-3611.8 	-2145.02	-2064.83	172.476
8   	26 	100  	-3979.16	-2153.71	-2064.83	212.884
8   	27 	100  	-3618.28	-2130.33	-2064.83	140.068
8   	28 	100  	-3449.2 	-2141.34	-2064.83	154.517
8   	29 	100  	-7412.61	-2184.47	-2064.83	516.799
8   	30 	100  	-4711.05	-2156.63	-2064.83	294.002
8   	31 	100  	-5978.21	-2137.08	-2064.52	253.325
8   	32 	100  	-3781.61	-2128.26	-2063.95	156.84 
8   	33 	100  	-3486.91	-2115.48	-2063.9 	106.834
8   	34 	100  	-3370.72	-2126.85	-2063.65	133.088
8   	35 	100  	-10465.4	-2183.96	-2063.65	606.718
8   	36 	100  	-3945.39	-2121.88	-2063.65	160.103
8   	37 	100  	-230512 	-2886.86	-2061.23	13165.2
8   	38 	100  	-3149.49	-2128.86	-2060.67	130.396
8   	39 	100  	-5192.04	-2133.07	-2060.67	223.249
8   	40 	100  	-2810.28	-2113.33	-2060.67	95.3479
8   	41 	100  	-4890.76	-2152.34	-2060.67	309.302
8   	42 	100  	-6465.85	-2134.56	-2060.67	275.92 
8   	43 	100  	-3835.61	-2157.46	-2060.56	239.47 
8   	44 	100  	-4782.94	-2132.31	-2060.32	187.738
8   	45 	100  	-4834.32	-2138.11	-2059.86	210.121
8   	46 	100  	-5229.72	-2158.45	-2059.13	270.11 
8   	47 	100  	-4430.89	-2136.46	-2059.13	221.799
8   	48 	100  	-3984.15	-2117.8 	-2058.02	138.846
8   	49 	100  	-8388.66	-2162.97	-2056.13	475.28 
8   	50 	100  	-4336.67	-2134.28	-2056.13	241.223
8   	51 	100  	-3216.05	-2113.46	-2056.13	122.156
8   	52 	100  	-3726.82	-2120.93	-2055.35	165.482
8   	53 	100  	-4282   	-2105.58	-2055.35	140.296
8   	54 	100  	-10433.9	-2145.95	-2055.35	514.078
8   	55 	100  	-18721.4	-2161.72	-2055.35	968.642
8   	56 	100  	-4355.31	-2132.52	-2053.43	240.846
8   	57 	100  	-12110.6	-2153.55	-2053.43	616.703
8   	58 	100  	-5896.67	-2120   	-2053.23	256.634
8   	59 	100  	-2907.04	-2101.5 	-2053.23	95.9406
8   	60 	100  	-5635.6 	-2133.99	-2053.23	275.986
8   	61 	100  	-3907.62	-2114.94	-2053.23	168.704
8   	62 	100  	-2554.4 	-2099.4 	-2053.23	75.4894
8   	63 	100  	-4665.01	-2116.43	-2053.23	216.043
8   	64 	100  	-3687.56	-2100.44	-2052.61	128.38 
8   	65 	100  	-3257.16	-2102.12	-2050.04	121.336
8   	66 	100  	-5226.43	-2132.45	-2050.04	260.2  
8   	67 	100  	-3958.7 	-2122.78	-2049.22	211.832
8   	68 	100  	-3172.03	-2103.66	-2049.22	122.056
8   	69 	100  	-4624.07	-2108.49	-2048.66	215.389
8   	70 	100  	-3171.64	-2097.55	-2048.61	99.3957
8   	71 	100  	-3022   	-2093.36	-2048.61	83.028 
8   	72 	100  	-6204.13	-2126.85	-2047.79	331.816
8   	73 	100  	-4320.14	-2110.61	-2047.77	194.493
8   	74 	100  	-2651.16	-2081.21	-2047.77	54.5861
8   	75 	100  	-2869.82	-2090.7 	-2047.77	91.2445
8   	76 	100  	-2535.95	-2086.97	-2047.38	64.9733
8   	77 	100  	-7387.89	-2120.08	-2047.38	385.754
8   	78 	100  	-2564.42	-2088.37	-2047.38	73.8199
8   	79 	100  	-4376.75	-2110.35	-2047.38	188.422
8   	80 	100  	-3423.84	-2097.94	-2047.38	121.342
8   	81 	100  	-2687.12	-2089.8 	-2047.38	77.216 
8   	82 	100  	-3834.95	-2092.55	-2047.08	127.576
8   	83 	100  	-5034.99	-2100.65	-2047.08	221.205
8   	84 	100  	-2427.65	-2080.9 	-2047.08	51.1509
8   	85 	100  	-2507.11	-2082.72	-2047.08	57.0979
8   	86 	100  	-2952.26	-2093.22	-2047.08	100.481
8   	87 	100  	-14280.7	-2139.36	-2047.08	720.952
8   	88 	100  	-3051.86	-2086.57	-2047.08	96.0846
8   	89 	100  	-2786.81	-2082.9 	-2047.08	70.4919
8   	90 	100  	-3751   	-2088.82	-2047.08	116.648
8   	91 	100  	-7739.39	-2113.98	-2046.97	347.296
8   	92 	100  	-3405.1 	-2098.96	-2046.97	130.583
8   	93 	100  	-2698.28	-2084.29	-2046.97	74.8451
8   	94 	100  	-3470.87	-2096.12	-2046.97	133.608
8   	95 	100  	-3182.86	-2092.97	-2046.68	113.214
8   	96 	100  	-5930.45	-2114.16	-2046.68	283.06 
8   	97 	100  	-6321.1 	-2108.92	-2045.83	307.801
8   	98 	100  	-4361.53	-2100.08	-2045.83	178.418
8   	99 	100  	-3572.16	-2103.95	-2045.57	159.883
rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-6180.91	-2385.13	-2122.11	395.715
8   	1  	100  	-3636.06	-2265.39	-2122.11	190.209
8   	2  	100  	-7541.23	-2235.54	-2104.4 	356.222
8   	3  	100  	-4040.17	-2206.78	-2104.4 	196.107
8   	4  	100  	-3601.26	-2189.55	-2103.57	158.249
8   	5  	100  	-3289.97	-2176.62	-2101.58	149.233
8   	6  	100  	-5266.06	-2167.54	-2100.32	236.681
