rank	gen	depth	min         	avg     	max     	std    
8   	0  	100  	-20059.7    	-2974.78	-1970.14	1675.2 
8   	1  	100  	-74137.8    	-2791.25	-1939.51	3443.93
8   	2  	100  	-29797.6    	-2670.26	-1939.51	1978.5 
8   	3  	100  	-18877      	-2521.56	-1939.51	1142.83
8   	4  	100  	-77745      	-2733.2 	-1939.51	3700.21
8   	5  	100  	-32316.2    	-2543.32	-1924.55	2026.4 
8   	6  	100  	-18302.8    	-2427.15	-1924.55	1134.06
8   	7  	100  	-35908.2    	-2601.8 	-1913.57	2480.42
8   	8  	100  	-16142.4    	-2366.66	-1913.57	955.319
8   	9  	100  	-45879.1    	-2593.78	-1913.57	3193.26
8   	10 	100  	-141071     	-2717.44	-1899.57	6384.33
8   	11 	100  	-1.94601e+06	-6322.94	-1899.57	86855  
8   	12 	100  	-31974      	-2485.16	-1873.62	1933.01
8   	13 	100  	-16851.3    	-2358.74	-1873.62	1266.6 
8   	14 	100  	-22404.7    	-2375.72	-1870.7 	1524.75
8   	15 	100  	-11950      	-2278.15	-1870.7 	951.49 
8   	16 	100  	-71756.3    	-2723.6 	-1867   	4359.64
8   	17 	100  	-12156.6    	-2275.95	-1867   	970.923
8   	18 	100  	-76205      	-2459.05	-1867   	3517.12
8   	19 	100  	-15715.4    	-2286.26	-1867   	1145.24
8   	20 	100  	-6708.49    	-2196.72	-1863.49	611.694
8   	21 	100  	-15333.3    	-2260.25	-1862.96	888.478
8   	22 	100  	-11542.4    	-2250.08	-1839.7 	950.335
8   	23 	100  	-40854.7    	-2398.13	-1839.7 	2422.82
8   	24 	100  	-16872.8    	-2257.26	-1834.37	1140.96
8   	25 	100  	-16716.7    	-2218.61	-1834.37	947.206
8   	26 	100  	-16332      	-2237.28	-1834.37	1102.76
8   	27 	100  	-16628.6    	-2228.99	-1832.27	1173.7 
8   	28 	100  	-18618.4    	-2236.42	-1832.27	1308.1 
8   	29 	100  	-34217.5    	-2257.39	-1832.27	1716.71
8   	30 	100  	-11411.8    	-2227.3 	-1828.47	1018.02
8   	31 	100  	-7740.45    	-2151.53	-1828.47	603.132
8   	32 	100  	-28073.7    	-2172.31	-1824   	1335.36
8   	33 	100  	-17458.4    	-2150.32	-1824   	1040.34
8   	34 	100  	-24403.5    	-2286.55	-1818.21	1713.97
8   	35 	100  	-46810      	-2375.9 	-1818.21	2683.87
8   	36 	100  	-34364.5    	-2210.27	-1818.21	1677.51
8   	37 	100  	-13612.8    	-2147.91	-1816.98	983.166
8   	38 	100  	-79864      	-2473.81	-1816.98	3951.24
8   	39 	100  	-19464      	-2222.07	-1816.98	1288.63
8   	40 	100  	-9187.34    	-2120.86	-1816.98	638.118
8   	41 	100  	-9767.8     	-2105.59	-1816.15	583.409
8   	42 	100  	-15057.2    	-2171.7 	-1816.15	1045.83
8   	43 	100  	-9510.06    	-2110.29	-1816.15	635.193
8   	44 	100  	-28021.6    	-2231.28	-1806.28	1548.88
8   	45 	100  	-14279.7    	-2164.5 	-1806.28	928.78 
8   	46 	100  	-81236.9    	-2306.97	-1806.28	3687.62
8   	47 	100  	-10421.9    	-2091.64	-1806.28	639.408
8   	48 	100  	-16386.4    	-2166.57	-1806.28	1130.3 
8   	49 	100  	-44518.7    	-2215.68	-1806.28	2047.89
8   	50 	100  	-9823.01    	-2110.58	-1806.28	683.228
8   	51 	100  	-12002.1    	-2192.63	-1806.28	978.187
8   	52 	100  	-15325.4    	-2287.87	-1806.28	1562.9 
8   	53 	100  	-10578.8    	-2101.31	-1806.28	687.205
8   	54 	100  	-15786.4    	-2144.6 	-1806.28	1027.26
8   	55 	100  	-39034.2    	-2286.88	-1806.28	2078.25
8   	56 	100  	-9986.19    	-2109.36	-1806.28	655.839
8   	57 	100  	-16780.2    	-2223.96	-1806.28	1253.08
8   	58 	100  	-36641.6    	-2132.61	-1806.28	1616.86
8   	59 	100  	-9219.44    	-2119.83	-1806.28	606.699
8   	60 	100  	-11106.6    	-2143.65	-1806.28	846.886
8   	61 	100  	-35912.9    	-2204.23	-1806.28	1685.26
8   	62 	100  	-37426.1    	-2240.96	-1806.28	1996.63
8   	63 	100  	-32775.2    	-2181.35	-1806.28	1521.15
8   	64 	100  	-40582.8    	-2173.31	-1806.28	1916.68
8   	65 	100  	-7004.91    	-2069.98	-1799.66	500.07 
8   	66 	100  	-18954.8    	-2152.81	-1799.66	1196.71
8   	67 	100  	-51340.2    	-2189.98	-1795.33	2400.95
8   	68 	100  	-23355.8    	-2145.7 	-1795.33	1203.28
8   	69 	100  	-11151.9    	-2091.68	-1795.33	645.051
8   	70 	100  	-29007.8    	-2233.14	-1795.33	2072.19
8   	71 	100  	-76987.6    	-2316.69	-1792.07	3898.31
8   	72 	100  	-45452.2    	-2168   	-1787.89	2049.5 
8   	73 	100  	-51236.7    	-2167.79	-1787.89	2272.87
8   	74 	100  	-7440.11    	-2018.05	-1787.89	428.24 
8   	75 	100  	-10712.5    	-2048.6 	-1787.89	569.859
8   	76 	100  	-9285.38    	-2082.53	-1781.82	659.978
8   	77 	100  	-35600.7    	-2125.15	-1770.43	1699.34
8   	78 	100  	-10847.2    	-2060.59	-1770.43	661.628
8   	79 	100  	-106580     	-2417.49	-1770.43	5563.21
8   	80 	100  	-55065.6    	-2138.27	-1770.43	2409.37
8   	81 	100  	-67802      	-2225.57	-1770.43	3289.58
8   	82 	100  	-17502.2    	-2078.1 	-1770.43	998.371
8   	83 	100  	-8391.08    	-2053.62	-1770.43	584.005
8   	84 	100  	-11671.2    	-2094.97	-1770.43	813.466
8   	85 	100  	-6014.77    	-2015.36	-1770.43	397.499
8   	86 	100  	-7853.01    	-2068.7 	-1770.43	635.017
8   	87 	100  	-14306.1    	-2125.44	-1770.43	944.645
8   	88 	100  	-16961.4    	-2082.69	-1769.73	1051.22
8   	89 	100  	-20123.1    	-2113.91	-1769.73	1066.02
8   	90 	100  	-66438.6    	-2360.87	-1769.73	3772.28
8   	91 	100  	-12607.5    	-2103.25	-1769.73	883.743
8   	92 	100  	-14968.1    	-2065.09	-1768.27	792.736
8   	93 	100  	-9055.35    	-2049.53	-1766.11	665.797
8   	94 	100  	-80727.9    	-2334.03	-1766.11	3802.21
8   	95 	100  	-10609.7    	-2033.32	-1766.11	587.574
8   	96 	100  	-8532.84    	-2033.79	-1766.11	548.251
8   	97 	100  	-66189.5    	-2218.37	-1763.41	3051.99
8   	98 	100  	-17701.8    	-2104.6 	-1760.97	1101.62
8   	99 	100  	-31047.5    	-2219.32	-1760.97	2088.89
rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-11145.2	-2699.92	-1936.2 	818.149
8   	1  	100  	-9604.5 	-2356.95	-1936.2 	512.295
8   	2  	100  	-14002.6	-2270.25	-1909.78	840.511
8   	3  	100  	-4216.53	-2111.23	-1896   	197.525
8   	4  	100  	-4379.11	-2073.85	-1887.31	218.064
8   	5  	100  	-4518.35	-2053.69	-1853.11	239.731
8   	6  	100  	-5408.39	-2010.16	-1838.96	228.57 
8   	7  	100  	-9793.46	-2031.41	-1838.96	466.13 
8   	8  	100  	-5222.14	-1985.73	-1812.01	287.118
8   	9  	100  	-38286.6	-2049.46	-1812.01	1662.28
8   	10 	100  	-5363.64	-1955.47	-1812.01	275.93 
8   	11 	100  	-13311.3	-1959.9 	-1781.82	579.27 
8   	12 	100  	-19155.3	-1994.19	-1772.64	1097.95
8   	13 	100  	-7307.32	-1907.46	-1772.64	311.412
8   	14 	100  	-3856   	-1887.82	-1772.64	207.56 
8   	15 	100  	-7046.79	-1896.13	-1772.64	411.347
8   	16 	100  	-3486.92	-1868.94	-1772.64	191.129
8   	17 	100  	-32578.4	-2012.4 	-1766.49	1841.29
8   	18 	100  	-4305.49	-1843.64	-1766.49	188.746
8   	19 	100  	-4897.93	-1843.59	-1764   	264.464
8   	20 	100  	-7904.54	-1852.6 	-1762.12	353.515
8   	21 	100  	-9393.39	-1847.4 	-1762.12	448.861
8   	22 	100  	-23516.2	-1864.8 	-1762.12	983.825
8   	23 	100  	-3899.26	-1826.86	-1759.14	185.868
8   	24 	100  	-4882.2 	-1821.02	-1757.77	223.891
8   	25 	100  	-4615.67	-1842.76	-1754.63	295.394
8   	26 	100  	-5683.6 	-1822.25	-1752.38	294.335
8   	27 	100  	-4990.14	-1813.26	-1751.62	220.233
8   	28 	100  	-2384.29	-1793.17	-1749.39	79.7556
8   	29 	100  	-2738.04	-1796.61	-1749.39	106.517
8   	30 	100  	-3067   	-1806.72	-1749.39	137.12 
8   	31 	100  	-4644.16	-1811.75	-1742.18	213.236
8   	32 	100  	-7125.95	-1811.55	-1742.18	294.86 
8   	33 	100  	-9616.7 	-1822.19	-1742.18	393.394
8   	34 	100  	-3979.96	-1797.06	-1741.36	202.76 
8   	35 	100  	-11517.7	-1828.48	-1730.99	499.376
8   	36 	100  	-7831.37	-1812.08	-1730.99	322.561
8   	37 	100  	-3547.68	-1789.54	-1730.99	155.775
8   	38 	100  	-5965.17	-1799.13	-1725.28	250.576
8   	39 	100  	-9461.37	-1804.85	-1725.28	382.321
8   	40 	100  	-4825.6 	-1787.07	-1723.18	197.488
8   	41 	100  	-2961.82	-1771.78	-1723.18	120.76 
8   	42 	100  	-4261.51	-1784.04	-1723.18	194.473
8   	43 	100  	-12201.4	-1806.38	-1722.39	556.015
8   	44 	100  	-3520   	-1766.32	-1722.01	130.89 
8   	45 	100  	-4493.15	-1773.25	-1717.73	201.957
8   	46 	100  	-6093.22	-1780.15	-1717.73	290.163
8   	47 	100  	-6734.7 	-1778.22	-1717.73	270.692
8   	48 	100  	-2938.08	-1755.37	-1717.73	103.38 
8   	49 	100  	-4626.43	-1757.08	-1717.73	157.308
