rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-3463.97	-1712.26	-1615.24	169.379
8   	1  	100  	-10509.8	-1687.85	-1613.84	422.616
8   	2  	100  	-15866.2	-1685.14	-1612.58	640.36 
8   	3  	100  	-2037.62	-1640.79	-1612.58	42.1319
8   	4  	100  	-1966.1 	-1631.99	-1610.4 	31.7   
8   	5  	100  	-2018.08	-1629.18	-1610.4 	32.4815
8   	6  	100  	-2808.32	-1630.64	-1609.27	84.5536
8   	7  	100  	-2343.62	-1629.28	-1609.27	58.555 
8   	8  	100  	-7453.55	-1648.5 	-1608.27	346.132
8   	9  	100  	-2237.49	-1621.58	-1607.62	38.2585
8   	10 	100  	-4511.93	-1632.31	-1607.47	155.335
8   	11 	100  	-1910.35	-1618.17	-1606.92	27.7474
8   	12 	100  	-2064.58	-1619.72	-1606.92	35.3898
8   	13 	100  	-1847.63	-1616.7 	-1606.92	25.4334
8   	14 	100  	-2396.25	-1618.66	-1606.92	47.6081
8   	15 	100  	-2133.32	-1618.16	-1606.32	46.7582
8   	16 	100  	-2034.58	-1617.39	-1605.19	36.2127
8   	17 	100  	-1980.97	-1615.88	-1604.94	28.3132
8   	18 	100  	-2124.98	-1619.03	-1604.94	49.2396
8   	19 	100  	-1914.03	-1613.12	-1604.94	24.718 
8   	20 	100  	-1937.69	-1612.23	-1604.94	25.02  
8   	21 	100  	-3346.25	-1621.19	-1604.94	92.7495
8   	22 	100  	-1821.75	-1611.88	-1604.49	18.5379
8   	23 	100  	-2140.76	-1612.6 	-1604.24	32.0758
8   	24 	100  	-1933.87	-1612.58	-1604.24	30.042 
8   	25 	100  	-2206.22	-1612.29	-1604.24	39.5913
8   	26 	100  	-2095.53	-1611.54	-1604.24	27.044 
8   	27 	100  	-17636.3	-1698.94	-1603.54	1018.65
8   	28 	100  	-1992.5 	-1610.47	-1603.54	26.9681
8   	29 	100  	-2046.32	-1609.76	-1603.54	24.8199
8   	30 	100  	-1737.85	-1608.41	-1603.54	12.8737
8   	31 	100  	-2583.4 	-1612.15	-1603.54	54.2365
8   	32 	100  	-2504.74	-1611.59	-1603.54	47.8089
8   	33 	100  	-1837.02	-1610.18	-1603.54	21.3712
8   	34 	100  	-1727.59	-1608.25	-1603.54	11.4188
8   	35 	100  	-1759.89	-1607.99	-1603.54	12.8465
8   	36 	100  	-2183.03	-1609.9 	-1603.54	31.1005
8   	37 	100  	-1883.07	-1609.48	-1603.54	22.662 
8   	38 	100  	-14905.9	-1635.91	-1603.54	594.754
8   	39 	100  	-1954.69	-1609.2 	-1603.54	26.0427
8   	40 	100  	-2199.62	-1610.37	-1603.54	40.3445
8   	41 	100  	-1707.51	-1607.3 	-1603.54	10.5303
8   	42 	100  	-1932.7 	-1609.3 	-1603.54	26.6151
8   	43 	100  	-1846.3 	-1607.4 	-1603.54	15.9182
8   	44 	100  	-1722.61	-1607.29	-1603.54	11.9953
8   	45 	100  	-1824.94	-1608.56	-1603.54	17.6361
8   	46 	100  	-1843.71	-1607.48	-1603.54	14.7019
8   	47 	100  	-1988.41	-1609.56	-1603.54	26.0496
8   	48 	100  	-2245.73	-1610.17	-1603.54	40.7261
8   	49 	100  	-1766.7 	-1607.92	-1603.54	14.3573
8   	50 	100  	-2774.17	-1610.68	-1603.54	56.6963
8   	51 	100  	-1912.2 	-1609.5 	-1603.54	23.0745
8   	52 	100  	-1846.6 	-1607.84	-1603.54	15.3541
8   	53 	100  	-1728.11	-1607.05	-1603.54	11.957 
8   	54 	100  	-2028.76	-1607.07	-1603.54	20.6788
8   	55 	100  	-1959.67	-1610.14	-1603.54	27.2221
8   	56 	100  	-1924.05	-1609.02	-1603.54	24.4571
8   	57 	100  	-1771.16	-1607.46	-1603.54	14.0246
