rank	gen	depth	min     	avg     	max     	std    
8   	0  	100  	-7003.07	-2394.26	-2120.05	377.435
8   	1  	100  	-3701.11	-2263.79	-2120.05	165.65 
8   	2  	100  	-5701.52	-2231.38	-2115.25	251.723
8   	3  	100  	-2665.86	-2182.13	-2111.3 	76.6026
8   	4  	100  	-6818.28	-2172.26	-2108.32	273.676
8   	5  	100  	-3365.41	-2156.05	-2091.57	120.748
8   	6  	100  	-6717.77	-2155.12	-2089.17	272.357
8   	7  	100  	-3574.16	-2150.72	-2087.55	162.568
8   	8  	100  	-2480.41	-2118.52	-2087.55	37.6019
8   	9  	100  	-3396.45	-2122.91	-2084.85	117.91 
8   	10 	100  	-3205.62	-2121.03	-2077.87	108.106
8   	11 	100  	-4038.04	-2115.06	-2070.5 	138.577
8   	12 	100  	-2735.87	-2105.29	-2067.2 	61.9487
8   	13 	100  	-3915.95	-2104.53	-2064.68	122.306
8   	14 	100  	-2615.86	-2091.88	-2064.68	41.6416
8   	15 	100  	-3753.62	-2099.6 	-2060.21	117.203
8   	16 	100  	-2477.1 	-2081.69	-2059.77	35.2004
8   	17 	100  	-2386.97	-2078.91	-2057.98	32.3905
8   	18 	100  	-2997.43	-2082.62	-2057.98	85.0138
8   	19 	100  	-4478.29	-2085.78	-2056.26	156.061
8   	20 	100  	-2521.86	-2070.73	-2056.26	40.7191
8   	21 	100  	-2636.35	-2068.42	-2055.68	38.0007
8   	22 	100  	-2473.87	-2068.52	-2054.17	33.2238
8   	23 	100  	-2309.42	-2066.82	-2053.04	27.1685
8   	24 	100  	-2542.97	-2065.68	-2050.69	36.6767
8   	25 	100  	-2909.31	-2070.1 	-2050.69	74.1052
8   	26 	100  	-2526.98	-2063.15	-2049.58	36.6331
8   	27 	100  	-3694.44	-2068.54	-2049.58	98.9279
8   	28 	100  	-2467.84	-2061.27	-2049.58	39.4566
8   	29 	100  	-2549.07	-2064.55	-2048.99	54.0945
8   	30 	100  	-3463.83	-2064.66	-2048.94	86.1118
8   	31 	100  	-2352.61	-2058.42	-2046.73	27.8189
8   	32 	100  	-2535.7 	-2057.47	-2046.51	33.4432
8   	33 	100  	-2446.64	-2058.76	-2046.51	36.8236
8   	34 	100  	-2351.82	-2056.48	-2046.51	28.0647
8   	35 	100  	-2389.73	-2057.38	-2046.18	35.633 
8   	36 	100  	-2571.84	-2056.56	-2044.66	39.847 
8   	37 	100  	-3188.5 	-2057.04	-2044.66	68.5752
8   	38 	100  	-2781.89	-2059.9 	-2044.66	69.3068
