rank	gen	depth	min     	avg     	max     	std    
2   	0  	100  	-9418.69	-2946.65	-1923.67	786.675
2   	1  	100  	-6663.95	-2564.55	-1919.4 	388.105
2   	2  	100  	-11588.6	-2376.67	-1919.4 	467.884
2   	3  	100  	-11610.2	-2271.39	-1918.71	619.268
2   	4  	100  	-4818.98	-2131.22	-1907.1 	238.095
2   	5  	100  	-4117.94	-2044.24	-1898.99	175.167
2   	6  	100  	-4266.92	-1985.01	-1898.99	153.891
2   	7  	100  	-2687   	-1949.72	-1885.42	79.5485
2   	8  	100  	-7796.15	-1964.01	-1866.77	326.271
2   	9  	100  	-5723.59	-1949.4 	-1866.77	273.937
2   	10 	100  	-4056.55	-1943.49	-1866.07	185.194
2   	11 	100  	-7474.94	-1947.83	-1859.6 	318.607
2   	12 	100  	-3946.41	-1927.17	-1850.21	180.932
2   	13 	100  	-3174.35	-1903.44	-1850.21	90.1125
2   	14 	100  	-4209.1 	-1915.31	-1848.34	193.983
2   	15 	100  	-4572.56	-1895.37	-1845.25	153.457
2   	16 	100  	-5556.22	-1899.52	-1843.94	214.706
2   	17 	100  	-10926.2	-1905.14	-1834.19	442.221
2   	18 	100  	-4580.32	-1882.78	-1834.19	175.398
2   	19 	100  	-5970.77	-1899.09	-1831.37	320.815
2   	20 	100  	-4928.35	-1885.84	-1831.37	272.206
2   	21 	100  	-4617.27	-1877.46	-1831.37	211.29 
2   	22 	100  	-3320.66	-1859.18	-1828.57	95.936 
2   	23 	100  	-3738.67	-1860.3 	-1826.39	118.291
2   	24 	100  	-3487.41	-1857.95	-1826.39	109.134
2   	25 	100  	-8093.26	-1874.69	-1822.78	307.929
2   	26 	100  	-5426.33	-1882.66	-1822.78	254.529
2   	27 	100  	-3627.14	-1856.28	-1820.28	128.882
2   	28 	100  	-14295.8	-1910.78	-1818.96	653.582
2   	29 	100  	-21051.4	-1904.64	-1817.24	896.303
2   	30 	100  	-3873.3 	-1851.74	-1817.24	146.089
2   	31 	100  	-6095.76	-1856.56	-1817.24	215.715
2   	32 	100  	-5840.56	-1850.49	-1814.37	218.866
2   	33 	100  	-3899.1 	-1847.31	-1814.37	142.94 
2   	34 	100  	-4930.81	-1848.42	-1812.7 	181.045
2   	35 	100  	-3918.78	-1851.66	-1812.31	163.488
2   	36 	100  	-3112.9 	-1846.44	-1811.56	132.735
2   	37 	100  	-17718.8	-1905.58	-1810.86	923.659
2   	38 	100  	-9081.9 	-1860.18	-1810.79	436.239
2   	39 	100  	-4398.02	-1845.69	-1810.71	205.601
2   	40 	100  	-21769.2	-1884.54	-1809.94	907.153
2   	41 	100  	-5206.27	-1846.07	-1809.89	218.093
2   	42 	100  	-4738.92	-1832.85	-1809.24	150.386
2   	43 	100  	-4522   	-1836.09	-1809.24	160.809
2   	44 	100  	-4243.44	-1835.98	-1807.86	157.464
2   	45 	100  	-3577.74	-1831.73	-1807.57	112.54 
2   	46 	100  	-3127.5 	-1826.96	-1807.42	103.679
2   	47 	100  	-2502.78	-1824.84	-1807.42	76.8301
2   	48 	100  	-13663.3	-1872.16	-1806.75	570.987
2   	49 	100  	-4788.23	-1841.79	-1806.34	214.911
2   	50 	100  	-5377.1 	-1856.47	-1804.91	281.903
2   	51 	100  	-3317.44	-1837.25	-1804.76	145.037
2   	52 	100  	-3245.66	-1828.58	-1804.57	109.342
2   	53 	100  	-7868.39	-1840.06	-1804.57	307.403
2   	54 	100  	-7141.79	-1862.27	-1804.26	350.072
2   	55 	100  	-3509.73	-1824.74	-1803.46	111.344
2   	56 	100  	-3237.29	-1822.67	-1799.93	99.8629
2   	57 	100  	-4013.83	-1828.61	-1799.93	139.262
2   	58 	100  	-4115.85	-1830.02	-1799.93	147.056
2   	59 	100  	-7864.69	-1845.75	-1799.92	317.142
2   	60 	100  	-2844.97	-1820.77	-1795.74	84.0099
2   	61 	100  	-2817.07	-1820.49	-1795.74	92.2449
2   	62 	100  	-5963.29	-1841.46	-1794.34	259.813
2   	63 	100  	-4830.54	-1834.51	-1794.34	188.383
2   	64 	100  	-4106.72	-1827.57	-1794.34	180.104
2   	65 	100  	-4114.11	-1824.86	-1794.04	158.342
2   	66 	100  	-9027.72	-1837.98	-1791.04	354.552
2   	67 	100  	-4236.77	-1833.08	-1790.84	207.058
2   	68 	100  	-2666.57	-1810.79	-1790.43	80.1915
2   	69 	100  	-5146.86	-1817.39	-1790.43	171.756
2   	70 	100  	-3511.57	-1811.9 	-1790.14	118.842
2   	71 	100  	-3565.61	-1816.1 	-1789.85	128.617
2   	72 	100  	-3145.07	-1808.54	-1787.93	97.1907
2   	73 	100  	-9652.2 	-1832.91	-1787.93	385.415
2   	74 	100  	-3364.31	-1812.88	-1787.93	130.254
2   	75 	100  	-5115.59	-1836.97	-1787.83	271.631
2   	76 	100  	-2549.4 	-1805.8 	-1785.11	76.733 
2   	77 	100  	-10479.1	-1844.75	-1785.11	499.344
2   	78 	100  	-17432  	-1860.75	-1784.01	827.572
2   	79 	100  	-3308.26	-1805.16	-1782.41	105.395
2   	80 	100  	-4551.67	-1825.55	-1781.72	238.455
2   	81 	100  	-3969.08	-1812.95	-1779.21	146.877
2   	82 	100  	-2845.48	-1809.28	-1777.42	107.558
2   	83 	100  	-8446.71	-1827.36	-1777.42	340.605
2   	84 	100  	-4020.82	-1813.84	-1777.02	161.843
2   	85 	100  	-3069.73	-1807.36	-1776.81	120.565
2   	86 	100  	-4130.05	-1800.38	-1776.81	127.44 
2   	87 	100  	-3030.16	-1798.5 	-1776.77	100.303
2   	88 	100  	-10000.3	-1823.06	-1776.77	494.848
2   	89 	100  	-12713.9	-1831.46	-1776.77	527.255
2   	90 	100  	-4601.01	-1801.12	-1776.73	151.778
2   	91 	100  	-3850.86	-1813.35	-1776.37	187.736
2   	92 	100  	-10502.1	-1819.14	-1776.37	423.075
2   	93 	100  	-3410.74	-1792.81	-1776.37	95.654 
2   	94 	100  	-3760.38	-1805.19	-1776.37	153.951
2   	95 	100  	-25234.1	-1879.98	-1776.37	1170.77
2   	96 	100  	-4343.14	-1800.9 	-1776.37	163.833
2   	97 	100  	-3885.07	-1796.02	-1776.37	113.551
2   	98 	100  	-6415.66	-1815.69	-1776.37	273.379
2   	99 	100  	-4768.34	-1797.02	-1776.37	157.092
rank	gen	depth	min     	avg     	max     	std    
2   	0  	100  	-7564.14	-2879.95	-2001.23	653.281
2   	1  	100  	-4760.94	-2508.62	-2001.23	294.25 
2   	2  	100  	-19877.9	-2361.86	-1972.41	819.887
2   	3  	100  	-7265.48	-2254.55	-1968.95	333.573
2   	4  	100  	-16651.1	-2193.44	-1957.18	678.24 
2   	5  	100  	-7004.91	-2105.15	-1949.36	243.903
2   	6  	100  	-7784.53	-2101.29	-1938.65	511.979
2   	7  	100  	-5417.5 	-2040.94	-1907.43	214.777
2   	8  	100  	-3845.38	-2016.83	-1896.83	145.159
2   	9  	100  	-8621.66	-2028.01	-1882.98	390.858
2   	10 	100  	-2875.75	-1964.71	-1870.71	87.1422
2   	11 	100  	-3828.44	-1960.9 	-1856.68	170.844
2   	12 	100  	-7251.56	-1966.69	-1849.76	371.911
2   	13 	100  	-6100.77	-1934.45	-1841.76	217.956
2   	14 	100  	-3006.9 	-1908.91	-1839.15	93.1959
2   	15 	100  	-4128.64	-1901.18	-1834.49	147.72 
2   	16 	100  	-3115.21	-1877.17	-1825.52	75.3717
2   	17 	100  	-7526.43	-1885.23	-1811.15	270.623
2   	18 	100  	-11158.8	-1899.76	-1811.15	494.821
2   	19 	100  	-4336.51	-1862.27	-1807.72	136.316
2   	20 	100  	-2763.63	-1849.72	-1805.88	75.1965
2   	21 	100  	-47444.1	-1942.03	-1794.68	2040.62
2   	22 	100  	-5056.42	-1867.16	-1794.68	257.655
2   	23 	100  	-7970.83	-1859.94	-1792.79	329.15 
2   	24 	100  	-2635.77	-1833.2 	-1791.76	95.3246
2   	25 	100  	-5900.84	-1832.49	-1791.24	203.058
2   	26 	100  	-3789.65	-1824.16	-1791.24	129.521
2   	27 	100  	-3446.61	-1818.85	-1791.24	129.419
2   	28 	100  	-2957.25	-1812.27	-1791.24	97.012 
2   	29 	100  	-3323.92	-1814.15	-1790.53	125.383
2   	30 	100  	-2861.16	-1819.14	-1790.53	121.062
2   	31 	100  	-4911.11	-1828.68	-1790.53	238.735
2   	32 	100  	-3546.82	-1807.67	-1786.78	109.438
2   	33 	100  	-3073.94	-1811.17	-1786.78	90.5763
2   	34 	100  	-4496.16	-1818.82	-1785.73	174.858
2   	35 	100  	-3880.73	-1813.19	-1785.73	138.77 
2   	36 	100  	-5596.71	-1819.38	-1785.21	206.762
2   	37 	100  	-6149.26	-1817.8 	-1784.56	233.495
2   	38 	100  	-4033.42	-1824.44	-1784.56	201.103
2   	39 	100  	-2702   	-1802.98	-1784.56	80.9486
2   	40 	100  	-2609.19	-1805.84	-1784.29	82.5796
2   	41 	100  	-3126.1 	-1802.42	-1784.29	90.9778
2   	42 	100  	-3270.24	-1808.16	-1783.46	134.332
2   	43 	100  	-3134.86	-1804.91	-1783.46	101.337
2   	44 	100  	-3538.46	-1805.12	-1783.06	126.301
2   	45 	100  	-3974.12	-1808.31	-1781.92	138.97 
2   	46 	100  	-2810.92	-1804.56	-1780.59	94.7084
2   	47 	100  	-2949.11	-1802.03	-1776.34	92.7858
2   	48 	100  	-2440.9 	-1801.46	-1776.34	74.5414
2   	49 	100  	-3486.24	-1808.13	-1775.82	124.772
2   	50 	100  	-6700.93	-1809.56	-1775.66	240.189
2   	51 	100  	-3952.1 	-1803.44	-1773.74	163.79 
2   	52 	100  	-5049.73	-1815.82	-1773.74	259.679
2   	53 	100  	-5641.3 	-1824.46	-1773.26	296.504
2   	54 	100  	-2897.81	-1798.81	-1773.26	103.559
2   	55 	100  	-2270.14	-1785.47	-1773.04	46.8076
2   	56 	100  	-5906.81	-1815.95	-1773.04	277.436
2   	57 	100  	-2415.28	-1782.09	-1773.04	48.4558
2   	58 	100  	-2896.63	-1787.83	-1773.04	77.8187
2   	59 	100  	-6426.99	-1809.86	-1773.04	269.693
2   	60 	100  	-3781.06	-1797.8 	-1773.04	151.416
2   	61 	100  	-2742.77	-1795.61	-1773.04	98.4417
2   	62 	100  	-7018.85	-1809.22	-1773.04	291.965
2   	63 	100  	-3114.31	-1791.76	-1773.04	104.671
2   	64 	100  	-7604.73	-1803.8 	-1771.44	316.525
2   	65 	100  	-3183.84	-1792.33	-1771.44	107.5  
2   	66 	100  	-3607.25	-1802.11	-1771.44	147.008
2   	67 	100  	-3975.55	-1798.99	-1769.89	143.572
2   	68 	100  	-2787.88	-1785.18	-1769.89	70.1965
2   	69 	100  	-4061.49	-1801.41	-1769.56	171.669
2   	70 	100  	-3470.39	-1794.76	-1769.41	127.544
2   	71 	100  	-7674.78	-1810.33	-1769.19	330.475
2   	72 	100  	-2599.69	-1785.47	-1768.8 	67.051 
2   	73 	100  	-4236.84	-1798.91	-1768.56	190.23 
2   	74 	100  	-2575.68	-1782.71	-1763.44	65.9165
2   	75 	100  	-3033.85	-1793.7 	-1763.44	117.697
2   	76 	100  	-3627.57	-1802.88	-1763.44	178.353
2   	77 	100  	-2768.27	-1789.34	-1763.44	87.8456
2   	78 	100  	-4159.39	-1791.6 	-1763.44	168.152
2   	79 	100  	-3581.36	-1799.09	-1763.44	162.354
2   	80 	100  	-2771.82	-1779.62	-1763.44	65.8589
2   	81 	100  	-5515.53	-1806.09	-1763.44	232.762
2   	82 	100  	-3203.63	-1784.8 	-1763.25	96.7447
2   	83 	100  	-3325.78	-1786.44	-1763.25	100.711
2   	84 	100  	-3692.89	-1788.08	-1761.86	111.378
2   	85 	100  	-6445.02	-1802.28	-1761.86	265.448
2   	86 	100  	-10592.2	-1830.98	-1760.61	536.989
2   	87 	100  	-4081.27	-1790.12	-1760.61	151.199
2   	88 	100  	-8529.4 	-1795.2 	-1760.61	327.683
2   	89 	100  	-6957.85	-1804.74	-1760.39	319.876
2   	90 	100  	-2227.95	-1772.81	-1758.99	41.2082
2   	91 	100  	-3421.86	-1780.99	-1758.29	116.056
2   	92 	100  	-3111.2 	-1779.08	-1758.29	99.4843
2   	93 	100  	-9539.61	-1802.02	-1756.68	397.144
2   	94 	100  	-7135.74	-1789.41	-1756.68	277.254
2   	95 	100  	-7236.1 	-1791.13	-1756.68	275.176
2   	96 	100  	-4246.59	-1788.84	-1755.42	186.704
2   	97 	100  	-5053.48	-1778.7 	-1755.42	171.783
2   	98 	100  	-3187.42	-1779.51	-1755.42	116.125
2   	99 	100  	-3132.14	-1776.29	-1755.31	101.431
rank	gen	depth	min     	avg     	max     	std    
2   	0  	100  	-16434.4	-2989.32	-2047.01	1055.1 
2   	1  	100  	-4328.6 	-2489.98	-1988.08	293.307
2   	2  	100  	-8031.9 	-2335.28	-1965.52	386.283
2   	3  	100  	-8488.03	-2241.67	-1959.29	407.795
2   	4  	100  	-6168.06	-2156.69	-1917.97	247.829
2   	5  	100  	-3556.15	-2100.13	-1908.62	109.937
2   	6  	100  	-7035.55	-2104.82	-1907.92	405.407
2   	7  	100  	-5059.33	-2052   	-1888.72	248.488
2   	8  	100  	-3813.31	-2010.9 	-1887.2 	189.097
2   	9  	100  	-5566.86	-1977.32	-1850.8 	224.175
