rank	gen	depth	min     	avg     	max     	std    
4   	0  	100  	-4592.89	-2308.95	-2104.64	206.527
4   	1  	100  	-2555.77	-2197.95	-2096.31	60.523 
4   	2  	100  	-2793.69	-2157.11	-2089.54	47.468 
4   	3  	100  	-4779.34	-2144.98	-2079.97	155.265
4   	4  	100  	-3425.79	-2119.45	-2076.19	65.8   
4   	5  	100  	-2604   	-2105.68	-2074.81	33.5262
4   	6  	100  	-3004.02	-2100.14	-2070.61	61.0266
4   	7  	100  	-2228.46	-2088.87	-2067.02	14.3866
4   	8  	100  	-2458.74	-2084.49	-2066.73	22.0663
4   	9  	100  	-3187.59	-2081.87	-2061.74	52.0579
4   	10 	100  	-2375.45	-2077.39	-2059.31	22.0876
4   	11 	100  	-2358.81	-2074.13	-2058.22	21.3654
4   	12 	100  	-2212.09	-2069.56	-2056.61	10.4278
4   	13 	100  	-7694.49	-2078.98	-2055.14	251.708
4   	14 	100  	-2424.99	-2066.61	-2054.78	26.9232
4   	15 	100  	-2225.72	-2062.7 	-2053.98	12.2763
4   	16 	100  	-2810.99	-2062.79	-2052.7 	38.2865
4   	17 	100  	-2623.95	-2064.71	-2051.92	48.4295
4   	18 	100  	-2176.32	-2057.64	-2049.81	9.31783
4   	19 	100  	-2260.36	-2057.65	-2049.81	15.2853
4   	20 	100  	-2297.34	-2057.45	-2049.24	20.7817
4   	21 	100  	-2191.6 	-2055.27	-2048.17	11.5843
4   	22 	100  	-2431.18	-2055.44	-2047.79	22.8618
4   	23 	100  	-2104.26	-2052.61	-2047.66	6.11851
4   	24 	100  	-2128.71	-2052.36	-2047.05	8.81091
4   	25 	100  	-2334.91	-2051.95	-2047.05	16.1741
4   	26 	100  	-2108.54	-2050.54	-2046.22	5.59676
4   	27 	100  	-2152.77	-2049.95	-2046.22	7.17591
4   	28 	100  	-2388.46	-2051.17	-2046.13	21.1141
4   	29 	100  	-2165.42	-2050.06	-2045.58	11.3822
4   	30 	100  	-2152.85	-2048.93	-2045.31	7.57066
4   	31 	100  	-2142.3 	-2048.51	-2044.99	8.55858
4   	32 	100  	-2174.43	-2048.7 	-2044.99	9.51662
4   	33 	100  	-2109.72	-2047.65	-2044.99	6.13162
4   	34 	100  	-2174.34	-2048.01	-2044.13	9.40447
4   	35 	100  	-2135.36	-2047.73	-2043.9 	8.93939
4   	36 	100  	-2883.51	-2050.06	-2043.9 	44.4216
4   	37 	100  	-2145.84	-2046.6 	-2043.63	7.43945
4   	38 	100  	-2114.11	-2045.78	-2042.54	5.14592
4   	39 	100  	-2118.45	-2045.85	-2042.54	6.41332
4   	40 	100  	-2206.23	-2045.38	-2042.11	8.34024
4   	41 	100  	-2523.32	-2047.49	-2042.11	26.5595
4   	42 	100  	-2118.11	-2044.76	-2041.84	7.53515
4   	43 	100  	-2208.87	-2045.24	-2041.84	14.4794
4   	44 	100  	-2098.35	-2044.13	-2041.51	6.27017
4   	45 	100  	-2134.51	-2044.29	-2041.44	8.97353
4   	46 	100  	-2139.08	-2043.7 	-2041.06	7.21061
4   	47 	100  	-2285.5 	-2044.24	-2040.62	16.6123
4   	48 	100  	-2097.89	-2042.86	-2040.45	5.15747
4   	49 	100  	-2100.56	-2042.5 	-2040.45	4.7812 
4   	50 	100  	-2477.16	-2043.63	-2040.02	22.5278
4   	51 	100  	-2122.99	-2041.99	-2040.02	5.25156
4   	52 	100  	-2148.7 	-2042.63	-2040.02	9.46254
4   	53 	100  	-2276.94	-2042.06	-2039.63	12.8609
4   	54 	100  	-2219.34	-2041.64	-2039.63	9.03889
4   	55 	100  	-2595.44	-2043.14	-2039.63	28.0154
4   	56 	100  	-2244.01	-2041.49	-2039.63	10.8329
4   	57 	100  	-2103.08	-2040.76	-2038.97	4.30515
4   	58 	100  	-2194.72	-2041.53	-2038.93	11.1467
4   	59 	100  	-2503.97	-2043.6 	-2038.91	25.0022
4   	60 	100  	-2208.14	-2041.43	-2038.91	10.204 
4   	61 	100  	-2312.03	-2041.22	-2038.27	14.9042
4   	62 	100  	-2404.58	-2040.94	-2038.27	16.8364
4   	63 	100  	-2496.18	-2042.11	-2038.23	22.7913
4   	64 	100  	-2658.96	-2041.8 	-2037.57	30.3261
4   	65 	100  	-2249.95	-2040.91	-2037.57	13.6665
4   	66 	100  	-2097.78	-2039.81	-2037.53	5.36528
4   	67 	100  	-2152.82	-2039.98	-2037.53	9.30497
4   	68 	100  	-2297.14	-2040.29	-2037.51	15.0886
4   	69 	100  	-2093.05	-2038.99	-2037.48	5.00071
4   	70 	100  	-2141.15	-2039.21	-2037.19	8.87484
4   	71 	100  	-2130.53	-2038.83	-2037.14	6.58517
4   	72 	100  	-2318.78	-2039.37	-2037.11	15.5962
4   	73 	100  	-2158.02	-2039.4 	-2036.71	9.90958
4   	74 	100  	-2509.14	-2040.54	-2036.71	25.995 
4   	75 	100  	-2140.42	-2038.34	-2036.47	7.37791
4   	76 	100  	-2108.56	-2038.26	-2036.47	5.79847
4   	77 	100  	-2097.98	-2038.7 	-2036.39	6.93793
4   	78 	100  	-2311.05	-2039.12	-2035.79	15.7566
4   	79 	100  	-2158.89	-2038.55	-2035.79	9.97931
4   	80 	100  	-2206.15	-2038.76	-2035.79	11.5775
4   	81 	100  	-2481.56	-2038.78	-2035.79	21.3115
4   	82 	100  	-2155.3 	-2038.5 	-2035.79	11.2907
4   	83 	100  	-2227.21	-2038.23	-2035.79	12.8364
4   	84 	100  	-2176.62	-2037.09	-2035.39	8.23629
4   	85 	100  	-2168.14	-2037.06	-2035.39	8.17966
4   	86 	100  	-2153.93	-2037.36	-2035.39	8.49209
4   	87 	100  	-2115.45	-2036.58	-2035.37	5.65791
4   	88 	100  	-2125.03	-2037.19	-2035.19	7.59373
4   	89 	100  	-2102.37	-2036.57	-2035.19	4.99571
4   	90 	100  	-2280.15	-2037.1 	-2035.19	13.8511
4   	91 	100  	-2179.72	-2037.14	-2035.19	10.11  
4   	92 	100  	-2204.4 	-2037.16	-2035.19	9.94288
4   	93 	100  	-2189.09	-2036.63	-2035.19	8.1092 
4   	94 	100  	-2212.7 	-2036.95	-2034.97	11.6622
4   	95 	100  	-7992.83	-2050.72	-2034.97	270.914
4   	96 	100  	-2104.66	-2036.24	-2034.97	5.70456
4   	97 	100  	-2072.91	-2036.39	-2034.97	4.67824
4   	98 	100  	-2389.32	-2037.48	-2034.97	19.4878
4   	99 	100  	-2098.25	-2036.21	-2034.97	5.23619
rank	gen	depth	min     	avg     	max     	std    
4   	0  	100  	-3301.7 	-2308.95	-2113.74	157.968
4   	1  	100  	-2637.1 	-2214.87	-2112.61	64.6802
4   	2  	100  	-3366.8 	-2177.34	-2099.21	72.9856
4   	3  	100  	-4734.41	-2158.65	-2096.91	143.536
4   	4  	100  	-5950.5 	-2145.09	-2092.73	184.091
4   	5  	100  	-3781.53	-2125.22	-2086.88	77.6014
4   	6  	100  	-4088.04	-2120.01	-2079.93	92.6537
4   	7  	100  	-3390.65	-2113.09	-2073.33	75.7566
4   	8  	100  	-2837.91	-2103.78	-2070.3 	44.7186
4   	9  	100  	-2321.35	-2094.78	-2068.75	20.6356
4   	10 	100  	-2208.15	-2088.55	-2064.89	13.7717
4   	11 	100  	-2428.66	-2084.48	-2064.89	22.6915
4   	12 	100  	-2178.63	-2079.05	-2062.94	10.9541
4   	13 	100  	-2668.76	-2078.91	-2062.94	37.8163
4   	14 	100  	-2296.49	-2074.46	-2061.65	15.2131
4   	15 	100  	-3318.41	-2077.18	-2060.6 	66.7973
4   	16 	100  	-2246.8 	-2071.2 	-2057.56	18.1152
4   	17 	100  	-2385.04	-2069.45	-2057.56	22.8362
4   	18 	100  	-2319.75	-2067.39	-2055.65	18.4191
4   	19 	100  	-2471.15	-2065.88	-2053.36	24.5806
4   	20 	100  	-2895.02	-2065.4 	-2053.36	41.27  
4   	21 	100  	-2451.6 	-2063.29	-2051.79	29.7088
4   	22 	100  	-2307.6 	-2060.2 	-2051.18	16.9583
