rank	gen	depth	min     	avg     	max     	std    
0   	0  	100  	-5913.24	-2671.78	-1989.55	501.327
0   	1  	100  	-3723.53	-2364.41	-1965.27	223.734
0   	2  	100  	-4537.38	-2208.46	-1952.7 	162.166
0   	3  	100  	-3212.26	-2119.83	-1904.73	110.083
0   	4  	100  	-5448.74	-2076.13	-1868.97	203.579
0   	5  	100  	-2746.73	-2019.08	-1855.14	72.4669
0   	6  	100  	-2947.76	-1986.51	-1853.23	77.2403
0   	7  	100  	-5747.5 	-1970.62	-1848.94	239.049
0   	8  	100  	-2764.27	-1922.05	-1826.37	69.4019
0   	9  	100  	-2876.05	-1904.97	-1825.97	85.8753
0   	10 	100  	-2347.25	-1881.11	-1818.37	43.5894
0   	11 	100  	-2268.33	-1869.07	-1811.12	42.8822
0   	12 	100  	-3030.47	-1861.29	-1805.93	83.4859
0   	13 	100  	-7400.7 	-1861.13	-1799.95	259.326
0   	14 	100  	-2371.43	-1840.82	-1790.14	56.9296
0   	15 	100  	-4717.04	-1842.3 	-1781.68	188.338
0   	16 	100  	-2788.32	-1825.67	-1773.71	77.1338
0   	17 	100  	-2290.23	-1813.51	-1773.71	35.4806
0   	18 	100  	-3592.55	-1819.09	-1773.71	121.37 
0   	19 	100  	-2759.73	-1803.14	-1771.08	55.6719
0   	20 	100  	-7381.3 	-1833.06	-1771.08	330.778
0   	21 	100  	-2225.91	-1790.38	-1770.15	31.2764
0   	22 	100  	-2324.54	-1790.32	-1767.52	50.3873
0   	23 	100  	-2520.63	-1785.01	-1764.98	59.7097
0   	24 	100  	-2192.95	-1781.86	-1764.98	37.6031
0   	25 	100  	-2346.08	-1780.13	-1763.78	42.7186
0   	26 	100  	-2786.35	-1778.17	-1763.78	56.6097
0   	27 	100  	-2270.53	-1778.28	-1757.73	40.7911
0   	28 	100  	-4703.01	-1789.18	-1757.73	190.007
0   	29 	100  	-6454.26	-1792.38	-1750.45	252.709
0   	30 	100  	-3179.96	-1774.4 	-1750.45	71.5864
0   	31 	100  	-2084.85	-1769.67	-1749.77	31.3793
0   	32 	100  	-2551.1 	-1769.65	-1749.77	58.8743
0   	33 	100  	-2670.5 	-1764.04	-1746.21	45.8076
0   	34 	100  	-3199.46	-1767.43	-1746   	78.0634
0   	35 	100  	-2239.68	-1759.12	-1744.23	33.3834
0   	36 	100  	-2253.39	-1759.99	-1744.23	38.936 
0   	37 	100  	-2216.3 	-1755.49	-1744.23	28.7951
0   	38 	100  	-3942.02	-1761.75	-1744.23	127.696
0   	39 	100  	-2412.47	-1754.01	-1744.23	44.0297
0   	40 	100  	-2716   	-1756.02	-1741.49	55.3076
0   	41 	100  	-2421.15	-1754.32	-1741.49	46.8158
0   	42 	100  	-2116.7 	-1752.89	-1741.49	37.7092
0   	43 	100  	-2365.49	-1752.39	-1741.45	39.3514
0   	44 	100  	-4924.18	-1765.5 	-1741.45	176.846
0   	45 	100  	-2117.56	-1749.02	-1741.17	29.5263
0   	46 	100  	-2182.59	-1748.83	-1740.64	33.6749
0   	47 	100  	-3784.03	-1749.93	-1740.64	93.1673
0   	48 	100  	-2247.06	-1746.34	-1740.03	32.1719
0   	49 	100  	-2967.82	-1749.62	-1740.03	66.4545
0   	50 	100  	-2844.88	-1750.63	-1740.03	68.3776
0   	51 	100  	-2036.32	-1745.93	-1740.03	25.2732
0   	52 	100  	-2272.39	-1747.07	-1740.03	37.2601
0   	53 	100  	-2421.42	-1747.43	-1739.83	51.1067
0   	54 	100  	-2353.01	-1748.66	-1739.83	44.9945
0   	55 	100  	-2249.27	-1745.7 	-1739.83	36.7785
0   	56 	100  	-2436.31	-1747.73	-1739.83	50.4674
0   	57 	100  	-2240.62	-1744.31	-1739.83	32.4483
0   	58 	100  	-4044.11	-1761.97	-1739.83	164.398
0   	59 	100  	-2657.36	-1746.46	-1739.83	55.1611
0   	60 	100  	-2863.29	-1745.31	-1739.83	53.6388
0   	61 	100  	-2959.07	-1754.29	-1739.83	89.6243
0   	62 	100  	-3589.68	-1756.29	-1739.83	112.611
0   	63 	100  	-2466.22	-1745.24	-1739.83	46.1355
