rank	gen	depth	min         	avg     	max     	std    
1   	0  	100  	-41845.5    	-3438.83	-2050.76	3397.75
1   	1  	100  	-1.05748e+06	-6255.78	-2049.24	49135.9
1   	2  	100  	-160135     	-3251.06	-2049.24	8134.71
1   	3  	100  	-12755.5    	-2575.85	-2032.77	1120.98
1   	4  	100  	-72158      	-2785.97	-2032.77	3527.11
1   	5  	100  	-29281.2    	-2555.5 	-1956.28	1515.71
1   	6  	100  	-34576.4    	-2576.7 	-1956.28	1952.95
1   	7  	100  	-14120.9    	-2559.95	-1947.68	1246.65
1   	8  	100  	-67849      	-2558.07	-1947.68	3066.6 
1   	9  	100  	-49299.4    	-2615.85	-1935.25	3545.4 
1   	10 	100  	-27770.2    	-2455.09	-1907.58	1684.66
1   	11 	100  	-16126.4    	-2326.78	-1907.58	977.713
1   	12 	100  	-14507.7    	-2391.05	-1907.58	1290.17
1   	13 	100  	-29212.4    	-2296.62	-1906.24	1340.47
1   	14 	100  	-68266.6    	-2637.16	-1906.24	3841.53
1   	15 	100  	-22934.7    	-2323.65	-1899.12	1339.91
1   	16 	100  	-79342.2    	-2681.6 	-1899.12	4767.44
1   	17 	100  	-27036.8    	-2496.28	-1897.69	2011.2 
1   	18 	100  	-44900.9    	-2394.96	-1897.69	2167.48
1   	19 	100  	-38185.6    	-2324.63	-1888.7 	1816.97
1   	20 	100  	-8453.17    	-2209.4 	-1877.78	676.862
1   	21 	100  	-21308.6    	-2312.13	-1877.78	1394.42
1   	22 	100  	-139320     	-2575.47	-1877.78	6325.57
1   	23 	100  	-39404.1    	-2380.75	-1877.78	2041.81
1   	24 	100  	-15978.2    	-2259.14	-1877.78	986.068
1   	25 	100  	-23627.9    	-2260.98	-1877.78	1200.34
1   	26 	100  	-13024.5    	-2245.25	-1871.52	946.438
1   	27 	100  	-55985.3    	-2466.67	-1871.52	3081.56
1   	28 	100  	-61304.8    	-2425.65	-1869.86	3055.88
1   	29 	100  	-15719.5    	-2200.82	-1868.81	912.096
1   	30 	100  	-181609     	-2806.52	-1867.37	8480.4 
1   	31 	100  	-20961.7    	-2346.09	-1867.37	1531.04
1   	32 	100  	-61366.4    	-2430.14	-1867.37	3350.9 
1   	33 	100  	-27572.6    	-2345.26	-1867.37	1930.71
1   	34 	100  	-17821.7    	-2288.74	-1867.37	1448.37
1   	35 	100  	-66997.3    	-2316.79	-1858.49	3106.29
1   	36 	100  	-16574      	-2159.72	-1849.13	899.795
1   	37 	100  	-59835.8    	-2420.7 	-1830.69	3046.22
1   	38 	100  	-262360     	-3166.08	-1830.69	14012.3
1   	39 	100  	-13814.6    	-2230.49	-1830.69	960.066
1   	40 	100  	-26800.6    	-2208.4 	-1830.69	1306.43
1   	41 	100  	-8341.32    	-2134.46	-1830.69	620.936
1   	42 	100  	-14949.6    	-2155.54	-1826.3 	810.984
1   	43 	100  	-12013.2    	-2172.44	-1826.3 	851.585
1   	44 	100  	-119823     	-2627.22	-1824.72	5863   
1   	45 	100  	-30753.3    	-2176.78	-1820.74	1432.81
1   	46 	100  	-14445      	-2202.04	-1820.74	1133.46
1   	47 	100  	-36519      	-2342.21	-1820.74	2172.46
1   	48 	100  	-134882     	-2403.28	-1820.74	6052.5 
1   	49 	100  	-12264      	-2138.43	-1820.74	888.219
1   	50 	100  	-29083.4    	-2158.24	-1820.74	1365.23
1   	51 	100  	-6811.32    	-2094.01	-1816.36	607.624
1   	52 	100  	-50738.4    	-2299.65	-1816.36	3119.01
1   	53 	100  	-10887.6    	-2098   	-1816.36	739.262
