rank	gen	depth	min     	avg     	max     	std    
2   	0  	100  	-5351.56	-2370.73	-2114.1 	248.872
2   	1  	100  	-6560.75	-2269.02	-2111.49	271.341
2   	2  	100  	-2987.75	-2197.33	-2104.22	63.8404
2   	3  	100  	-3298.69	-2170.49	-2098.52	76.0233
2   	4  	100  	-3023.37	-2149.25	-2096.27	49.787 
2   	5  	100  	-3149.11	-2140.24	-2087.79	70.2905
2   	6  	100  	-2733.3 	-2127.05	-2087.79	45.0626
2   	7  	100  	-5022.15	-2129.51	-2083.95	164.154
2   	8  	100  	-4324.52	-2122.36	-2083.95	134.708
2   	9  	100  	-2501.33	-2108.14	-2082.97	33.1037
2   	10 	100  	-2683.42	-2106.4 	-2080.74	45.3218
2   	11 	100  	-2418.98	-2097.81	-2080.74	25.9429
2   	12 	100  	-2545.83	-2094.25	-2080.05	32.4153
2   	13 	100  	-2745.42	-2092.51	-2079.05	43.2598
2   	14 	100  	-3277.37	-2092.62	-2079.05	68.2731
2   	15 	100  	-2876.7 	-2088.79	-2078.23	47.6586
2   	16 	100  	-2493.7 	-2086.72	-2077.65	30.663 
2   	17 	100  	-3548.41	-2089.78	-2077.65	82.2658
2   	18 	100  	-2663.29	-2087.01	-2075.63	47.1527
2   	19 	100  	-2631.12	-2084.08	-2075.52	37.9048
2   	20 	100  	-2569.51	-2084.32	-2075.52	33.3283
2   	21 	100  	-2517.58	-2082.33	-2074.96	28.6162
2   	22 	100  	-2551.19	-2084.58	-2074.82	38.4569
2   	23 	100  	-2592.13	-2083.05	-2073.03	38.3783
2   	24 	100  	-2742.17	-2081.89	-2073.03	41.7486
2   	25 	100  	-2465.15	-2079.94	-2073.03	26.1047
2   	26 	100  	-2418.33	-2080.5 	-2072.63	31.0469
2   	27 	100  	-3376.11	-2082.1 	-2071.28	66.7403
2   	28 	100  	-5230.78	-2085.47	-2071.28	143.511
2   	29 	100  	-3008.45	-2079.78	-2069.07	49.8221
2   	30 	100  	-3887.46	-2079.79	-2066.6 	82.7046
2   	31 	100  	-2531.99	-2076.64	-2066.6 	27.0497
2   	32 	100  	-28374.3	-2129.9 	-2065.91	1175.31
2   	33 	100  	-2389.6 	-2076.06	-2064.79	29.9554
2   	34 	100  	-2429.71	-2074.21	-2063.8 	25.8611
2   	35 	100  	-2686.47	-2073.11	-2063.8 	32.1384
2   	36 	100  	-3264.73	-2079.2 	-2063.02	90.3679
2   	37 	100  	-2644.42	-2074.91	-2062.82	50.5556
2   	38 	100  	-2670.08	-2070.59	-2062.12	34.6615
2   	39 	100  	-3574.21	-2073.83	-2062.12	74.2673
2   	40 	100  	-2723.79	-2070.03	-2062.12	38.6117
2   	41 	100  	-2888.23	-2069.2 	-2062.11	42.7941
2   	42 	100  	-2939.91	-2069.54	-2060.98	53.9684
2   	43 	100  	-3097.27	-2068.89	-2060.29	51.5854
2   	44 	100  	-2587.83	-2067.46	-2060.29	37.3378
2   	45 	100  	-2328.13	-2065.24	-2059.31	20.1857
2   	46 	100  	-2434.22	-2067.66	-2059.31	29.1683
2   	47 	100  	-2390.47	-2064.86	-2058.87	18.9381
2   	48 	100  	-2635.33	-2066.44	-2056.49	39.0067
2   	49 	100  	-2254.94	-2063.29	-2056.49	15.1544
2   	50 	100  	-2652.95	-2065.93	-2056.49	41.1528
2   	51 	100  	-2396.89	-2062.7 	-2056.49	20.6779
2   	52 	100  	-2481.73	-2064.77	-2056.47	28.7206
2   	53 	100  	-2365.53	-2062.5 	-2056.09	20.2163
2   	54 	100  	-2291.18	-2061.29	-2055.39	18.2137
2   	55 	100  	-2215.99	-2059.93	-2054.83	13.1661
2   	56 	100  	-2376.92	-2060.1 	-2054.69	19.4992
2   	57 	100  	-2380.49	-2059.86	-2054.49	19.6589
2   	58 	100  	-2745.32	-2062.6 	-2054.18	45.3598
2   	59 	100  	-2240.7 	-2059.28	-2054.09	18.1955
2   	60 	100  	-3199.18	-2062.19	-2053.74	60.6739
2   	61 	100  	-2508.94	-2059.31	-2053.74	31.7731
2   	62 	100  	-2507.3 	-2058.02	-2053.48	24.4618
2   	63 	100  	-2219.42	-2057.76	-2053.48	15.23  
2   	64 	100  	-6189.58	-2069.45	-2052.98	195.532
2   	65 	100  	-2490.24	-2060.65	-2052.8 	36.2955
2   	66 	100  	-2360.35	-2058.61	-2052.8 	27.0632
2   	67 	100  	-2680.45	-2058.32	-2052.04	32.8196
2   	68 	100  	-2343.5 	-2057.3 	-2052.04	20.5101
2   	69 	100  	-2413.26	-2059.78	-2051.24	34.6924
2   	70 	100  	-2261.57	-2055.8 	-2051.24	15.4261
2   	71 	100  	-2344.84	-2055.22	-2050.93	15.4838
2   	72 	100  	-4486.11	-2061.42	-2050.93	110.578
2   	73 	100  	-2337.15	-2056.58	-2050.37	24.9532
2   	74 	100  	-2646.18	-2057.2 	-2050.24	37.5107
2   	75 	100  	-2688.68	-2057.87	-2050.12	41.2609
2   	76 	100  	-2960.28	-2056.15	-2049.55	44.4508
2   	77 	100  	-2390.2 	-2055.28	-2048.9 	28.5819
2   	78 	100  	-2555.69	-2055.03	-2048.86	30.9636
2   	79 	100  	-2221.54	-2052.39	-2048.86	12.6799
2   	80 	100  	-2195.81	-2052.96	-2048.86	14.108 
2   	81 	100  	-2148.2 	-2051.53	-2048.31	8.04594
2   	82 	100  	-2225.04	-2052.82	-2048.15	15.9461
2   	83 	100  	-2148.75	-2050.99	-2048.15	9.24522
2   	84 	100  	-2549.86	-2054.54	-2048.04	33.1056
2   	85 	100  	-2257.72	-2052.29	-2047.61	17.2934
2   	86 	100  	-2767.71	-2052.05	-2047.61	34.5189
2   	87 	100  	-2944.94	-2056.78	-2047.45	59.4286
2   	88 	100  	-2420   	-2053.45	-2047.41	27.4339
2   	89 	100  	-2336.15	-2051.54	-2047.41	20.7932
2   	90 	100  	-2446.67	-2052.25	-2047.41	25.8737
2   	91 	100  	-2777.49	-2053.11	-2047.34	37.9885
2   	92 	100  	-2424.74	-2051.61	-2047.34	24.3956
2   	93 	100  	-3701.44	-2056.87	-2046.91	83.7708
2   	94 	100  	-2376.06	-2053.07	-2046.91	29.0192
2   	95 	100  	-2154.19	-2049.46	-2046.86	9.79502
2   	96 	100  	-2143.64	-2048.99	-2046.86	7.23911
2   	97 	100  	-2257.38	-2050.22	-2046.6 	16.557 
2   	98 	100  	-3224.95	-2054.55	-2046.6 	60.8857
2   	99 	100  	-2982.72	-2054.87	-2046.6 	48.9476
rank	gen	depth	min     	avg     	max     	std    
2   	0  	100  	-7679.65	-2406.86	-2134.2 	414.71 
2   	1  	100  	-5414.94	-2293.17	-2128.22	249.093
2   	2  	100  	-4304.68	-2244.56	-2127.21	194.336
2   	3  	100  	-5333.19	-2229.18	-2107.65	275.239
2   	4  	100  	-5343.05	-2205.85	-2101.34	236.751
2   	5  	100  	-4403.01	-2182.18	-2100.95	178.306
2   	6  	100  	-3709.24	-2157.54	-2090.61	110.878
2   	7  	100  	-5248.4 	-2169.45	-2090.61	246.213
2   	8  	100  	-2801.43	-2139.86	-2088.1 	77.1616
2   	9  	100  	-4828.41	-2160.1 	-2086.96	230.969
2   	10 	100  	-3160.96	-2128.73	-2079.7 	87.5722
2   	11 	100  	-5222.64	-2134.12	-2079.7 	179.3  
2   	12 	100  	-9783.64	-2144.7 	-2079.7 	386.837
2   	13 	100  	-4443.65	-2123.25	-2077.36	167.747
2   	14 	100  	-3031.56	-2115.22	-2071.8 	94.169 
2   	15 	100  	-3602.62	-2111.35	-2068.82	105.758
2   	16 	100  	-3890.48	-2116.51	-2066.28	161.557
2   	17 	100  	-5386.15	-2108.45	-2064.17	166.123
2   	18 	100  	-3844.61	-2097.52	-2064.17	104.877
2   	19 	100  	-2958.1 	-2094.42	-2064.17	78.7269
2   	20 	100  	-4083.26	-2100.88	-2063.34	162.984
2   	21 	100  	-9479.2 	-2113.66	-2061.55	374.846
2   	22 	100  	-4080.48	-2095.5 	-2060.42	130.938
2   	23 	100  	-3502.66	-2088.08	-2059.18	100.21 
2   	24 	100  	-2799.33	-2087.71	-2059.18	83.0499
