rank	gen	depth	min     	avg     	max     	std    
2   	0  	100  	-2715.23	-1024.64	-857    	172.566
2   	1  	100  	-1863.4 	-942.016	-849.851	73.9212
2   	2  	100  	-1368.77	-903.26 	-848    	41.0651
2   	3  	100  	-1191.84	-882.301	-846.179	32.4434
2   	4  	100  	-1538.04	-868.673	-842.177	39.7847
2   	5  	100  	-2022.23	-861.872	-842.119	54.3863
2   	6  	100  	-1567.51	-859.929	-839.915	48.3847
2   	7  	100  	-1131.62	-851.538	-839.029	19.5569
2   	8  	100  	-1274.34	-849.786	-838.526	29.4364
2   	9  	100  	-1197.16	-846.666	-836.897	22.5532
2   	10 	100  	-1034.38	-843.195	-836.427	13.1123
2   	11 	100  	-1892.56	-844.762	-833.994	49.1264
2   	12 	100  	-1056.81	-842.709	-832.499	20.3219
2   	13 	100  	-1178.46	-842.014	-832.499	25.9056
2   	14 	100  	-1046.19	-839.534	-828.038	15.8495
2   	15 	100  	-937.017	-836.848	-828.038	8.06622
2   	16 	100  	-1132.46	-838.516	-828.038	26.7092
2   	17 	100  	-1755.36	-838.072	-827.939	53.0745
2   	18 	100  	-1312.52	-834.546	-827.939	25.9524
2   	19 	100  	-1901.87	-837.1  	-827.939	58.5249
2   	20 	100  	-1078.45	-832.041	-827.391	18.3798
2   	21 	100  	-975.059	-830.088	-827.049	11.6214
2   	22 	100  	-1121.69	-831.351	-826.64 	21.1517
2   	23 	100  	-925.859	-828.863	-826.401	7.29983
2   	24 	100  	-1366.71	-831.392	-826.401	34.5542
2   	25 	100  	-1075.51	-828.662	-826.401	11.6995
2   	26 	100  	-1028.63	-828.376	-826.401	10.6661
2   	27 	100  	-1569.94	-831.207	-826.026	38.65  
2   	28 	100  	-1527.75	-831.217	-826.026	38.2972
2   	29 	100  	-953.829	-828.256	-826.026	10.5993
2   	30 	100  	-1302.8 	-829.734	-826.026	25.836 
2   	31 	100  	-1059.07	-828.185	-825.906	14.0486
2   	32 	100  	-950.4  	-828.051	-825.508	10.9446
2   	33 	100  	-1075.35	-828.8  	-825.444	17.5853
2   	34 	100  	-1705.23	-830.199	-825.133	43.5577
2   	35 	100  	-1965.17	-832.482	-825.013	70.3496
2   	36 	100  	-950.82 	-827.447	-825.013	10.5914
2   	37 	100  	-1000.2 	-827.919	-825.013	14.5065
2   	38 	100  	-2832.51	-831.778	-825.003	91.9415
2   	39 	100  	-1312.78	-829.225	-825.003	34.5051
2   	40 	100  	-1009.85	-826.155	-825.003	9.30631
2   	41 	100  	-1687.82	-829.316	-825.003	46.9401
2   	42 	100  	-962.626	-826.073	-824.883	7.56015
2   	43 	100  	-1103.53	-827.07 	-824.883	16.9944
2   	44 	100  	-917.944	-826.354	-824.883	9.00284
2   	45 	100  	-1659.96	-829.251	-824.883	41.8413
2   	46 	100  	-870.347	-825.649	-824.883	3.9495 
2   	47 	100  	-1022.42	-826.258	-824.883	10.0136
2   	48 	100  	-1094.31	-827.807	-824.883	20.7231
2   	49 	100  	-1526.51	-832.165	-824.883	54.4126
2   	50 	100  	-898.37 	-825.897	-824.883	5.6332 
2   	51 	100  	-1030.9 	-826.9  	-824.883	13.3211
2   	52 	100  	-924.181	-826.402	-824.883	9.02885
2   	53 	100  	-1085.03	-826.845	-824.883	16.0893
2   	54 	100  	-1123.48	-826.449	-824.883	17.41  
2   	55 	100  	-900.057	-826.187	-824.883	7.03509
2   	56 	100  	-2298.84	-830.504	-824.883	70.0326
2   	57 	100  	-1516.19	-827.591	-824.883	32.8264
2   	58 	100  	-1155.27	-827.476	-824.883	18.4264
2   	59 	100  	-945.617	-826.234	-824.883	8.64569
2   	60 	100  	-866.774	-825.645	-824.883	3.70885
2   	61 	100  	-1034.42	-827.082	-824.883	16.3303
2   	62 	100  	-1139.78	-828.271	-824.883	25.0681
2   	63 	100  	-899.497	-825.402	-824.883	4.08209
2   	64 	100  	-930.153	-826.625	-824.883	9.65729
2   	65 	100  	-1163.78	-826.379	-824.883	16.024 
2   	66 	100  	-1050.14	-827.112	-824.883	16.6342
2   	67 	100  	-923.536	-826.032	-824.883	7.42238
2   	68 	100  	-1014.41	-826.303	-824.883	11.0614
2   	69 	100  	-1557.01	-828.072	-824.883	36.699 
2   	70 	100  	-978.907	-826.599	-824.883	13.2311
2   	71 	100  	-1054.12	-826.412	-824.883	11.8503
2   	72 	100  	-1325.34	-827.71 	-824.883	25.9389
2   	73 	100  	-978.99 	-826.172	-824.883	8.61554
2   	74 	100  	-1090.47	-827.195	-824.883	16.5112
2   	75 	100  	-939.259	-826.116	-824.883	7.90957
2   	76 	100  	-970.461	-826.479	-824.883	9.29635
2   	77 	100  	-1042.91	-826.717	-824.883	12.1208
2   	78 	100  	-1307.33	-827.014	-824.883	23.3333
2   	79 	100  	-1072.63	-826.319	-824.883	13.1749
2   	80 	100  	-1333.3 	-828.777	-824.883	34.6922
2   	81 	100  	-1250.58	-829.477	-824.883	34.4864
2   	82 	100  	-995.2  	-826.396	-824.883	11.7756
2   	83 	100  	-1413.73	-827.923	-824.883	28.1971
2   	84 	100  	-1018.49	-826.914	-824.883	13.8134
2   	85 	100  	-1694.29	-828.28 	-824.883	42.8713
2   	86 	100  	-960.911	-826.403	-824.883	9.10243
2   	87 	100  	-1059.01	-827.392	-824.883	15.5173
2   	88 	100  	-927.116	-825.985	-824.883	7.05633
2   	89 	100  	-964.507	-826.274	-824.883	9.90932
2   	90 	100  	-1112.6 	-826.444	-824.883	14.5761
2   	91 	100  	-875.233	-825.464	-824.883	4.09406
2   	92 	100  	-949.824	-826.274	-824.883	9.86379
2   	93 	100  	-891.807	-825.948	-824.883	6.3791 
2   	94 	100  	-1500.1 	-829.177	-824.883	41.5156
