rank	gen	depth	min     	avg     	max     	std    
5   	0  	100  	-8796.3 	-1756.38	-1623.7 	470.877
5   	1  	100  	-3491.06	-1683.59	-1621.95	132.967
5   	2  	100  	-2498.78	-1660.09	-1619.51	70.7103
5   	3  	100  	-2442.77	-1662.12	-1619.21	99.0694
5   	4  	100  	-4765.35	-1655.6 	-1614.77	167.866
5   	5  	100  	-6581.92	-1667   	-1614.77	279.124
5   	6  	100  	-2231.36	-1640.03	-1614.07	54.5734
5   	7  	100  	-3174.06	-1654.35	-1612.55	136.95 
5   	8  	100  	-2178.54	-1636.96	-1612.49	55.0132
5   	9  	100  	-1980.51	-1631.06	-1611.32	37.1552
5   	10 	100  	-2599.72	-1636.11	-1611.32	66.0398
5   	11 	100  	-3854.05	-1637.35	-1609.85	121.183
5   	12 	100  	-3863.04	-1643.45	-1609.85	167.88 
5   	13 	100  	-2872.8 	-1635.19	-1609.74	100.207
5   	14 	100  	-2247.81	-1629.68	-1608.3 	56.9872
5   	15 	100  	-2929.69	-1628.5 	-1607.49	72.8849
5   	16 	100  	-2831.1 	-1629.13	-1607.49	76.3381
5   	17 	100  	-2297.39	-1624.04	-1607.49	47.0157
5   	18 	100  	-8743.29	-1650.55	-1607.4 	361.019
5   	19 	100  	-2399.34	-1622.33	-1606.84	51.9226
5   	20 	100  	-3635.89	-1629.91	-1606.84	116.597
5   	21 	100  	-4168.99	-1628.96	-1606.19	131.828
5   	22 	100  	-1894.63	-1617   	-1606.19	21.637 
5   	23 	100  	-1966.96	-1618.89	-1606.19	30.3409
5   	24 	100  	-1963.14	-1618.61	-1606.19	29.0766
5   	25 	100  	-2385.9 	-1620.95	-1606.19	48.3491
5   	26 	100  	-5015.17	-1634.69	-1606.1 	183.656
5   	27 	100  	-2122.09	-1616.62	-1605.67	34.238 
5   	28 	100  	-2497.44	-1622.59	-1605.4 	64.3039
5   	29 	100  	-2189.15	-1617.83	-1605.32	44.5047
5   	30 	100  	-3581.53	-1620.14	-1604.97	95.2472
5   	31 	100  	-2216.91	-1619.11	-1604.97	52.1862
5   	32 	100  	-3306.86	-1622.73	-1604.97	104.661
5   	33 	100  	-3792.76	-1629.9 	-1604.97	151.145
5   	34 	100  	-2530.43	-1620.22	-1604.94	65.5433
5   	35 	100  	-2157   	-1617.36	-1604.94	40.1649
5   	36 	100  	-2226.3 	-1618.44	-1604.7 	51.008 
5   	37 	100  	-4297.79	-1622.59	-1604.7 	128.606
5   	38 	100  	-1986.41	-1613.53	-1604.7 	27.4278
5   	39 	100  	-2014.3 	-1615.23	-1604.44	32.6144
5   	40 	100  	-2508.86	-1616.23	-1604.3 	52.8828
5   	41 	100  	-2793.62	-1617.29	-1603.57	64.2255
5   	42 	100  	-29291.1	-1676.11	-1603.57	1239.85
5   	43 	100  	-2613.08	-1616.52	-1603.57	53.2005
5   	44 	100  	-1754.51	-1611.15	-1603.57	16.9636
5   	45 	100  	-2281.26	-1614.05	-1603.54	40.1504
5   	46 	100  	-3786.36	-1618.53	-1603.54	105.902
5   	47 	100  	-2768.63	-1618.22	-1603.54	82.0665
5   	48 	100  	-4340.08	-1619.21	-1603.54	128.445
5   	49 	100  	-1834.42	-1613.09	-1603.54	23.595 
5   	50 	100  	-2000.49	-1612.51	-1603.54	29.6213
5   	51 	100  	-2479.45	-1612.92	-1603.54	49.3974
5   	52 	100  	-2022.07	-1611.5 	-1603.54	29.593 
5   	53 	100  	-2138.81	-1612.33	-1603.54	34.357 
5   	54 	100  	-2172.64	-1616.32	-1603.54	53.4008
5   	55 	100  	-2756.73	-1620.8 	-1603.54	87.2139
5   	56 	100  	-1836.85	-1611.97	-1603.54	24.4374
5   	57 	100  	-2656.67	-1613.14	-1603.54	55.7812
5   	58 	100  	-2946.79	-1615.81	-1603.54	80.2874
5   	59 	100  	-3436.26	-1618.26	-1603.54	105.662
5   	60 	100  	-2023.91	-1610.8 	-1603.54	28.9817
5   	61 	100  	-2074.48	-1611.62	-1603.54	32.2772
5   	62 	100  	-3274.78	-1616.07	-1603.54	86.2025
5   	63 	100  	-2221.47	-1611.48	-1603.54	39.3748
5   	64 	100  	-2851.51	-1619.15	-1603.54	83.8068
5   	65 	100  	-1945.16	-1610.5 	-1603.54	28.2799
5   	66 	100  	-2653.68	-1615   	-1603.54	63.3783
5   	67 	100  	-2233.89	-1610.73	-1603.54	35.5671
5   	68 	100  	-1993.8 	-1610.19	-1603.54	23.638 
5   	69 	100  	-2025.19	-1609.42	-1603.54	23.9396
5   	70 	100  	-2914.1 	-1613.18	-1603.54	77.0803
5   	71 	100  	-2265.17	-1610.39	-1603.54	33.666 
5   	72 	100  	-1912   	-1610.76	-1603.54	25.1518
5   	73 	100  	-1762.58	-1608.9 	-1603.54	16.7925
5   	74 	100  	-2296.85	-1612.47	-1603.54	47.3206
5   	75 	100  	-1801.09	-1608.14	-1603.54	15.7199
5   	76 	100  	-1769.46	-1609.16	-1603.54	17.2303
5   	77 	100  	-2123.98	-1612.23	-1603.54	40.1254
5   	78 	100  	-2159.62	-1610.65	-1603.54	32.1652
5   	79 	100  	-2072.32	-1610.8 	-1603.54	35.0227
5   	80 	100  	-1828.34	-1609.68	-1603.54	19.9757
5   	81 	100  	-2315.14	-1611.7 	-1603.54	44.6113
5   	82 	100  	-1874.26	-1609.68	-1603.54	23.5318
5   	83 	100  	-1936.54	-1608.8 	-1603.54	19.1265
5   	84 	100  	-2305.25	-1615.4 	-1603.54	58.7237
5   	85 	100  	-2136.81	-1610.45	-1603.54	30.3578
5   	86 	100  	-1955.45	-1611.28	-1603.54	30.8636
5   	87 	100  	-2455.07	-1613.29	-1603.54	55.9608
5   	88 	100  	-1866.37	-1609.79	-1603.54	21.3652
5   	89 	100  	-3073.83	-1614.59	-1603.54	78.3898
5   	90 	100  	-1798.4 	-1607.66	-1603.54	13.3908
5   	91 	100  	-3080.48	-1617.09	-1603.54	91.7849
5   	92 	100  	-2658.74	-1613.54	-1603.54	58.0426
5   	93 	100  	-2197.32	-1609.16	-1603.54	30.1386
5   	94 	100  	-1855.29	-1609.61	-1603.54	21.0352
5   	95 	100  	-1985.22	-1610.11	-1603.54	26.3564
5   	96 	100  	-2210.61	-1611.4 	-1603.54	41.5672
5   	97 	100  	-1914.2 	-1608.83	-1603.54	20.9979
5   	98 	100  	-1735.39	-1608.18	-1603.54	12.3938
5   	99 	100  	-1990.5 	-1609.97	-1603.54	29.4528
rank	gen	depth	min     	avg     	max     	std    
5   	0  	100  	-4173.96	-1707.35	-1617.75	151.003
5   	1  	100  	-1875.58	-1660.09	-1617.75	27.6371
5   	2  	100  	-2447.64	-1645.69	-1617.67	44.7423
5   	3  	100  	-2131.64	-1637.02	-1616.97	32.1176
5   	4  	100  	-2788.84	-1636   	-1615.71	68.1536
5   	5  	100  	-2713.65	-1628.25	-1613.46	52.0454
5   	6  	100  	-2211.06	-1624.33	-1612.62	32.1182
5   	7  	100  	-1767.1 	-1621.21	-1612.62	11.5691
5   	8  	100  	-1862.91	-1620.91	-1611.72	20.9992
5   	9  	100  	-2016.55	-1618.33	-1610.8 	19.6022
5   	10 	100  	-3063.55	-1620.64	-1609.25	68.8189
5   	11 	100  	-2103.69	-1617.88	-1609.25	36.4461
5   	12 	100  	-1821.97	-1616.13	-1608.54	20.2536
5   	13 	100  	-2113.01	-1614.99	-1608.54	26.7094
5   	14 	100  	-1857.58	-1614.19	-1608.54	17.9087
5   	15 	100  	-1810.4 	-1612.9 	-1607.03	13.5159
5   	16 	100  	-1810.67	-1611.59	-1607.03	11.1811
5   	17 	100  	-1910.61	-1613.17	-1606.9 	22.7897
5   	18 	100  	-1872.42	-1611.48	-1606.72	15.6745
5   	19 	100  	-2949.49	-1618.75	-1606.72	90.3332
5   	20 	100  	-1758.81	-1610.07	-1606.21	9.83191
5   	21 	100  	-1705.47	-1609.67	-1606.02	8.85432
5   	22 	100  	-2540.05	-1611.5 	-1605.51	43.2992
5   	23 	100  	-1765.93	-1609.7 	-1605.51	12.8425
5   	24 	100  	-1785.35	-1610.01	-1605.51	14.9947
5   	25 	100  	-1796.22	-1608.7 	-1605.51	12.0291
5   	26 	100  	-1829.97	-1608.68	-1604.94	13.8084
5   	27 	100  	-1734.39	-1607.94	-1604.81	9.24054
5   	28 	100  	-1761.89	-1608.14	-1604.81	13.1042
5   	29 	100  	-1692.38	-1606.94	-1604.24	6.81897
5   	30 	100  	-1764.4 	-1607.19	-1604.24	10.5719
5   	31 	100  	-1782.27	-1607.96	-1604.24	15.5931
5   	32 	100  	-1751.21	-1606.45	-1604.24	10.2173
5   	33 	100  	-2060.36	-1607.86	-1604.24	28.7571
5   	34 	100  	-1696.41	-1605.77	-1604.24	7.50381
5   	35 	100  	-2109.29	-1608.05	-1604   	33.0546
5   	36 	100  	-1663   	-1605.44	-1603.54	5.03582
5   	37 	100  	-1757.55	-1605.76	-1603.54	10.6264
5   	38 	100  	-1924.89	-1606.98	-1603.54	20.4707
5   	39 	100  	-1745.76	-1606.05	-1603.54	11.5413
5   	40 	100  	-1704.98	-1605.12	-1603.54	6.36943
5   	41 	100  	-1768.29	-1605.85	-1603.54	11.3344
5   	42 	100  	-2401.59	-1608.63	-1603.54	46.2149
5   	43 	100  	-1710.65	-1604.77	-1603.54	6.87563
5   	44 	100  	-1691.13	-1604.4 	-1603.54	5.14469
5   	45 	100  	-1809.67	-1605.17	-1603.54	11.5167
5   	46 	100  	-1700.39	-1604.69	-1603.54	6.38866
5   	47 	100  	-1665.52	-1604.58	-1603.54	5.17892
5   	48 	100  	-1702.38	-1604.93	-1603.54	8.16532
5   	49 	100  	-1690.75	-1604.54	-1603.54	5.58895
5   	50 	100  	-1632.87	-1604.29	-1603.54	3.20514
5   	51 	100  	-1846.79	-1605.78	-1603.54	14.2821
5   	52 	100  	-1641.13	-1604.54	-1603.54	3.90735
5   	53 	100  	-1667.27	-1604.98	-1603.54	6.27725
5   	54 	100  	-2007.79	-1605.22	-1603.54	19.1131
5   	55 	100  	-1653.25	-1604.47	-1603.54	4.3228 
5   	56 	100  	-1677.5 	-1604.77	-1603.54	6.70802
