gen	min         	avg     	max     	std   
0  	-9.73685e+06	-39081.1	-5357.27	437591
1  	-9.74284e+06	-38926.2	-5277.09	437777
2  	-9.74282e+06	-38962.1	-5270.51	437783
3  	-9.73737e+06	-39325.7	-5270.51	437557
4  	-9.73743e+06	-39634.3	-5224.65	437566
5  	-9.7375e+06 	-39880  	-5224.65	437592
6  	-9.7375e+06 	-40041.8	-5224.65	437581
7  	-9.73747e+06	-40541.7	-4975.46	437641
8  	-9.73801e+06	-39980.5	-4763.01	437385
9  	-9.76836e+06	-40228  	-4763.01	438753
10 	-9.76836e+06	-40342.8	-4763.01	438733
11 	-9.76836e+06	-41135.4	-4493.61	439810
12 	-9.76835e+06	-42440.4	-4430.98	440556
13 	-9.76843e+06	-42603.5	-4430.98	440535
14 	-9.7684e+06 	-42754.5	-4430.98	440577
15 	-9.76816e+06	-42609.5	-4430.98	440575
16 	-9.76816e+06	-43043.5	-4430.98	440634
17 	-9.76805e+06	-43125.3	-4430.98	440624
18 	-9.76953e+06	-43396.7	-4430.98	440750
19 	-9.77465e+06	-44340.8	-4430.98	441722
20 	-9.77522e+06	-44443.4	-4430.98	441702
21 	-9.77562e+06	-44766.6	-4430.98	441732
22 	-9.77661e+06	-44832.9	-4430.98	441763
23 	-9.77577e+06	-44972.2	-4430.98	441727
24 	-9.77525e+06	-46902.6	-4430.98	442981
25 	-9.77524e+06	-47233  	-4430.98	443083
26 	-9.77495e+06	-47278.2	-4430.98	443081
27 	-9.775e+06  	-47581.2	-4423.8 	443075
28 	-9.77382e+06	-47714.7	-4423.8 	443042
29 	-9.773e+06  	-47755.4	-4423.8 	443022
30 	-9.77302e+06	-48041.5	-4423.8 	442996
31 	-9.77308e+06	-48878.1	-4423.8 	443150
32 	-9.7734e+06 	-49422.1	-4423.8 	443158
33 	-9.77345e+06	-50914.9	-4423.8 	443771
34 	-9.77449e+06	-50947.3	-4423.8 	443899
35 	-9.77554e+06	-53260.2	-4423.8 	446200
36 	-9.77335e+06	-58382.6	-4423.8 	457129
37 	-9.77455e+06	-58604.4	-4184.69	457199
38 	-9.77512e+06	-58833.5	-4184.69	457285
39 	-9.7744e+06 	-59039.8	-4184.69	457363
40 	-9.77433e+06	-59089.7	-4184.69	457770
41 	-9.77685e+06	-59190.9	-4184.69	457788
42 	-9.83175e+06	-59667.9	-4184.69	460173
43 	-9.82864e+06	-60205.5	-4184.69	460220
44 	-9.82864e+06	-60435.1	-4184.69	459865
45 	-9.7437e+06 	-62593.3	-4184.69	456755
46 	-9.77328e+06	-62205.4	-4184.69	458173
47 	-9.77314e+06	-62817.9	-4184.69	458271
48 	-9.80349e+06	-63948.5	-4184.69	459828
49 	-9.80349e+06	-63990.4	-4184.69	461127
50 	-9.8144e+06 	-64163.5	-4184.69	460772
51 	-9.81409e+06	-64431  	-4184.69	460951
52 	-9.81431e+06	-64578  	-4184.69	460846
53 	-9.81423e+06	-64966.7	-4184.69	460529
54 	-9.81423e+06	-65271.6	-4184.69	460781
55 	-9.81423e+06	-65615  	-4184.69	460798
56 	-2.29159e+06	-46167.3	-4184.69	147945
57 	-2.3109e+06 	-46709.5	-4184.69	149119
58 	-2.32528e+06	-46780.6	-4184.69	149570
59 	-4.30606e+06	-50751.6	-4184.69	219968
60 	-4.30394e+06	-51087.3	-4181.4 	219559
61 	-5.28754e+06	-51751.4	-4181.4 	262439
62 	-5.28744e+06	-52314.1	-4181.4 	260385
63 	-5.28739e+06	-52445.6	-4181.4 	260377
64 	-4.28677e+06	-51706.7	-4181.4 	223725
65 	-4.29073e+06	-51938.6	-4181.4 	225141
66 	-4.29452e+06	-54891.3	-4181.4 	229681
67 	-4.38592e+06	-57022.5	-4142.38	235415
68 	-4.32271e+06	-57076.6	-4142.38	233036
69 	-4.28652e+06	-59101.3	-4142.38	240727
70 	-4.28704e+06	-59290.3	-4142.38	240807
71 	-4.28708e+06	-59157.8	-4142.38	239608
72 	-4.33053e+06	-59924.9	-4142.38	241272
73 	-4.33053e+06	-59073.1	-4142.38	239246
74 	-4.28178e+06	-58995  	-4142.38	237819
75 	-4.32202e+06	-58908  	-4142.38	238745
76 	-4.32201e+06	-59089.7	-4142.38	238999
77 	-4.32201e+06	-59382.2	-4142.38	239038
78 	-4.28251e+06	-61295.5	-4142.38	241146
79 	-4.29091e+06	-62725  	-4142.38	237904
80 	-4.31019e+06	-64117.7	-4142.38	239765
81 	-4.29953e+06	-65567.6	-4142.38	240568
82 	-4.2893e+06 	-66024.6	-4142.38	243249
83 	-4.28929e+06	-65575.9	-4142.38	241653
84 	-4.28904e+06	-64471.3	-4142.38	241667
85 	-4.28904e+06	-64689.6	-4140.62	241786
86 	-4.30981e+06	-65127.5	-4140.62	241499
87 	-4.30976e+06	-65254.5	-4140.62	240023
88 	-4.30974e+06	-65912.8	-4140.62	240477
89 	-4.29192e+06	-66131.2	-4140.62	239267
90 	-4.29283e+06	-66611.4	-4123.59	240213
91 	-4.29285e+06	-66939.3	-4123.59	240907
92 	-4.28711e+06	-66979.9	-4123.59	240535
93 	-4.30679e+06	-67507.8	-4123.59	240938
94 	-4.28e+06   	-68177.7	-4123.59	239827
95 	-4.28539e+06	-68705.3	-4123.59	240333
96 	-4.29981e+06	-73510.4	-4123.59	271069
97 	-4.29973e+06	-73782.2	-4123.59	271577
98 	-4.30744e+06	-73398  	-4123.59	270031
99 	-4.30705e+06	-73219.4	-4123.59	269145
