gen	min         	avg     	max     	std    
0  	-475936     	-15020.5	-4930.14	26674.7
1  	-476337     	-15075.6	-4930.14	26637.9
2  	-486987     	-15742.1	-4930.14	29426.2
3  	-486987     	-16301.2	-4930.14	30260.9
4  	-486334     	-16715.8	-4930.14	30360.3
5  	-486355     	-16964.4	-4913.29	30648.7
6  	-486505     	-17130.4	-4901.65	30478.1
7  	-486536     	-17451.9	-4895.94	30736.1
8  	-486541     	-17533.7	-4884.34	30517.8
9  	-486961     	-17856  	-4877.82	30589.9
10 	-487514     	-18051  	-4877.82	30814.4
11 	-474224     	-18328.9	-4877.82	30514.5
12 	-475432     	-18446.2	-4877.82	30587.2
13 	-476608     	-18642.7	-4877.82	30764.6
14 	-476877     	-19147  	-4877.82	31853.8
15 	-474707     	-19098.5	-4877.82	31834.9
16 	-474712     	-19094.7	-4877.82	31540.1
17 	-474679     	-19225.7	-4877.82	31513.7
18 	-626820     	-20751.5	-4877.82	41984.2
19 	-627139     	-21954.5	-4862.44	47461  
20 	-729864     	-22466.4	-4862.44	51315.5
21 	-729864     	-22515.4	-4843.69	51617  
22 	-729866     	-22653  	-4843.69	50920.7
23 	-627175     	-23404.4	-4843.69	50516.7
24 	-627174     	-23976.6	-4843.69	51508.3
25 	-3.36901e+06	-30231.3	-4843.69	157411 
26 	-3.36901e+06	-30710.2	-4843.69	158468 
27 	-3.36907e+06	-31340.7	-4843.69	158692 
28 	-3.36896e+06	-31665.4	-4843.69	159370 
29 	-3.36334e+06	-32276  	-4827.94	159322 
30 	-3.36315e+06	-32421.7	-4827.94	159035 
31 	-3.36313e+06	-32533  	-4827.94	159012 
32 	-3.36327e+06	-32855.2	-4827.94	159229 
33 	-3.36357e+06	-33753.2	-4827.94	159496 
34 	-3.36299e+06	-34021.5	-4827.94	159401 
35 	-3.37094e+06	-34272.4	-4827.94	159743 
36 	-3.3712e+06 	-34423.7	-4827.94	159774 
37 	-3.36346e+06	-34254.7	-4827.94	159321 
38 	-3.36248e+06	-34611.4	-4827.94	159347 
39 	-3.36771e+06	-34795.6	-4827.94	159576 
40 	-3.36818e+06	-38623.2	-4826.73	175543 
41 	-3.36913e+06	-38805  	-4826.73	175756 
42 	-3.36912e+06	-38975.3	-4826.73	176210 
43 	-3.36911e+06	-39390  	-4826.73	175931 
44 	-3.36759e+06	-38893.5	-4826.73	174631 
45 	-3.3657e+06 	-38987.1	-4826.73	174329 
46 	-3.36701e+06	-39859.5	-4826.73	175048 
47 	-3.37374e+06	-39897.9	-4826.73	175226 
48 	-3.3653e+06 	-40373.8	-4826.73	176354 
49 	-3.36649e+06	-40596.5	-4826.73	176432 
50 	-3.36606e+06	-40695.4	-4826.73	176484 
51 	-3.36542e+06	-41150.7	-4826.73	175431 
52 	-3.36702e+06	-41071.8	-4826.73	175194 
53 	-3.37492e+06	-41332.2	-4826.73	175301 
54 	-3.37492e+06	-41535.5	-4826.73	175686 
55 	-3.3745e+06 	-41907.3	-4826.73	175964 
56 	-3.3745e+06 	-41924.6	-4826.73	175987 
57 	-3.3832e+06 	-44366.6	-4826.73	179365 
58 	-3.39115e+06	-44829.6	-4826.73	180290 
59 	-3.39111e+06	-46836.8	-4826.73	183486 
60 	-3.39111e+06	-47033.6	-4826.73	183664 
61 	-3.38297e+06	-50779.2	-4826.73	200229 
62 	-3.36392e+06	-50968.8	-4826.73	199924 
63 	-3.36814e+06	-51024.4	-4826.73	200043 
64 	-3.36603e+06	-56201.4	-4826.73	217995 
65 	-3.37782e+06	-57044.6	-4826.73	218658 
66 	-3.47141e+06	-56642.3	-4826.73	220227 
67 	-5.90318e+06	-67553.1	-4826.73	340970 
68 	-5.90558e+06	-68028.7	-4826.73	339149 
69 	-5.90794e+06	-69015.1	-4826.73	347138 
70 	-5.90458e+06	-69621.3	-4826.73	346779 
71 	-5.90548e+06	-70028.1	-4826.73	346408 
72 	-5.90586e+06	-70812.1	-4826.73	341245 
73 	-5.90594e+06	-71725.9	-4826.73	342180 
74 	-5.90591e+06	-71762.2	-4826.73	342245 
75 	-5.90591e+06	-71192.6	-4826.73	341339 
76 	-5.90547e+06	-71618.2	-4826.73	341535 
77 	-5.90481e+06	-71892.6	-4826.73	341882 
78 	-5.90481e+06	-72203.5	-4826.73	342931 
79 	-5.90549e+06	-72311  	-4826.73	342549 
80 	-5.90519e+06	-72495.3	-4824.73	342471 
81 	-5.9052e+06 	-72754  	-4824.73	342371 
82 	-5.90279e+06	-73523.6	-4824.73	343454 
83 	-5.90278e+06	-73727.3	-4824.73	343572 
84 	-5.90388e+06	-73857.6	-4824.73	343693 
85 	-5.90251e+06	-74326.5	-4824.73	343850 
86 	-5.90793e+06	-74608.5	-4824.73	341928 
87 	-5.90843e+06	-74723.9	-4824.73	342119 
88 	-5.90843e+06	-75099.6	-4824.73	341507 
89 	-5.90857e+06	-79084.9	-4824.73	344682 
90 	-5.90857e+06	-80734.6	-4824.73	345610 
91 	-5.91937e+06	-82305.2	-4824.73	347405 
92 	-5.91937e+06	-82625.2	-4824.73	347220 
93 	-5.91934e+06	-82625.9	-4824.73	347726 
94 	-6.04615e+06	-83040.8	-4824.73	351643 
95 	-6.44687e+06	-83382.2	-4824.73	364887 
96 	-6.44683e+06	-83384.1	-4824.73	364966 
97 	-6.44683e+06	-83665.6	-4824.73	364818 
98 	-6.44661e+06	-83916.8	-4824.73	365363 
99 	-6.04606e+06	-86275.9	-4824.73	354836 
