gen	min         	avg     	max     	std        
0  	-201275     	-14357.1	-5087.67	19883.7    
1  	-201346     	-14872.5	-5001.48	20641.6    
2  	-201248     	-15093.2	-5001.48	20619.3    
3  	-201248     	-15339.3	-5001.48	20712.3    
4  	-201288     	-15747.8	-5001.48	21000.9    
5  	-199639     	-15876.4	-5001.48	21258.1    
6  	-200307     	-15889.3	-5001.48	21006      
7  	-238897     	-16507  	-5001.48	23301.5    
8  	-238898     	-16713.4	-5001.48	23229.2    
9  	-280497     	-16896.6	-5001.48	24155.7    
10 	-280497     	-17018.9	-5001.48	24566.5    
11 	-279387     	-16855.8	-4999.76	23598.4    
12 	-253056     	-17017.8	-4920.19	23147.3    
13 	-358044     	-17845.4	-4860.54	28023.5    
14 	-358845     	-18281.8	-4860.54	28518.9    
15 	-359239     	-19071.3	-4860.54	32461.5    
16 	-359924     	-19334.8	-4860.54	32869.7    
17 	-360171     	-19360.9	-4836.54	32634.8    
18 	-426498     	-19439.3	-4836.54	34627.1    
19 	-423389     	-19868.8	-4836.54	35100.4    
20 	-424074     	-20012.5	-4836.54	35000.8    
21 	-424085     	-20225.4	-4836.54	35213      
22 	-423111     	-20323.9	-4836.54	34799.5    
23 	-424509     	-20505.8	-4836.54	34691.1    
24 	-424339     	-20696.9	-4836.54	34494.2    
25 	-2.41793e+06	-25398  	-4836.54	112413     
26 	-2.42358e+06	-25833  	-4678.91	112751     
27 	-2.41765e+06	-26032.8	-4663.18	112488     
28 	-2.40868e+06	-26361.6	-4663.18	111585     
29 	-2.40883e+06	-26500.8	-4663.18	111566     
30 	-2.40707e+06	-26751.9	-4663.18	111570     
31 	-2.40729e+06	-26939.9	-4663.18	111509     
32 	-2.40729e+06	-27079.8	-4663.18	111644     
33 	-2.40729e+06	-27230.1	-4663.18	111561     
34 	-2.40856e+06	-27483.5	-4663.18	111720     
35 	-2.39657e+06	-27236.1	-4663.18	110513     
36 	-2.39907e+06	-27330.6	-4663.18	110775     
37 	-2.40475e+06	-27726.6	-4663.18	110816     
38 	-2.40493e+06	-28698  	-4656.73	111644     
39 	-2.39633e+06	-29275.5	-4656.73	111460     
40 	-2.39625e+06	-29698.8	-4656.73	111202     
41 	-2.39648e+06	-30035.2	-4656.73	111216     
42 	-6.63872e+06	-43452.5	-4656.73	315470     
43 	-6.63872e+06	-43759.6	-4656.73	315606     
44 	-6.63878e+06	-45847.3	-4637.16	318554     
45 	-6.63959e+06	-46096.3	-4637.16	318673     
46 	-6.55775e+06	-46405.7	-4637.16	315352     
47 	-6.55864e+06	-46804.7	-4637.16	315374     
48 	-6.56167e+06	-46957.3	-4637.16	315530     
49 	-6.56167e+06	-47393.9	-4637.16	315631     
50 	-6.56058e+06	-47296  	-4637.16	315357     
51 	-6.56057e+06	-47365.8	-4637.16	315373     
52 	-6.56066e+06	-53198.2	-4637.16	336537     
53 	-6.56253e+06	-54121.2	-4637.16	336367     
54 	-6.56089e+06	-55403.9	-4632.71	338871     
55 	-6.56089e+06	-55578.7	-4632.71	338257     
56 	-6.57283e+06	-55614.1	-4632.71	339148     
57 	-6.55677e+06	-56604.1	-4632.71	338940     
58 	-6.55689e+06	-56873.8	-4632.71	338741     
59 	-6.55764e+06	-57351  	-4632.71	339075     
60 	-6.56279e+06	-57526.7	-4632.71	339670     
61 	-6.56274e+06	-52820.9	-4632.71	322486     
62 	-6.55812e+06	-52962.3	-4632.71	321808     
63 	-6.56383e+06	-53265.2	-4632.71	321400     
64 	-6.55653e+06	-53391.3	-4632.71	321424     
65 	-6.56106e+06	-55851.5	-4632.71	325644     
66 	-6.56108e+06	-56132.5	-4632.71	325390     
67 	-6.56984e+06	-56690.5	-4632.01	325661     
68 	-6.56005e+06	-56808.7	-4632.01	327001     
69 	-6.56005e+06	-57669.3	-4632.01	327409     
70 	-6.56015e+06	-57684.2	-4632.01	327513     
71 	-6.55841e+06	-57885.5	-4632.01	326619     
72 	-6.55836e+06	-57949.1	-4632.01	326217     
73 	-6.55782e+06	-58868.7	-4632.01	327493     
74 	-6.5575e+06 	-58784.8	-4632.01	327480     
75 	-6.58258e+06	-58778.7	-4632.01	327961     
76 	-6.58375e+06	-59380.5	-4632.01	328170     
77 	-6.56381e+06	-59653.8	-4632.01	327494     
78 	-6.55886e+06	-59884.1	-4632.01	326861     
79 	-6.56298e+06	-59940.2	-4632.01	327032     
80 	-6.56315e+06	-60020.6	-4632.01	327000     
81 	-6.55646e+06	-60547.8	-4632.01	326693     
82 	-1.03087e+07	-68490.2	-4632.01	481948     
83 	-1.03091e+07	-69989  	-4632.01	484317     
84 	-1.03302e+07	-70172.9	-4632.01	485199     
85 	-1.03302e+07	-70130.6	-4632.01	487256     
86 	-1.03473e+07	-70240.5	-4632.01	487874     
87 	-1.03473e+07	-73608.1	-4632.01	492920     
88 	-1.0325e+07 	-77708.1	-4632.01	521037     
89 	-1.03247e+07	-90162.5	-4632.01	581499     
90 	-1.03507e+07	-90349.2	-4632.01	582853     
91 	-1.03506e+07	-90353  	-4632.01	582987     
92 	-1.04064e+07	-91613.9	-4632.01	585525     
93 	-1.03443e+07	-91950.8	-4632.01	583484     
94 	-1.03593e+07	-92605.2	-4632.01	583988     
95 	-1.03814e+07	-95162.1	-4632.01	591176     
96 	-1.03836e+07	-95271.8	-4632.01	590948     
97 	-1.06834e+07	-95573.7	-4632.01	601594     
98 	-2.70392e+07	-140589 	-4632.01	1.33006e+06
99 	-2.70392e+07	-141351 	-4632.01	1.32976e+06
