gen	min         	avg     	max     	std   
0  	-5.45384e+06	-13738.9	-1816.89	243544
1  	-5.45426e+06	-13766.6	-1816.89	243562
2  	-5.45425e+06	-13789.4	-1808.15	243560
3  	-5.45425e+06	-13796.8	-1808.15	243560
4  	-5.45425e+06	-13807.6	-1808.15	243559
5  	-5.45423e+06	-13847  	-1808.15	243558
6  	-5.45422e+06	-13859.4	-1808.15	243556
7  	-5.45386e+06	-13869.3	-1808.15	243540
8  	-5.454e+06  	-13896.1	-1807.56	243546
9  	-5.454e+06  	-14045.5	-1807.56	243564
10 	-5.45399e+06	-14058.5	-1807.56	243564
11 	-5.45394e+06	-14078.2	-1807.56	243561
12 	-5.45375e+06	-14109.5	-1807.56	243551
13 	-5.4539e+06 	-14136.3	-1807.56	243557
14 	-5.45387e+06	-14149.6	-1807.56	243555
15 	-5.45387e+06	-14161  	-1807.56	243555
16 	-5.45387e+06	-14176  	-1807.56	243555
17 	-5.45387e+06	-14195.7	-1799.11	243554
18 	-5.45387e+06	-14232.5	-1799.11	243552
19 	-5.45387e+06	-14362.1	-1799.11	243550
20 	-5.45387e+06	-14418.3	-1799.11	243550
21 	-5.45387e+06	-14428.2	-1799.11	243549
22 	-5.45391e+06	-14438.9	-1799.11	243551
23 	-5.45387e+06	-14487.8	-1799.11	243548
24 	-5.45495e+06	-14540.8	-1799.11	243597
25 	-5.45628e+06	-14555.9	-1799.11	243654
26 	-5.45628e+06	-14590.9	-1799.11	243652
27 	-5.45628e+06	-14872.8	-1799.11	243709
28 	-5.45624e+06	-15093.2	-1789.57	243745
29 	-5.45395e+06	-15107.6	-1789.57	243647
30 	-5.45395e+06	-15705.7	-1789.57	244112
31 	-5.4541e+06 	-15719.7	-1789.57	244120
32 	-5.45407e+06	-15726.9	-1789.57	244112
33 	-5.45413e+06	-16193.7	-1789.57	244368
34 	-5.45517e+06	-16229.7	-1789.57	244412
35 	-5.4541e+06 	-16233.4	-1789.57	244365
36 	-5.45438e+06	-16242  	-1789.57	244376
37 	-5.45411e+06	-16291.1	-1789.57	244367
38 	-5.45409e+06	-16357.5	-1789.57	244253
39 	-5.45409e+06	-16431.3	-1789.57	244253
40 	-5.45423e+06	-16550.8	-1789.57	244259
41 	-5.45423e+06	-16560.9	-1789.57	244263
42 	-5.4542e+06 	-16570.6	-1789.57	244260
43 	-5.45429e+06	-16581.6	-1789.57	244259
44 	-5.45543e+06	-16615  	-1789.57	244425
45 	-5.45543e+06	-17133.4	-1789.57	244546
46 	-5.45543e+06	-21038.1	-1789.57	260906
47 	-5.45592e+06	-21095.5	-1789.57	260874
48 	-5.45483e+06	-21103.6	-1789.57	260823
49 	-5.45483e+06	-21112.5	-1789.57	260820
50 	-5.45406e+06	-21740.5	-1789.57	261817
51 	-5.45477e+06	-21768.4	-1789.57	261831
52 	-5.45479e+06	-21811.4	-1789.57	261858
53 	-5.54699e+06	-22007.3	-1789.57	265690
54 	-5.54697e+06	-24715.8	-1789.57	272264
55 	-5.54695e+06	-24822.4	-1789.57	272235
56 	-5.54691e+06	-24897.1	-1789.57	272228
57 	-5.54691e+06	-25019  	-1789.57	272273
58 	-5.45464e+06	-27745.6	-1789.57	274607
59 	-5.45464e+06	-27752.7	-1789.57	274607
60 	-5.45477e+06	-27766.8	-1789.57	274602
61 	-5.45505e+06	-27798.1	-1789.57	274619
62 	-5.4553e+06 	-27805.8	-1789.57	274624
63 	-5.4553e+06 	-27813.6	-1789.57	274631
64 	-5.4553e+06 	-27885  	-1789.57	274631
65 	-5.45546e+06	-27927  	-1781.95	274673
66 	-5.4553e+06 	-27937.2	-1781.95	274666
67 	-5.45564e+06	-26796.3	-1781.95	273380
68 	-5.45564e+06	-26812  	-1781.95	273400
69 	-5.45643e+06	-26858.4	-1781.95	273413
70 	-5.45478e+06	-27147.8	-1781.95	273506
71 	-5.4733e+06 	-27067.9	-1781.95	274246
72 	-5.45428e+06	-27370.4	-1781.95	273519
73 	-5.4566e+06 	-27380.2	-1781.95	273583
74 	-5.45485e+06	-27158.4	-1781.95	273684
75 	-5.45483e+06	-27170.3	-1781.95	273679
76 	-5.45484e+06	-27185.4	-1781.95	273664
77 	-5.4556e+06 	-27267.8	-1778.65	273694
78 	-5.45504e+06	-27317.5	-1778.65	273684
79 	-5.45504e+06	-27440.7	-1778.65	273733
80 	-5.45505e+06	-26861.5	-1778.65	273483
81 	-5.45527e+06	-27228.1	-1778.65	273563
82 	-5.45528e+06	-27302.9	-1778.65	273406
83 	-5.45525e+06	-27335.4	-1778.65	273414
84 	-5.45569e+06	-27370.4	-1778.65	273233
85 	-5.45567e+06	-27474.5	-1778.65	273314
86 	-5.45395e+06	-27700.2	-1778.65	273325
87 	-5.45403e+06	-27707.5	-1778.65	273274
88 	-5.45386e+06	-25176.1	-1778.65	267225
89 	-5.45383e+06	-25201.1	-1778.65	267254
90 	-5.45444e+06	-25393.7	-1778.65	267259
91 	-5.45455e+06	-25435.1	-1778.65	267261
92 	-5.45413e+06	-25527.5	-1778.65	267194
93 	-5.45605e+06	-25530  	-1778.65	267288
94 	-5.45439e+06	-35620.6	-1778.65	356929
95 	-5.4545e+06 	-35626.9	-1778.65	356935
96 	-5.4543e+06 	-35556.8	-1778.65	356892
97 	-5.45425e+06	-35686.9	-1778.65	356918
98 	-5.45822e+06	-35671.7	-1778.65	357004
99 	-5.45679e+06	-35630.7	-1778.65	356964
