gen	min         	avg     	max     	std    
0  	-23797.2    	-2732.59	-1848.22	1584.25
1  	-23797.2    	-2747.21	-1848.22	1584.43
2  	-24228      	-2762.51	-1835.42	1636.67
3  	-24350.6    	-2792   	-1835.42	1678.48
4  	-24338.8    	-2802.01	-1835.42	1668.15
5  	-24350      	-2806.92	-1835.42	1653.53
6  	-24082.4    	-2796.51	-1835.34	1607.82
7  	-24046.7    	-2844.36	-1835.34	1713.18
8  	-23846.7    	-2887.37	-1835.34	1743.69
9  	-26112.2    	-2908.34	-1835.34	1789.72
10 	-23895.5    	-2912.87	-1835.34	1737.77
11 	-72263.3    	-3062.96	-1835.34	3557.31
12 	-72289.1    	-3172.04	-1817.71	4006.49
13 	-72290.1    	-3216.01	-1817.71	4055.46
14 	-72240.5    	-3256.61	-1817.71	4109.86
15 	-72258.5    	-3264.54	-1817.71	4118.05
16 	-72258.5    	-3302.35	-1817.71	4170.82
17 	-72258.5    	-3302.44	-1817.71	4173.26
18 	-72194.5    	-3341.2 	-1817.71	4181.41
19 	-72194.5    	-3380.66	-1817.71	4219.4 
20 	-72162.2    	-3406.82	-1817.71	4200.21
21 	-71800.6    	-3434.27	-1817.71	4210.43
22 	-72025.7    	-3569.9 	-1817.71	5064.43
23 	-72137.9    	-3595.4 	-1817.71	5119.35
24 	-72131.6    	-3612.03	-1817.71	5107.61
25 	-72034.6    	-3619.93	-1817.71	5071.9 
26 	-72081.4    	-3652.64	-1814.97	5058.29
27 	-248510     	-4157.11	-1814.97	12060.1
28 	-248685     	-4201.13	-1814.97	12068  
29 	-260627     	-4225.55	-1814.97	12559.6
30 	-250184     	-4244.33	-1814.97	12170.1
31 	-249944     	-4273.71	-1814.97	12171.5
32 	-248630     	-4361.54	-1814.97	12141.1
33 	-248828     	-4405.56	-1814.97	12163.9
34 	-248656     	-4413.16	-1814.97	12200.7
35 	-248534     	-4459.03	-1814.97	12230.5
36 	-248535     	-4477   	-1814.97	12216.9
37 	-248536     	-4489.91	-1814.97	12186.5
38 	-248599     	-4504.79	-1814.97	12197.9
39 	-248895     	-4560.76	-1814.97	12395.5
40 	-248656     	-4569.53	-1814.97	12400.8
41 	-249180     	-4560.17	-1814.97	12391.3
42 	-250162     	-4594.05	-1814.97	12387  
43 	-250162     	-4611.24	-1814.97	12384.2
44 	-250162     	-4649.12	-1814.97	12501.2
45 	-253026     	-4661.69	-1814.97	12531.6
46 	-253124     	-4578.8 	-1811.97	12256.4
47 	-252965     	-4602.45	-1811.97	12349  
48 	-252965     	-4606.6 	-1811.97	12338.8
49 	-249488     	-4617.81	-1811.97	12477.4
50 	-249488     	-4684.34	-1811.97	12530.9
51 	-249472     	-4698.41	-1811.97	12561.6
52 	-249516     	-4719.82	-1811.97	12529.6
53 	-249520     	-4751.91	-1811.97	12274.5
54 	-249813     	-4749.76	-1811.97	12261.5
55 	-249034     	-4738.65	-1811.97	12229.8
56 	-249664     	-4818.72	-1811.97	12394.1
57 	-249087     	-4832.08	-1811.97	12289.3
58 	-249087     	-4836.32	-1811.97	12290.1
59 	-250254     	-4855.05	-1811.97	12391.8
60 	-250313     	-4861.26	-1811.97	12376  
61 	-250189     	-4882.91	-1811.97	12332.7
62 	-248968     	-4926.25	-1811.97	12316.8
63 	-249143     	-4920.09	-1811.97	12318.1
64 	-249142     	-5072.64	-1811.97	12478.4
65 	-249142     	-5082.43	-1811.97	12511.7
66 	-250651     	-5135.58	-1811.97	12555.2
67 	-250688     	-5219.81	-1811.97	12626.6
68 	-250688     	-5301.06	-1811.97	12677.5
69 	-250689     	-5772.17	-1811.97	16468.2
70 	-250536     	-5817.81	-1811.97	16462.3
71 	-1.2435e+06 	-7854.51	-1811.97	56758.2
72 	-1.2435e+06 	-7857.65	-1811.97	56750.1
73 	-1.2435e+06 	-7874.8 	-1811.97	56762.4
74 	-1.24345e+06	-7908.49	-1811.97	56754.3
75 	-1.24692e+06	-7980.52	-1811.97	56896.3
76 	-1.24729e+06	-7957.81	-1811.97	56905.9
77 	-1.24748e+06	-7978.55	-1811.97	56941.1
78 	-1.24748e+06	-7989.5 	-1811.97	56954.6
79 	-1.24748e+06	-7980.26	-1811.97	56958.9
80 	-1.24695e+06	-7902.63	-1811.97	56909.5
81 	-1.24695e+06	-8673.73	-1811.97	61928.4
82 	-1.24678e+06	-8685.4 	-1811.97	61897  
83 	-1.24685e+06	-8746.72	-1811.97	61866.3
84 	-1.24685e+06	-8828.35	-1811.97	61891.9
85 	-1.24689e+06	-8837.23	-1811.97	61914.3
86 	-1.24294e+06	-8849.13	-1811.97	61745.4
87 	-1.27394e+06	-8994.35	-1811.97	63026.3
88 	-604178     	-6654.96	-1811.97	27777.1
89 	-605830     	-6675.17	-1811.97	27865.7
90 	-607709     	-6698.61	-1811.97	27929.3
91 	-604937     	-6871.62	-1811.97	28102  
92 	-607200     	-6889.78	-1811.97	28095.3
93 	-607349     	-7750.12	-1811.97	33548  
94 	-607349     	-7757.97	-1811.97	33665.1
95 	-602366     	-7784.93	-1811.97	33325.8
96 	-602417     	-7868.92	-1811.97	33395.5
97 	-602417     	-7783.97	-1811.97	33284.1
98 	-603411     	-7779.49	-1811.97	33352.1
99 	-603434     	-7948.42	-1811.97	33735.1
