gen	min     	avg     	max     	std    
0  	-88916.9	-3077.77	-1840   	4790.95
1  	-88855.6	-3088.65	-1830.28	4785.98
2  	-88581.3	-3116.32	-1830.28	4786.08
3  	-88559.9	-3129.41	-1830.28	4794.45
4  	-88559.9	-3173.81	-1830.28	4870.56
5  	-88546.7	-3212.57	-1830.28	4888.21
6  	-88546.7	-3228.93	-1830.28	4906.88
7  	-88536.2	-3255.03	-1830.28	4905.34
8  	-88552.5	-3275.95	-1830.28	4905.3 
9  	-88552.5	-3344.03	-1830.28	5080.02
10 	-88531.9	-3400.08	-1829.58	5122.89
11 	-88552.4	-3471.58	-1829.58	5431.62
12 	-88639.3	-3510.64	-1829.58	5445.08
13 	-88644.5	-3488.68	-1829.58	5384.16
14 	-88644.5	-3513.92	-1829.58	5387.3 
15 	-88650  	-3578.86	-1829.58	5614.35
16 	-88776.3	-3641.93	-1829.58	5641.05
17 	-88776.3	-3692.88	-1829.58	5671.05
18 	-88644  	-3698.89	-1829.58	5657.59
19 	-88658.2	-3740   	-1828.58	5656.92
20 	-88746.2	-3744.94	-1828.58	5656.5 
21 	-88745.1	-3778.02	-1828.58	5768.92
22 	-88745.1	-3814.77	-1828.58	5823.36
23 	-88559  	-3822.02	-1828.58	5778.72
24 	-88792.1	-3823.21	-1828.58	5652.15
25 	-88793.6	-3851.21	-1828.58	5693.02
26 	-88812.2	-3857.62	-1806.99	5690.25
27 	-88946.3	-3860.83	-1806.99	5678.73
28 	-88946.3	-3870.28	-1792.29	5671.95
29 	-88946.3	-3864.14	-1792.29	5699.1 
30 	-88946.3	-3898.94	-1792.29	5709.59
31 	-88882.8	-3957.82	-1792.29	5811.89
32 	-88879.8	-4000.88	-1792.29	5899.82
33 	-89926.3	-4017.95	-1792.29	6018.88
34 	-89750  	-4008.61	-1792.29	6003.23
35 	-88986.9	-4029.65	-1792.29	5960.2 
36 	-88988.8	-4035.4 	-1792.29	5938.73
37 	-89023.2	-4125.81	-1781.08	6202.95
38 	-88862.1	-4168.98	-1781.08	6221.05
39 	-89530.5	-4184.11	-1781.08	6263.66
40 	-95065.2	-4230.84	-1781.08	6475.26
41 	-95065.2	-4254.59	-1781.08	6459.84
42 	-95255.6	-4293.72	-1781.08	6504.35
43 	-95386.8	-4320.3 	-1781.08	6471.46
44 	-95429  	-4346.9 	-1781.08	6736.22
45 	-95434.3	-4371.98	-1781.08	6547.43
46 	-90232.4	-4376.85	-1781.08	6401.05
47 	-89501.1	-4475.54	-1781.08	6477.21
48 	-89171  	-4485.9 	-1781.08	6495.92
49 	-88802.8	-4496.9 	-1781.08	6533.22
50 	-88786.3	-4514.45	-1781.08	6541.64
51 	-173255 	-4873.77	-1781.08	10017.1
52 	-173252 	-4919.77	-1781.08	9976.97
53 	-173254 	-4955.87	-1781.08	9900.86
54 	-173224 	-4936.69	-1781.08	9946.95
55 	-173316 	-4973.01	-1781.08	9955.03
56 	-173621 	-5148.64	-1781.08	10546.8
57 	-173969 	-5215.43	-1781.08	10650.2
58 	-175624 	-5259.95	-1781.08	10710.7
59 	-174525 	-5262.75	-1781.08	10678.1
60 	-174179 	-5313.68	-1781.08	10739  
61 	-174179 	-5313.18	-1781.08	10734.7
62 	-174145 	-5319.25	-1781.08	10743  
63 	-173521 	-5347.49	-1781.08	10755.5
64 	-173429 	-5344.9 	-1781.08	10900.5
65 	-173645 	-5358.99	-1781.08	10752  
66 	-173652 	-5386.38	-1779.08	10770.9
67 	-173674 	-5317.01	-1779.08	10527.5
68 	-173541 	-5324.96	-1779.08	10541.5
69 	-501576 	-6062.94	-1779.08	23443.1
70 	-501515 	-6089.56	-1779.08	23450.2
71 	-501302 	-6147.49	-1779.08	23559.9
72 	-502084 	-6192.6 	-1779.08	23564.2
73 	-502540 	-6213.88	-1779.08	23552.4
74 	-502742 	-6216.88	-1779.08	23495.5
75 	-502768 	-6221.46	-1779.08	23521.9
76 	-502428 	-6199.51	-1779.08	23509.6
77 	-502392 	-6216.68	-1779.08	23477.1
78 	-502469 	-6249.31	-1779.08	23446.8
79 	-504430 	-6450.44	-1779.08	23802.2
80 	-503148 	-6504.51	-1779.08	23743.3
81 	-503052 	-6589.35	-1779.08	23738.4
82 	-503273 	-6607.11	-1779.08	23701.1
83 	-503017 	-6768.52	-1779.08	23874.4
84 	-503078 	-6927.1 	-1779.08	23915.1
85 	-501195 	-6888.78	-1779.08	23866.4
86 	-504764 	-7375.19	-1779.08	26436.4
87 	-504863 	-7396.54	-1779.08	26403.6
88 	-504771 	-7429.73	-1779.08	26414.3
89 	-504883 	-7456.67	-1779.08	26415.2
90 	-505788 	-7510.1 	-1779.08	26509.4
91 	-505895 	-7652.92	-1779.08	26611.3
92 	-505881 	-7591.74	-1779.08	26549.9
93 	-502354 	-7634.92	-1779.08	26424.9
94 	-502351 	-7635.95	-1779.08	26532.4
95 	-502454 	-8075.68	-1779.08	28319.3
96 	-502451 	-8056.33	-1779.08	28213.4
97 	-502271 	-8552.34	-1779.08	30527.3
98 	-502412 	-8475.62	-1779.08	30473.3
99 	-502411 	-8577.92	-1779.08	30582.3
