gen	min         	avg         	max     	std        
0  	-21245      	-2808.01    	-1864.69	1718.92    
1  	-21185.5    	-2812.86    	-1864.69	1705.91    
2  	-21219      	-2816.86    	-1862.69	1717.52    
3  	-21217      	-2831.05    	-1862.69	1713.96    
4  	-21201.3    	-2852.45    	-1862.48	1716.1     
5  	-21192.2    	-2877.13    	-1862.48	1740.23    
6  	-21116.3    	-2898.09    	-1841.78	1764.78    
7  	-36344.7    	-2982.34    	-1826.5 	2300.01    
8  	-36263.2    	-2971.94    	-1826.5 	2287.8     
9  	-36272.5    	-2996.58    	-1826.5 	2312.6     
10 	-36373.1    	-3053.25    	-1826.5 	2417.56    
11 	-34452.1    	-3105.79    	-1826.5 	2410.26    
12 	-34966.8    	-3140.3     	-1826.5 	2467.09    
13 	-34909.9    	-3171.9     	-1819.57	2474.55    
14 	-34908.3    	-3211.34    	-1819.57	2498.5     
15 	-34939.8    	-3247.74    	-1819.57	2575.1     
16 	-34789      	-3251.55    	-1819.57	2577.55    
17 	-35151.9    	-3281.39    	-1819.57	2625.54    
18 	-35158.5    	-3318.42    	-1819.57	2701.97    
19 	-35162.5    	-3354.9     	-1819.57	2709.26    
20 	-35149.4    	-3369.04    	-1819.57	2709.08    
21 	-35150.9    	-3385.74    	-1819.57	2770.87    
22 	-34711.8    	-3438.24    	-1819.57	2946.41    
23 	-34649      	-3444.79    	-1819.57	2966.04    
24 	-34669.5    	-3452.62    	-1809.76	3028.14    
25 	-34677.7    	-3445.03    	-1809.76	2927.95    
26 	-34675.7    	-3463.79    	-1809.76	2918.61    
27 	-34649.4    	-3476.58    	-1809.76	2901.32    
28 	-34916.7    	-3484.79    	-1809.76	2890.25    
29 	-280102     	-4046.95    	-1809.76	12691.3    
30 	-280102     	-4083.82    	-1809.76	12712.3    
31 	-280013     	-4094.45    	-1809.76	12709.9    
32 	-280125     	-4118.35    	-1809.76	12727.9    
33 	-280125     	-4159.45    	-1803.66	12742.7    
34 	-280661     	-4207.16    	-1799.05	12799.3    
35 	-280661     	-4235.48    	-1799.05	12805.4    
36 	-280781     	-4246.55    	-1799.05	12799.9    
37 	-280816     	-4341.71    	-1786.83	12851.3    
38 	-280815     	-4345.59    	-1784.83	12861.4    
39 	-281122     	-4365.76    	-1784.83	12881.2    
40 	-281115     	-4361.71    	-1784.83	12872.5    
41 	-281115     	-4372.72    	-1784.83	12874.2    
42 	-280953     	-4371.95    	-1784.83	12851.1    
43 	-280886     	-4397.88    	-1784.83	12851.1    
44 	-280668     	-4405.28    	-1784.83	12829      
45 	-280716     	-4437.2     	-1780.75	12836.5    
46 	-280748     	-4434.8     	-1780.75	12838.7    
47 	-280759     	-4502.63    	-1780.75	12902.6    
48 	-280963     	-4523.47    	-1780.75	12910.8    
49 	-282625     	-4518.05    	-1780.75	12959.9    
50 	-282595     	-4535.2     	-1780.75	12968.2    
51 	-280710     	-4694.72    	-1780.75	13269.9    
52 	-285827     	-4836.96    	-1780.75	13838.7    
53 	-282515     	-4914.71    	-1780.75	13713.9    
54 	-279945     	-4898.37    	-1780.75	13597.7    
55 	-279763     	-4915.72    	-1780.75	13608.6    
56 	-279862     	-4917.67    	-1780.75	13655.5    
57 	-282018     	-4948.15    	-1780.75	13761.7    
58 	-282073     	-4990.73    	-1780.75	13834.5    
59 	-282861     	-5000.08    	-1780.75	13797      
60 	-282968     	-5016.07    	-1779.52	13743      
61 	-282626     	-5232.68    	-1779.52	14358      
62 	-282872     	-5255.85    	-1779.52	14426.2    
63 	-311662     	-5283.74    	-1779.52	15515.5    
64 	-311674     	-5290.93    	-1779.52	15491.3    
65 	-311700     	-5278.65    	-1779.52	15502.2    
66 	-311863     	-5252.04    	-1779.52	15513.7    
67 	-294828     	-5262.78    	-1779.52	14926.5    
68 	-294661     	-5282.39    	-1779.52	14906.6    
69 	-297062     	-5301.27    	-1779.52	15030.8    
70 	-297062     	-5323.49    	-1779.52	15006.8    
71 	-1.67721e+06	-8092.8     	-1779.52	75089.7    
72 	-1.67627e+06	-8138.3     	-1779.52	75039.9    
73 	-1.66433e+06	-8195.08    	-1779.52	74527      
74 	-1.66433e+06	-8169.24    	-1779.52	74528.3    
75 	-1.66492e+06	-8010.98    	-1779.52	74460.9    
76 	-1.6646e+06 	-8045.37    	-1779.52	74446.5    
77 	-1.6646e+06 	-8068.09    	-1779.52	74441      
78 	-1.67085e+06	-8119.51    	-1779.52	74726.8    
79 	-1.67085e+06	-8205.29    	-1779.52	74722.3    
80 	-1.66389e+06	-8425.67    	-1779.52	74494.5    
81 	-1.6627e+06 	-8450.24    	-1779.52	74442.5    
82 	-1.67041e+06	-8469.14    	-1779.52	74786.3    
83 	-1.67051e+06	-8461.08    	-1779.52	74791.8    
84 	-1.6705e+06 	-8438.92    	-1779.52	74786.4    
85 	-1.67068e+06	-8483.81    	-1779.52	74792.1    
86 	-1.67077e+06	-8517.25    	-1779.52	74798      
87 	-1.67109e+06	-8357.33    	-1779.52	74701.2    
88 	-1.66994e+06	-8409.49    	-1779.52	74664.3    
89 	-1.66994e+06	-8883.32    	-1779.52	75189.5    
90 	-1.65965e+06	-11856.9    	-1779.52	100281     
91 	-1.65951e+06	-11957.3    	-1779.52	100311     
92 	-1.65947e+06	-11608.8    	-1779.52	99924      
93 	-1.65947e+06	-11922.9    	-1779.52	99994.1    
94 	-1.65953e+06	-11942.3    	-1779.52	99994.9    
95 	-8.49911e+08	-1.70876e+06	-1779.52	3.79708e+07
96 	-8.49911e+08	-1.70879e+06	-1779.52	3.79708e+07
97 	-8.49911e+08	-1.70878e+06	-1779.52	3.79708e+07
98 	-8.49915e+08	-1.70964e+06	-1779.52	3.79709e+07
99 	-8.49911e+08	-1.70966e+06	-1779.52	3.79708e+07
