gen	min         	avg     	max     	std        
0  	-28938      	-2781.05	-1862.24	2036.8     
1  	-29835.9    	-2828.31	-1862.24	2184.37    
2  	-29025.5    	-2851.43	-1862.24	2217.88    
3  	-24032.4    	-2873.32	-1862.24	2065.89    
4  	-24009.4    	-2894.79	-1862.24	2108.06    
5  	-23992.5    	-2917.24	-1862.24	2120.17    
6  	-60424      	-3051.29	-1862.24	3332.71    
7  	-62028.4    	-3096.83	-1847.61	3416.11    
8  	-61936.7    	-3112.66	-1847.61	3416.52    
9  	-61942.3    	-3132.14	-1840.53	3400.73    
10 	-61319.2    	-3139.06	-1840.53	3384.42    
11 	-69434.5    	-3313.39	-1840.53	4522.05    
12 	-69434.5    	-3366.86	-1840.53	4608.41    
13 	-69355.1    	-3373.92	-1840.53	4597.83    
14 	-69456.1    	-3414.71	-1840.53	4616.61    
15 	-69456.1    	-3436.16	-1840.53	4613.18    
16 	-69430.3    	-3458.87	-1840.53	4652.63    
17 	-69548.9    	-3463.54	-1840.53	4660.36    
18 	-69548.9    	-3474.13	-1840.53	4657.69    
19 	-69507.5    	-3493.12	-1840.53	4635.54    
20 	-69375.1    	-3492.49	-1840.53	4636.83    
21 	-75247      	-3505.96	-1840.53	4874.87    
22 	-169665     	-3732.74	-1840.53	8503.24    
23 	-169513     	-3810.57	-1840.53	8567.44    
24 	-169258     	-3833.88	-1840.53	8571.04    
25 	-169633     	-3839.55	-1840.53	8591.44    
26 	-169619     	-3856.89	-1840.53	8587.22    
27 	-167996     	-3869.29	-1840.53	8509.63    
28 	-168531     	-3884.27	-1840.53	8584.15    
29 	-168624     	-3973.79	-1787.16	8666.34    
30 	-168624     	-4000.22	-1787.16	8683.94    
31 	-168636     	-4011.9 	-1787.16	8694.3     
32 	-167837     	-4078.81	-1787.16	8700.13    
33 	-167974     	-4135.86	-1787.16	8815.32    
34 	-167974     	-4165.99	-1779.14	8818.54    
35 	-167971     	-4129.81	-1779.14	8806.56    
36 	-1.69557e+06	-7589.52	-1779.14	76084.6    
37 	-1.69563e+06	-7612.6 	-1773.92	76087.8    
38 	-1.69551e+06	-7654.38	-1773.92	76087.3    
39 	-1.69551e+06	-7725.3 	-1773.92	76090.5    
40 	-1.69591e+06	-7902.57	-1773.92	76185.8    
41 	-1.6958e+06 	-7963.7 	-1773.92	76176.5    
42 	-1.69587e+06	-7985.53	-1773.92	76184.1    
43 	-1.69566e+06	-7995.15	-1773.92	76171.1    
44 	-1.69565e+06	-8105.24	-1773.92	76195.8    
45 	-1.69574e+06	-8262.34	-1773.92	76237.2    
46 	-1.69575e+06	-8297.72	-1773.92	76237.6    
47 	-1.69574e+06	-8406.89	-1773.92	76291.8    
48 	-1.69574e+06	-8413.34	-1773.92	76293.5    
49 	-1.69793e+06	-8460.53	-1773.92	76390.9    
50 	-1.69791e+06	-8466.57	-1773.92	76390.1    
51 	-1.69803e+06	-8545.69	-1773.92	76414.4    
52 	-1.6967e+06 	-8560.2 	-1773.92	76351.7    
53 	-1.69507e+06	-8438.17	-1773.92	76220.7    
54 	-1.69505e+06	-8437.42	-1773.92	76210.3    
55 	-1.69506e+06	-8467.78	-1773.92	76209.7    
56 	-1.69506e+06	-8503.42	-1773.92	76215.4    
57 	-1.69508e+06	-8554.19	-1773.92	76224.6    
58 	-1.69508e+06	-8553.44	-1773.92	76228.7    
59 	-5.24977e+07	-114560 	-1773.92	2.34634e+06
60 	-5.2497e+07 	-115115 	-1773.92	2.34632e+06
