gen	min         	avg         	max     	std        
0  	-1.54477e+06	-10798.6    	-3071.91	70777      
1  	-1.54459e+06	-10899.6    	-3071.91	70773.4    
2  	-1.54432e+06	-10877      	-3071.91	70714.4    
3  	-1.54432e+06	-11138.4    	-3071.91	70915.2    
4  	-1.54429e+06	-11264.4    	-3071.91	71189.3    
5  	-1.54429e+06	-11332.4    	-3071.91	71096.8    
6  	-1.54482e+06	-11426      	-3071.91	71101.7    
7  	-1.54482e+06	-11661.2    	-3071.91	71207.7    
8  	-231090     	-8746.1     	-3071.91	19323.3    
9  	-231090     	-8760.62    	-3071.91	19265.4    
10 	-228804     	-8810.16    	-3071.91	19212.5    
11 	-5.21232e+06	-19300.3    	-3071.91	233258     
12 	-5.21985e+06	-19408.3    	-3042.54	233590     
13 	-5.21975e+06	-19566.5    	-3042.54	233599     
14 	-5.21235e+06	-19725.4    	-3042.54	233270     
15 	-5.2625e+06 	-19910.5    	-2921.59	235509     
16 	-5.26248e+06	-20056.8    	-2921.59	235503     
17 	-5.21393e+06	-20181.5    	-2921.59	233327     
18 	-5.21391e+06	-20791.4    	-2921.59	233682     
19 	-5.21417e+06	-20858.5    	-2921.59	233694     
20 	-5.21411e+06	-20689.3    	-2921.59	233849     
21 	-5.21424e+06	-20752.9    	-2921.59	233851     
22 	-5.21375e+06	-20789.4    	-2921.59	233580     
23 	-5.21295e+06	-20797.1    	-2921.59	233514     
24 	-5.21299e+06	-20858.9    	-2921.59	233514     
25 	-5.21315e+06	-20928.8    	-2921.59	233519     
26 	-5.21297e+06	-21416.5    	-2921.59	233647     
27 	-5.21298e+06	-21528.2    	-2921.59	233661     
28 	-5.21298e+06	-21623.6    	-2921.59	233651     
29 	-5.21371e+06	-21322.7    	-2921.59	233547     
30 	-5.21325e+06	-21347.8    	-2921.59	233510     
31 	-5.22259e+06	-21111.7    	-2902.18	233819     
32 	-5.22257e+06	-21170.8    	-2902.18	233821     
33 	-5.22257e+06	-21855.7    	-2902.18	234141     
34 	-5.22402e+06	-21979.6    	-2902.18	234213     
35 	-5.22588e+06	-21995.4    	-2902.18	234312     
36 	-6.90372e+08	-1.39237e+06	-2902.18	3.0843e+07 
37 	-6.90373e+08	-1.39269e+06	-2902.18	3.0843e+07 
38 	-6.9037e+08 	-1.39275e+06	-2902.18	3.08429e+07
39 	-6.90369e+08	-1.39308e+06	-2902.18	3.08428e+07
40 	-6.90369e+08	-1.39311e+06	-2902.18	3.08428e+07
41 	-6.90369e+08	-1.3932e+06 	-2902.18	3.08428e+07
42 	-6.90369e+08	-1.39334e+06	-2902.18	3.08428e+07
43 	-6.90358e+08	-1.39338e+06	-2902.18	3.08423e+07
44 	-6.90357e+08	-1.39342e+06	-2902.18	3.08423e+07
45 	-6.90357e+08	-1.39387e+06	-2902.18	3.08422e+07
46 	-6.90358e+08	-1.39391e+06	-2902.18	3.08423e+07
47 	-6.90358e+08	-1.39765e+06	-2902.18	3.08423e+07
48 	-6.90359e+08	-1.39803e+06	-2902.18	3.08423e+07
49 	-6.90359e+08	-1.39932e+06	-2902.18	3.08423e+07
50 	-6.90359e+08	-1.39945e+06	-2902.18	3.08422e+07
51 	-6.90359e+08	-1.39814e+06	-2902.18	3.08423e+07
52 	-6.90358e+08	-1.39819e+06	-2902.18	3.08422e+07
53 	-6.90357e+08	-1.39833e+06	-2902.18	3.08422e+07
54 	-6.90365e+08	-1.3981e+06 	-2902.18	3.08425e+07
55 	-6.90365e+08	-1.39884e+06	-2902.18	3.08425e+07
56 	-6.90396e+08	-1.39919e+06	-2902.18	3.08439e+07
57 	-6.90389e+08	-1.39958e+06	-2902.18	3.08435e+07
58 	-6.90357e+08	-1.39957e+06	-2902.18	3.08421e+07
59 	-6.90358e+08	-1.39982e+06	-2902.18	3.08422e+07
60 	-6.90358e+08	-1.39954e+06	-2902.18	3.08422e+07
61 	-6.90358e+08	-1.39954e+06	-2902.18	3.08422e+07
62 	-6.90358e+08	-1.39958e+06	-2902.18	3.08422e+07
63 	-6.90358e+08	-1.40001e+06	-2902.18	3.08421e+07
64 	-6.90358e+08	-1.40005e+06	-2902.18	3.08421e+07
65 	-6.90356e+08	-1.40025e+06	-2902.18	3.08421e+07
66 	-6.90356e+08	-1.40029e+06	-2902.18	3.08421e+07
67 	-6.90356e+08	-1.40098e+06	-2902.18	3.0842e+07 
68 	-6.90357e+08	-1.40109e+06	-2902.18	3.0842e+07 
69 	-6.90359e+08	-1.40225e+06	-2902.18	3.08421e+07
70 	-6.9036e+08 	-1.40251e+06	-2902.18	3.08421e+07
71 	-6.90359e+08	-1.40247e+06	-2902.18	3.08421e+07
72 	-6.90361e+08	-1.40258e+06	-2902.18	3.08422e+07
73 	-6.90364e+08	-1.40274e+06	-2902.18	3.08423e+07
74 	-6.90363e+08	-1.40283e+06	-2901.89	3.08422e+07
75 	-6.90358e+08	-1.40295e+06	-2901.89	3.0842e+07 
76 	-6.90359e+08	-1.40302e+06	-2901.89	3.08421e+07
77 	-6.90359e+08	-1.40326e+06	-2901.89	3.08421e+07
78 	-6.90359e+08	-1.40332e+06	-2901.89	3.08421e+07
79 	-6.9036e+08 	-1.40343e+06	-2901.89	3.08421e+07
80 	-6.90359e+08	-1.40337e+06	-2901.89	3.08421e+07
81 	-6.90358e+08	-1.40359e+06	-2901.89	3.0842e+07 
82 	-6.90358e+08	-1.40376e+06	-2899.59	3.0842e+07 
83 	-6.90358e+08	-1.40384e+06	-2899.59	3.0842e+07 
84 	-6.90358e+08	-1.40389e+06	-2899.59	3.0842e+07 
85 	-6.90376e+08	-1.40415e+06	-2899.59	3.08428e+07
86 	-6.90359e+08	-1.4043e+06 	-2899.59	3.0842e+07 
87 	-6.90359e+08	-1.40434e+06	-2899.59	3.0842e+07 
88 	-6.90359e+08	-1.40468e+06	-2899.59	3.0842e+07 
89 	-6.90359e+08	-1.40472e+06	-2899.59	3.0842e+07 
90 	-6.90359e+08	-1.40811e+06	-2899.59	3.08419e+07
91 	-2.09775e+06	-27401      	-2899.59	128142     
92 	-2.10396e+06	-27496      	-2899.59	128457     
93 	-2.09875e+06	-27802.4    	-2899.59	126897     
94 	-2.09878e+06	-27572.4    	-2899.59	127123     
95 	-2.09851e+06	-27417.7    	-2899.59	126787     
96 	-2.09793e+06	-27449.2    	-2899.59	126746     
97 	-2.09775e+06	-27595.1    	-2899.59	126592     
98 	-2.09812e+06	-27495.4    	-2899.59	126737     
99 	-2.09858e+06	-27578.7    	-2899.59	126468     
