gen	min         	avg     	max     	std    
0  	-265338     	-6529.68	-3092.12	12817.2
1  	-265338     	-6633.56	-3047.43	12872.9
2  	-265338     	-6669.34	-3047.43	12895  
3  	-265340     	-6881.24	-3047.43	13118.1
4  	-264991     	-7021.03	-3047.43	13158.2
5  	-265258     	-7064.57	-3002.23	13225  
6  	-265295     	-7071.06	-2998.93	13326.7
7  	-368812     	-7851.42	-2998.93	20916.6
8  	-368625     	-7990.28	-2998.93	20987.9
9  	-368917     	-8054.27	-2983.25	20905  
10 	-370554     	-8027.41	-2983.25	20932.8
11 	-370005     	-8059.31	-2972.57	20875.5
12 	-367694     	-8185.47	-2972.57	20979.9
13 	-367459     	-8208.35	-2972.57	20980  
14 	-367013     	-8347.7 	-2972.57	20986.3
15 	-366379     	-8594.48	-2972.57	21495.2
16 	-368035     	-8637.15	-2972.57	21608.1
17 	-783900     	-9521.41	-2972.57	37510.3
18 	-782493     	-9907.62	-2972.57	38132.2
19 	-785396     	-9951.95	-2972.57	38273.8
20 	-786084     	-10133.5	-2958.68	38333.8
21 	-781997     	-10194.9	-2958.68	38204.2
22 	-781819     	-10220.9	-2958.68	38209.1
23 	-783116     	-10318.8	-2958.68	38226.9
24 	-783114     	-10353.4	-2958.68	38260.5
25 	-781625     	-10477.7	-2958.68	38218.1
26 	-781625     	-10737.8	-2958.68	38326.9
27 	-781271     	-10748.2	-2958.68	38464.2
28 	-780575     	-10800.7	-2958.68	38542  
29 	-780842     	-10857.3	-2958.68	38284.2
30 	-781004     	-11316.5	-2958.68	39135.7
31 	-781074     	-11354.2	-2958.68	39145.6
32 	-780856     	-11387.3	-2958.68	39121.6
33 	-780357     	-11428  	-2958.68	39118  
34 	-781306     	-11515.3	-2958.68	39163.3
35 	-780487     	-12032.5	-2958.68	40489.2
36 	-782315     	-12284  	-2958.68	41205.2
37 	-782700     	-12363.9	-2958.68	40796  
38 	-782745     	-12410.8	-2958.68	40823.7
39 	-783407     	-12495.8	-2958.68	40858.7
40 	-780869     	-12524.4	-2958.68	41271.9
41 	-781446     	-13479.8	-2958.68	46295.8
42 	-784493     	-13446.1	-2958.68	45942.3
43 	-785103     	-13615  	-2958.68	45904.1
44 	-784273     	-13647.5	-2953.68	45887.5
45 	-784609     	-13723.4	-2953.68	45872.4
46 	-784554     	-13969.1	-2938.37	46094.7
47 	-784685     	-14568.3	-2938.37	48218.5
48 	-2.09046e+06	-18821.9	-2938.37	104559 
49 	-2.09057e+06	-18807.4	-2938.37	104461 
50 	-2.09056e+06	-18951.9	-2938.37	104511 
51 	-2.09024e+06	-18971.3	-2938.37	104550 
52 	-4.05158e+06	-26517.1	-2938.37	207982 
53 	-4.05158e+06	-27707.5	-2938.37	210369 
54 	-4.05299e+06	-27628.2	-2938.37	210281 
55 	-4.05297e+06	-28269.8	-2938.37	210637 
56 	-4.05264e+06	-30628.2	-2938.37	216204 
57 	-4.0527e+06 	-30743.9	-2938.37	216223 
58 	-4.0563e+06 	-30778.6	-2938.37	216129 
59 	-4.05283e+06	-30837.3	-2938.37	215931 
60 	-4.06844e+06	-30741.8	-2938.37	216695 
61 	-4.06844e+06	-31168.1	-2938.37	217012 
62 	-4.06872e+06	-31395.6	-2938.37	216989 
63 	-4.06792e+06	-31721.6	-2938.37	216704 
64 	-4.06805e+06	-32118.4	-2920.49	216880 
65 	-4.06805e+06	-32465  	-2920.49	216941 
66 	-4.06805e+06	-33190  	-2920.49	217359 
67 	-4.0513e+06 	-33688.6	-2920.49	216793 
68 	-4.05125e+06	-33753.8	-2920.49	216883 
69 	-4.05215e+06	-33818.8	-2920.49	216865 
70 	-4.05279e+06	-33910.1	-2920.49	216892 
71 	-4.05279e+06	-33968.8	-2920.49	217058 
72 	-4.05278e+06	-34140.8	-2920.49	216989 
73 	-4.05319e+06	-34238.5	-2920.49	216825 
74 	-4.05226e+06	-36687.8	-2920.49	220107 
75 	-4.05786e+06	-37282.8	-2920.49	221379 
76 	-4.05786e+06	-37571.1	-2920.49	221500 
77 	-4.05218e+06	-37708  	-2920.49	221331 
78 	-4.05233e+06	-37658.6	-2920.49	221369 
79 	-4.08487e+06	-37795  	-2920.49	222495 
80 	-4.08483e+06	-38592  	-2920.49	223303 
81 	-4.10023e+06	-38669.2	-2920.49	223888 
82 	-4.10176e+06	-38991.8	-2920.49	223925 
83 	-4.10174e+06	-39701.6	-2920.49	224213 
84 	-4.10174e+06	-39990.3	-2920.49	225301 
85 	-4.09405e+06	-45108.7	-2920.49	263034 
86 	-4.09421e+06	-44611.8	-2920.49	262411 
87 	-4.0925e+06 	-44721.4	-2920.49	262355 
88 	-4.05249e+06	-44795.1	-2920.49	261053 
89 	-4.05221e+06	-44491.5	-2920.49	260974 
90 	-4.13521e+06	-51761.4	-2920.49	317898 
91 	-4.13672e+06	-51801.8	-2920.49	318026 
92 	-4.13672e+06	-51903.2	-2920.49	318010 
93 	-4.13671e+06	-52038.6	-2920.49	317977 
94 	-4.13673e+06	-50359  	-2920.49	316343 
95 	-4.13576e+06	-50449.3	-2920.49	316356 
96 	-4.13576e+06	-50672.4	-2920.49	316436 
97 	-4.13578e+06	-50717.9	-2920.49	316649 
98 	-4.13626e+06	-50997.2	-2920.49	316630 
99 	-4.13608e+06	-50980.9	-2920.49	317608 
