gen	min         	avg     	max     	std        
0  	-539568     	-7679.19	-3243.25	24463.1    
1  	-539562     	-7730.8 	-3243.25	24452.6    
2  	-539570     	-7827.11	-3214.89	24450.1    
3  	-541666     	-7931.56	-3167.58	24667.9    
4  	-857898     	-9686.86	-3167.58	45254.8    
5  	-853756     	-9775.82	-3167.58	45105.9    
6  	-855088     	-9781.28	-3163.48	45062.6    
7  	-852192     	-9819.46	-3163.48	45066.9    
8  	-851978     	-9860.66	-3163.48	45030.7    
9  	-846157     	-9922.89	-3163.48	44824.6    
10 	-846093     	-9946.64	-3163.48	44824.4    
11 	-846093     	-10002  	-3116.42	44747.4    
12 	-845877     	-10236.8	-3116.42	45222      
13 	-846435     	-10461.8	-3116.42	45383.7    
14 	-845426     	-10541.8	-3116.42	45334.6    
15 	-844665     	-10594.1	-3116.42	44918.5    
16 	-844628     	-10658.8	-3116.42	44907.6    
17 	-844643     	-10782.4	-3116.42	44948.9    
18 	-849568     	-10934.1	-3116.42	45170.6    
19 	-849272     	-10959.5	-3116.42	45180      
20 	-847412     	-11117.8	-3116.42	45191.5    
21 	-847457     	-11265.4	-3116.42	45294.3    
22 	-845450     	-11302.5	-3116.42	45212.7    
23 	-848510     	-11362.4	-3116.42	45244.3    
24 	-848647     	-12297.1	-3116.42	48845.1    
25 	-847670     	-12533  	-3116.42	48897.2    
26 	-1.27877e+06	-15181.1	-3116.42	74756.1    
27 	-1.29783e+06	-15286.5	-3116.42	75376.7    
28 	-1.29139e+06	-15506.4	-3116.42	75020.1    
29 	-1.29152e+06	-14568.1	-3114.54	71243.3    
30 	-1.28272e+06	-14597.8	-3114.54	70920      
31 	-1.28293e+06	-14674  	-3114.54	70956.6    
32 	-1.2785e+06 	-14566.4	-3114.54	70727.2    
33 	-1.27835e+06	-16084.4	-3114.54	78037.2    
34 	-1.27761e+06	-16188.8	-3114.54	78038.6    
35 	-1.27774e+06	-16462.7	-3114.54	78283.2    
36 	-1.27774e+06	-16503.8	-3114.54	78265.4    
37 	-1.28032e+06	-15276.3	-3114.54	71320      
38 	-1.27881e+06	-15374.4	-3114.54	71229.9    
39 	-1.27881e+06	-15309.3	-3114.54	71187.6    
40 	-1.28209e+06	-15369.1	-3114.54	71345.1    
41 	-1.28245e+06	-15732.9	-3114.54	71937.4    
42 	-1.28194e+06	-15727.6	-3109.25	71849.9    
43 	-1.28194e+06	-15852.2	-3109.25	71875.7    
44 	-1.2801e+06 	-16115.4	-3109.25	71858.5    
45 	-1.28167e+06	-16228.6	-3109.25	71738.9    
46 	-1.27887e+06	-16380.7	-3109.25	71915.3    
47 	-1.27828e+06	-16660.4	-3109.25	71993.2    
48 	-1.27871e+06	-16876.9	-3109.25	72050      
49 	-1.27787e+06	-16957.7	-3109.25	72063.8    
50 	-1.29464e+06	-17150.1	-3109.25	72692      
51 	-1.29462e+06	-17486.8	-3109.25	73439.4    
52 	-1.29463e+06	-17606.9	-3109.25	73475.9    
53 	-1.29445e+06	-17813  	-3109.25	73612.5    
54 	-1.29454e+06	-17109  	-3109.25	71030.2    
55 	-1.27864e+06	-17155.8	-3109.25	71091.8    
56 	-1.27918e+06	-17124.8	-3109.25	70995      
57 	-1.28109e+06	-16707.8	-3109.25	70308.5    
58 	-1.28046e+06	-16730  	-3086.63	69549.6    
59 	-1.28055e+06	-18427.3	-3086.63	74025.2    
60 	-1.28036e+06	-18797  	-3086.63	74331.5    
61 	-1.28028e+06	-19282.7	-3086.63	74737.2    
62 	-1.28476e+06	-19419.6	-3086.63	75071.6    
63 	-1.00621e+07	-37089.9	-3086.63	451492     
64 	-1.00597e+07	-37195.8	-3086.63	451413     
65 	-1.00538e+07	-37210.8	-3086.63	451032     
66 	-1.00538e+07	-37350.9	-3086.63	451137     
67 	-1.00589e+07	-37508.2	-3086.63	451255     
68 	-845865     	-17348.1	-3086.63	48633.2    
69 	-847080     	-18822.3	-3086.63	58018      
70 	-845615     	-19307.8	-3086.63	58267.4    
71 	-904157     	-19368.7	-3086.63	59863.1    
72 	-845451     	-19703.3	-3086.63	59055.1    
73 	-846327     	-19750  	-3086.63	59195.3    
74 	-859837     	-19805.8	-3086.63	59764.3    
75 	-859119     	-20293.8	-3086.63	60679.4    
76 	-859165     	-21226.2	-3086.63	61970      
