gen	min         	avg     	max     	std   
0  	-2.43445e+06	-14486.8	-2951.96	117873
1  	-2.43449e+06	-14481.9	-2951.96	117859
2  	-2.43448e+06	-14555.7	-2951.96	117853
3  	-2.43448e+06	-14633  	-2951.88	117851
4  	-2.4353e+06 	-14098.7	-2951.88	117085
5  	-2.43512e+06	-14158.3	-2951.88	117082
6  	-2.43512e+06	-14317.4	-2951.88	117098
7  	-2.43342e+06	-14443.2	-2951.88	117140
8  	-3.40587e+06	-14603  	-2951.88	152220
9  	-3.40582e+06	-14780.1	-2928.58	152234
10 	-3.40528e+06	-14832.4	-2928.58	152225
11 	-2.43343e+06	-15113.5	-2928.58	117211
12 	-2.43363e+06	-15157  	-2928.58	117218
13 	-2.43387e+06	-15251.3	-2928.58	117217
14 	-2.43313e+06	-15423.4	-2928.58	117196
15 	-2.43328e+06	-15218.8	-2927.88	117001
16 	-2.43862e+06	-15292.4	-2927.88	117221
17 	-2.43902e+06	-15455  	-2927.88	117242
18 	-2.43861e+06	-15562.5	-2927.88	117258
19 	-2.43844e+06	-15506.2	-2927.88	117219
20 	-2.43838e+06	-15871.3	-2927.88	117464
21 	-2.43838e+06	-15899.5	-2927.88	117457
22 	-2.43602e+06	-15878.1	-2927.88	117340
23 	-2.43602e+06	-15941.7	-2927.88	117343
24 	-2.43613e+06	-16031.8	-2927.88	117353
25 	-2.43559e+06	-16020.9	-2927.88	117337
26 	-2.43448e+06	-16078.6	-2927.88	117331
27 	-2.43448e+06	-16114.9	-2927.88	117317
28 	-2.43438e+06	-16138.3	-2927.88	117325
29 	-2.43584e+06	-16217.4	-2927.88	117541
30 	-2.47956e+06	-16301  	-2927.88	119194
31 	-2.43566e+06	-16508.5	-2927.88	117412
32 	-2.44036e+06	-16470.4	-2927.88	117544
33 	-2.44036e+06	-16477  	-2927.88	117587
34 	-2.43609e+06	-16615.9	-2927.88	117399
35 	-2.43539e+06	-16651.1	-2927.88	117376
36 	-2.43561e+06	-16636.4	-2927.88	117384
37 	-2.4343e+06 	-18592.7	-2927.88	125426
38 	-2.4343e+06 	-18746.1	-2927.88	125317
39 	-2.43423e+06	-18811.4	-2927.88	125317
40 	-2.4342e+06 	-18891.2	-2927.88	125310
41 	-2.43418e+06	-18972.3	-2927.88	126290
42 	-2.43444e+06	-19126.6	-2927.88	126253
43 	-2.4354e+06 	-19244.2	-2927.88	126267
44 	-2.43909e+06	-19263.4	-2927.88	126424
45 	-2.43371e+06	-19303.1	-2927.88	126251
46 	-2.43363e+06	-19500.2	-2927.88	126218
47 	-2.50052e+06	-20655.5	-2927.88	130252
48 	-2.50088e+06	-20808.1	-2927.88	130292
49 	-2.43545e+06	-21032.9	-2927.88	127799
50 	-2.43873e+06	-21737.4	-2927.88	128401
51 	-2.43518e+06	-21791.4	-2927.88	127528
52 	-2.49344e+06	-21879.3	-2927.88	129829
53 	-2.49344e+06	-22030.5	-2927.88	129734
54 	-2.4975e+06 	-23558.6	-2927.88	134281
55 	-2.43897e+06	-24051  	-2927.88	132097
56 	-2.44014e+06	-24056.5	-2927.88	132104
57 	-2.43479e+06	-24080.2	-2927.88	131948
58 	-2.43479e+06	-24080.6	-2927.88	132061
59 	-2.43479e+06	-24126  	-2927.88	132137
60 	-2.43361e+06	-24191.9	-2927.88	132078
61 	-2.43636e+06	-24550  	-2927.88	132175
62 	-2.43401e+06	-25912.3	-2927.88	134253
63 	-2.4347e+06 	-25963.4	-2927.88	134352
64 	-2.43474e+06	-26093.9	-2927.88	134515
65 	-2.43473e+06	-26147.2	-2927.88	134506
66 	-3.44488e+06	-26211.2	-2927.88	166970
67 	-3.44567e+06	-26496.9	-2927.88	167135
68 	-2.43522e+06	-26415.7	-2927.88	134379
69 	-2.44273e+06	-26422.5	-2918.59	134908
70 	-2.44041e+06	-26477.2	-2918.59	135113
71 	-2.43508e+06	-26570.1	-2918.59	135089
72 	-2.4365e+06 	-26734.9	-2918.59	134747
73 	-2.4331e+06 	-26661.1	-2918.59	134667
74 	-2.43587e+06	-26794.3	-2918.59	134771
75 	-2.43587e+06	-26902  	-2918.59	134773
76 	-2.43582e+06	-26963.9	-2918.59	134558
77 	-2.4335e+06 	-27163  	-2918.59	134448
78 	-2.43896e+06	-27235.7	-2918.59	135233
79 	-2.55161e+06	-27348.5	-2918.59	139158
80 	-2.43724e+06	-27356.4	-2918.59	135140
81 	-2.43724e+06	-27999  	-2918.59	135851
82 	-2.43791e+06	-28157.2	-2918.59	135925
83 	-2.43505e+06	-28235.5	-2918.59	135607
84 	-2.43562e+06	-28142.4	-2918.59	135074
85 	-2.4344e+06 	-28192.7	-2918.59	135538
86 	-2.43438e+06	-28218.5	-2918.59	135783
87 	-2.45743e+06	-28480.2	-2918.59	136817
88 	-2.45744e+06	-28669.2	-2918.59	136789
89 	-2.44945e+06	-28708.3	-2918.59	136765
90 	-2.44945e+06	-28861.6	-2918.59	136129
91 	-2.44296e+06	-28794.9	-2918.59	135997
92 	-2.43688e+06	-28926.6	-2918.59	135674
93 	-2.4365e+06 	-28946  	-2918.59	135642
94 	-2.4365e+06 	-28916.1	-2908.84	135693
95 	-2.43668e+06	-28993.7	-2908.84	135247
96 	-2.4425e+06 	-29062.7	-2908.84	135431
97 	-2.4425e+06 	-29170.9	-2908.84	135588
98 	-2.44263e+06	-29117.6	-2908.84	135608
99 	-2.46358e+06	-29241.2	-2908.84	136307
