gen	min         	avg     	max     	std       
0  	-4.54414e+06	-17324.9	-3258.96	203715    
1  	-4.54408e+06	-17333.6	-3258.96	203730    
2  	-4.54362e+06	-17380.3	-3194.61	203695    
3  	-4.54337e+06	-17512.1	-3194.61	203759    
4  	-4.54388e+06	-17458.4	-3194.61	203755    
5  	-4.54388e+06	-17716.9	-3152.9 	203701    
6  	-4.54508e+06	-17816.7	-3152.9 	203754    
7  	-4.55742e+06	-17871.4	-3152.9 	204309    
8  	-4.55738e+06	-17889.1	-3132.32	204292    
9  	-4.55746e+06	-17987.1	-3132.32	204287    
10 	-4.55814e+06	-18074  	-3132.32	204318    
11 	-4.55814e+06	-20638.5	-3132.32	211605    
12 	-4.54493e+06	-20690.1	-3132.32	211033    
13 	-4.54526e+06	-20727.2	-3132.32	211066    
14 	-4.54526e+06	-20830.1	-3003.5 	211118    
15 	-4.5464e+06 	-20863.5	-3003.5 	211200    
16 	-4.54646e+06	-22826.1	-2996.53	213894    
17 	-4.54646e+06	-23101.7	-2996.53	213933    
18 	-4.54625e+06	-31140.4	-2996.53	280039    
19 	-4.54631e+06	-31389.2	-2996.53	280035    
20 	-4.5518e+06 	-31502.1	-2996.53	280236    
21 	-4.55195e+06	-31550.3	-2996.53	280236    
22 	-4.55191e+06	-31715.6	-2996.53	280289    
23 	-4.55125e+06	-31830.2	-2996.53	280378    
24 	-4.55125e+06	-32091.7	-2996.53	280199    
25 	-4.54578e+06	-32250.9	-2996.53	279915    
26 	-4.54578e+06	-32314.4	-2996.53	279927    
27 	-4.54629e+06	-32405.4	-2996.53	279931    
28 	-4.54698e+06	-32422.8	-2996.53	280134    
29 	-4.54666e+06	-32404  	-2996.53	280160    
30 	-4.54678e+06	-32150.1	-2996.53	280090    
31 	-4.54775e+06	-33241  	-2996.53	281465    
32 	-4.5475e+06 	-33303  	-2996.53	282090    
33 	-4.5475e+06 	-33435.4	-2996.53	281971    
34 	-4.54924e+06	-33504  	-2996.53	282027    
35 	-4.54924e+06	-34026.6	-2996.53	282231    
36 	-4.5491e+06 	-34062.7	-2996.53	282285    
37 	-4.54931e+06	-34153.9	-2996.53	282232    
38 	-4.54931e+06	-34175.3	-2996.53	282216    
39 	-4.5498e+06 	-34278.7	-2996.53	282224    
40 	-4.54984e+06	-34334.2	-2996.53	281589    
41 	-4.54949e+06	-34692.9	-2996.53	281623    
42 	-4.54947e+06	-34731.7	-2996.53	281616    
43 	-4.57347e+06	-34761.1	-2996.53	282454    
44 	-4.57468e+06	-34852.3	-2996.53	282465    
45 	-4.5478e+06 	-35019.6	-2996.53	281604    
46 	-4.54758e+06	-32579.3	-2996.53	276260    
