gen	min         	avg     	max     	std        
0  	-734299     	-7200.87	-1632.7 	37372.4    
1  	-734312     	-7242.06	-1632.7 	37430.2    
2  	-734312     	-7329.56	-1632.7 	37461.9    
3  	-734295     	-7778   	-1552.17	40844.3    
4  	-734295     	-7822.77	-1552.17	40848.2    
5  	-734295     	-7866.8 	-1501.92	40839      
6  	-734397     	-7908.38	-1501.92	40846      
7  	-734397     	-7960.55	-1501.92	40856.3    
8  	-734397     	-7960.28	-1501.92	40866.5    
9  	-734533     	-7983.25	-1501.92	40870.2    
10 	-4.37073e+06	-19607.4	-1501.92	211102     
11 	-4.37062e+06	-19735.7	-1501.92	211122     
12 	-5.02033e+06	-28372  	-1501.92	305713     
13 	-5.01925e+06	-28389.5	-1501.92	305677     
14 	-5.01925e+06	-28621.5	-1501.92	305678     
15 	-5.0192e+06 	-30822  	-1501.92	309315     
16 	-5.0192e+06 	-30776.2	-1501.92	309312     
17 	-5.01914e+06	-30831.5	-1501.92	309322     
18 	-5.01919e+06	-30815.8	-1465.92	309321     
19 	-5.01915e+06	-30859.2	-1465.92	309307     
20 	-5.01945e+06	-30888.1	-1465.92	309316     
21 	-5.01945e+06	-30900.3	-1465.92	309314     
22 	-5.02042e+06	-30930.7	-1465.92	309342     
23 	-1.96211e+07	-70177.5	-1463.18	928275     
24 	-1.96211e+07	-70229.4	-1463.18	928274     
25 	-1.96208e+07	-70272.5	-1463.18	928250     
26 	-5.00503e+07	-170509 	-1461.27	2.41817e+06
27 	-5.00503e+07	-170538 	-1461.27	2.41818e+06
28 	-5.00503e+07	-170572 	-1461.27	2.41818e+06
29 	-5.00503e+07	-170616 	-1461.27	2.41817e+06
30 	-5.00503e+07	-170594 	-1461.27	2.41818e+06
31 	-5.00503e+07	-168505 	-1461.27	2.41784e+06
32 	-5.00503e+07	-168576 	-1461.27	2.41783e+06
33 	-5.00505e+07	-168706 	-1461.27	2.41787e+06
34 	-5.00509e+07	-168728 	-1461.27	2.41788e+06
35 	-5.00509e+07	-168716 	-1461.27	2.41789e+06
36 	-5.00509e+07	-168721 	-1461.27	2.41788e+06
37 	-5.00551e+07	-168787 	-1461.27	2.41801e+06
38 	-5.00551e+07	-168872 	-1461.27	2.41807e+06
39 	-5.00551e+07	-169274 	-1461.27	2.41809e+06
